,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,593.78M,593.78M,262.34M,331.44M,135.43M,34.97M,2.657M,,10.92M,4.007M,-6.908M,,173.06M,158.38M,4.007M,10.92M,-6.908M,-1.039M,-6.908M,150.44M,23.67M,126.77M,,,126.77M,30.89M,161.35M,,2020-09,2.04,,2.04,2.04,,2020-09,,,2.03,2020-09,62.00M,62.30M,0.00,,2020-09,AOR,
2020-06,519.98M,519.98M,213.13M,306.85M,117.45M,31.16M,2.618M,-0.514M,13.02M,4.003M,-9.015M,,151.22M,155.63M,4.003M,13.02M,-9.015M,-1.25M,-9.015M,145.36M,22.43M,122.93M,,,122.93M,31.02M,158.38M,,2020-06,1.98,,1.987,1.98,,2020-06,,,1.987,2020-06,61.94M,62.18M,0.00,,2020-06,AOR,
2020-03,464.94M,464.94M,210.64M,254.30M,147.74M,34.99M,2.625M,-0.666M,14.08M,4.036M,-10.04M,,185.35M,68.95M,4.036M,14.08M,-10.04M,-1.04M,-10.04M,57.86M,4.301M,53.56M,,,53.56M,29.19M,71.94M,,2020-03,0.86,,0.8699,0.86,,2020-03,,,0.8698,2020-03,62.23M,62.63M,0.00,,2020-03,AOR,
2019-12,716.29M,716.29M,299.07M,417.23M,141.21M,37.07M,2.529M,0.00,14.22M,4.417M,-9.806M,,180.81M,236.42M,4.417M,14.22M,-9.806M,-2.223M,-9.806M,224.39M,23.72M,200.67M,,,200.67M,24.98M,238.61M,,2019-12,3.15,,3.15,3.15,,2019-12,,,3.12,2019-12,63.65M,64.06M,0.00,,2019-12,AOR,
2019-09,577.28M,577.28M,241.06M,336.22M,126.04M,34.33M,2.619M,,11.46M,3.455M,-8.001M,,162.99M,173.24M,3.455M,11.46M,-8.001M,-0.496M,-8.001M,164.74M,26.60M,138.13M,,,138.13M,26.70M,176.19M,,2019-09,2.09,,2.09,2.09,,2019-09,,,2.07,2019-09,66.23M,66.77M,0.00,,2019-09,AOR,Restated
2019-06,599.16M,599.16M,249.55M,349.62M,133.21M,36.49M,2.264M,0.00,11.45M,5.871M,-5.577M,,171.96M,177.65M,5.871M,11.45M,-5.577M,-0.342M,-5.577M,171.74M,27.32M,144.41M,,,144.41M,28.85M,183.18M,,2019-06,2.09,,2.09,2.09,,2019-06,,,2.08,2019-06,68.99M,69.49M,0.00,,2019-06,AOR,Restated
2019-03,513.86M,513.86M,221.03M,292.83M,134.34M,35.06M,2.281M,0.00,11.56M,8.315M,-3.248M,,171.68M,121.15M,8.315M,11.56M,-3.248M,-0.525M,-3.248M,117.38M,8.392M,108.99M,,,108.99M,24.76M,128.94M,,2019-03,1.52,,1.52,1.52,,2019-03,,,1.51,2019-03,71.70M,72.42M,0.00,,2019-03,AOR,Restated
2018-12,715.02M,715.02M,286.87M,428.15M,142.85M,38.11M,2.337M,-0.322M,11.68M,10.45M,-1.225M,,183.30M,244.85M,10.45M,11.68M,-1.225M,-45.82M,-1.225M,197.81M,12.65M,185.15M,,,185.15M,25.60M,209.48M,,2018-12,2.48,,2.484,2.48,,2018-12,,,2.464,2018-12,74.74M,75.29M,0.00,,2018-12,AOR,Restated
2018-09,578.02M,578.02M,241.14M,336.88M,127.00M,35.17M,2.114M,-0.924M,11.44M,9.802M,-1.633M,,164.28M,172.60M,9.802M,11.44M,-1.633M,-1.735M,-1.633M,169.23M,28.22M,141.01M,,,141.01M,26.98M,180.66M,,2018-09,1.84,,1.850,1.84,,2018-09,,,1.840,2018-09,76.58M,77.14M,0.00,,2018-09,AOR,Restated
2018-06,596.22M,596.22M,243.14M,353.08M,136.64M,35.64M,1.602M,,11.69M,8.888M,-2.804M,,173.89M,179.19M,8.888M,11.69M,-2.804M,-1.828M,-2.804M,174.56M,18.88M,155.68M,,,155.68M,27.20M,186.25M,,2018-06,2.00,,2.00,2.00,,2018-06,,,1.98,2018-06,77.83M,78.44M,0.00,,2018-06,AOR,Restated
2018-03,530.67M,530.67M,221.42M,309.25M,130.41M,34.48M,1.659M,1.672M,13.84M,9.666M,-4.172M,,166.55M,142.70M,9.666M,13.84M,-4.172M,2.018M,-4.172M,140.55M,28.60M,111.95M,,,111.95M,28.64M,154.39M,,2018-03,1.42,,1.403,1.42,,2018-03,,,1.383,2018-03,78.88M,79.72M,0.00,,2018-03,AOR,Restated
2017-12,687.28M,687.28M,270.45M,416.82M,148.39M,35.12M,1.639M,-1.096M,15.28M,10.85M,-4.432M,,185.15M,231.67M,10.85M,15.28M,-4.432M,-1.50M,-4.432M,225.74M,578.91M,-353.17M,,,-353.17M,27.75M,241.02M,,2017-12,-4.44,,-4.432,-4.44,,2017-12,,,-4.432,2017-12,79.45M,80.44M,0.00,,2017-12,AOR,Restated
2017-09,565.58M,565.58M,235.89M,329.69M,135.21M,33.78M,1.682M,0.00,14.75M,9.516M,-5.234M,,170.67M,159.02M,9.516M,14.75M,-5.234M,0.012M,-5.234M,153.80M,17.70M,136.10M,,,136.10M,25.84M,168.55M,,2017-09,1.71,,1.71,1.71,,2017-09,,,1.69,2017-09,79.71M,80.52M,0.00,,2017-09,AOR,Restated
2017-06,558.25M,558.25M,229.63M,328.62M,130.09M,32.94M,1.693M,-10.02M,14.08M,8.37M,-5.713M,,164.72M,163.90M,8.37M,14.08M,-5.713M,-10.12M,-5.713M,148.07M,16.25M,131.82M,,,131.82M,29.46M,162.16M,,2017-06,1.65,,1.761,1.65,,2017-06,,,1.740,2017-06,79.98M,80.76M,0.00,,2017-06,AOR,Restated
2017-03,497.97M,497.97M,211.10M,286.87M,130.67M,35.75M,1.729M,0.00,12.72M,7.343M,-5.382M,,168.15M,118.72M,7.343M,12.72M,-5.382M,0.149M,-5.382M,113.49M,7.93M,105.56M,,,105.56M,22.95M,126.21M,,2017-03,1.32,,1.32,1.32,,2017-03,,,1.31,2017-03,80.07M,80.77M,0.00,,2017-03,AOR,Restated
2016-12,628.79M,628.79M,251.58M,377.21M,129.54M,32.75M,2.358M,-3.524M,12.10M,6.346M,-5.756M,,164.65M,212.56M,6.346M,12.10M,-5.756M,,-5.756M,202.58M,28.20M,174.38M,,,174.38M,24.08M,214.68M,,2016-12,2.17,,2.208,2.17,,2016-12,,,2.187,2016-12,80.38M,80.95M,0.00,,2016-12,AOR,Restated
2016-09,526.83M,526.83M,218.34M,308.49M,123.86M,30.42M,2.476M,,11.71M,5.426M,-6.281M,,156.76M,151.73M,5.426M,11.71M,-6.281M,,-6.281M,145.45M,20.59M,124.86M,,,124.86M,24.29M,157.16M,,2016-09,1.55,,1.55,1.55,,2016-09,,,1.53,2016-09,80.68M,81.39M,0.00,,2016-09,AOR,Restated
2016-06,536.56M,536.56M,220.38M,316.18M,129.58M,32.58M,2.411M,0.00,10.98M,4.827M,-6.156M,,164.57M,151.61M,4.827M,10.98M,-6.156M,,-6.156M,145.46M,17.24M,128.22M,,,128.22M,24.65M,156.44M,,2016-06,1.59,,1.59,1.59,,2016-06,,,1.57,2016-06,80.80M,81.46M,0.00,,2016-06,AOR,Restated
2016-03,475.25M,475.25M,201.15M,274.10M,129.35M,29.44M,2.644M,,10.12M,4.087M,-6.032M,,161.43M,112.66M,4.087M,10.12M,-6.032M,,-6.032M,106.63M,12.58M,94.05M,,,94.05M,23.43M,116.75M,,2016-03,1.16,,1.16,1.16,,2016-03,,,1.15,2016-03,81.28M,81.97M,0.00,,2016-03,AOR,Restated
2015-12,586.61M,586.61M,237.92M,348.70M,128.68M,32.19M,2.576M,,9.205M,3.135M,-6.07M,,163.45M,185.25M,3.135M,9.205M,-6.07M,,-6.07M,175.24M,24.18M,151.05M,,,151.05M,23.09M,184.44M,,2015-12,1.85,,1.85,1.85,,2015-12,,,1.83,2015-12,81.69M,82.43M,0.00,,2015-12,AOR,Restated
2015-09,500.58M,500.58M,206.80M,293.77M,124.66M,30.70M,2.573M,,9.017M,2.736M,-6.281M,,157.93M,135.84M,2.736M,9.017M,-6.281M,,-6.281M,129.56M,13.28M,116.28M,,,116.28M,21.76M,138.58M,,2015-09,1.42,,1.42,1.42,,2015-09,,,1.40,2015-09,82.04M,82.78M,0.00,,2015-09,AOR,Restated
2015-06,494.74M,494.74M,208.71M,286.03M,122.66M,30.56M,2.50M,,9.046M,2.50M,-6.546M,,155.72M,130.32M,2.50M,9.046M,-6.546M,,-6.546M,123.77M,18.12M,105.66M,,,105.66M,22.59M,132.82M,,2015-06,1.28,,1.28,1.28,,2015-06,,,1.27,2015-06,82.56M,83.33M,0.00,,2015-06,AOR,Restated
2015-03,460.40M,460.40M,189.25M,271.16M,119.75M,28.95M,2.474M,,8.975M,2.34M,-6.635M,,151.18M,119.98M,2.34M,8.975M,-6.635M,,-6.635M,113.35M,17.29M,96.06M,,,96.06M,22.55M,122.32M,,2015-03,1.16,,1.16,1.16,,2015-03,,,1.15,2015-03,83.02M,83.75M,0.00,,2015-03,AOR,Restated
2014-12,583.87M,583.87M,233.12M,350.75M,131.92M,44.18M,2.616M,,9.669M,2.103M,-7.566M,,178.71M,172.04M,2.103M,9.669M,-7.566M,,-7.566M,164.47M,13.18M,151.29M,,,151.29M,23.68M,174.14M,,2014-12,1.82,,1.82,1.82,,2014-12,,,1.80,2014-12,84.31M,85.12M,0.00,,2014-12,AOR,Restated
2014-09,493.16M,493.16M,202.22M,290.94M,122.23M,27.28M,2.725M,,9.062M,1.762M,-7.30M,,152.23M,138.71M,1.762M,9.062M,-7.30M,,-7.30M,131.41M,17.92M,113.50M,,,113.50M,29.43M,140.48M,,2014-09,1.36,,1.36,1.36,,2014-09,,,1.34,2014-09,83.66M,84.40M,0.00,,2014-09,AOR,Restated
2014-06,481.80M,481.80M,201.85M,279.95M,131.93M,26.98M,2.646M,,7.971M,1.70M,-6.271M,,161.55M,118.40M,1.70M,7.971M,-6.271M,,-6.271M,112.12M,15.60M,96.53M,,,96.53M,20.78M,120.10M,,2014-06,1.14,,1.14,1.14,,2014-06,,,1.13,2014-06,84.46M,85.18M,0.00,,2014-06,AOR,Restated
2014-03,430.51M,430.51M,187.72M,242.79M,126.64M,24.75M,2.647M,,7.489M,1.458M,-6.031M,,154.03M,88.76M,1.458M,7.489M,-6.031M,,-6.031M,82.73M,12.43M,70.30M,,,70.30M,20.34M,90.22M,,2014-03,0.83,,0.83,0.83,,2014-03,,,0.82,2014-03,84.98M,85.87M,0.00,,2014-03,AOR,Restated
2013-12,565.45M,565.45M,228.99M,336.46M,130.68M,26.98M,2.625M,,7.927M,1.075M,-6.852M,,160.28M,176.18M,1.075M,7.927M,-6.852M,0.00,-6.852M,169.32M,27.74M,141.58M,,,141.58M,21.44M,177.25M,,2013-12,1.67,,1.67,1.67,,2013-12,,,1.65,2013-12,85.01M,86.03M,0.00,,2013-12,AOR,Restated
2013-09,457.32M,457.32M,191.57M,265.75M,120.56M,23.60M,2.518M,,7.358M,0.946M,-6.412M,,146.68M,119.07M,0.946M,7.358M,-6.412M,,-6.412M,112.66M,14.61M,98.05M,,,98.05M,20.57M,120.02M,,2013-09,1.15,,1.15,1.15,,2013-09,,,1.14,2013-09,85.18M,86.36M,0.00,,2013-09,AOR,Restated
2013-06,451.12M,451.12M,188.33M,262.79M,123.06M,24.65M,2.382M,,7.58M,1.179M,-6.401M,,150.09M,112.69M,1.179M,7.58M,-6.401M,-1.575M,-6.401M,104.72M,15.40M,89.31M,,,89.31M,19.42M,112.30M,,2013-06,1.04,,1.04,1.04,,2013-06,,,1.03,2013-06,85.48M,86.58M,0.00,,2013-06,AOR,Restated
2013-03,430.34M,430.34M,174.57M,255.77M,118.66M,25.31M,2.393M,,7.185M,1.187M,-5.998M,,146.36M,109.40M,1.187M,7.185M,-5.998M,,-5.998M,103.41M,-17.65M,121.06M,,,121.06M,18.26M,110.59M,,2013-03,1.41,,1.41,1.41,,2013-03,,,1.39,2013-03,86.05M,87.22M,0.00,,2013-03,AOR,Restated
2012-12,521.77M,521.77M,208.36M,313.40M,122.15M,24.96M,2.459M,-4.434M,7.597M,1.224M,-6.373M,,149.56M,163.84M,1.224M,7.597M,-6.373M,-4.434M,-6.373M,153.03M,-22.91M,175.94M,,,175.94M,17.61M,160.63M,,2012-12,2.03,,2.063,2.03,,2012-12,,,2.033,2012-12,86.66M,87.82M,0.00,,2012-12,AOR,Restated
2012-09,449.95M,449.95M,182.70M,267.25M,115.32M,23.76M,6.427M,0.00,7.107M,1.184M,-5.923M,,145.50M,121.74M,1.184M,7.107M,-5.923M,,-5.923M,115.82M,16.71M,99.11M,,,99.11M,20.62M,122.93M,,2012-09,1.13,,1.13,1.13,,2012-09,,,1.12,2012-09,87.41M,88.45M,0.00,,2012-09,AOR,Restated
2012-06,451.46M,451.46M,179.26M,272.21M,122.68M,23.94M,2.458M,-3.00M,6.878M,1.031M,-5.847M,,149.08M,123.12M,1.031M,6.878M,-5.847M,-3.00M,-5.847M,114.28M,16.55M,97.72M,,,97.72M,16.03M,121.15M,,2012-06,1.11,,1.139,1.11,,2012-06,,,1.119,2012-06,88.32M,89.38M,0.00,,2012-06,AOR,Restated
2012-03,420.46M,420.46M,167.29M,253.17M,117.12M,23.35M,2.485M,,6.491M,0.769M,-5.722M,,142.95M,110.22M,0.769M,6.491M,-5.722M,,-5.722M,104.50M,15.83M,88.67M,,,88.67M,14.57M,110.99M,,2012-03,1.00,,1.00,1.00,,2012-03,,,0.98,2012-03,88.99M,90.27M,0.00,,2012-03,AOR,Restated
2011-12,521.42M,521.42M,204.24M,317.18M,126.24M,23.71M,2.359M,,6.677M,0.484M,-6.193M,,152.30M,164.87M,0.484M,6.677M,-6.193M,,-6.193M,158.68M,21.53M,137.15M,,,137.15M,16.34M,165.36M,,2011-12,1.53,,1.53,1.53,,2011-12,,,1.51,2011-12,89.33M,90.61M,0.00,,2011-12,AOR,Restated
2011-09,454.53M,454.53M,180.32M,274.22M,121.21M,23.37M,2.369M,,6.159M,0.613M,-5.546M,,146.95M,127.26M,0.613M,6.159M,-5.546M,,-5.546M,121.72M,20.46M,101.26M,,,101.26M,16.60M,127.88M,,2011-09,1.12,,1.12,1.12,,2011-09,,,1.10,2011-09,90.69M,92.06M,0.00,,2011-09,AOR,Restated
2011-06,447.63M,447.63M,176.10M,271.52M,125.44M,23.01M,2.504M,,5.052M,0.813M,-4.239M,,150.96M,120.57M,0.813M,5.052M,-4.239M,,-4.239M,116.33M,16.25M,100.08M,,,100.08M,17.28M,121.38M,,2011-06,1.09,,1.09,1.09,,2011-06,,,1.07,2011-06,91.66M,93.27M,0.00,,2011-06,AOR,Restated
2011-03,427.60M,427.60M,169.83M,257.77M,117.12M,22.25M,2.501M,,4.083M,0.713M,-3.37M,,141.88M,115.90M,0.713M,4.083M,-3.37M,,-3.37M,112.52M,18.04M,94.49M,,,94.49M,16.16M,116.61M,,2011-03,1.03,,1.03,1.03,,2011-03,,,1.01,2011-03,91.65M,93.31M,0.00,,2011-03,AOR,Restated
2010-12,483.58M,483.58M,189.25M,294.32M,120.52M,22.87M,2.764M,,3.879M,0.562M,-3.317M,,146.15M,148.18M,0.562M,3.879M,-3.317M,,-3.317M,144.86M,18.26M,126.60M,,,126.60M,17.04M,148.74M,,2010-12,1.38,,1.38,1.38,,2010-12,,,1.35,2010-12,91.60M,93.42M,0.00,,2010-12,AOR,Restated
2010-09,401.04M,401.04M,162.98M,238.05M,111.31M,20.52M,2.408M,,3.81M,0.516M,-3.294M,,134.24M,103.82M,0.516M,3.81M,-3.294M,,-3.294M,100.52M,5.802M,94.72M,,,94.72M,15.23M,104.33M,,2010-09,1.03,,1.03,1.03,,2010-09,,,1.02,2010-09,91.71M,93.29M,0.00,,2010-09,AOR,
2010-06,391.06M,391.06M,155.13M,235.92M,106.94M,20.81M,2.592M,,3.621M,0.448M,-3.173M,,130.34M,105.58M,0.448M,3.621M,-3.173M,,-3.173M,102.41M,17.49M,84.92M,,,84.92M,15.30M,106.03M,,2010-06,0.92,,0.92,0.92,,2010-06,,,0.90,2010-06,92.61M,94.28M,0.00,,2010-06,AOR,Restated
2010-03,367.70M,367.70M,145.93M,221.77M,106.69M,20.08M,2.642M,,2.614M,0.329M,-2.285M,,129.41M,92.36M,0.329M,2.614M,-2.285M,,-2.285M,90.07M,14.55M,75.52M,,,75.52M,14.98M,92.69M,,2010-03,0.81,,0.81,0.81,,2010-03,,,0.79,2010-03,93.63M,95.22M,0.00,,2010-03,AOR,Restated
2009-12,428.85M,428.85M,170.13M,258.72M,109.99M,19.79M,2.637M,,2.343M,0.748M,-1.595M,,132.41M,126.30M,0.748M,2.343M,-1.595M,,-1.595M,124.71M,20.59M,104.12M,,,104.12M,14.70M,127.05M,,2009-12,1.09,,1.09,1.09,,2009-12,,,1.08,2009-12,94.54M,96.37M,0.00,,2009-12,AOR,Restated
2009-09,373.96M,373.96M,153.14M,220.82M,102.68M,19.31M,2.723M,,2.864M,0.785M,-2.079M,,124.71M,96.11M,0.785M,2.864M,-2.079M,,-2.079M,94.03M,18.10M,75.94M,,,75.94M,13.66M,96.90M,,2009-09,0.80,,0.80,0.80,,2009-09,,,0.79,2009-09,95.24M,96.51M,0.00,,2009-09,AOR,Restated
2009-06,362.84M,362.84M,144.15M,218.68M,109.58M,19.72M,2.683M,,2.649M,0.595M,-2.054M,,131.99M,86.70M,0.595M,2.649M,-2.054M,,-2.054M,84.64M,14.73M,69.91M,,,69.91M,14.50M,87.29M,,2009-06,0.73,,0.73,0.73,,2009-06,,,0.72,2009-06,96.15M,97.00M,0.00,,2009-06,AOR,Restated
2009-03,333.05M,333.05M,127.45M,205.60M,99.16M,18.33M,2.616M,,3.13M,0.908M,-2.222M,,120.11M,85.49M,0.908M,3.13M,-2.222M,,-2.222M,83.27M,9.922M,73.35M,,,73.35M,14.41M,86.40M,,2009-03,0.75,,0.75,0.75,,2009-03,,,0.75,2009-03,97.30M,97.93M,0.00,,2009-03,AOR,Restated
2008-12,418.33M,418.33M,172.06M,246.27M,107.99M,19.63M,2.317M,,,,,,129.94M,116.33M,,,,,,112.41M,13.06M,99.35M,,,99.35M,12.81M,137.29M,,2008-12,1.01,,1.01,1.01,,2008-12,,,1.00,2008-12,97.96M,98.77M,0.00,,2008-12,,Restated
2008-09,386.31M,386.31M,158.52M,227.79M,107.46M,19.95M,2.349M,,,,,,129.76M,98.03M,,,,,,93.49M,21.99M,71.50M,,,71.50M,13.68M,98.03M,,2008-09,0.72,,0.72,0.72,,2008-09,,,0.71,2008-09,98.89M,100.57M,0.00,,2008-09,,
2008-06,398.77M,398.77M,175.23M,223.54M,111.94M,22.23M,2.352M,,,,,,136.52M,87.02M,,,,,,82.17M,-0.979M,83.15M,,,83.15M,25.04M,87.02M,,2008-06,0.83,,0.83,0.83,,2008-06,,,0.82,2008-06,99.59M,101.04M,0.00,,2008-06,,
2008-03,371.71M,371.71M,155.45M,216.26M,105.84M,19.79M,2.272M,,,,,,127.90M,88.37M,,,,,,84.12M,15.65M,68.48M,,,68.48M,13.75M,88.37M,,2008-03,0.68,,0.68,0.68,,2008-03,,,0.67,2008-03,100.40M,101.98M,0.00,,2008-03,,
2007-12,437.00M,437.00M,181.99M,255.01M,102.00M,20.84M,2.261M,,,,,,125.10M,129.92M,,,,,,124.18M,25.24M,98.94M,,,98.94M,13.63M,129.92M,,2007-12,0.99,,0.99,0.99,,2007-12,,,0.97,2007-12,100.63M,102.96M,0.00,,2007-12,,
2007-09,352.64M,352.64M,153.68M,198.96M,105.58M,21.97M,2.176M,,,,,,129.73M,69.23M,,,,,,62.51M,9.227M,53.28M,,,53.28M,13.68M,69.23M,,2007-09,0.53,,0.53,0.53,,2007-09,,,0.52,2007-09,99.82M,101.71M,0.00,,2007-09,,
2007-06,352.63M,352.63M,152.22M,200.41M,102.22M,19.12M,2.133M,,,,,,123.47M,76.94M,,,,,,70.54M,10.64M,59.91M,,,59.91M,13.10M,76.94M,,2007-06,0.60,,0.60,0.60,,2007-06,,,0.59,2007-06,100.33M,102.13M,0.00,,2007-06,,
2007-03,330.78M,330.78M,143.23M,187.54M,93.91M,18.72M,2.125M,,,,,,114.75M,72.79M,,,,,,65.96M,10.02M,55.94M,,,55.94M,12.90M,72.79M,,2007-03,0.55,,0.55,0.55,,2007-03,,,0.54,2007-03,101.42M,103.20M,0.00,,2007-03,,
2006-12,386.93M,386.93M,162.39M,224.54M,95.76M,19.47M,1.459M,-6.661M,,,,,116.69M,107.85M,,,,-6.661M,,93.94M,14.06M,79.89M,,,79.89M,10.81M,107.85M,,2006-12,0.78,,0.8359,0.78,,2006-12,,,0.8249,2006-12,101.36M,103.25M,0.00,,2006-12,,
2006-09,301.18M,301.18M,127.17M,174.02M,87.40M,19.14M,1.403M,-0.344M,,,,,107.94M,66.08M,,,,-0.344M,,59.04M,8.669M,50.38M,,,50.38M,12.78M,66.08M,,2006-09,0.49,,0.4929,0.49,,2006-09,,,0.4928,2006-09,101.84M,103.07M,0.00,,2006-09,,
2006-06,301.90M,301.90M,126.00M,175.90M,88.97M,19.66M,1.383M,-2.974M,,,,,110.01M,65.89M,,,,-2.974M,,56.64M,8.863M,47.78M,,,47.78M,11.67M,65.89M,,2006-06,0.46,,0.4844,0.46,,2006-06,,,0.4840,2006-06,103.01M,104.34M,0.00,,2006-06,,
2006-03,290.22M,290.22M,120.63M,169.59M,85.54M,19.04M,1.194M,-4.352M,,,,,105.78M,63.82M,,,,-4.352M,,53.33M,9.172M,44.16M,,,44.16M,10.90M,63.82M,,2006-03,0.42,,0.4545,0.42,,2006-03,,,0.4540,2006-03,104.58M,105.90M,0.00,,2006-03,,
2005-12,332.27M,332.27M,133.98M,198.29M,81.59M,16.69M,1.216M,,,,,,102.62M,95.67M,,,,,,89.14M,13.55M,75.60M,,,75.60M,10.56M,95.67M,,2005-12,0.68,,0.68,0.68,,2005-12,,,0.67,2005-12,108.32M,109.95M,0.00,,2005-12,,
2005-09,273.03M,273.03M,115.51M,157.52M,76.64M,16.98M,1.241M,,,,,,94.87M,62.66M,,,,,,60.69M,34.97M,25.72M,,,25.72M,10.96M,62.66M,,2005-09,0.23,,0.23,0.23,,2005-09,,,0.22,2005-09,112.98M,114.94M,0.00,,2005-09,,
2005-06,284.63M,284.63M,117.07M,167.56M,82.86M,16.48M,1.266M,,,,,,100.61M,66.95M,,,,,,66.49M,12.42M,54.06M,,,54.06M,11.10M,66.95M,,2005-06,0.47,,0.47,0.47,,2005-06,,,0.46,2005-06,116.09M,117.72M,0.00,,2005-06,,
