,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,5.028B,235.50M,5.264B,888.00M,149.30M,1.370B,962.60M,508.90M,,1.472B,252.50M,,,8.358B,0.00,46.20M,597.40M,1.275B,11.82B,335.80M,8.232B,22.31B,-7.930B,14.38B,3.707B,506.40M,4.213B,686.90M,1.792B,541.10M,21.61B,29.97B,,1.051B,529.70M,306.60M,,1.887B,1.394B,3.281B,221.20M,1.243B,1.243B,1.268B,2.510B,1.871B,1.871B,,7.884B,,14.67B,7.754B,22.43B,,6.598B,6.598B,,5.70M,962.80M,29.99B,37.87B,,1.20M,-8.254B,488.60M,,,,-145.90M,-7.910B,,AOR,
2020-09,4.351B,281.20M,4.632B,883.40M,155.10M,1.395B,1.034B,517.40M,,1.551B,227.50M,,,7.806B,0.00,46.00M,586.80M,1.286B,11.73B,377.30M,8.263B,22.29B,-7.914B,14.38B,3.597B,552.10M,4.149B,684.80M,1.790B,568.60M,21.57B,29.37B,,997.90M,0.00,260.90M,,1.259B,1.450B,2.709B,243.90M,1.689B,1.689B,1.249B,2.938B,1.456B,1.456B,,7.347B,,14.66B,7.662B,22.32B,,6.598B,6.598B,,5.70M,907.30M,29.83B,37.17B,,1.20M,-7.816B,373.90M,,,,-364.60M,-7.805B,,AOR,
2020-06,3.966B,229.90M,4.196B,881.10M,214.00M,1.525B,1.101B,483.10M,,1.584B,276.50M,,,7.581B,0.00,46.80M,582.90M,1.771B,11.77B,398.90M,8.210B,22.78B,-8.269B,14.51B,3.510B,599.60M,4.110B,649.50M,1.74B,550.80M,21.56B,29.14B,,860.80M,479.20M,206.90M,,1.547B,1.330B,2.877B,238.20M,2.186B,2.186B,1.237B,3.423B,1.463B,1.463B,,8.002B,,14.65B,7.654B,22.30B,,6.643B,6.643B,,-2.70M,821.10M,29.76B,37.76B,,1.20M,-8.208B,115.40M,,,,-529.90M,-8.622B,,AOR,
2020-03,2.572B,52.90M,2.625B,941.00M,,1.332B,949.40M,542.80M,,1.492B,300.70M,,,5.750B,0.00,46.80M,575.90M,1.881B,11.78B,384.10M,8.169B,22.84B,-8.194B,14.65B,3.493B,678.70M,4.172B,619.70M,1.710B,580.10M,21.73B,27.48B,,997.70M,478.90M,220.40M,,1.697B,1.289B,2.986B,233.80M,2.356B,2.356B,1.254B,3.61B,1.436B,1.436B,,8.266B,,11.66B,7.650B,19.31B,,6.686B,6.686B,,-2.80M,751.40M,26.75B,35.01B,,1.20M,-7.051B,41.10M,,,,-521.80M,-7.530B,,AOR,
2019-12,3.040B,68.40M,3.109B,908.10M,,1.049B,885.90M,522.80M,,1.409B,333.00M,,,5.900B,0.00,46.80M,569.70M,1.819B,11.87B,360.30M,8.122B,22.78B,-8.033B,14.75B,3.516B,739.10M,4.255B,611.10M,1.731B,484.70M,21.83B,27.73B,,1.086B,482.40M,1.592B,,3.160B,1.338B,4.498B,218.00M,996.60M,996.60M,1.269B,2.266B,1.694B,1.694B,,8.676B,,10.65B,7.712B,18.36B,,6.749B,6.749B,,0.80M,701.20M,25.81B,34.49B,,1.20M,-6.415B,41.10M,,,,-387.40M,-6.760B,,AOR,Restated
2019-09,2.687B,70.50M,2.757B,879.20M,,1.020B,964.90M,564.50M,,1.529B,347.10M,,,5.654B,0.00,46.80M,691.50M,1.799B,3.429B,358.50M,7.949B,14.27B,-7.842B,6.432B,3.491B,781.80M,4.273B,616.00M,1.766B,479.60M,13.57B,19.22B,,1.190B,485.70M,1.468B,,3.144B,1.545B,4.689B,210.50M,,,0.00,0.00,1.269B,1.269B,,6.169B,,11.17B,0.00,11.17B,,6.744B,6.744B,,1.20M,1.370B,19.28B,25.45B,,1.20M,-5.771B,41.10M,,,,-503.30M,-6.232B,,AOR,Restated
2019-06,4.763B,72.10M,4.835B,790.60M,,898.10M,988.60M,528.60M,,1.517B,484.10M,,,7.735B,0.00,46.80M,679.60M,1.786B,3.297B,342.60M,7.703B,13.86B,-7.667B,6.188B,3.565B,853.20M,4.418B,562.90M,1.533B,458.00M,13.16B,20.89B,,1.145B,434.30M,1.265B,,2.845B,902.40M,3.747B,211.50M,,,,,1.300B,1.300B,,5.896B,,11.16B,,11.16B,,6.718B,6.718B,,1.60M,1.441B,19.32B,25.21B,,1.20M,-4.014B,41.10M,,,,-349.00M,-4.321B,,AOR,Restated
2019-03,2.055B,76.60M,2.132B,703.60M,,900.00M,924.00M,519.00M,,1.443B,477.60M,,,4.952B,0.00,46.80M,617.40M,1.711B,3.201B,482.80M,7.608B,13.67B,-7.532B,6.136B,3.604B,918.30M,4.522B,561.20M,1.007B,464.50M,12.69B,17.64B,,1.097B,435.60M,785.20M,,2.318B,807.80M,3.125B,221.00M,75.00M,75.00M,,75.00M,1.311B,1.311B,,5.273B,,9.142B,,9.142B,,6.762B,6.762B,,1.70M,1.500B,17.40B,22.68B,,1.20M,-4.808B,41.10M,,,,-271.50M,-5.037B,,AOR,Restated
2018-12,4.762B,230.20M,4.992B,721.40M,,843.20M,827.30M,527.30M,,1.355B,486.70M,,,7.676B,0.00,46.80M,568.00M,1.684B,3.139B,465.50M,7.566B,13.47B,-7.430B,6.039B,3.560B,981.60M,4.542B,601.10M,650.00M,472.70M,12.30B,19.98B,,1.100B,447.60M,773.70M,,2.322B,784.00M,3.106B,208.80M,,,,,1.554B,1.554B,,5.428B,,9.131B,,9.131B,,6.824B,6.824B,,6.10M,1.478B,17.43B,22.86B,,1.20M,-2.584B,41.10M,,,,-343.20M,-2.885B,,AOR,Restated
2018-09,8.756B,181.50M,8.938B,693.10M,,1.648B,846.20M,554.30M,,1.400B,507.40M,,,12.49B,0.00,46.80M,557.30M,1.659B,3.059B,501.90M,7.373B,13.20B,-7.268B,5.929B,3.542B,1.042B,4.584B,602.40M,134.70M,412.20M,11.66B,24.16B,,1.179B,445.40M,286.60M,,1.911B,1.566B,3.478B,213.70M,349.90M,349.90M,,349.90M,1.643B,1.643B,,5.684B,,9.090B,,9.090B,,6.776B,6.776B,,6.30M,1.430B,17.30B,22.98B,,1.30M,1.457B,41.10M,,,,-330.30M,1.170B,,AOR,Restated
2018-06,1.892B,84.50M,1.977B,854.80M,,1.811B,871.70M,515.70M,,1.387B,408.30M,,,5.583B,0.00,46.80M,549.70M,1.635B,2.944B,521.80M,7.104B,12.80B,-7.111B,5.690B,3.648B,1.123B,4.770B,584.80M,149.10M,404.70M,11.60B,17.18B,,921.10M,491.90M,280.10M,,1.693B,911.50M,2.605B,215.40M,649.80M,649.80M,,649.80M,1.445B,1.445B,,5.552B,,6.149B,,6.149B,362.60M,,362.60M,,6.00M,1.122B,7.634B,13.19B,,1.40M,4.151B,41.10M,,,,-202.70M,3.991B,,AOR,Restated
2018-03,2.142B,100.50M,2.242B,869.60M,,869.60M,865.50M,510.40M,,1.376B,1.169B,,,5.657B,0.00,46.80M,502.30M,1.604B,2.908B,490.40M,6.989B,12.54B,-6.965B,5.577B,3.794B,1.228B,5.022B,590.70M,165.30M,541.80M,11.90B,17.55B,,869.70M,414.70M,330.10M,,1.614B,957.10M,2.572B,222.00M,349.70M,349.70M,,349.70M,1.484B,1.484B,,5.187B,,6.185B,,6.185B,,,,,6.50M,1.464B,7.649B,12.84B,,1.40M,4.636B,41.10M,,,,32.90M,4.711B,,AOR,Restated
2017-12,3.661B,106.60M,3.768B,851.80M,177.10M,1.467B,768.70M,544.50M,,1.313B,335.00M,,,6.884B,0.00,46.90M,487.20M,1.599B,2.856B,395.80M,6.844B,12.23B,-6.851B,5.379B,3.675B,1.246B,4.921B,651.10M,157.90M,526.30M,11.64B,18.52B,,852.10M,422.30M,421.50M,1.431B,3.127B,951.10M,4.078B,210.00M,349.90M,349.90M,,349.90M,1.668B,1.668B,,6.841B,,4.566B,,4.566B,,,,,6.80M,1.352B,5.918B,12.76B,,1.40M,5.835B,41.10M,,,,-125.30M,5.752B,,AOR,Restated
