,Cash,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,,1.577B,1.577B,1.791B,,1.791B,,,,,164.00M,,,3.54B,,,,,2.547B,,2.547B,,2.547B,9.035B,8.554B,17.59B,517.00M,154.00M,202.00M,599.00M,21.61B,25.15B,,486.00M,486.00M,2.48B,2.966B,1.316B,1.316B,,,1.724B,6.006B,9.679B,817.00M,10.50B,146.00M,1.615B,1.761B,,,6.656B,18.91B,24.92B,,5.00M,9.37B,5.798B,14.50B,-446.00M,229.00M,,AOR,
2020-06,,2.283B,2.283B,1.621B,,1.621B,,,,,201.00M,,,4.113B,,,,,2.577B,,2.577B,,2.577B,8.962B,8.512B,17.47B,534.00M,148.00M,184.00M,650.00M,21.57B,25.68B,,555.00M,555.00M,2.418B,2.973B,1.665B,1.665B,,,1.48B,6.118B,10.13B,830.00M,10.96B,121.00M,1.665B,1.786B,,,6.892B,19.64B,25.76B,,5.00M,9.27B,5.753B,14.50B,-608.00M,-79.00M,,AOR,
2020-03,,1.76B,1.76B,2.068B,,2.068B,,,,,213.00M,,,4.049B,,,,,2.636B,,2.636B,,2.636B,8.901B,8.486B,17.39B,562.00M,144.00M,155.00M,616.00M,21.50B,25.55B,,828.00M,828.00M,2.474B,3.302B,1.664B,1.664B,,,1.55B,6.516B,10.57B,846.00M,11.42B,212.00M,862.00M,1.074B,,,6.564B,19.05B,25.57B,,5.00M,9.504B,5.711B,14.50B,-739.00M,-20.00M,,AOR,
2019-12,225.00M,225.00M,225.00M,2.395B,,2.395B,,,,,252.00M,,,3.127B,0.00,684.00M,1.10B,1.225B,888.00M,196.00M,4.093B,-1.301B,2.792B,9.048B,8.641B,17.69B,577.00M,117.00M,154.00M,595.00M,21.92B,25.05B,,720.00M,720.00M,2.722B,3.442B,977.00M,977.00M,,,2.258B,6.677B,9.963B,882.00M,10.84B,290.00M,840.00M,1.13B,,,5.696B,17.67B,24.35B,,5.00M,9.644B,5.80B,14.38B,-361.00M,703.00M,,AOR,
2019-09,,276.00M,276.00M,2.394B,,2.394B,,,,,230.00M,,,2.90B,,,,,2.915B,,2.915B,,2.915B,8.99B,8.55B,17.54B,580.00M,109.00M,169.00M,599.00M,21.91B,24.81B,,813.00M,813.00M,2.513B,3.326B,227.00M,227.00M,,,2.185B,5.738B,10.55B,868.00M,11.42B,291.00M,799.00M,1.09B,,,5.726B,18.24B,23.97B,,5.00M,9.522B,5.773B,13.96B,-504.00M,838.00M,,AOR,Restated
2019-06,,284.00M,284.00M,2.328B,,2.328B,,,,,257.00M,,,2.869B,,,,,2.922B,,2.922B,,2.922B,9.067B,8.614B,17.68B,580.00M,97.00M,171.00M,573.00M,22.02B,24.89B,,927.00M,927.00M,2.311B,3.238B,229.00M,229.00M,,,2.157B,5.624B,10.18B,893.00M,11.08B,359.00M,768.00M,1.127B,,,5.824B,18.03B,23.65B,,5.00M,9.292B,5.729B,13.46B,-326.00M,1.24B,,AOR,Restated
2019-03,,258.00M,258.00M,2.218B,,2.218B,,,,,259.00M,,,2.735B,,,,,2.94B,,2.94B,,2.94B,9.053B,8.602B,17.66B,584.00M,124.00M,171.00M,537.00M,22.01B,24.75B,,745.00M,745.00M,2.247B,2.992B,231.00M,231.00M,,,2.625B,5.848B,10.02B,889.00M,10.91B,441.00M,743.00M,1.184B,,,5.197B,17.30B,23.14B,,5.00M,9.219B,5.706B,12.97B,-360.00M,1.603B,,AOR,Restated
2018-12,,316.00M,316.00M,2.133B,,2.133B,,,,,249.00M,,,2.706B,0.00,591.00M,1.275B,1.439B,,168.00M,3.473B,-1.517B,1.956B,9.039B,8.38B,17.42B,732.00M,125.00M,171.00M,587.00M,20.99B,23.70B,,767.00M,767.00M,2.308B,3.075B,833.00M,833.00M,,,2.529B,6.437B,8.514B,0.00,8.514B,485.00M,731.00M,1.216B,,,5.304B,15.03B,21.47B,,5.00M,8.982B,5.814B,12.18B,-391.00M,2.225B,,AOR,Restated
2018-09,,373.00M,373.00M,2.175B,,2.175B,,,,,242.00M,,,2.803B,,,,,,,,,1.967B,9.067B,8.403B,17.47B,689.00M,122.00M,171.00M,611.00M,21.03B,23.83B,,759.00M,759.00M,2.37B,3.129B,617.00M,617.00M,,,2.305B,6.051B,8.71B,,8.71B,551.00M,632.00M,1.183B,,,5.565B,15.46B,21.51B,,5.00M,8.705B,5.773B,11.85B,-309.00M,2.324B,,AOR,Restated
2018-06,,366.00M,366.00M,2.174B,,2.174B,,,,,264.00M,,,2.817B,,,,,,,,,1.958B,9.103B,8.44B,17.54B,638.00M,121.00M,171.00M,596.00M,21.03B,23.84B,,834.00M,834.00M,2.277B,3.111B,616.00M,616.00M,,,2.177B,5.904B,8.375B,,8.375B,567.00M,645.00M,1.212B,,,5.512B,15.10B,21.00B,,5.00M,8.363B,5.728B,11.01B,-244.00M,2.841B,,AOR,Restated
2018-03,,701.00M,701.00M,2.098B,,2.098B,,,,,232.00M,,,3.152B,,,,,,,,,1.791B,9.27B,8.594B,17.86B,754.00M,147.00M,172.00M,604.00M,21.33B,24.48B,,766.00M,766.00M,2.477B,3.243B,988.00M,988.00M,,,2.238B,6.469B,7.858B,,7.858B,634.00M,645.00M,1.279B,,,5.312B,14.45B,20.92B,,5.00M,7.898B,5.685B,10.16B,141.00M,3.566B,,AOR,Restated
2017-12,,383.00M,383.00M,1.973B,,1.973B,,,,,235.00M,,,2.74B,0.00,601.00M,1.052B,1.121B,,116.00M,2.89B,-1.097B,1.793B,9.207B,8.544B,17.75B,734.00M,142.00M,93.00M,593.00M,21.11B,23.85B,,783.00M,783.00M,2.505B,3.288B,398.00M,398.00M,,,2.121B,5.807B,7.84B,,7.84B,605.00M,583.00M,1.188B,,,5.429B,14.46B,20.26B,,5.00M,7.242B,5.77B,9.418B,-17.00M,3.582B,,AOR,Restated
2017-09,,508.00M,508.00M,1.914B,,1.914B,,,,,225.00M,,,2.944B,,,,,,,,,1.894B,9.182B,8.758B,17.94B,720.00M,228.00M,110.00M,400.00M,21.29B,24.24B,,733.00M,733.00M,2.518B,3.251B,398.00M,398.00M,,,1.959B,5.608B,8.271B,,8.271B,927.00M,,927.00M,,,4.918B,14.12B,19.72B,,5.00M,7.31B,5.744B,8.498B,-49.00M,4.512B,,AOR,Restated
2017-06,,498.00M,498.00M,1.804B,,1.804B,,,,,243.00M,,,2.83B,,,,,,,,,2.102B,8.582B,8.769B,17.35B,762.00M,275.00M,119.00M,442.00M,21.05B,23.88B,,650.00M,650.00M,2.363B,3.013B,402.00M,402.00M,,,1.948B,5.363B,7.911B,,7.911B,994.00M,,994.00M,,,4.712B,13.62B,18.98B,,5.00M,7.04B,5.712B,7.70B,-156.00M,4.901B,,AOR,Restated
2017-03,,738.00M,738.00M,1.752B,,1.752B,,,,,231.00M,,,3.121B,,,,,,,,,2.109B,7.802B,9.323B,17.12B,745.00M,267.00M,119.00M,439.00M,20.80B,23.92B,,661.00M,661.00M,2.305B,2.966B,309.00M,309.00M,,,1.948B,5.223B,8.161B,,8.161B,891.00M,,891.00M,,,4.482B,13.53B,18.76B,,5.00M,6.75B,5.711B,6.986B,-312.00M,5.168B,,AOR,Restated
2016-12,,858.00M,858.00M,1.695B,,1.695B,,,,,230.00M,,,3.371B,0.00,654.00M,1.352B,1.159B,,155.00M,3.32B,-985.00M,2.335B,7.598B,9.27B,16.87B,728.00M,245.00M,116.00M,477.00M,20.77B,24.14B,,687.00M,687.00M,2.285B,2.972B,309.00M,309.00M,,,1.866B,5.147B,8.197B,,8.197B,1.02B,,1.02B,,,4.419B,13.64B,18.78B,,5.00M,6.501B,5.808B,6.46B,-497.00M,5.357B,,AOR,Restated
2016-09,,1.078B,1.078B,1.705B,,1.705B,,,,,168.00M,,65.00M,3.787B,,,,,,,,,2.411B,7.175B,10.05B,17.22B,830.00M,240.00M,92.00M,419.00M,21.22B,25.00B,,667.00M,667.00M,2.386B,3.053B,316.00M,316.00M,,,1.86B,5.229B,8.506B,,8.506B,1.308B,,1.308B,,,4.118B,13.93B,19.16B,,5.00M,6.375B,5.74B,6.11B,-169.00M,5.841B,,AOR,Restated
2016-06,,679.00M,679.00M,1.152B,,1.152B,,,,,71.00M,,26.00M,1.959B,,,,,,,,,1.056B,947.00M,1.473B,2.42B,179.00M,227.00M,586.00M,223.00M,4.691B,6.65B,,621.00M,621.00M,1.328B,1.949B,303.00M,303.00M,,,992.00M,3.244B,4.057B,,4.057B,,,,,,2.811B,6.868B,10.11B,,5.00M,5.185B,2.787B,11.27B,-173.00M,-3.462B,,AOR,Restated
2016-03,,99.00M,99.00M,1.143B,,1.143B,,,,,79.00M,,25.00M,1.424B,,,,,,,,,1.042B,946.00M,1.468B,2.414B,169.00M,218.00M,620.00M,234.00M,4.697B,6.121B,,597.00M,597.00M,1.337B,1.934B,300.00M,300.00M,,,1.013B,3.247B,3.859B,,3.859B,,,,,,2.682B,6.541B,9.788B,,5.00M,5.025B,2.751B,11.27B,-177.00M,-3.667B,,AOR,Restated
2015-12,,96.00M,96.00M,1.103B,,1.103B,,,,,77.00M,,30.00M,1.384B,0.00,299.00M,729.00M,768.00M,,130.00M,1.926B,-897.00M,1.029B,943.00M,1.451B,2.394B,165.00M,215.00M,672.00M,223.00M,4.698B,6.082B,,593.00M,593.00M,1.388B,1.981B,300.00M,300.00M,,,952.00M,3.233B,3.807B,,3.807B,16.00M,,16.00M,,,2.616B,6.439B,9.672B,,5.00M,4.878B,2.821B,11.10B,-196.00M,-3.59B,,AOR,Restated
2015-09,,95.00M,95.00M,1.144B,,1.144B,,,,,58.00M,257.00M,30.00M,1.723B,0.00,299.00M,692.00M,777.00M,,113.00M,1.881B,-896.00M,985.00M,970.00M,1.45B,2.42B,174.00M,154.00M,450.00M,247.00M,4.43B,6.153B,,577.00M,577.00M,1.387B,1.964B,615.00M,615.00M,,,930.00M,3.509B,3.689B,,3.689B,,,,,,2.544B,6.233B,9.742B,,5.00M,4.74B,2.791B,11.00B,-120.00M,-3.589B,,AOR,Restated
2015-06,,140.00M,140.00M,1.188B,,1.188B,,,,,68.00M,309.00M,56.00M,1.906B,0.00,301.00M,677.00M,806.00M,,112.00M,1.896B,-909.00M,987.00M,962.00M,1.452B,2.414B,216.00M,154.00M,397.00M,247.00M,4.415B,6.321B,,640.00M,640.00M,1.43B,2.07B,614.00M,614.00M,,,833.00M,3.517B,3.303B,,3.303B,,,,,,2.534B,5.837B,9.354B,,5.00M,4.573B,2.781B,10.30B,-88.00M,-3.033B,,AOR,Restated
2015-03,,120.00M,120.00M,1.172B,,1.172B,,,,,64.00M,311.00M,116.00M,1.828B,,,,,,,,,1.446B,894.00M,1.395B,2.289B,217.00M,154.00M,469.00M,400.00M,4.975B,6.803B,,604.00M,604.00M,1.426B,2.03B,325.00M,325.00M,,,675.00M,3.03B,3.703B,,3.703B,,,,,,2.607B,6.31B,9.34B,,5.00M,4.401B,2.74B,9.593B,-90.00M,-2.537B,,AOR,Restated
