,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,513.00M,2.254B,1.817B,437.00M,131.00M,131.00M,,1.00M,113.00M,6.00M,-107.00M,,184.00M,253.00M,6.00M,113.00M,-107.00M,-19.00M,-107.00M,127.00M,27.00M,100.00M,,,,100.00M,99.22M,341.00M,101.00M,240.00M,,0.31,,,0.3076,0.31,,0.31,,,0.3076,0.31,,325.90M,326.80M,0.00,,AOR,
2020-06,283.00M,1.464B,1.362B,102.00M,178.00M,178.00M,,-1.00M,127.00M,8.00M,-119.00M,,250.00M,-148.00M,8.00M,127.00M,-119.00M,-31.00M,-119.00M,-298.00M,-64.00M,-234.00M,,,,-234.00M,-233.22M,-78.00M,93.00M,-171.00M,,-0.72,,,-0.7176,-0.72,,-0.72,,,-0.7176,-0.72,,325.60M,325.60M,0.00,,AOR,
2020-03,909.00M,4.681B,4.149B,532.00M,270.00M,270.00M,,-2.00M,93.00M,6.00M,-87.00M,,420.00M,112.00M,6.00M,93.00M,-87.00M,-6.00M,-87.00M,19.00M,-12.00M,31.00M,,,,31.00M,32.46M,287.00M,175.00M,112.00M,,0.10,,,0.1045,0.10,,0.09,,,0.0945,0.09,,325.40M,327.40M,0.48,,AOR,
2019-12,1.40B,5.371B,4.704B,667.00M,267.00M,267.00M,,191.00M,95.00M,6.00M,-89.00M,,446.00M,221.00M,6.00M,95.00M,-89.00M,194.00M,-89.00M,326.00M,47.00M,279.00M,,,,279.00M,115.54M,617.00M,196.00M,421.00M,,0.85,,,0.3510,0.85,,0.85,,,0.3553,0.85,,327.60M,330.40M,0.48,,AOR,
2019-09,1.348B,5.284B,4.396B,888.00M,220.00M,220.00M,,1.00M,100.00M,8.00M,-92.00M,,272.00M,616.00M,8.00M,100.00M,-92.00M,3.00M,-92.00M,527.00M,140.00M,387.00M,,,,387.00M,386.26M,695.00M,68.00M,627.00M,,1.17,,,1.168,1.17,,1.16,,,1.158,1.16,,329.90M,332.50M,0.48,,AOR,Restated
2019-06,1.417B,5.305B,4.438B,867.00M,229.00M,229.00M,,-172.00M,102.00M,6.00M,-96.00M,,285.00M,582.00M,6.00M,102.00M,-96.00M,-172.00M,-96.00M,314.00M,82.00M,232.00M,,,,232.00M,358.94M,487.00M,71.00M,416.00M,,0.70,,,1.080,0.70,,0.69,,,1.067,0.69,,333.80M,336.40M,0.48,,AOR,Restated
2019-03,1.27B,5.012B,4.217B,795.00M,222.00M,222.00M,,-4.00M,97.00M,6.00M,-91.00M,,276.00M,519.00M,6.00M,97.00M,-91.00M,4.00M,-91.00M,432.00M,57.00M,375.00M,,,,375.00M,378.47M,597.00M,68.00M,529.00M,,1.10,,,1.110,1.10,,1.09,,,1.100,1.09,,339.60M,342.80M,0.41,,AOR,Restated
2018-12,1.319B,5.289B,4.472B,817.00M,242.00M,242.00M,,-88.00M,94.00M,6.00M,-88.00M,,304.00M,513.00M,6.00M,94.00M,-88.00M,-80.00M,-88.00M,345.00M,28.00M,317.00M,,,,317.00M,397.86M,515.00M,76.00M,439.00M,,0.93,,,1.166,0.93,,0.92,,,1.154,0.92,,342.00M,345.50M,0.41,,AOR,Restated
2018-09,1.329B,5.051B,4.17B,881.00M,221.00M,221.00M,,6.00M,86.00M,5.00M,-81.00M,,273.00M,608.00M,5.00M,86.00M,-81.00M,67.00M,-81.00M,594.00M,91.00M,503.00M,,,,503.00M,497.92M,745.00M,65.00M,680.00M,,1.45,,,1.435,1.45,,1.43,,,1.416,1.43,,346.70M,350.60M,0.41,,AOR,Restated
2018-06,1.374B,5.409B,4.298B,1.111B,217.00M,217.00M,,96.00M,85.00M,6.00M,-79.00M,,275.00M,836.00M,6.00M,85.00M,-79.00M,117.00M,-79.00M,874.00M,207.00M,667.00M,,,,667.00M,593.66M,1.029B,70.00M,959.00M,,1.89,,,1.682,1.89,,1.87,,,1.665,1.87,,353.40M,357.30M,0.41,,AOR,Restated
2018-03,1.251B,5.009B,4.144B,865.00M,247.00M,247.00M,,25.00M,75.00M,5.00M,-70.00M,,301.00M,564.00M,5.00M,75.00M,-70.00M,38.00M,-70.00M,532.00M,112.00M,420.00M,,,,420.00M,400.28M,680.00M,73.00M,607.00M,,1.17,,,1.115,1.17,,1.16,,,1.106,1.16,,358.40M,363.30M,0.33,,AOR,Restated
2017-12,1.305B,5.251B,4.445B,806.00M,270.00M,270.00M,,598.00M,72.00M,14.00M,-58.00M,,323.00M,483.00M,14.00M,72.00M,-58.00M,609.00M,-58.00M,1.034B,920.00M,114.00M,,,,114.00M,-244.80M,1.175B,69.00M,1.106B,,0.31,,,-0.6722,0.31,,0.31,,,-0.6597,0.31,,365.30M,370.00M,0.33,,AOR,Restated
2017-09,1.259B,5.078B,4.001B,1.077B,205.00M,205.00M,,-22.00M,73.00M,9.00M,-64.00M,,259.00M,818.00M,9.00M,73.00M,-64.00M,-16.00M,-64.00M,738.00M,253.00M,485.00M,,,,485.00M,499.45M,876.00M,65.00M,811.00M,,1.30,,,1.339,1.30,,1.29,,,1.328,1.29,,372.30M,376.60M,0.33,,AOR,Restated
2017-06,1.296B,5.211B,4.141B,1.07B,234.00M,234.00M,,4.00M,73.00M,8.00M,-65.00M,,305.00M,765.00M,8.00M,73.00M,-65.00M,16.00M,-65.00M,716.00M,227.00M,489.00M,,,,489.00M,486.27M,872.00M,83.00M,789.00M,,1.29,,,1.283,1.29,,1.28,,,1.273,1.28,,378.50M,383.00M,0.33,,AOR,Restated
2017-03,1.187B,4.912B,4.052B,860.00M,212.00M,212.00M,,-51.00M,70.00M,7.00M,-63.00M,,263.00M,597.00M,7.00M,70.00M,-63.00M,-40.00M,-63.00M,494.00M,123.00M,371.00M,,,,371.00M,409.25M,626.00M,62.00M,564.00M,,0.96,,,1.059,0.96,,0.95,,,1.048,0.95,,384.90M,390.00M,0.30,,AOR,Restated
2016-12,1.236B,3.791B,2.863B,928.00M,273.00M,273.00M,,-134.00M,75.00M,13.00M,-62.00M,,295.00M,633.00M,13.00M,75.00M,-62.00M,-133.00M,-62.00M,438.00M,166.00M,272.00M,,,,272.00M,355.21M,575.00M,62.00M,513.00M,,0.63,,,0.8441,0.63,,0.62,,,0.8341,0.62,,388.70M,388.70M,0.30,,AOR,Restated
2016-09,790.00M,3.942B,3.346B,596.00M,161.00M,161.00M,,-225.00M,55.00M,9.00M,-46.00M,,197.00M,399.00M,9.00M,55.00M,-46.00M,-222.00M,-46.00M,131.00M,61.00M,70.00M,,,,70.00M,205.00M,222.00M,36.00M,186.00M,,0.26,,,0.7671,0.26,,0.26,,,0.7591,0.26,,266.20M,270.50M,0.30,,AOR,Restated
2016-06,760.00M,3.902B,3.315B,587.00M,154.00M,154.00M,,-14.00M,57.00M,7.00M,-50.00M,,184.00M,403.00M,7.00M,57.00M,-50.00M,-9.00M,-50.00M,344.00M,97.00M,247.00M,,,,247.00M,257.04M,431.00M,30.00M,401.00M,,0.97,,,1.009,0.97,,0.96,,,0.9989,0.96,,254.30M,258.00M,0.30,,AOR,Restated
2016-03,727.00M,3.772B,3.211B,561.00M,155.00M,155.00M,,-8.00M,47.00M,6.00M,-41.00M,,186.00M,375.00M,6.00M,47.00M,-41.00M,-8.00M,-41.00M,326.00M,107.00M,219.00M,,,,219.00M,224.38M,404.00M,31.00M,373.00M,,0.86,,,0.8811,0.86,,0.85,,,0.8708,0.85,,254.40M,258.90M,0.25,,AOR,Restated
2015-12,711.00M,3.706B,3.176B,530.00M,188.00M,188.00M,,7.00M,46.00M,10.00M,-36.00M,,220.00M,310.00M,10.00M,46.00M,-36.00M,10.00M,-36.00M,284.00M,82.00M,202.00M,,,,202.00M,197.02M,362.00M,32.00M,330.00M,,0.79,,,0.7706,0.79,,0.77,,,0.7511,0.77,,257.10M,262.90M,0.25,,AOR,Restated
2015-09,694.00M,3.578B,3.059B,519.00M,149.00M,149.00M,,0.00,43.00M,5.00M,-38.00M,,180.00M,339.00M,5.00M,43.00M,-38.00M,8.00M,-38.00M,309.00M,99.00M,210.00M,,,,210.00M,210.00M,383.00M,31.00M,352.00M,,0.80,,,0.80,0.80,,0.78,,,0.78,0.78,,262.20M,267.30M,0.25,,AOR,Restated
