,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData
2020-09,359.00M,19.00M,19.00M,209.00M,209.00M,-22.00M,0.00,33.00M,,27.00M,-101.00M,-44.00M,84.00M,,-54.00M,-115.00M,0.00,510.00M,-156.00M,,,-13.00M,,12.00M,-157.00M,0.00,-1.00M,-1.00M,,0.00,0.00,-125.00M,-125.00M,29.00M,-14.00M,-111.00M,4.094B,242.00M,30.00M,4.366B,,0.00,-1.00M,0.00,
2020-06,247.00M,20.00M,20.00M,202.00M,202.00M,-6.00M,17.00M,35.00M,,14.00M,35.00M,-178.00M,62.00M,,-74.00M,-155.00M,0.00,374.00M,-144.00M,,,-10.00M,,0.00,-154.00M,0.00,-225.00M,-225.00M,,0.00,0.00,-112.00M,-112.00M,85.00M,-9.00M,-261.00M,4.11B,-41.00M,25.00M,4.094B,,0.00,-225.00M,0.00,
2020-03,333.00M,20.00M,20.00M,199.00M,199.00M,-17.00M,,29.00M,,13.00M,-60.00M,-83.00M,-110.00M,,-50.00M,-303.00M,-2.00M,272.00M,-172.00M,,,-443.00M,,11.00M,-604.00M,1.24B,0.00,1.24B,,0.00,0.00,-111.00M,-111.00M,66.00M,-25.00M,1.17B,3.335B,838.00M,-63.00M,4.11B,,1.24B,,0.00,
2019-12,-19.00M,769.00M,769.00M,209.00M,209.00M,-265.00M,0.00,30.00M,,25.00M,-42.00M,92.00M,37.00M,,-7.00M,80.00M,0.00,829.00M,-191.00M,,,-232.00M,,2.00M,-421.00M,222.00M,,222.00M,,-241.00M,-241.00M,-113.00M,-113.00M,22.00M,-6.00M,-116.00M,3.009B,292.00M,34.00M,3.335B,,222.00M,,-241.00M,
2019-09,375.00M,1.00M,1.00M,195.00M,195.00M,18.00M,0.00,35.00M,,46.00M,37.00M,3.00M,50.00M,,-59.00M,31.00M,0.00,701.00M,-167.00M,,,-75.00M,,11.00M,-231.00M,0.00,0.00,0.00,,-309.00M,-309.00M,-112.00M,-112.00M,72.00M,-5.00M,-354.00M,2.934B,116.00M,-41.00M,3.009B,,0.00,0.00,-309.00M,
2019-06,313.00M,4.00M,4.00M,193.00M,193.00M,-57.00M,31.00M,35.00M,,30.00M,-92.00M,-9.00M,36.00M,,-38.00M,-103.00M,0.00,446.00M,-145.00M,,,-2.00M,,0.00,-147.00M,1.661B,-795.00M,866.00M,,-123.00M,-123.00M,-97.00M,-97.00M,89.00M,-5.00M,730.00M,1.902B,1.029B,3.00M,2.934B,,866.00M,0.00,-123.00M,
2019-03,342.00M,3.00M,3.00M,192.00M,192.00M,-6.00M,,22.00M,,14.00M,32.00M,-82.00M,-335.00M,,-48.00M,-433.00M,-6.00M,128.00M,-193.00M,,,-109.00M,,1.00M,-301.00M,0.00,795.00M,795.00M,,-597.00M,-597.00M,-101.00M,-101.00M,173.00M,-32.00M,238.00M,1.838B,65.00M,-1.00M,1.902B,,795.00M,,-597.00M,
2018-12,311.00M,9.00M,9.00M,185.00M,185.00M,28.00M,0.00,28.00M,,27.00M,4.00M,29.00M,92.00M,,-4.00M,121.00M,0.00,709.00M,-206.00M,,,-13.00M,,3.00M,-216.00M,0.00,,0.00,,-1.424B,-1.424B,-102.00M,-102.00M,26.00M,-8.00M,-1.508B,2.863B,-1.015B,-10.00M,1.838B,,0.00,,-1.424B,
2018-09,509.00M,10.00M,10.00M,199.00M,199.00M,-240.00M,0.00,33.00M,,-17.00M,-59.00M,-92.00M,77.00M,,36.00M,-38.00M,0.00,456.00M,-142.00M,,,-27.00M,,8.00M,-161.00M,0.00,,0.00,,-247.00M,-247.00M,-101.00M,-101.00M,62.00M,-1.00M,-287.00M,2.857B,8.00M,-11.00M,2.863B,,0.00,,-247.00M,
2018-06,343.00M,11.00M,11.00M,195.00M,195.00M,-18.00M,0.00,34.00M,,28.00M,-33.00M,-78.00M,-6.00M,,-71.00M,-188.00M,0.00,405.00M,-156.00M,,,-9.00M,,,-165.00M,0.00,,0.00,,-259.00M,-259.00M,-86.00M,-86.00M,88.00M,-6.00M,-263.00M,2.947B,-23.00M,-67.00M,2.857B,,0.00,,-259.00M,
