,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,116.00M,,,0.00,0.00,35.00M,35.00M,-8.00M,,13.00M,,2.00M,-115.00M,29.00M,75.00M,3.00M,,26.00M,18.00M,176.00M,-16.00M,,-16.00M,,-548.00M,6.00M,,-558.00M,346.00M,346.00M,,0.00,0.00,,3.00M,15.00M,364.00M,63.00M,-18.00M,0.00,39.00M,,,365.00M,-19.00M,0.00,39.00M,9.00M
2020-06,100.00M,,,3.00M,3.00M,34.00M,34.00M,8.00M,,13.00M,,-12.00M,61.00M,-69.00M,74.00M,4.00M,,24.00M,94.00M,247.00M,-20.00M,,-20.00M,,0.00,-30.00M,,-50.00M,-181.00M,-181.00M,,0.00,0.00,,-30.00M,76.00M,-135.00M,24.00M,62.00M,0.00,63.00M,,,-133.00M,-48.00M,0.00,31.00M,10.00M
2020-03,89.00M,,,34.00M,34.00M,34.00M,34.00M,-2.00M,,7.00M,,7.00M,92.00M,33.00M,-196.00M,-4.00M,,21.00M,-54.00M,108.00M,-13.00M,,-13.00M,,0.00,-2.00M,,-15.00M,121.00M,121.00M,,-200.00M,-200.00M,,-1.00M,-18.00M,-98.00M,30.00M,-5.00M,-1.00M,24.00M,,,157.00M,-36.00M,-200.00M,30.00M,9.00M
2019-12,169.00M,,,-12.00M,-11.00M,36.00M,36.00M,-42.00M,,12.00M,,4.00M,4.00M,-14.00M,90.00M,0.00,,17.00M,97.00M,265.00M,-17.00M,,-17.00M,,-7.00M,-1.00M,,-25.00M,-244.00M,-244.00M,,-27.00M,-27.00M,,36.00M,-10.00M,-245.00M,33.00M,-5.00M,2.00M,30.00M,,,44.00M,-288.00M,-27.00M,38.00M,14.00M
2019-09,136.00M,,,5.00M,5.00M,44.00M,44.00M,3.00M,,12.00M,,-22.00M,-44.00M,16.00M,54.00M,-20.00M,,17.00M,23.00M,225.00M,-14.00M,,-14.00M,,11.00M,-1.00M,,-4.00M,-193.00M,-193.00M,,-20.00M,-20.00M,,-2.00M,1.00M,-214.00M,27.00M,7.00M,-1.00M,33.00M,,,387.00M,-580.00M,-20.00M,29.00M,16.00M
2019-06,124.00M,,,15.00M,15.00M,48.00M,48.00M,7.00M,,14.00M,,22.00M,-117.00M,26.00M,24.00M,10.00M,,4.00M,-53.00M,153.00M,-15.00M,,-15.00M,,-87.00M,-20.00M,,-122.00M,-21.00M,-21.00M,,0.00,0.00,,-37.00M,-9.00M,-67.00M,61.00M,-36.00M,2.00M,27.00M,,,23.00M,-44.00M,0.00,51.00M,17.00M
2019-03,115.00M,,,8.00M,8.00M,47.00M,47.00M,-10.00M,,10.00M,,2.00M,30.00M,23.00M,-191.00M,-10.00M,,18.00M,-130.00M,42.00M,-15.00M,,-15.00M,,-179.00M,10.00M,,-184.00M,146.00M,146.00M,,0.00,0.00,,3.00M,12.00M,161.00M,44.00M,19.00M,-2.00M,61.00M,,,183.00M,-37.00M,0.00,22.00M,16.00M
2018-12,115.00M,,,6.00M,7.00M,44.00M,44.00M,-15.00M,,11.00M,,4.00M,84.00M,-27.00M,93.00M,-2.00M,,11.00M,159.00M,325.00M,-16.00M,,-16.00M,,0.00,-1.00M,,-17.00M,-311.00M,-311.00M,,0.00,0.00,,,1.00M,-310.00M,45.00M,-2.00M,1.00M,44.00M,,,-52.00M,-259.00M,0.00,30.00M,17.00M
2018-09,127.00M,,,-6.00M,-6.00M,45.00M,45.00M,14.00M,,10.00M,,4.00M,-89.00M,-5.00M,91.00M,-1.00M,,4.00M,0.00,194.00M,-15.00M,,-15.00M,,-72.00M,0.00,,-87.00M,-111.00M,-111.00M,,0.00,0.00,,,2.00M,-109.00M,46.00M,-2.00M,1.00M,45.00M,,,82.00M,-193.00M,0.00,25.00M,21.00M
2018-06,70.00M,,,-6.00M,-6.00M,43.00M,43.00M,5.00M,,14.00M,,10.00M,-33.00M,-17.00M,59.00M,-2.00M,,7.00M,14.00M,150.00M,-15.00M,,-15.00M,,0.00,2.00M,,-13.00M,-140.00M,-140.00M,,,,,,-10.00M,-150.00M,64.00M,-13.00M,-5.00M,46.00M,,,879.00M,-1.019B,,19.00M,26.00M
2018-03,109.00M,,,-12.00M,-12.00M,43.00M,43.00M,-2.00M,,10.00M,,1.00M,31.00M,6.00M,-86.00M,-7.00M,,23.00M,-33.00M,116.00M,-18.00M,,-18.00M,,0.00,-2.00M,,-20.00M,-95.00M,-95.00M,,,,,,3.00M,-92.00M,62.00M,4.00M,-2.00M,64.00M,,,0.00,-95.00M,,2.00M,26.00M
2017-12,4.00M,,,1.00M,17.00M,54.00M,54.00M,10.00M,,10.00M,,9.00M,186.00M,35.00M,-44.00M,-3.00M,,-10.00M,164.00M,268.00M,-14.00M,,-14.00M,,0.00,0.00,,-14.00M,-267.00M,-267.00M,,,,,-9.00M,-4.00M,-280.00M,88.00M,-26.00M,0.00,62.00M,,,185.00M,-452.00M,,11.00M,47.00M
2017-09,-12.00M,,,-1.00M,48.00M,68.00M,68.00M,-9.00M,,10.00M,,21.00M,-68.00M,-77.00M,16.00M,4.00M,,6.00M,-119.00M,7.00M,-14.00M,,-14.00M,,0.00,-1.00M,,-15.00M,53.00M,53.00M,,,,,2.00M,-54.00M,1.00M,95.00M,-7.00M,0.00,88.00M,,,1.186B,-1.133B,,11.00M,78.00M
2017-06,17.00M,,,-1.00M,-1.00M,72.00M,72.00M,-1.00M,,8.00M,,7.00M,-8.00M,-37.00M,44.00M,-2.00M,,-13.00M,-16.00M,86.00M,-9.00M,,-9.00M,,,,,-9.00M,-160.00M,-160.00M,,,,,3.00M,-3.00M,-160.00M,180.00M,-83.00M,-2.00M,95.00M,,,,-160.00M,,38.00M,54.00M
2017-03,8.00M,,,,,69.00M,69.00M,-9.00M,,7.00M,,5.00M,77.00M,-31.00M,-52.00M,17.00M,,26.00M,37.00M,117.00M,-13.00M,,-13.00M,,,,,-13.00M,-80.00M,-80.00M,,,,,4.00M,-2.00M,-78.00M,156.00M,26.00M,-2.00M,180.00M,,,,-80.00M,,5.00M,16.00M
2016-12,17.00M,,,9.00M,9.00M,70.00M,70.00M,-40.00M,-5.00M,7.00M,,5.00M,16.00M,-4.00M,56.00M,-13.00M,,10.00M,65.00M,128.00M,-28.00M,,-28.00M,,,0.00,,11.00M,-147.00M,-147.00M,,,,,3.00M,-2.00M,-146.00M,163.00M,-7.00M,0.00,156.00M,,,34.00M,-181.00M,,11.00M,59.00M
2016-09,-83.00M,,,0.00,0.00,80.00M,80.00M,-7.00M,67.00M,8.00M,,6.00M,-5.00M,3.00M,63.00M,-1.00M,,-3.00M,57.00M,128.00M,-14.00M,,-14.00M,,,0.00,,-14.00M,-90.00M,-90.00M,,,,,3.00M,-5.00M,-92.00M,141.00M,22.00M,0.00,163.00M,,,0.00,-90.00M,,18.00M,22.00M
