,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,TotalReceivables,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,2.43B,,2.43B,19.00M,,,,2.502B,,,,,600.00M,,600.00M,,600.00M,33.00M,,,,449.00M,10.57B,13.07B,78.00M,168.00M,168.00M,,,,,,168.00M,5.638B,612.00M,6.25B,,,5.00M,80.00M,166.00M,6.496B,6.664B,7.00M,-1.115B,7.589B,,-79.00M,6.402B
2020-06,1.578B,,1.578B,6.00M,,,,1.584B,,,,,595.00M,,595.00M,,595.00M,38.00M,,,,360.00M,10.61B,12.19B,68.00M,68.00M,68.00M,,,,,,68.00M,4.543B,607.00M,5.15B,,,5.00M,81.00M,169.00M,5.40B,5.468B,7.00M,-802.00M,7.586B,,-74.00M,6.717B
2020-03,2.796B,,2.796B,37.00M,,,,2.833B,,,,,598.00M,,598.00M,,598.00M,61.00M,,,,326.00M,10.61B,13.45B,222.00M,222.00M,222.00M,,,,,,222.00M,5.295B,609.00M,5.904B,,,6.00M,84.00M,166.00M,6.154B,6.376B,7.00M,-451.00M,7.58B,,-72.00M,7.064B
2019-12,1.573B,,1.573B,63.00M,,,,1.636B,,,,,595.00M,,595.00M,,595.00M,56.00M,,,,347.00M,10.67B,12.30B,263.00M,263.00M,263.00M,,,,,,263.00M,3.794B,606.00M,4.40B,,,6.00M,142.00M,175.00M,4.717B,4.98B,7.00M,-307.00M,7.675B,,-56.00M,7.319B
2019-09,2.03B,,2.03B,104.00M,,,,2.483B,,,,,549.00M,,549.00M,,549.00M,59.00M,,,,353.00M,10.65B,13.13B,277.00M,277.00M,277.00M,,,,,38.00M,315.00M,4.442B,558.00M,5.00B,,,6.00M,133.00M,179.00M,5.312B,5.627B,7.00M,-208.00M,7.762B,,-62.00M,7.499B
2019-06,1.107B,,1.107B,163.00M,,,,1.542B,,,,,590.00M,,590.00M,,590.00M,53.00M,,,,340.00M,10.98B,12.52B,248.00M,248.00M,248.00M,,,,,13.00M,261.00M,3.864B,599.00M,4.463B,,,7.00M,141.00M,186.00M,4.79B,5.051B,7.00M,-432.00M,7.948B,,-56.00M,7.467B
2019-03,1.082B,,1.082B,145.00M,,,,1.258B,,,,,616.00M,,616.00M,,616.00M,54.00M,,,,353.00M,11.32B,12.58B,240.00M,240.00M,240.00M,,,,,,240.00M,3.862B,625.00M,4.487B,,,7.00M,147.00M,183.00M,4.817B,5.057B,7.00M,-573.00M,8.138B,,-59.00M,7.513B
2018-12,1.542B,,1.542B,71.00M,,,,1.894B,,,,,,,0.00,,0.00,48.00M,,,,388.00M,10.20B,12.09B,293.00M,293.00M,293.00M,,,,,,293.00M,3.837B,0.00,3.837B,,,72.00M,128.00M,266.00M,4.231B,4.524B,7.00M,-610.00M,8.156B,,-59.00M,7.494B
2018-09,1.269B,,1.269B,141.00M,,,,1.684B,,,,,,,,,,320.00M,,,,376.00M,10.47B,12.16B,265.00M,265.00M,265.00M,,,,,,265.00M,4.079B,,4.079B,,,73.00M,170.00M,246.00M,4.495B,4.76B,7.00M,-728.00M,8.108B,,-65.00M,7.322B
2018-06,646.00M,,646.00M,161.00M,,,,970.00M,,,,,,,,,,322.00M,,,,406.00M,11.10B,12.08B,242.00M,242.00M,242.00M,,,,,,242.00M,4.228B,,4.228B,,,28.00M,173.00M,266.00M,4.667B,4.909B,7.00M,-901.00M,8.10B,,-68.00M,7.138B
