,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,157.00M,198.00M,327.00M,-129.00M,,23.00M,23.00M,,0.00,,66.00M,0.00,-66.00M,,189.00M,-318.00M,0.00,66.00M,-66.00M,-5.00M,-66.00M,-389.00M,-73.00M,-316.00M,,,3.00M,,-313.00M,-312.19M,-157.00M,166.00M,-323.00M,-0.44,,,,-0.4388,-0.44,-0.44,,,,-0.4388,-0.44,705.20M,705.20M,0.0
2020-06,72.00M,103.00M,265.00M,-162.00M,,23.00M,23.00M,,-1.00M,,39.00M,1.00M,-38.00M,,191.00M,-353.00M,1.00M,39.00M,-38.00M,-11.00M,-38.00M,-402.00M,-46.00M,-356.00M,,,4.00M,,-352.00M,-352.89M,-195.00M,168.00M,-363.00M,-0.5,,,,-0.5013,-0.5,-0.5,,,,-0.5013,-0.5,705.10M,705.10M,0.0
2020-03,956.00M,1.052B,844.00M,208.00M,,55.00M,55.00M,,,,37.00M,6.00M,-31.00M,,219.00M,-11.00M,6.00M,37.00M,-31.00M,2.00M,-31.00M,-40.00M,-37.00M,-3.00M,,,0.00,,-3.00M,-2.27M,161.00M,164.00M,-3.00M,-0.0042,,,,-0.0032,-0.0042,-0.0042,,,,-0.0032,-0.0042,708.10M,708.10M,0.2
2019-12,1.237B,1.334B,905.00M,429.00M,,89.00M,89.00M,,334.00M,,79.00M,9.00M,-75.00M,,264.00M,165.00M,9.00M,79.00M,-75.00M,-1.00M,-75.00M,89.00M,8.00M,81.00M,,,-1.00M,,80.00M,-223.98M,343.00M,175.00M,168.00M,0.11,,,,-0.3144,0.11,0.11,,,,-0.3132,0.11,716.20M,718.20M,0.2
2019-09,1.171B,1.262B,886.00M,376.00M,,78.00M,78.00M,,4.00M,,46.00M,8.00M,-38.00M,,243.00M,133.00M,8.00M,46.00M,-38.00M,281.00M,-38.00M,376.00M,4.00M,372.00M,,,-4.00M,,368.00M,365.03M,587.00M,165.00M,422.00M,0.51,,,,0.5059,0.51,0.51,,,,0.5059,0.51,725.50M,725.80M,0.2
2019-06,1.38B,1.483B,941.00M,542.00M,,96.00M,96.00M,,57.00M,,43.00M,7.00M,-36.00M,,262.00M,280.00M,7.00M,43.00M,-36.00M,62.00M,-36.00M,306.00M,16.00M,290.00M,,,-4.00M,,286.00M,231.03M,515.00M,166.00M,349.00M,0.39,,,,0.3156,0.39,0.39,,,,0.3157,0.39,739.10M,739.40M,0.2
2019-03,1.29B,1.39B,921.00M,469.00M,,83.00M,83.00M,,5.00M,,43.00M,8.00M,-35.00M,,253.00M,216.00M,8.00M,43.00M,-35.00M,10.00M,-35.00M,191.00M,2.00M,189.00M,,,-3.00M,,186.00M,181.05M,404.00M,170.00M,234.00M,0.25,,,,0.2433,0.25,0.25,,,,0.2433,0.25,740.60M,740.80M,0.2
2018-12,1.273B,1.361B,933.00M,428.00M,,82.00M,82.00M,,241.00M,,36.00M,7.00M,-35.00M,,247.00M,181.00M,7.00M,36.00M,-35.00M,247.00M,-35.00M,393.00M,87.00M,306.00M,,,-3.00M,,303.00M,115.35M,594.00M,165.00M,429.00M,0.41,,,,0.1566,0.41,0.41,,,,0.157,0.41,740.40M,741.80M,0.2
2018-09,1.211B,1.299B,899.00M,400.00M,,80.00M,80.00M,,547.00M,,45.00M,3.00M,-42.00M,,492.00M,-92.00M,3.00M,45.00M,-42.00M,554.00M,-42.00M,420.00M,42.00M,378.00M,,,-56.00M,,322.00M,-171.20M,877.00M,412.00M,465.00M,0.43,,,,-0.2366,0.43,0.43,,,,-0.236,0.43,739.90M,740.50M,0.2
2018-06,1.422B,1.518B,963.00M,555.00M,,103.00M,103.00M,,0.00,,45.00M,2.00M,-43.00M,,292.00M,263.00M,2.00M,45.00M,-43.00M,8.00M,-43.00M,228.00M,17.00M,211.00M,,,-2.00M,,209.00M,209.93M,462.00M,189.00M,273.00M,0.28,,,,0.2813,0.28,0.28,,,,0.2812,0.28,739.70M,740.20M,0.2
2018-03,1.257B,1.346B,915.00M,431.00M,,82.00M,82.00M,,120.00M,,44.00M,3.00M,-41.00M,,260.00M,171.00M,3.00M,44.00M,-41.00M,130.00M,-41.00M,260.00M,4.00M,256.00M,,,-3.00M,,253.00M,134.85M,482.00M,178.00M,304.00M,0.34,,,,0.1802,0.34,0.34,,,,0.1802,0.34,739.20M,739.60M,0.2
2017-12,1.256B,1.344B,921.00M,423.00M,,81.00M,81.00M,,12.00M,,36.00M,2.00M,-40.00M,,298.00M,125.00M,2.00M,36.00M,-40.00M,25.00M,-40.00M,110.00M,17.00M,93.00M,,,-1.00M,,92.00M,80.16M,363.00M,217.00M,146.00M,0.12,,,,0.104,0.12,0.12,,,,0.104,0.12,738.90M,740.30M,0.2
2017-09,1.174B,1.254B,875.00M,379.00M,,77.00M,77.00M,,60.00M,,43.00M,2.00M,-41.00M,,253.00M,126.00M,2.00M,43.00M,-41.00M,62.00M,-41.00M,147.00M,42.00M,105.00M,,,-1.00M,,104.00M,62.57M,366.00M,176.00M,190.00M,0.14,,,,0.0839,0.14,0.14,,,,0.0839,0.14,738.80M,739.00M,0.2
2017-06,1.356B,1.441B,926.00M,515.00M,,95.00M,95.00M,,31.00M,,43.00M,1.00M,-42.00M,,273.00M,242.00M,1.00M,43.00M,-42.00M,39.00M,-42.00M,239.00M,27.00M,212.00M,,,-2.00M,,210.00M,182.50M,460.00M,178.00M,282.00M,0.28,,,,0.2428,0.28,0.28,,,,0.2428,0.28,738.60M,738.80M,0.2
2017-03,1.265B,1.348B,915.00M,433.00M,,84.00M,84.00M,,19.00M,,39.00M,1.00M,-38.00M,,264.00M,169.00M,1.00M,39.00M,-38.00M,24.00M,-38.00M,155.00M,-6.00M,161.00M,,,-3.00M,,158.00M,147.80M,374.00M,180.00M,194.00M,0.21,,,,0.1962,0.21,0.21,,,,0.1962,0.21,738.00M,738.20M,0.2
2016-12,1.253B,1.337B,921.00M,416.00M,,83.00M,83.00M,,6.00M,,32.00M,1.00M,-37.00M,,266.00M,150.00M,1.00M,32.00M,-37.00M,13.00M,-37.00M,126.00M,-2.00M,128.00M,,,-2.00M,,126.00M,119.40M,341.00M,183.00M,158.00M,0.17,,,,0.1611,0.17,0.17,,,,0.1611,0.17,737.60M,739.20M,0.25
2016-09,1.215B,1.295B,899.00M,396.00M,,82.00M,82.00M,,26.00M,,38.00M,0.00,-38.00M,,264.00M,132.00M,0.00,38.00M,-38.00M,33.00M,-38.00M,127.00M,19.00M,108.00M,,,-1.00M,,107.00M,85.74M,347.00M,182.00M,165.00M,0.14,,,,0.1113,0.14,0.14,,,,0.1113,0.14,740.60M,741.10M,0.2
2016-06,1.372B,1.459B,949.00M,510.00M,,93.00M,93.00M,,172.00M,,39.00M,0.00,-39.00M,,271.00M,239.00M,0.00,39.00M,-39.00M,183.00M,-39.00M,383.00M,32.00M,351.00M,,,-4.00M,,347.00M,187.54M,600.00M,178.00M,422.00M,0.47,,,,0.2557,0.47,0.47,,,,0.2558,0.47,744.00M,744.30M,0.2
2016-03,1.251B,1.339B,926.00M,413.00M,,84.00M,84.00M,,62.00M,,39.00M,1.00M,-38.00M,,265.00M,148.00M,1.00M,39.00M,-38.00M,65.00M,-38.00M,175.00M,-9.00M,184.00M,,,-2.00M,,182.00M,144.20M,395.00M,181.00M,214.00M,0.24,,,,0.1896,0.24,0.24,,,,0.1896,0.24,749.60M,749.70M,0.2
2015-12,1.248B,1.326B,920.00M,406.00M,,81.00M,81.00M,,39.00M,,62.00M,2.00M,-68.00M,,261.00M,145.00M,2.00M,62.00M,-68.00M,84.00M,-68.00M,161.00M,-4.00M,165.00M,,,-2.00M,,163.00M,139.60M,403.00M,180.00M,223.00M,0.22,,,,0.1889,0.22,0.22,,,,0.189,0.22,753.30M,754.10M,0.2
2015-09,1.207B,1.283B,905.00M,378.00M,,72.00M,72.00M,,9.00M,,46.00M,0.00,-46.00M,,249.00M,129.00M,0.00,46.00M,-46.00M,13.00M,-46.00M,96.00M,9.00M,87.00M,,,-2.00M,,85.00M,77.75M,319.00M,177.00M,142.00M,0.11,,,,0.1003,0.11,0.11,,,,0.1003,0.11,746.40M,746.80M,0.2
