,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,Restated
2020-09,1.933B,0.00,0.00,161.00M,414.00M,575.00M,575.00M,-178.00M,,52.00M,,91.00M,-663.00M,-118.00M,277.00M,,,739.00M,235.00M,,2.708B,2020-09,-366.00M,1.00M,-365.00M,0.00,,,-365.00M,,-710.00M,0.00,-710.00M,,0.00,0.00,-87.00M,-87.00M,31.00M,-25.00M,-791.00M,,5.837B,1.552B,181.00M,7.57B,2020-09,,0.00,-710.00M,0.00,,2020-09,
2020-06,1.156B,0.00,0.00,157.00M,417.00M,574.00M,574.00M,-277.00M,,47.00M,,41.00M,23.00M,-168.00M,-256.00M,,,746.00M,345.00M,,1.886B,2020-06,-269.00M,2.00M,-267.00M,1.00M,,7.00M,-259.00M,,1.278B,-65.00M,1.213B,,0.00,0.00,-87.00M,-87.00M,77.00M,-23.00M,1.18B,,3.01B,2.807B,20.00M,5.837B,2020-06,,1.28B,-67.00M,0.00,,2020-06,
2020-03,788.00M,,,149.00M,425.00M,574.00M,574.00M,-41.00M,,46.00M,,32.00M,-218.00M,-141.00M,-241.00M,,,-443.00M,-1.043B,,356.00M,2020-03,-253.00M,4.00M,-249.00M,-4.00M,,-7.00M,-260.00M,,2.184B,61.00M,2.245B,,-1.50B,-1.50B,-76.00M,-76.00M,48.00M,-98.00M,619.00M,,2.422B,715.00M,-127.00M,3.01B,2020-03,,2.567B,-322.00M,-1.50B,,2020-03,
2019-12,1.002B,4.00M,188.00M,148.00M,428.00M,576.00M,576.00M,54.00M,,43.00M,,-49.00M,96.00M,-9.00M,196.00M,,,14.00M,99.00M,,1.913B,2019-12,-289.00M,18.00M,-271.00M,-156.00M,,88.00M,-339.00M,,980.00M,-686.00M,294.00M,,-750.00M,-750.00M,-76.00M,-76.00M,38.00M,-20.00M,-514.00M,,1.305B,1.06B,57.00M,2.422B,2019-12,,5.838B,-5.544B,-750.00M,,2019-12,
2019-09,760.00M,19.00M,19.00M,141.00M,434.00M,575.00M,575.00M,36.00M,,42.00M,,69.00M,-326.00M,-176.00M,272.00M,,,-154.00M,-384.00M,,1.117B,2019-09,-216.00M,6.00M,-210.00M,1.00M,,11.00M,-198.00M,,-1.699B,-37.00M,-1.736B,,0.00,0.00,-77.00M,-77.00M,-7.00M,-49.00M,-1.869B,,2.314B,-950.00M,-59.00M,1.305B,2019-09,,686.00M,-2.422B,0.00,,2019-09,Restated
2019-06,1.119B,-505.00M,-505.00M,142.00M,429.00M,571.00M,571.00M,-286.00M,,52.00M,,28.00M,34.00M,-133.00M,-73.00M,,,487.00M,315.00M,,1.294B,2019-06,-220.00M,6.00M,-214.00M,-559.00M,,4.00M,-769.00M,,-2.00M,727.00M,725.00M,,0.00,0.00,-76.00M,-76.00M,41.00M,,690.00M,,1.128B,1.215B,-29.00M,2.314B,2019-06,,1.795B,-1.07B,0.00,,2019-06,Restated
2019-03,815.00M,,,133.00M,422.00M,555.00M,555.00M,-106.00M,,44.00M,,-14.00M,-29.00M,-140.00M,-129.00M,,,-347.00M,-645.00M,,649.00M,2019-03,-201.00M,6.00M,-195.00M,-1.00M,,15.00M,-181.00M,,-1.00M,-687.00M,-688.00M,,-750.00M,-750.00M,-68.00M,-68.00M,81.00M,,-1.425B,,2.117B,-957.00M,-32.00M,1.128B,2019-03,,100.00M,-788.00M,-750.00M,,2019-03,Restated
2018-12,898.00M,0.00,3.00M,133.00M,425.00M,558.00M,558.00M,-62.00M,,44.00M,,11.00M,-302.00M,9.00M,246.00M,239.00M,157.00M,,349.00M,,1.801B,2018-12,-284.00M,44.00M,-240.00M,-477.00M,,-4.00M,-721.00M,,-4.00M,270.00M,266.00M,,-250.00M,-250.00M,-68.00M,-68.00M,39.00M,0.00,-13.00M,,1.111B,1.067B,-61.00M,2.117B,2018-12,,1.682B,-1.416B,-250.00M,,2018-12,Restated
2018-09,709.00M,0.00,0.00,132.00M,431.00M,563.00M,563.00M,-218.00M,,46.00M,,-21.00M,33.00M,-138.00M,-25.00M,111.00M,160.00M,,141.00M,,1.22B,2018-09,-173.00M,3.00M,-170.00M,0.00,,2.00M,-168.00M,,-5.00M,-570.00M,-575.00M,,-250.00M,-250.00M,-69.00M,-69.00M,19.00M,-1.00M,-876.00M,,956.00M,176.00M,-21.00M,1.111B,2018-09,,1.307B,-1.882B,-250.00M,,2018-09,Restated
2018-06,752.00M,0.00,0.00,130.00M,441.00M,571.00M,571.00M,22.00M,,48.00M,,17.00M,-26.00M,-71.00M,74.00M,-55.00M,112.00M,,34.00M,,1.444B,2018-06,-183.00M,1.00M,-182.00M,-2.00M,,-1.00M,-185.00M,,-900.00M,-76.00M,-976.00M,,0.00,0.00,-69.00M,-69.00M,39.00M,0.00,-1.006B,,975.00M,253.00M,-272.00M,956.00M,2018-06,,1.455B,-2.431B,0.00,,2018-06,Restated
2018-03,579.00M,,,131.00M,444.00M,575.00M,575.00M,-121.00M,,43.00M,,3.00M,-71.00M,-124.00M,-94.00M,-241.00M,-471.00M,,-1.001B,,78.00M,2018-03,-118.00M,2.00M,-116.00M,-57.00M,,-6.00M,-179.00M,,-453.00M,182.00M,-271.00M,,0.00,0.00,-60.00M,-60.00M,39.00M,-50.00M,-342.00M,,1.361B,-443.00M,57.00M,975.00M,2018-03,,1.306B,-1.577B,0.00,,2018-03,Restated
2017-12,530.00M,,-43.00M,,,574.00M,574.00M,-614.00M,,43.00M,,103.00M,-201.00M,127.00M,274.00M,80.00M,992.00M,,1.272B,1.00M,1.866B,2017-12,-215.00M,3.00M,-212.00M,-66.00M,,-5.00M,-283.00M,,-747.00M,-355.00M,-1.102B,0.00,0.00,0.00,-60.00M,-60.00M,20.00M,-2.00M,-1.144B,,758.00M,439.00M,164.00M,1.361B,2017-12,0.00,2.35B,-3.452B,0.00,,2017-12,Restated
2017-09,534.00M,,16.00M,,,517.00M,517.00M,-185.00M,,45.00M,,18.00M,-34.00M,-62.00M,-49.00M,-55.00M,185.00M,,-15.00M,-1.00M,929.00M,2017-09,-112.00M,2.00M,-110.00M,-6.853B,,-6.00M,-6.969B,,4.717B,-275.00M,4.442B,1.69B,0.00,1.69B,-59.00M,-59.00M,9.00M,-1.00M,6.081B,,629.00M,41.00M,88.00M,758.00M,2017-09,1.69B,7.483B,-3.041B,0.00,,2017-09,Restated
2017-06,613.00M,,0.00,,,477.00M,477.00M,-172.00M,,38.00M,,10.00M,-109.00M,-41.00M,-65.00M,-44.00M,142.00M,,-117.00M,0.00,849.00M,2017-06,-88.00M,1.00M,-87.00M,-6.00M,,-2.00M,-95.00M,,-626.00M,-70.00M,-696.00M,,-250.00M,-250.00M,-59.00M,-59.00M,41.00M,,-964.00M,,737.00M,-210.00M,102.00M,629.00M,2017-06,,2.126B,-2.822B,-250.00M,,2017-06,Restated
2017-03,551.00M,,31.00M,,,465.00M,465.00M,-127.00M,,33.00M,,-145.00M,-18.00M,-105.00M,114.00M,-134.00M,-303.00M,,-446.00M,-1.00M,361.00M,2017-03,-93.00M,1.00M,-92.00M,-301.00M,,11.00M,-382.00M,,-184.00M,566.00M,382.00M,,-500.00M,-500.00M,-59.00M,-59.00M,58.00M,,-119.00M,,811.00M,-140.00M,66.00M,737.00M,2017-03,,2.88B,-2.498B,-500.00M,,2017-03,Restated
2016-12,632.40M,,-38.70M,,,473.80M,473.80M,-105.20M,,31.00M,,83.10M,-239.60M,75.70M,-10.10M,-60.70M,362.60M,,127.90M,1.00M,1.205B,2016-12,-133.10M,2.90M,-130.20M,-35.00M,-11.70M,84.80M,-92.10M,,-2.029B,135.20M,-1.894B,0.00,-250.00M,-250.00M,-58.80M,-58.80M,11.90M,-0.40M,-2.191B,,2.000B,-1.078B,-111.30M,811.00M,2016-12,0.00,3.552B,-5.446B,-250.00M,,2016-12,Restated
2016-09,473.50M,,16.30M,,,433.00M,433.00M,-210.30M,,34.90M,,10.50M,-17.40M,48.20M,26.20M,-6.90M,-2.50M,,47.60M,-1.10M,804.40M,2016-09,-81.00M,1.40M,-79.60M,-4.11B,3.80M,-6.80M,-4.193B,,4.951B,-167.30M,4.784B,0.00,0.00,0.00,-59.80M,-59.80M,-3.30M,0.00,4.721B,,689.80M,1.332B,-22.10M,2.000B,2016-09,0.00,7.739B,-2.955B,0.00,,2016-09,Restated
2016-06,516.80M,,16.20M,,,435.10M,435.10M,-215.70M,,33.70M,,13.40M,-65.10M,30.30M,5.10M,-46.70M,190.90M,,114.50M,-0.40M,913.60M,2016-06,-114.80M,15.70M,-99.10M,-0.60M,4.00M,-0.70M,-96.40M,,-649.90M,-237.80M,-887.70M,,0.00,0.00,-59.10M,-59.10M,46.70M,-13.20M,-913.30M,,841.50M,-96.10M,-55.60M,689.80M,2016-06,,2.137B,-3.024B,0.00,,2016-06,Restated
2016-03,402.30M,,6.20M,,,416.10M,416.10M,-88.80M,,33.40M,,-8.00M,-29.90M,-56.20M,34.80M,-38.70M,-335.00M,,-425.00M,-1.50M,334.70M,2016-03,-115.10M,6.00M,-109.10M,-1.032B,3.90M,-1.30M,-1.139B,,997.50M,1.174B,2.171B,,-1.00B,-1.00B,-60.30M,-60.30M,31.70M,-0.40M,1.142B,,466.30M,338.20M,37.00M,841.50M,2016-03,,3.358B,-1.187B,-1.00B,,2016-03,Restated
2015-12,606.00M,7.60M,13.90M,,,424.30M,424.30M,-239.10M,,33.20M,55.60M,9.20M,-3.10M,34.30M,23.90M,-40.30M,436.30M,,451.10M,-1.00M,1.353B,2015-12,-129.50M,10.50M,-119.00M,-389.00M,,-21.00M,-517.00M,,-52.80M,-676.50M,-729.30M,,0.00,0.00,-60.30M,-60.30M,-24.60M,-55.70M,-869.90M,,503.40M,-33.70M,-24.20M,466.00M,2015-12,,9.189B,-9.193B,0.00,,2015-12,Restated
2015-09,477.30M,0.00,0.00,,,427.70M,427.70M,-67.90M,,32.50M,-6.60M,10.90M,55.80M,-53.20M,-48.60M,-198.80M,118.50M,,-126.30M,-3.70M,743.90M,2015-09,-101.00M,1.30M,-99.70M,-7.40M,,0.40M,-106.70M,,-383.50M,-396.00M,-779.50M,,0.00,0.00,-60.20M,-60.20M,14.90M,7.00M,-817.80M,,768.40M,-180.60M,-84.40M,503.40M,2015-09,,542.80M,-926.30M,0.00,,2015-09,Restated
