,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,8.521B,8.521B,4.19B,4.331B,1.592B,296.00M,-17.00M,144.00M,9.00M,-135.00M,,1.888B,2.443B,9.00M,144.00M,-135.00M,-56.00M,-135.00M,2.252B,319.00M,1.933B,,,,1.933B,575.00M,2.396B,,2020-09,4.88,,4.917,4.88,,2020-09,,,4.877,2020-09,396.00M,399.00M,0.22,,2020-09,AOR,
2020-06,6.917B,6.917B,3.54B,3.377B,1.71B,264.00M,-12.00M,137.00M,8.00M,-129.00M,,1.974B,1.403B,8.00M,137.00M,-129.00M,-21.00M,-129.00M,1.253B,97.00M,1.156B,,,,1.156B,574.00M,1.39B,,2020-06,2.92,,2.948,2.92,,2020-06,,,2.928,2020-06,395.00M,398.00M,0.22,,2020-06,AOR,
2020-03,6.23B,6.23B,3.49B,2.74B,1.551B,245.00M,-38.00M,126.00M,36.00M,-90.00M,,1.796B,944.00M,36.00M,126.00M,-90.00M,-26.00M,-90.00M,828.00M,40.00M,788.00M,,,,788.00M,574.00M,954.00M,,2020-03,1.99,,2.081,1.99,,2020-03,,,2.060,2020-03,397.00M,400.00M,0.22,,2020-03,AOR,
2019-12,6.829B,6.829B,3.794B,3.035B,1.512B,262.00M,-29.00M,142.00M,45.00M,-97.00M,,1.774B,1.261B,45.00M,142.00M,-97.00M,-126.00M,-97.00M,1.038B,36.00M,1.002B,,,,1.002B,576.00M,1.18B,,2019-12,2.51,,2.580,2.51,,2019-12,,,2.559,2019-12,400.00M,403.00M,0.19,,2019-12,AOR,
2019-09,6.272B,6.272B,3.509B,2.763B,1.539B,247.00M,-31.00M,164.00M,52.00M,-112.00M,,1.786B,977.00M,52.00M,164.00M,-112.00M,-43.00M,-112.00M,822.00M,62.00M,760.00M,,,,760.00M,575.00M,986.00M,,2019-09,1.89,,1.961,1.89,,2019-09,,,1.951,2019-09,401.00M,404.00M,0.19,,2019-09,AOR,Restated
2019-06,6.316B,6.316B,3.493B,2.823B,1.565B,246.00M,484.00M,181.00M,60.00M,-121.00M,,1.811B,1.012B,60.00M,181.00M,-121.00M,502.00M,-121.00M,1.393B,274.00M,1.119B,,,,1.119B,571.00M,1.574B,,2019-06,2.80,,1.828,2.80,,2019-06,,,1.806,2019-06,400.00M,403.00M,0.19,,2019-06,AOR,Restated
2019-03,6.125B,6.125B,3.418B,2.707B,1.528B,248.00M,-11.00M,189.00M,67.00M,-122.00M,,1.776B,931.00M,67.00M,189.00M,-122.00M,8.00M,-122.00M,817.00M,2.00M,815.00M,,,,815.00M,555.00M,1.006B,,2019-03,2.04,,2.067,2.04,,2019-03,,,2.047,2019-03,400.00M,403.00M,0.19,,2019-03,AOR,Restated
2018-12,6.507B,6.507B,3.583B,2.924B,1.51B,251.00M,-15.00M,172.00M,45.00M,-127.00M,,1.761B,1.163B,45.00M,172.00M,-127.00M,-24.00M,-127.00M,1.012B,114.00M,898.00M,,,,898.00M,558.00M,1.184B,,2018-12,2.23,,2.263,2.23,,2018-12,,,2.253,2018-12,402.00M,406.00M,0.17,,2018-12,AOR,Restated
2018-09,5.92B,5.92B,3.305B,2.615B,1.49B,240.00M,27.00M,162.00M,41.00M,-121.00M,,1.73B,885.00M,41.00M,162.00M,-121.00M,46.00M,-121.00M,810.00M,101.00M,709.00M,,,,709.00M,563.00M,972.00M,,2018-09,1.76,,1.701,1.76,,2018-09,,,1.692,2018-09,402.00M,406.00M,0.17,,2018-09,AOR,Restated
2018-06,6.078B,6.078B,3.34B,2.738B,1.542B,242.00M,-17.00M,170.00M,31.00M,-139.00M,,1.784B,954.00M,31.00M,170.00M,-139.00M,-9.00M,-139.00M,806.00M,54.00M,752.00M,,,,752.00M,571.00M,976.00M,,2018-06,1.87,,1.909,1.87,,2018-06,,,1.889,2018-06,403.00M,406.00M,0.17,,2018-06,AOR,Restated
