,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,,7.54B,,7.54B,5.186B,697.00M,5.883B,1.247B,558.00M,2.024B,,3.829B,,982.00M,18.23B,,,,,,,5.18B,25.78B,12.87B,38.65B,1.995B,45.83B,64.06B,,2020-09,1.703B,3.476B,5.179B,,2.00M,,2.00M,1.047B,1.047B,,,6.228B,21.09B,21.09B,1.528B,1.528B,,3.39B,26.01B,32.24B,,2020-09,15.47B,6.815B,,,,,2020-09,AOR,
2020-06,,5.818B,,5.818B,4.478B,686.00M,5.164B,1.159B,533.00M,1.956B,,3.648B,,1.145B,15.78B,,,,,,,4.887B,25.70B,13.17B,38.87B,2.061B,45.82B,61.59B,,2020-06,1.385B,2.978B,4.363B,,675.00M,,675.00M,975.00M,975.00M,,,6.013B,20.64B,20.64B,1.75B,1.75B,,3.317B,25.70B,31.72B,,2020-06,15.33B,6.766B,,,,,2020-06,AOR,
2020-03,,2.981B,,2.981B,4.508B,658.00M,5.166B,1.069B,503.00M,1.882B,,3.454B,,1.137B,12.74B,,,,,,,4.736B,25.61B,13.54B,39.16B,2.057B,45.95B,58.69B,,2020-03,1.599B,2.225B,3.824B,,738.00M,,738.00M,938.00M,938.00M,,,5.50B,19.23B,19.23B,2.137B,2.137B,,3.261B,24.63B,30.13B,,2020-03,15.19B,6.765B,,,,,2020-03,AOR,
2019-12,1.119B,2.399B,,2.399B,4.349B,603.00M,4.952B,971.00M,517.00M,1.882B,,3.37B,,1.172B,11.89B,0.00,396.00M,1.873B,5.495B,7.764B,-3.015B,4.749B,25.71B,14.01B,39.73B,2.011B,46.49B,58.38B,,2019-12,1.92B,2.685B,4.605B,,676.00M,,676.00M,916.00M,916.00M,,,6.197B,17.08B,17.08B,2.192B,2.192B,,3.241B,22.51B,28.71B,,2019-12,15.06B,5.236B,,,,,2019-12,AOR,
2019-09,,1.273B,,1.273B,4.384B,,4.384B,943.00M,514.00M,1.851B,,3.308B,,1.549B,10.51B,,,,,,,4.42B,25.62B,14.31B,39.94B,1.86B,46.22B,56.73B,,2019-09,1.659B,2.581B,4.24B,,661.00M,,661.00M,943.00M,943.00M,,,5.844B,16.39B,16.39B,2.001B,2.001B,,3.137B,21.53B,27.37B,,2019-09,14.96B,4.486B,,,,,2019-09,AOR,Restated
2019-06,,2.288B,,2.288B,4.129B,,4.129B,923.00M,495.00M,1.791B,,3.209B,,1.597B,11.22B,,,,,,,4.394B,25.76B,14.86B,40.62B,1.733B,46.75B,57.97B,,2019-06,1.391B,2.679B,4.07B,,2.377B,,2.377B,1.062B,1.062B,,,7.509B,16.66B,16.66B,1.936B,1.936B,,3.133B,21.73B,29.24B,,2019-06,14.89B,4.443B,,,,,2019-06,AOR,Restated
2019-03,,1.106B,,1.106B,4.155B,,4.155B,867.00M,472.00M,1.785B,,3.124B,,1.554B,9.939B,,,,,,,4.192B,25.24B,14.49B,39.72B,1.74B,45.66B,55.60B,,2019-03,1.462B,2.133B,3.595B,,1.336B,,1.336B,967.00M,967.00M,,,5.898B,16.81B,16.81B,2.145B,2.145B,,3.048B,22.00B,27.90B,,2019-03,14.77B,4.441B,,,,,2019-03,AOR,Restated
2018-12,1.334B,2.103B,,2.103B,4.136B,459.00M,4.595B,812.00M,430.00M,1.763B,,3.005B,,922.00M,10.62B,0.00,397.00M,1.729B,4.694B,6.82B,-2.655B,4.165B,25.35B,14.98B,40.32B,1.117B,45.61B,56.23B,,2018-12,1.615B,2.452B,4.067B,,1.271B,,1.271B,809.00M,809.00M,,,6.147B,17.72B,17.72B,2.265B,2.265B,,2.515B,22.50B,28.65B,,2018-12,14.62B,3.665B,,,,,2018-12,AOR,Restated
2018-09,,1.098B,,1.098B,3.852B,,4.257B,807.00M,433.00M,1.742B,,2.982B,,1.229B,9.566B,0.00,392.00M,1.677B,4.536B,6.605B,-2.627B,3.978B,25.14B,15.22B,40.36B,1.173B,45.51B,55.08B,,2018-09,1.344B,2.041B,3.385B,,1.014B,,1.014B,797.00M,797.00M,,,5.196B,17.76B,17.76B,2.55B,2.55B,,2.682B,22.99B,28.19B,,2018-09,14.53B,3.414B,,,,,2018-09,AOR,Restated
2018-06,,937.00M,,937.00M,3.911B,,4.441B,776.00M,415.00M,1.675B,,2.866B,,1.23B,9.474B,0.00,398.00M,1.668B,4.408B,6.474B,-2.522B,3.952B,25.12B,15.68B,40.80B,1.177B,45.93B,55.40B,,2018-06,1.359B,2.094B,3.453B,,1.711B,,1.711B,816.00M,816.00M,,,5.98B,17.71B,17.71B,2.599B,2.599B,,2.67B,22.98B,28.96B,,2018-06,14.41B,3.128B,,,,,2018-06,AOR,Restated
2018-03,,950.00M,,950.00M,3.99B,,4.53B,776.00M,402.00M,1.713B,,2.891B,,1.217B,9.588B,0.00,405.00M,1.688B,4.427B,6.52B,-2.461B,4.059B,25.36B,16.39B,41.76B,1.178B,46.99B,56.58B,,2018-03,1.354B,1.995B,3.349B,,2.814B,,2.814B,909.00M,909.00M,,,7.072B,18.12B,18.12B,2.606B,2.606B,,2.657B,23.38B,30.46B,,2018-03,14.32B,3.125B,,,,,2018-03,AOR,Restated
2017-12,,1.335B,,1.335B,3.879B,,3.879B,708.00M,505.00M,1.758B,,2.971B,,1.236B,9.421B,0.00,401.00M,1.662B,4.276B,6.339B,-2.292B,4.047B,25.29B,16.68B,41.97B,1.227B,47.25B,56.67B,,2017-12,1.428B,2.766B,4.194B,,2.135B,,2.135B,719.00M,719.00M,,,7.048B,18.87B,18.87B,2.766B,2.766B,,2.569B,24.21B,31.26B,,2017-12,14.18B,3.103B,,,,,2017-12,AOR,Restated
2017-09,,741.10M,,741.10M,3.657B,,4.209B,732.60M,532.30M,1.861B,,3.126B,,768.30M,8.844B,0.00,395.10M,1.622B,4.068B,6.086B,-2.154B,3.932B,25.13B,17.03B,42.16B,1.051B,47.14B,55.99B,,2017-09,1.250B,2.272B,3.522B,,2.762B,,2.762B,747.30M,747.30M,,,7.031B,19.23B,19.23B,3.135B,3.135B,,1.887B,24.25B,31.28B,,2017-09,14.11B,3.101B,,,,,2017-09,AOR,Restated
2017-06,,611.00M,,611.00M,3.258B,,3.673B,528.90M,367.80M,1.526B,,2.422B,,746.10M,7.452B,0.00,311.50M,1.205B,3.172B,4.688B,-2.088B,2.600B,21.85B,13.58B,35.42B,1.040B,39.06B,46.51B,,2017-06,1.072B,1.921B,2.993B,,1.540B,,1.540B,542.10M,542.10M,,,5.076B,15.26B,15.26B,2.320B,2.320B,,1.470B,19.05B,24.12B,,2017-06,12.33B,3.070B,,,,,2017-06,AOR,Restated
2017-03,,713.30M,,713.30M,3.096B,,3.524B,521.60M,361.50M,1.444B,,2.327B,,684.20M,7.248B,0.00,306.30M,1.173B,3.034B,4.513B,-1.949B,2.563B,21.56B,13.82B,35.38B,1.020B,38.97B,46.21B,,2017-03,1.113B,1.768B,2.882B,,1.882B,,1.882B,538.90M,538.90M,,,5.303B,15.19B,15.19B,2.463B,2.463B,,1.464B,19.12B,24.42B,,2017-03,12.25B,2.819B,,,,,2017-03,AOR,Restated
