,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,8.853B,8.853B,6.346B,2.507B,3.00M,452.00M,404.00M,-404.00M,,1.741B,766.00M,404.00M,-404.00M,424.00M,-404.00M,786.00M,216.00M,569.00M,,,-68.00M,,501.00M,498.82M,2.868B,1.678B,1.19B,0.51,,,,0.5078,0.51,0.51,,,,0.5078,0.51,976.00M,977.00M,0.3825
2020-06,7.322B,7.322B,5.357B,1.965B,12.00M,411.00M,427.00M,-427.00M,,1.412B,553.00M,427.00M,-427.00M,668.00M,-427.00M,794.00M,219.00M,574.00M,,,-53.00M,,521.00M,512.31M,2.584B,1.363B,1.221B,0.53,,,,0.5211,0.53,0.53,,,,0.5211,0.53,976.00M,976.00M,0.3825
2020-03,8.747B,8.747B,6.071B,2.676B,2.00M,437.00M,410.00M,-410.00M,,1.458B,1.218B,410.00M,-410.00M,-723.00M,-410.00M,85.00M,-294.00M,376.00M,,,206.00M,,582.00M,580.54M,1.873B,1.378B,495.00M,0.6,,,,0.5985,0.6,0.6,,,,0.5985,0.6,975.00M,976.00M,0.3825
2019-12,8.342B,8.342B,5.962B,2.38B,13.00M,416.00M,395.00M,-395.00M,,1.431B,949.00M,395.00M,-395.00M,403.00M,-395.00M,957.00M,148.00M,808.00M,,,-36.00M,,772.00M,761.01M,2.739B,1.387B,1.352B,0.79,,,,0.7787,0.79,0.79,,,,0.7788,0.79,976.00M,977.00M,0.3625
2019-09,8.929B,8.929B,6.024B,2.905B,-17.00M,452.00M,409.00M,-409.00M,,1.535B,1.37B,409.00M,-409.00M,141.00M,-409.00M,1.102B,172.00M,760.00M,,,12.00M,,772.00M,786.35M,2.982B,1.471B,1.511B,0.79,,,,0.8047,0.79,0.79,,,,0.8047,0.79,973.00M,974.00M,0.3625
2019-06,7.689B,7.689B,5.384B,2.305B,33.00M,418.00M,409.00M,-409.00M,,1.497B,808.00M,409.00M,-409.00M,245.00M,-409.00M,644.00M,144.00M,494.00M,,,-10.00M,,484.00M,458.38M,2.515B,1.462B,1.053B,0.5,,,,0.4736,0.5,0.5,,,,0.4737,0.5,972.00M,974.00M,0.3625
2019-03,9.477B,9.477B,6.742B,2.735B,3.00M,445.00M,403.00M,-403.00M,,1.52B,1.215B,403.00M,-403.00M,470.00M,-403.00M,1.282B,310.00M,966.00M,,,-59.00M,,907.00M,904.73M,3.145B,1.46B,1.685B,0.93,,,,0.9277,0.93,0.93,,,,0.9277,0.93,971.00M,972.00M,0.3625
2018-12,8.808B,8.808B,6.597B,2.211B,1.00M,441.00M,416.00M,-416.00M,,1.51B,701.00M,416.00M,-416.00M,-323.00M,-416.00M,-38.00M,-144.00M,100.00M,,,47.00M,,147.00M,146.27M,1.838B,1.46B,378.00M,0.16,,,,0.1592,0.16,0.16,,,,0.1592,0.16,967.00M,969.00M,0.345
2018-09,9.403B,9.403B,6.678B,2.725B,-5.00M,469.00M,393.00M,-393.00M,,1.574B,1.151B,393.00M,-393.00M,189.00M,-393.00M,947.00M,137.00M,800.00M,,,-67.00M,,733.00M,737.28M,2.851B,1.511B,1.34B,0.76,,,,0.7644,0.76,0.76,,,,0.7644,0.76,968.00M,970.00M,0.345
2018-06,8.076B,8.076B,5.622B,2.454B,4.00M,428.00M,373.00M,-373.00M,,1.516B,938.00M,373.00M,-373.00M,48.00M,-373.00M,613.00M,66.00M,542.00M,,,-3.00M,,539.00M,535.43M,2.485B,1.499B,986.00M,0.56,,,,0.5563,0.56,0.56,,,,0.5563,0.56,967.00M,969.00M,0.345
