,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,569.00M,,-509.00M,-512.00M,4.419B,1.678B,131.00M,534.00M,,592.00M,-123.00M,-53.00M,279.00M,,,-1.553B,-1.45B,1.542B,-1.833B,,,,-16.00M,1.456B,-393.00M,-1.034B,62.00M,-972.00M,,,,,,-373.00M,-373.00M,16.00M,-20.00M,-1.349B,2.68B,-200.00M,2.48B,,230.00M,-1.202B,
2020-06,574.00M,,-517.00M,-530.00M,,1.363B,278.00M,25.00M,,695.00M,518.00M,-95.00M,178.00M,,,-1.406B,-805.00M,1.60B,-1.757B,,,,-1.00M,1.114B,-644.00M,1.012B,-860.00M,152.00M,,,,,,-373.00M,-373.00M,16.00M,-63.00M,-268.00M,1.992B,688.00M,2.68B,,3.765B,-3.613B,
2020-03,376.00M,,519.00M,519.00M,,1.378B,-245.00M,8.00M,,214.00M,800.00M,81.00M,-976.00M,,,-1.075B,-1.17B,1.08B,-2.016B,,,,-51.00M,-8.00M,-2.075B,1.62B,609.00M,2.229B,,,,,,-373.00M,-373.00M,30.00M,-21.00M,1.865B,1.122B,870.00M,1.992B,,3.261B,-1.032B,
2019-12,808.00M,,-70.00M,-82.00M,-4.393B,1.387B,269.00M,27.00M,,-73.00M,-688.00M,7.00M,246.00M,,,-641.00M,-1.076B,1.26B,-1.989B,,,,-42.00M,27.00M,-2.045B,-268.00M,351.00M,83.00M,,,,,,-353.00M,-353.00M,18.00M,-19.00M,-271.00M,2.178B,-1.056B,1.122B,,726.00M,-643.00M,
2019-09,760.00M,,-74.00M,-56.00M,4.393B,1.471B,128.00M,165.00M,,205.00M,-173.00M,-113.00M,253.00M,,,-139.00M,-172.00M,2.501B,-1.687B,,,,-67.00M,-2.00M,-1.756B,656.00M,-40.00M,616.00M,,,,,,-351.00M,-351.00M,19.00M,-29.00M,255.00M,1.178B,1.00B,2.178B,,686.00M,-70.00M,
2019-06,494.00M,,-20.00M,-53.00M,,1.462B,97.00M,2.00M,,-18.00M,539.00M,-109.00M,-160.00M,,,-400.00M,-130.00M,1.854B,-1.699B,,,,26.00M,0.00,-1.673B,226.00M,-195.00M,31.00M,,,,,,-352.00M,-352.00M,24.00M,-20.00M,-317.00M,1.314B,-136.00M,1.178B,,378.00M,-347.00M,
2019-03,966.00M,,-277.00M,-277.00M,,1.46B,187.00M,7.00M,,32.00M,79.00M,128.00M,-764.00M,,,-774.00M,-1.331B,1.044B,-1.873B,,,,47.00M,40.00M,-1.786B,50.00M,540.00M,590.00M,,,,,,-352.00M,-352.00M,51.00M,-14.00M,275.00M,1.781B,-467.00M,1.314B,,942.00M,-352.00M,
2018-12,100.00M,,551.00M,550.00M,,1.46B,-205.00M,1.00M,,180.00M,-398.00M,-13.00M,467.00M,,,-173.00M,-117.00M,1.969B,-2.097B,,,,-61.00M,87.00M,-2.225B,145.00M,-120.00M,25.00M,,,,,,-333.00M,-333.00M,38.00M,-14.00M,-284.00M,2.321B,-540.00M,1.781B,,451.00M,-426.00M,
2018-09,800.00M,,-185.00M,-180.00M,,1.511B,99.00M,8.00M,,466.00M,-62.00M,-84.00M,426.00M,,,-178.00M,102.00M,2.806B,-1.69B,,,,-72.00M,-1.00M,-1.763B,1.005B,-418.00M,587.00M,,,,,,-333.00M,-333.00M,40.00M,-44.00M,250.00M,1.028B,1.293B,2.321B,,976.00M,-389.00M,
2018-06,543.00M,,-96.00M,-100.00M,,1.499B,12.00M,41.00M,,525.00M,-238.00M,-107.00M,109.00M,,,83.00M,-153.00M,2.367B,-1.927B,,,,-43.00M,-19.00M,-1.989B,290.00M,-401.00M,-111.00M,,,,,,-333.00M,-333.00M,15.00M,-20.00M,-449.00M,1.099B,-71.00M,1.028B,,-43.00M,-68.00M,
