,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.858B,,1.858B,2.792B,1.501B,4.334B,1.716B,,485.00M,,3.447B,12.31B,,,108.14B,-25.58B,82.56B,6.677B,,6.677B,13.88B,308.00M,383.00M,,3.165B,115.46B,127.77B,3.182B,,,3.187B,1.879B,5.066B,,3.258B,3.258B,3.258B,107.00M,107.00M,,2.831B,11.26B,11.99B,35.90B,,35.90B,13.06B,266.00M,13.32B,5.776B,396.00M,2.219B,,4.52B,81.40B,92.66B,19.36B,16.75B,,123.00M,,-3.104B,32.88B
2020-06,2.129B,,2.129B,2.814B,1.488B,4.345B,1.781B,,373.00M,,3.332B,12.53B,,,106.55B,-24.80B,81.75B,6.677B,,6.677B,13.15B,321.00M,466.00M,,3.101B,113.78B,126.31B,3.047B,,,3.052B,1.616B,4.668B,,3.633B,3.633B,3.633B,113.00M,113.00M,,2.651B,11.06B,11.06B,36.50B,,36.50B,12.72B,292.00M,13.01B,5.78B,440.00M,2.168B,,4.17B,80.38B,91.44B,19.34B,16.62B,,123.00M,,-3.132B,32.70B
2020-03,1.457B,,1.457B,4.042B,1.339B,5.428B,1.687B,,414.00M,,2.834B,12.48B,,,105.47B,-24.45B,81.02B,6.677B,,6.677B,12.03B,329.00M,625.00M,,3.164B,112.20B,124.68B,2.883B,,,2.888B,1.535B,4.423B,,4.827B,4.827B,4.827B,121.00M,121.00M,,2.403B,11.77B,10.95B,35.20B,,35.20B,12.24B,317.00M,12.56B,5.817B,436.00M,2.134B,,4.221B,78.29B,90.06B,19.30B,16.48B,,123.00M,,-3.173B,32.48B
2019-12,587.00M,,587.00M,4.592B,1.583B,6.222B,1.768B,,358.00M,,2.423B,12.04B,799.00M,3.055B,104.21B,-23.98B,80.23B,6.677B,174.00M,6.851B,13.65B,336.00M,508.00M,,3.023B,112.94B,124.98B,3.56B,,414.00M,3.979B,515.00M,4.494B,,6.08B,6.08B,6.08B,132.00M,132.00M,,2.427B,14.18B,10.85B,31.72B,,31.72B,12.35B,338.00M,12.69B,6.323B,393.00M,2.349B,,4.263B,76.22B,90.40B,19.27B,16.27B,,123.00M,,-3.194B,32.22B
2019-09,1.992B,,1.992B,4.188B,1.085B,5.322B,1.783B,,,,2.49B,12.21B,,,102.18B,-23.59B,78.59B,6.677B,,6.677B,13.18B,353.00M,487.00M,,3.123B,110.53B,122.74B,3.348B,,,3.353B,1.877B,5.23B,,5.267B,5.267B,5.267B,138.00M,138.00M,,2.45B,13.08B,10.09B,32.45B,,32.45B,12.13B,368.00M,12.50B,5.741B,416.00M,2.329B,,4.316B,75.30B,88.39B,19.24B,15.87B,,123.00M,,-2.963B,32.02B
2019-06,987.00M,,987.00M,4.125B,1.008B,5.18B,1.67B,,,,2.412B,11.66B,,,102.30B,-24.27B,78.03B,6.677B,,6.677B,13.13B,362.00M,537.00M,,3.038B,109.94B,121.60B,3.248B,,,3.253B,1.706B,4.959B,,4.835B,4.835B,4.835B,145.00M,145.00M,,2.995B,12.93B,10.02B,32.30B,,32.30B,11.83B,398.00M,12.22B,5.727B,450.00M,2.359B,,4.239B,74.76B,87.69B,19.21B,15.45B,,123.00M,,-2.99B,31.55B
2019-03,1.103B,,1.103B,4.564B,1.062B,5.675B,1.559B,,,,2.597B,12.48B,,,101.16B,-23.70B,77.46B,6.677B,,6.677B,12.92B,365.00M,454.00M,,3.017B,109.12B,121.59B,3.327B,,,3.332B,1.725B,5.057B,,3.762B,3.762B,3.762B,151.00M,151.00M,,3.259B,12.23B,9.967B,33.35B,,33.35B,11.64B,432.00M,12.07B,5.718B,434.00M,2.347B,,4.336B,75.66B,87.89B,19.17B,15.32B,,123.00M,,-3.012B,31.36B
2018-12,1.349B,,1.349B,4.607B,1.256B,5.911B,1.685B,,247.00M,,2.428B,13.33B,858.00M,3.377B,99.61B,-22.90B,76.71B,6.677B,118.00M,6.795B,12.29B,372.00M,452.00M,,1.457B,106.31B,119.63B,3.80B,,412.00M,4.217B,509.00M,4.726B,,2.063B,2.063B,2.063B,149.00M,149.00M,,3.275B,11.40B,9.679B,34.46B,,34.46B,11.32B,463.00M,11.78B,5.916B,479.00M,2.306B,,3.301B,75.18B,86.59B,19.12B,14.74B,,123.00M,,-2.995B,30.74B
2018-09,1.918B,,1.918B,4.239B,1.246B,5.527B,1.665B,,240.00M,,2.517B,13.47B,,,,,75.84B,6.677B,,6.677B,13.11B,371.00M,449.00M,,1.56B,106.01B,119.48B,3.348B,,,3.353B,1.964B,5.317B,,1.605B,1.605B,1.605B,158.00M,158.00M,,3.06B,10.14B,9.747B,34.91B,,34.91B,11.70B,497.00M,12.20B,5.54B,482.00M,2.368B,,3.324B,75.96B,86.10B,19.06B,14.95B,,123.00M,,-2.869B,31.02B
2018-06,694.00M,,694.00M,4.094B,1.407B,5.547B,1.59B,,206.00M,,2.653B,11.49B,,,,,75.28B,6.677B,,6.677B,13.75B,379.00M,457.00M,,1.194B,105.76B,117.25B,3.113B,,,3.118B,1.665B,4.783B,,2.41B,2.41B,2.41B,171.00M,171.00M,,2.262B,9.626B,10.22B,33.57B,,33.57B,11.48B,538.00M,12.02B,5.544B,507.00M,2.324B,,3.244B,74.78B,84.41B,19.01B,14.55B,,123.00M,,-2.921B,30.52B
