,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,,5.377B,8.00B,13.38B,2.286B,850.00M,3.136B,,17.04B,,,,,,,,534.00M,606.00M,228.00M,834.00M,23.31B,378.00M,,22.93B,9.249B,262.00M,35.21B,53.66B,,,,13.63B,13.63B,,13.63B,,,,13.86B,2.907B,,2.907B,27.79B,1.135B,310.00M,75.00M,32.29B,46.22B,,2.00M,6.702B,1.996B,1.354B,17.00M,7.363B,,AOR,
2020-09,,5.39B,7.65B,13.04B,2.435B,927.00M,3.362B,123.00M,17.17B,29.00M,406.00M,859.00M,321.00M,,1.615B,-759.00M,856.00M,466.00M,134.00M,600.00M,22.57B,354.00M,-13.00M,22.21B,8.686B,262.00M,32.42B,47.48B,,,,7.96B,7.96B,,7.96B,,,,8.125B,2.933B,345.00M,3.278B,26.80B,1.384B,393.00M,62.00M,32.10B,40.31B,,2.00M,6.484B,2.007B,1.39B,11.00M,7.114B,,AOR,
2020-06,,5.632B,5.63B,11.26B,2.346B,1.088B,3.434B,,15.34B,,,,,,,,537.00M,465.00M,137.00M,602.00M,22.56B,334.00M,-12.00M,22.22B,6.318B,222.00M,31.24B,44.68B,,190.00M,,7.198B,7.388B,,7.388B,,,,7.616B,2.934B,,2.934B,25.37B,1.109B,394.00M,50.00M,29.96B,37.67B,,2.00M,6.326B,1.984B,1.348B,1.00M,6.965B,,AOR,
2020-03,,10.65B,4.265B,14.91B,2.491B,1.291B,3.782B,,19.27B,,,,,,,,543.00M,,,603.00M,23.11B,324.00M,-13.00M,22.77B,5.026B,224.00M,30.28B,49.81B,,284.00M,,8.11B,8.394B,,8.394B,,,,8.609B,2.935B,,2.935B,30.02B,929.00M,427.00M,36.00M,34.34B,42.98B,,2.00M,6.205B,1.953B,1.351B,-11.00M,6.798B,,AOR,
2019-12,,4.109B,3.222B,7.331B,2.527B,761.00M,3.288B,,11.23B,,,,,,,,536.00M,,,609.00M,22.51B,216.00M,-10.00M,22.29B,4.217B,217.00M,29.13B,40.15B,,135.00M,,5.804B,5.939B,,5.939B,6.00M,6.00M,6.00M,6.145B,2.443B,,2.443B,22.98B,933.00M,306.00M,61.00M,26.87B,33.25B,,2.00M,6.086B,1.922B,1.163B,-5.00M,6.842B,,AOR,Restated
2019-09,,3.957B,3.093B,7.05B,2.671B,830.00M,3.501B,123.00M,11.36B,29.00M,391.00M,768.00M,,,1.188B,-661.00M,527.00M,464.00M,147.00M,611.00M,22.10B,218.00M,-12.00M,21.87B,4.266B,231.00M,27.35B,38.83B,,,,5.108B,5.108B,,5.108B,,,,5.258B,2.444B,,2.444B,22.28B,1.272B,313.00M,62.00M,26.61B,32.19B,,2.00M,5.874B,1.938B,1.21B,-23.00M,6.581B,,AOR,Restated
2019-06,,3.596B,2.96B,6.556B,2.613B,905.00M,3.518B,,10.79B,,,,,,,,518.00M,484.00M,151.00M,635.00M,21.86B,215.00M,-16.00M,21.63B,4.231B,210.00M,27.98B,38.68B,,174.00M,,5.029B,5.203B,,5.203B,50.00M,50.00M,50.00M,5.418B,2.445B,,2.445B,22.17B,1.093B,275.00M,62.00M,26.27B,32.11B,,2.00M,5.659B,1.915B,1.06B,-14.00M,6.502B,,AOR,Restated
2019-03,,3.831B,2.893B,6.724B,2.769B,834.00M,3.603B,,11.02B,,,,,,,,498.00M,,,630.00M,21.29B,218.00M,-20.00M,21.05B,4.202B,188.00M,27.34B,38.18B,,208.00M,,5.022B,5.23B,,5.23B,,,,5.44B,2.446B,,2.446B,21.62B,959.00M,247.00M,69.00M,25.59B,31.74B,,2.00M,5.448B,1.917B,976.00M,-25.00M,6.366B,,AOR,Restated
2018-12,,4.322B,2.797B,7.119B,2.863B,860.00M,3.723B,,11.45B,,,,,,,,490.00M,,,633.00M,21.05B,219.00M,-20.00M,20.81B,4.004B,186.00M,26.78B,38.54B,,131.00M,,5.971B,6.102B,,6.102B,300.00M,300.00M,300.00M,6.558B,2.448B,,2.448B,21.67B,799.00M,232.00M,82.00M,25.43B,32.32B,,2.00M,5.236B,1.871B,927.00M,-39.00M,6.143B,,AOR,Restated
2018-09,,3.50B,2.696B,6.196B,3.343B,849.00M,4.192B,99.00M,11.04B,29.00M,350.00M,665.00M,,16.00M,1.06B,-574.00M,486.00M,478.00M,161.00M,639.00M,20.67B,203.00M,-21.00M,20.44B,3.879B,203.00M,25.51B,37.41B,,206.00M,,6.084B,6.29B,,6.29B,,,,6.476B,2.449B,,2.449B,19.94B,1.189B,247.00M,84.00M,24.06B,30.96B,,2.00M,5.032B,1.808B,447.00M,-27.00M,6.368B,,AOR,Restated
