,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,NotesReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.409M,,1.409M,157.99M,157.99M,246.87M,246.87M,22.76M,,429.03M,200.91M,,200.91M,,200.91M,600.23M,,,188.12M,9.209B,9.638B,,111.00M,115.80M,29.95M,256.74M,44.76M,301.50M,,,,,,,301.50M,4.977B,195.59M,5.172B,,,24.39M,856.29M,49.01M,6.077B,6.379B,,47.73M,-2.686B,5.881B,44.76M,-9.144M,3.234B,,AOR,
2020-09,0.927M,,0.927M,157.00M,157.00M,197.31M,197.31M,23.27M,,378.51M,201.75M,,201.75M,,201.75M,646.36M,,,173.83M,9.173B,9.551B,,102.20M,115.06M,49.24M,266.49M,30.61M,297.10M,230.00M,230.00M,230.00M,,,,527.10M,4.688B,196.35M,4.884B,,,20.80M,759.99M,46.86M,5.691B,6.218B,,47.71M,-2.501B,5.776B,44.76M,-10.49M,3.313B,,AOR,
2020-06,0.833M,,0.833M,155.96M,155.96M,131.58M,131.58M,22.04M,,310.42M,202.59M,,202.59M,,202.59M,598.06M,,,181.88M,9.254B,9.564B,,111.26M,115.25M,31.95M,258.47M,47.09M,305.56M,185.00M,185.00M,185.00M,,,,490.56M,4.582B,197.09M,4.779B,,,17.62M,834.47M,45.61M,5.659B,6.150B,,47.72M,-2.433B,5.794B,44.76M,-11.94M,3.397B,,AOR,
2020-03,0.98M,,0.98M,151.54M,151.54M,95.24M,95.24M,21.95M,,269.72M,203.41M,,203.41M,,203.41M,588.40M,,,179.30M,9.421B,9.691B,,82.25M,115.26M,33.13M,230.65M,31.49M,262.14M,215.00M,215.00M,215.00M,,,,477.14M,4.670B,197.83M,4.868B,,,14.28M,819.13M,48.47M,5.736B,6.213B,,49.15M,-2.361B,5.788B,46.20M,-12.87M,3.464B,,AOR,
2019-12,8.106M,,8.106M,153.65M,153.65M,69.75M,69.75M,25.18M,,256.70M,204.22M,,204.22M,,204.22M,588.26M,,,186.30M,9.380B,9.636B,,90.03M,109.38M,29.44M,228.86M,45.20M,274.06M,300.00M,300.00M,300.00M,,,,574.06M,4.408B,198.56M,4.606B,,,30.77M,1.019B,48.35M,5.673B,6.247B,,49.15M,-2.462B,5.782B,46.20M,-10.45M,3.359B,,AOR,
2019-09,1.895M,,1.895M,37.90M,37.90M,21.84M,21.84M,21.65M,,83.28M,135.89M,,135.89M,,135.89M,791.18M,,,145.30M,8.614B,8.698B,,72.68M,108.94M,42.03M,223.65M,27.58M,251.23M,60.00M,60.00M,60.00M,,,,311.23M,3.876B,130.14M,4.006B,,,25.21M,1.072B,36.38M,5.115B,5.426B,,49.13M,-2.496B,5.703B,46.20M,-9.022M,3.247B,,AOR,Restated
2019-06,0.981M,,0.981M,37.49M,37.49M,,,23.04M,,61.52M,93.94M,,93.94M,,93.94M,769.00M,,,140.19M,8.136B,8.197B,,63.25M,105.61M,23.92M,192.78M,42.03M,234.81M,392.00M,392.00M,392.00M,,,,626.81M,3.479B,88.10M,3.567B,,,18.61M,1.001B,35.22M,4.602B,5.229B,,49.03M,-2.337B,5.245B,46.20M,-7.838M,2.949B,,AOR,Restated
2019-03,1.043M,,1.043M,36.97M,36.97M,,,23.11M,,61.13M,94.14M,,94.14M,,94.14M,749.10M,,,134.90M,7.895B,7.956B,,65.33M,105.55M,27.20M,198.09M,29.40M,227.48M,,,,,,,227.48M,3.590B,88.22M,3.678B,,,13.38M,1.051B,36.33M,4.766B,4.993B,,49.02M,-2.281B,5.184B,46.20M,-2.97M,2.949B,,AOR,Restated
2018-12,185.22M,,185.22M,42.26M,42.26M,,,23.68M,,251.15M,,,0.00,,0.00,780.87M,,,137.71M,7.461B,7.712B,,76.34M,97.67M,20.61M,194.62M,38.75M,233.36M,101.12M,101.12M,101.12M,,,,334.48M,3.447B,0.00,3.447B,,,17.15M,972.74M,35.06M,4.454B,4.789B,,48.96M,-2.064B,4.921B,46.20M,-0.067M,2.906B,,AOR,Restated
2018-09,1.084M,,1.084M,41.01M,41.01M,347.01M,347.01M,27.00M,,416.10M,,,,,,767.38M,,,140.98M,7.263B,7.679B,,73.81M,95.37M,38.58M,207.76M,27.75M,235.52M,415.00M,415.00M,415.00M,,,,650.52M,3.396B,,3.396B,,,14.21M,992.80M,31.82M,4.421B,5.071B,,48.88M,-2.075B,4.620B,46.20M,0.202M,2.593B,,AOR,Restated
