,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,302.38M,302.38M,251.12M,51.27M,11.98M,11.98M,,-25.43M,,,38.90M,,-38.90M,6.153M,20.20M,31.06M,,38.90M,-38.90M,37.06M,-38.90M,29.22M,0.668M,28.55M,,,-2.019M,1.051M,26.53M,-5.270M,70.20M,2.074M,68.12M,,0.09,,,,-0.0181,0.09,,0.09,,,,-0.0179,0.09,,294.30M,294.80M,0.36,,AOR,
2020-09,310.04M,310.04M,258.54M,51.50M,11.96M,11.96M,,0.00,,,62.27M,2.183M,-60.08M,5.543M,21.39M,30.12M,2.183M,62.27M,-60.08M,2.94M,-60.08M,-27.03M,0.187M,-27.22M,,,1.959M,1.051M,-25.26M,-25.26M,191.07M,155.84M,35.24M,,-0.09,,,,-0.09,-0.09,,-0.09,,,,-0.09,-0.09,,294.71M,295.00M,0.36,,AOR,
2020-06,307.26M,307.26M,257.58M,49.67M,10.97M,10.97M,,-0.102M,,,38.60M,2.421M,-36.18M,6.10M,19.10M,30.58M,2.421M,38.60M,-36.18M,69.22M,-36.18M,63.62M,1.526M,62.10M,,,-4.325M,1.062M,57.77M,-1.962M,259.30M,157.08M,102.22M,,0.19,,,,-0.0127,0.19,,0.19,,,,-0.0124,0.19,,294.71M,295.09M,0.36,,AOR,
2020-03,321.48M,321.48M,259.31M,62.17M,14.98M,14.98M,,-1.251M,,,39.32M,2.70M,-36.62M,4.966M,21.97M,40.20M,2.70M,39.32M,-36.62M,2.116M,-36.62M,5.704M,0.164M,5.54M,,,-0.319M,1.066M,5.221M,6.436M,202.52M,157.50M,45.02M,,0.01,,,,0.0141,0.01,,0.01,,,,0.0141,0.01,,294.46M,295.16M,0.3425,,AOR,
2019-12,304.82M,304.82M,239.68M,65.14M,14.53M,14.53M,,-1.316M,,,60.44M,2.406M,-58.03M,2.80M,19.04M,46.10M,2.406M,60.44M,-58.03M,117.17M,-58.03M,105.24M,0.002M,105.24M,,,-7.598M,1.031M,97.64M,98.95M,310.85M,145.18M,165.67M,,0.33,,,,0.3345,0.33,,0.33,,,,0.3345,0.33,,293.19M,294.18M,0.3425,,AOR,
2019-09,295.39M,295.39M,221.06M,74.34M,12.20M,12.20M,,1.088M,,,42.52M,1.875M,-40.65M,2.751M,16.57M,57.77M,1.875M,42.52M,-40.65M,13.80M,-40.65M,30.92M,1.499M,29.42M,,,-2.218M,1.031M,27.20M,26.17M,202.45M,129.01M,73.44M,,0.09,,,,0.0864,0.09,,0.09,,,,0.0864,0.09,,288.71M,289.53M,0.3425,,AOR,Restated
2019-06,281.31M,281.31M,204.67M,76.64M,12.34M,12.34M,,-0.246M,,,34.42M,1.31M,-33.11M,2.735M,16.75M,59.89M,1.31M,34.42M,-33.11M,11.66M,-33.11M,38.44M,0.125M,38.32M,,,-2.699M,1.031M,35.62M,30.60M,192.47M,119.61M,72.86M,,0.12,,,,0.1022,0.12,,0.12,,,,0.1022,0.12,,281.96M,282.58M,0.3425,,AOR,Restated
2019-03,270.67M,270.67M,198.41M,72.26M,12.47M,12.47M,,0.00,,,33.54M,9.813M,-23.73M,5.646M,19.77M,52.49M,9.813M,33.54M,-23.73M,0.049M,-23.73M,28.81M,2.212M,26.60M,,,-2.099M,1.011M,24.50M,24.50M,176.48M,114.12M,62.36M,,0.08,,,,0.08,0.08,,0.08,,,,0.08,0.08,,277.00M,277.56M,0.3225,,AOR,Restated
2018-12,267.67M,267.67M,191.07M,76.60M,10.96M,10.96M,,0.243M,,,38.23M,1.66M,-36.57M,3.952M,16.52M,60.08M,1.66M,38.23M,-36.57M,66.18M,-36.57M,89.68M,0.07M,89.62M,,,-7.476M,0.971M,82.14M,16.05M,236.00M,108.08M,127.91M,,0.0565,,0.00,,-0.1881,0.30,,0.0564,,0.2434,,-0.1876,0.30,,270.13M,270.87M,0.3225,,AOR,Restated
2018-09,266.14M,266.14M,193.56M,72.58M,11.90M,11.90M,,-0.678M,,,34.40M,1.188M,-33.21M,3.314M,16.89M,55.69M,1.188M,34.40M,-33.21M,-2.06M,-33.21M,20.42M,0.158M,20.26M,,,-1.648M,0.971M,18.61M,19.28M,164.38M,109.56M,54.82M,,0.07,,,,0.0725,0.07,,0.07,,,,0.0725,0.07,,267.73M,268.86M,0.3225,,AOR,Restated
