,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,-27.22M,,0.00,-2.94M,21.60M,155.84M,155.84M,,,,4.278M,-3.432M,,,-2.346M,-8.958M,,-11.30M,139.58M,,-45.16M,,,-46.35M,,-1.053M,-130.84M,,237.04M,-70.00M,167.04M,0.00,-19.80M,-19.80M,,,,-106.23M,-1.035M,-107.27M,-47.40M,-7.416M,,22.88M,1.324M,24.20M,,0.00,565.41M,-328.37M,-19.80M,-0.46M,57.23M,,AOR,
2020-06,62.10M,,-61.30M,-8.021M,-69.32M,157.08M,157.08M,,,,4.00M,9.418M,,,-20.40M,38.41M,,18.01M,181.56M,,-35.98M,,,-3.902M,,-4.44M,52.15M,,-201.46M,85.00M,-116.46M,0.00,,0.00,,,,-106.16M,-1.10M,-107.26M,-10.04M,-233.76M,,22.93M,-0.053M,22.88M,,0.00,-57.62M,-143.84M,,1.001M,27.32M,,AOR,
2020-03,5.54M,,,-3.367M,-3.367M,157.50M,157.50M,,,,6.808M,-1.215M,,,0.114M,-31.67M,,-31.55M,135.46M,,-35.46M,,,-16.14M,,-0.90M,-214.04M,,266.75M,-85.00M,181.75M,0.00,,0.00,,,,-100.93M,-1.015M,-101.94M,-11.58M,68.23M,,33.29M,-10.36M,22.93M,,0.00,269.53M,-2.781M,,0.323M,57.32M,,AOR,
2019-12,105.24M,,0.00,-118.49M,-124.77M,145.18M,145.18M,,,,11.31M,32.14M,,,-11.00M,14.66M,,3.655M,173.83M,,-59.63M,,,-32.23M,,-115.75M,-303.88M,,-17.58M,240.00M,222.42M,63.31M,0.00,63.31M,,,,-100.37M,-1.047M,-101.42M,-44.50M,139.81M,,23.54M,9.75M,33.29M,,63.31M,583.01M,-401.71M,0.00,-1.953M,-125.30M,,AOR,
2019-09,29.42M,,0.00,-12.71M,-6.43M,129.01M,129.01M,,,,2.704M,1.228M,,,2.215M,11.28M,,13.50M,170.46M,,-47.33M,,,-15.86M,,-0.405M,-576.81M,,111.86M,-41.12M,70.75M,449.14M,0.00,449.14M,,,,-97.29M,-1.015M,-98.30M,-15.71M,405.87M,,24.02M,-0.482M,23.54M,,449.14M,570.51M,-458.65M,0.00,0.545M,57.82M,,AOR,Restated
2019-06,38.32M,,-5.282M,-6.625M,-11.91M,119.61M,119.61M,,,,4.379M,2.677M,,,-4.461M,-0.631M,,-5.092M,149.09M,,-42.78M,,,-25.38M,,-0.52M,-346.24M,,269.02M,11.12M,280.13M,20.69M,,20.69M,,,,-96.51M,-1.042M,-97.55M,-6.244M,197.02M,,24.15M,-0.131M,24.02M,,20.69M,269.95M,-0.938M,,1.167M,23.20M,,AOR,Restated
2019-03,26.60M,,,-0.049M,-0.049M,114.12M,114.12M,,,,5.937M,3.91M,,,2.295M,-17.46M,,-15.17M,137.33M,,-34.61M,,,-31.74M,,5.285M,-459.75M,,53.33M,-11.12M,42.22M,192.18M,,192.18M,,,,-88.91M,-0.959M,-89.87M,-6.847M,137.68M,,208.89M,-184.74M,24.15M,,192.18M,54.29M,-0.962M,,0.241M,44.27M,,AOR,Restated
2018-12,89.62M,,-65.90M,-0.036M,-65.93M,108.08M,108.08M,,,,3.55M,2.89M,,,-0.681M,15.03M,,14.34M,153.95M,,-37.86M,,,-26.97M,,-1.25M,89.56M,,52.23M,-313.88M,-261.66M,299.82M,0.00,299.82M,,,,-86.56M,-0.982M,-87.54M,-13.33M,-62.70M,,28.08M,180.81M,208.89M,,299.82M,270.75M,-417.41M,0.00,,,,AOR,Restated
2018-09,20.26M,,0.00,1.382M,1.382M,109.56M,109.56M,,,,3.612M,-0.151M,,,2.503M,12.98M,,15.48M,151.62M,,-33.23M,,,-43.51M,,-0.30M,-91.85M,,0.896M,60.00M,60.90M,0.00,0.00,0.00,,,,-86.33M,-0.96M,-87.29M,-36.21M,-62.60M,,30.91M,-2.832M,28.08M,,0.00,81.06M,-80.17M,0.00,,,,AOR,Restated
2018-06,22.44M,,0.00,2.032M,2.032M,108.20M,108.20M,,,,3.578M,0.514M,,,-19.26M,4.642M,,-14.62M,122.84M,,-30.92M,,,-21.81M,,-1.24M,-86.67M,,16.11M,55.00M,71.11M,0.00,0.00,0.00,,,,-86.31M,-0.979M,-87.28M,-9.939M,-26.12M,,20.85M,10.06M,30.91M,,0.00,-7.76M,23.87M,0.00,,,,AOR,Restated
2018-03,89.22M,,-70.30M,1.677M,-68.62M,109.83M,109.83M,,,,3.504M,1.745M,,,3.56M,-7.66M,,-4.10M,132.26M,,-15.20M,,,-20.74M,,-20.00M,-24.59M,,9.768M,0.00,9.768M,0.00,-19.99M,-19.99M,,,,-83.05M,-0.915M,-83.97M,-14.46M,-108.65M,,21.83M,-0.977M,20.85M,,0.00,35.94M,-26.17M,-19.99M,,,,AOR,Restated
2017-12,75.63M,,-41.27M,-19.67M,-60.94M,111.05M,111.05M,,,,2.79M,7.398M,,,-1.226M,-5.868M,,-7.094M,129.64M,,-31.25M,,,-21.67M,,-0.875M,-24.04M,,-306.28M,,-6.281M,,0.00,0.00,,,,-83.00M,-0.932M,-83.94M,-15.76M,-105.98M,,22.20M,-0.371M,21.83M,,,294.85M,-301.13M,0.00,,,,AOR,Restated
