,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,1.785B,-220.00M,-220.00M,,,150.00M,150.00M,66.00M,,52.00M,,322.00M,-530.00M,-261.00M,844.00M,,,45.00M,98.00M,2.253B,,-151.00M,-59.00M,,-806.00M,-100.00M,3.00M,-1.054B,,0.00,,0.00,,-1.03B,-1.03B,-399.00M,-399.00M,9.00M,45.00M,-1.375B,,12.40B,-176.00M,191.00M,12.42B,,,0.00,,-1.03B,,AOR,
2020-09,1.513B,91.00M,91.00M,,,141.00M,141.00M,-22.00M,,75.00M,,328.00M,218.00M,-612.00M,-62.00M,,,-16.00M,-472.00M,1.654B,,-165.00M,-79.00M,,0.00,-40.00M,6.00M,-199.00M,,0.00,,0.00,,-2.06B,-2.06B,-402.00M,-402.00M,23.00M,-29.00M,-2.468B,,13.30B,-1.013B,115.00M,12.40B,,,0.00,0.00,-2.06B,,AOR,
2020-06,1.42B,-75.00M,-75.00M,,,145.00M,145.00M,3.00M,,75.00M,,179.00M,-316.00M,-348.00M,165.00M,,,210.00M,-289.00M,1.458B,,-183.00M,-70.00M,,-183.00M,76.00M,171.00M,-119.00M,,0.00,,0.00,,0.00,0.00,-401.00M,-401.00M,34.00M,-42.00M,-409.00M,,12.33B,930.00M,39.00M,13.30B,,,0.00,0.00,0.00,,AOR,
2020-03,1.693B,174.00M,174.00M,,,144.00M,144.00M,26.00M,,52.00M,,257.00M,1.828B,-331.00M,-2.35B,,,366.00M,-487.00M,1.859B,,-209.00M,-131.00M,,,-121.00M,-177.00M,-507.00M,,3.959B,,3.959B,,-1.383B,-1.383B,-403.00M,-403.00M,31.00M,-104.00M,2.10B,,8.969B,3.452B,-88.00M,12.33B,,,3.959B,,-1.383B,,AOR,
2019-12,2.10B,-119.00M,-119.00M,,,146.00M,146.00M,-21.00M,,43.00M,,266.00M,-443.00M,-221.00M,914.00M,,,315.00M,565.00M,2.98B,,-185.00M,-116.00M,,-270.00M,-3.00M,-2.00M,-460.00M,,744.00M,,744.00M,,-994.00M,-994.00M,-333.00M,-333.00M,19.00M,-18.00M,-582.00M,,6.972B,1.938B,59.00M,8.969B,,,744.00M,0.00,-994.00M,,AOR,Restated
2019-09,2.108B,100.00M,100.00M,,,137.00M,137.00M,-51.00M,,77.00M,,264.00M,-1.025B,-425.00M,1.133B,,,37.00M,-280.00M,2.355B,,-219.00M,-132.00M,,-447.00M,40.00M,0.00,-626.00M,,0.00,,0.00,,-1.762B,-1.762B,-335.00M,-335.00M,16.00M,-44.00M,-2.125B,,7.445B,-396.00M,-77.00M,6.972B,,,0.00,0.00,-1.762B,,AOR,Restated
2019-06,2.048B,-153.00M,-153.00M,,,122.00M,122.00M,27.00M,,73.00M,,289.00M,-130.00M,-518.00M,-113.00M,,,-109.00M,-870.00M,1.536B,,-182.00M,-91.00M,,-723.00M,129.00M,9.00M,-767.00M,,1.48B,,1.48B,,-1.917B,-1.917B,-337.00M,-337.00M,37.00M,-200.00M,-937.00M,,7.585B,-168.00M,28.00M,7.445B,,,1.98B,-500.00M,-1.917B,,AOR,Restated
2019-03,1.862B,5.00M,5.00M,,,117.00M,117.00M,38.00M,,57.00M,,346.00M,706.00M,-497.00M,-1.504B,,,182.00M,-1.113B,1.312B,,-142.00M,-83.00M,,,366.00M,-11.00M,213.00M,,0.00,,0.00,,-1.824B,-1.824B,-340.00M,-340.00M,54.00M,-113.00M,-2.223B,,8.337B,-698.00M,-54.00M,7.585B,,,0.00,,-1.824B,,AOR,Restated
2018-12,899.00M,,,,,113.00M,113.00M,-35.00M,,43.00M,,370.00M,-1.237B,-595.00M,1.825B,,,-51.00M,-58.00M,1.332B,,-123.00M,-75.00M,,0.00,-147.00M,1.00M,-269.00M,,0.00,,0.00,,-888.00M,-888.00M,-259.00M,-259.00M,12.00M,2.00M,-1.133B,,8.478B,-70.00M,-71.00M,8.337B,,,0.00,0.00,-888.00M,,AOR,Restated
2018-09,1.899B,,,,,111.00M,111.00M,-102.00M,,55.00M,,313.00M,75.00M,-331.00M,316.00M,,,31.00M,91.00M,2.367B,,-130.00M,-83.00M,,0.00,-102.00M,1.00M,-231.00M,,0.00,,0.00,,-1.164B,-1.164B,-260.00M,-260.00M,25.00M,-18.00M,-1.417B,,7.768B,719.00M,-9.00M,8.478B,,,0.00,0.00,-1.164B,,AOR,Restated
2018-06,1.569B,,,,,115.00M,115.00M,-61.00M,,55.00M,,295.00M,-117.00M,-507.00M,181.00M,,,-41.00M,-484.00M,1.489B,,-125.00M,-90.00M,,0.00,-244.00M,-4.00M,-373.00M,,0.00,,0.00,,-1.529B,-1.529B,-262.00M,-262.00M,27.00M,13.00M,-1.751B,,8.424B,-635.00M,-21.00M,7.768B,,,0.00,0.00,-1.529B,,AOR,Restated
2018-03,1.492B,,,,,120.00M,120.00M,-46.00M,,43.00M,,288.00M,-236.00M,-336.00M,-64.00M,,,-226.00M,-862.00M,1.035B,,-126.00M,-82.00M,,,505.00M,-12.00M,367.00M,,991.00M,,991.00M,,-1.352B,-1.352B,-263.00M,-263.00M,40.00M,-81.00M,-665.00M,,7.592B,737.00M,95.00M,8.424B,,,991.00M,,-1.352B,,AOR,Restated
2017-12,227.00M,,,,,116.00M,116.00M,142.00M,,39.00M,,444.00M,-308.00M,-116.00M,754.00M,,,525.00M,855.00M,1.823B,,-122.00M,-86.00M,,0.00,6.00M,-42.00M,-158.00M,,0.00,,0.00,,-1.031B,-1.031B,-233.00M,-233.00M,9.00M,-15.00M,-1.27B,,7.191B,395.00M,6.00M,7.592B,,,0.00,0.00,-1.031B,,AOR,Restated
2017-09,1.43B,,,,,118.00M,118.00M,-33.00M,,49.00M,,252.00M,-63.00M,-306.00M,313.00M,,,29.00M,-27.00M,1.789B,,-133.00M,-100.00M,,-224.00M,-45.00M,24.00M,-378.00M,,0.00,,0.00,,-838.00M,-838.00M,-235.00M,-235.00M,12.00M,19.00M,-1.042B,,6.751B,369.00M,71.00M,7.191B,,,0.00,0.00,-838.00M,,AOR,Restated
2017-06,1.177B,,,,,111.00M,111.00M,-31.00M,,49.00M,,256.00M,-251.00M,-320.00M,238.00M,,,96.00M,-237.00M,1.325B,,-74.00M,-50.00M,,-951.00M,-121.00M,24.00M,-1.122B,,-64.00M,,-64.00M,,-931.00M,-931.00M,-236.00M,-236.00M,17.00M,-1.00M,-1.215B,,7.675B,-1.012B,88.00M,6.751B,,,,-64.00M,-931.00M,,AOR,Restated
2017-03,1.081B,,,,,92.00M,92.00M,8.00M,,39.00M,,275.00M,-112.00M,-660.00M,-44.00M,,,48.00M,-768.00M,727.00M,,-94.00M,-64.00M,,,-22.00M,-7.00M,-123.00M,,0.00,,0.00,,-962.00M,-962.00M,-238.00M,-238.00M,19.00M,-56.00M,-1.237B,,8.273B,-633.00M,35.00M,7.675B,,,0.00,,-962.00M,,AOR,Restated
2016-12,933.00M,,,,,92.00M,92.00M,-19.00M,,35.00M,,284.00M,-106.00M,-255.00M,351.00M,,,-221.00M,-231.00M,1.094B,,-102.00M,-59.00M,,0.00,60.00M,4.00M,-38.00M,,1.972B,,1.972B,,-1.101B,-1.101B,-207.00M,-207.00M,6.00M,5.00M,675.00M,,5.205B,1.731B,-109.00M,8.273B,,,,0.00,-1.101B,,AOR,Restated
2016-09,1.184B,,,,,93.00M,93.00M,7.00M,,25.00M,,237.00M,-218.00M,-296.00M,358.00M,,,34.00M,-122.00M,1.424B,,-99.00M,-55.00M,,0.00,-531.00M,0.00,-630.00M,,0.00,,0.00,,-591.00M,-591.00M,-209.00M,-209.00M,15.00M,12.00M,-773.00M,,5.176B,21.00M,8.00M,5.205B,,,,0.00,-591.00M,,AOR,Restated
2016-06,983.00M,,,,,93.00M,93.00M,12.00M,,31.00M,,179.00M,-4.00M,-342.00M,122.00M,,,-13.00M,-237.00M,1.061B,,-106.00M,-64.00M,,0.00,-10.00M,6.00M,-110.00M,,0.00,,0.00,,-462.00M,-462.00M,-209.00M,-209.00M,12.00M,8.00M,-651.00M,,4.894B,300.00M,-18.00M,5.176B,,,,0.00,-462.00M,,AOR,Restated
2016-03,959.00M,,,,,95.00M,95.00M,-20.00M,,10.00M,,189.00M,-21.00M,-180.00M,-83.00M,,,109.00M,-175.00M,1.058B,,-75.00M,-37.00M,,,-302.00M,-8.00M,-385.00M,,,,,,-1.357B,-1.357B,-212.00M,-212.00M,4.00M,-30.00M,-1.595B,,5.747B,-922.00M,69.00M,4.894B,,,,,-1.357B,,AOR,Restated
