,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,4.995B,4.12B,970.00M,3.15B,242.00M,636.00M,878.00M,,,-45.00M,,105.00M,,-105.00M,,1.028B,2.122B,,105.00M,-105.00M,151.00M,-105.00M,2.168B,383.00M,1.785B,,,1.785B,1.659B,2.423B,150.00M,2.273B,,1.79,,,1.664,1.79,,1.78,,,1.654,1.78,,999.00M,1.000B,0.84,,AOR,
2020-09,4.792B,3.837B,940.00M,2.897B,168.00M,460.00M,628.00M,,,0.00,,105.00M,,-105.00M,,769.00M,2.128B,,105.00M,-105.00M,-108.00M,-105.00M,1.915B,402.00M,1.513B,,,1.513B,1.601B,2.161B,141.00M,2.02B,,1.51,,,1.598,1.51,,1.51,,,1.597,1.51,,1.001B,1.005B,0.40,,AOR,
2020-06,4.012B,3.335B,915.00M,2.42B,93.00M,434.00M,527.00M,,,-22.00M,,101.00M,,-101.00M,,672.00M,1.748B,,101.00M,-101.00M,43.00M,-101.00M,1.69B,270.00M,1.42B,,,1.42B,1.385B,1.936B,145.00M,1.791B,,1.41,,,1.375,1.41,,1.41,,,1.375,1.41,,1.004B,1.008B,0.40,,AOR,
2020-03,5.10B,4.009B,962.00M,3.047B,154.00M,584.00M,738.00M,,,-6.00M,,69.00M,,-69.00M,,882.00M,2.165B,,69.00M,-69.00M,-109.00M,-69.00M,1.987B,294.00M,1.693B,,,1.693B,1.788B,2.20B,144.00M,2.056B,,1.68,,,1.775,1.68,,1.68,,,1.774,1.68,,1.005B,1.010B,0.40,,AOR,
2019-12,5.489B,4.414B,936.00M,3.478B,290.00M,623.00M,913.00M,,,0.00,,64.00M,,-64.00M,,1.059B,2.419B,,64.00M,-64.00M,120.00M,-64.00M,2.475B,375.00M,2.10B,,,2.10B,1.999B,2.685B,146.00M,2.539B,,2.08,,,1.980,2.08,,2.07,,,1.970,2.07,,1.008B,1.013B,0.33,,AOR,Restated
2019-09,5.47B,4.467B,937.00M,3.53B,227.00M,513.00M,740.00M,,,0.00,,63.00M,,-63.00M,,877.00M,2.653B,,63.00M,-63.00M,-56.00M,-63.00M,2.534B,426.00M,2.108B,,,2.108B,2.168B,2.734B,137.00M,2.597B,,2.08,,,2.139,2.08,,2.07,,,2.129,2.07,,1.013B,1.019B,0.33,,AOR,Restated
2019-06,5.107B,4.113B,853.00M,3.26B,225.00M,503.00M,728.00M,,,0.00,,51.00M,,-51.00M,,850.00M,2.41B,,51.00M,-51.00M,160.00M,-51.00M,2.519B,471.00M,2.048B,,,2.048B,1.923B,2.692B,122.00M,2.57B,,2.01,,,1.887,2.01,,2.00,,,1.878,2.00,,1.020B,1.025B,0.33,,AOR,Restated
2019-03,4.79B,3.889B,811.00M,3.078B,192.00M,555.00M,747.00M,,,0.00,,46.00M,,-46.00M,,864.00M,2.214B,,46.00M,-46.00M,35.00M,-46.00M,2.203B,341.00M,1.862B,,,1.862B,1.836B,2.366B,117.00M,2.249B,,1.81,,,1.784,1.81,,1.80,,,1.775,1.80,,1.026B,1.032B,0.33,,AOR,Restated
2018-12,4.782B,3.807B,843.00M,2.964B,303.00M,564.00M,867.00M,,,-757.00M,,47.00M,,-47.00M,,980.00M,1.984B,,47.00M,-47.00M,-722.00M,-47.00M,1.215B,316.00M,899.00M,,,899.00M,1.422B,1.375B,113.00M,1.262B,,0.87,,,1.377,0.87,,0.87,,,1.374,0.87,,1.032B,1.038B,0.00,,AOR,Restated
2018-09,4.814B,3.898B,822.00M,3.076B,203.00M,444.00M,647.00M,,,-29.00M,,48.00M,,-48.00M,,758.00M,2.318B,,48.00M,-48.00M,-6.00M,-48.00M,2.264B,365.00M,1.899B,,,1.899B,1.899B,2.423B,111.00M,2.312B,,1.83,,,1.83,1.83,,1.82,,,1.82,1.82,,1.037B,1.043B,0.25,,AOR,Restated
