,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2010-06,2.323B,1.13B,3.453B,928.00M,,928.00M,332.00M,481.00M,271.00M,78.00M,5.543B,,,,,,752.00M,-317.00M,435.00M,267.00M,390.00M,657.00M,170.00M,,131.00M,148.00M,1.889B,7.432B,,700.00M,,,700.00M,1.514B,2.214B,,,,,,,604.00M,2.818B,19.00M,,19.00M,74.00M,74.00M,4.00M,8.00M,,392.00M,489.00M,3.307B,,0.00,2.022B,3.417B,1.25B,1.00M,-15.00M,-58.00M,,-72.00M,4.117B,,AOR,Restated
2010-03,2.119B,982.00M,3.101B,915.00M,,915.00M,278.00M,444.00M,276.00M,92.00M,5.106B,,,,,,747.00M,-314.00M,433.00M,293.00M,408.00M,701.00M,395.00M,,182.00M,123.00M,2.18B,7.286B,,684.00M,30.00M,,714.00M,1.511B,2.225B,,,,,,,597.00M,2.822B,21.00M,,21.00M,74.00M,74.00M,125.00M,8.00M,,412.00M,632.00M,3.454B,,0.00,1.583B,3.403B,1.25B,-4.00M,-15.00M,107.00M,,88.00M,3.824B,,AOR,Restated
2009-12,2.055B,824.00M,2.879B,995.00M,,995.00M,313.00M,446.00M,244.00M,126.00M,5.003B,0.00,392.00M,307.00M,,54.00M,753.00M,-304.00M,449.00M,309.00M,415.00M,724.00M,518.00M,,264.00M,184.00M,2.467B,7.47B,,768.00M,,,768.00M,1.225B,1.993B,,,,,,,1.174B,3.167B,22.00M,,22.00M,80.00M,80.00M,,8.00M,,689.00M,791.00M,3.958B,,0.00,1.148B,3.412B,1.25B,-3.00M,-15.00M,212.00M,,194.00M,3.504B,,AOR,Restated
2009-09,2.316B,629.68M,2.946B,930.55M,,930.55M,268.21M,260.77M,277.97M,69.10M,4.753B,,,,,,762.41M,-311.50M,450.92M,314.43M,410.53M,724.96M,232.75M,,358.78M,97.26M,2.187B,6.939B,,702.10M,,,702.10M,1.048B,1.750B,,,,,,,1.041B,2.791B,21.69M,,21.69M,76.19M,76.19M,,7.713M,,824.90M,922.78M,3.714B,,0.014M,873.42M,3.384B,1.25B,-4.115M,-40.08M,254.00M,,209.80M,3.218B,,AOR,Restated
2009-06,2.048B,605.40M,2.654B,1.171B,,1.171B,284.65M,243.33M,262.76M,75.04M,4.690B,,,,,,764.68M,-307.94M,456.75M,300.36M,397.34M,697.71M,223.91M,,502.16M,106.44M,2.294B,6.984B,,869.51M,,,869.51M,955.28M,1.825B,,,,,,,1.157B,2.982B,20.56M,,20.56M,73.67M,73.67M,,7.772M,,1.234B,1.328B,4.310B,,0.014M,440.90M,3.347B,1.25B,-16.80M,-41.32M,186.92M,,128.80M,2.666B,,AOR,Restated
2009-03,1.678B,597.67M,2.276B,1.088B,,1.088B,206.57M,205.26M,257.58M,73.35M,4.107B,0.00,383.40M,309.62M,,50.85M,743.86M,-289.63M,454.23M,281.28M,375.51M,656.79M,228.15M,,553.34M,99.53M,2.308B,6.415B,,793.46M,,,793.46M,1.609B,2.402B,,,,,,,348.88M,2.751B,18.41M,,18.41M,69.44M,69.44M,898.88M,7.967M,,447.96M,1.435B,4.186B,,0.014M,111.48M,3.320B,1.25B,-17.98M,-42.17M,99.66M,,39.52M,2.221B,,AOR,Restated
2008-12,1.505B,742.10M,2.247B,1.153B,,1.351B,213.61M,183.24M,283.80M,32.62M,4.312B,0.00,216.67M,301.52M,,66.88M,585.07M,-278.27M,306.80M,297.99M,394.28M,692.28M,229.21M,,567.57M,66.40M,2.164B,6.476B,,794.58M,,,794.58M,1.032B,1.827B,,149.38M,,149.38M,,,1.014B,2.990B,19.39M,,19.39M,74.52M,74.52M,,4.62M,,1.460B,1.553B,4.544B,,0.014M,-236.10M,3.305B,1.25B,-23.00M,-43.21M,175.04M,,108.84M,1.927B,,AOR,Restated
2008-09,2.071B,833.64M,2.905B,610.76M,256.47M,867.23M,261.33M,142.36M,228.94M,665.68M,5.071B,,,,,,580.23M,-280.44M,299.79M,239.30M,370.96M,610.26M,,,654.48M,637.80M,2.202B,7.273B,,224.26M,,,224.26M,1.061B,1.286B,,149.38M,,149.38M,,,2.365B,3.800B,19.59M,,19.59M,76.18M,76.18M,,4.62M,,1.607B,1.703B,5.503B,,0.014M,-475.56M,3.309B,1.25B,,,197.60M,-16.34M,181.26M,1.765B,,,
2008-06,1.769B,719.02M,2.488B,575.49M,758.74M,1.334B,203.66M,143.20M,195.80M,34.51M,4.400B,,,,,,575.32M,-278.15M,297.18M,259.65M,374.89M,634.54M,,,732.62M,796.20M,2.461B,6.860B,,260.70M,,,260.70M,904.02M,1.165B,,,,,,,1.636B,2.801B,170.64M,,170.64M,83.94M,83.94M,,4.62M,,1.752B,2.007B,4.807B,,0.014M,-282.02M,3.304B,1.25B,,,293.50M,-17.49M,276.01M,2.048B,,,
2008-03,1.873B,790.20M,2.663B,527.06M,772.03M,1.299B,188.34M,134.24M,,140.00M,4.424B,,,,,,560.64M,-267.89M,292.75M,256.00M,345.36M,601.36M,,,285.50M,821.57M,2.001B,6.426B,,266.45M,,,266.45M,1.046B,1.313B,,80.00M,,80.00M,,,972.65M,2.365B,149.97M,,149.97M,76.36M,76.36M,,4.62M,,671.48M,897.82M,3.263B,,0.014M,464.58M,3.300B,894.64M,,,293.28M,-5.304M,287.98M,3.158B,,,Restated
2007-12,1.659B,1.311B,2.970B,532.63M,712.56M,1.245B,156.26M,142.05M,,78.26M,4.592B,0.00,262.71M,278.38M,,,541.09M,-250.89M,290.20M,239.63M,320.76M,560.38M,,,263.14M,554.57M,1.668B,6.260B,,252.39M,,,252.39M,1.072B,1.324B,,80.00M,,80.00M,,,959.39M,2.363B,149.82M,,149.82M,71.28M,71.28M,,4.62M,,643.67M,864.77M,3.228B,,0.014M,37.70M,3.312B,600.53M,,,216.65M,61.10M,277.75M,3.027B,,,
2007-09,1.687B,1.590B,3.278B,536.40M,343.60M,880.00M,167.36M,126.69M,,29.48M,4.481B,,,,,,529.32M,-248.95M,280.37M,233.08M,303.91M,536.99M,,,290.15M,546.15M,1.654B,6.135B,,246.27M,,,246.27M,968.86M,1.215B,,80.00M,,80.00M,60.49M,60.49M,641.13M,1.997B,149.75M,,149.75M,69.89M,69.89M,,4.62M,,741.26M,960.90M,2.958B,,0.014M,-226.37M,3.262B,277.16M,,,191.51M,223.20M,414.71M,3.173B,,,
2007-06,1.520B,1.310B,2.831B,480.94M,276.41M,757.35M,169.20M,122.15M,,109.25M,3.989B,,,,,,506.23M,-236.25M,269.98M,222.54M,286.29M,508.83M,,,278.34M,560.86M,1.618B,5.607B,,236.66M,,,236.66M,889.28M,1.126B,,80.00M,,80.00M,,,621.68M,1.828B,149.65M,,149.65M,67.03M,67.03M,,4.62M,,703.64M,920.32M,2.748B,,0.014M,-540.83M,3.268B,,,,144.51M,-18.16M,126.36M,2.854B,,,
2007-03,1.210B,1.299B,2.509B,450.37M,275.71M,726.08M,163.54M,112.37M,,97.38M,3.609B,,,,,,485.30M,-227.26M,258.03M,220.29M,281.81M,502.10M,,,274.43M,563.04M,1.598B,5.206B,,231.44M,,,231.44M,802.75M,1.034B,,,,,,,577.55M,1.612B,229.68M,,229.68M,66.82M,66.82M,,4.62M,,692.04M,988.54M,2.600B,,0.014M,-793.12M,3.275B,,,,133.35M,-14.35M,119.00M,2.601B,,,
2006-12,1.185B,1.299B,2.484B,451.26M,311.95M,763.21M,130.85M,109.90M,,89.35M,3.577B,0.00,233.46M,239.99M,,,473.45M,-220.72M,252.73M,217.01M,271.37M,488.39M,,,216.78M,547.34M,1.505B,5.082B,,278.66M,,,278.66M,936.43M,1.215B,,,,,,,596.51M,1.812B,229.67M,,229.67M,66.20M,66.20M,,4.62M,,606.04M,901.90M,2.713B,,0.014M,-1.029B,3.290B,,,,96.85M,6.811M,103.66M,2.364B,,,
2006-09,1.421B,903.28M,2.324B,444.95M,,444.95M,153.87M,,,435.22M,3.358B,,,,,,454.84M,-214.53M,240.32M,210.31M,268.69M,479.00M,,,239.88M,554.32M,1.514B,4.872B,,193.15M,,,193.15M,852.04M,1.045B,,,,,,,509.50M,1.555B,229.59M,,229.59M,64.07M,64.07M,,4.62M,,698.80M,992.46M,2.547B,,0.014M,-1.070B,3.297B,,,,96.01M,-2.433M,93.57M,2.320B,,,
2006-06,1.210B,871.42M,2.081B,410.32M,241.23M,651.55M,185.58M,,,243.37M,3.162B,,,,,,620.22M,-392.32M,227.90M,208.13M,272.31M,480.44M,,,229.08M,542.74M,1.480B,4.642B,,202.82M,,,202.82M,754.77M,957.58M,,,,,,,605.84M,1.563B,229.58M,,229.58M,64.41M,64.41M,,4.62M,,662.90M,956.89M,2.520B,,0.014M,-1.263B,3.302B,,,,87.29M,-9.494M,77.80M,2.117B,,,
2006-03,494.79M,812.18M,1.307B,324.47M,,324.47M,194.13M,,,420.49M,2.246B,,,,,,608.98M,-382.21M,226.76M,201.84M,270.56M,472.39M,,,217.11M,548.62M,1.465B,3.711B,,173.27M,,,173.27M,713.63M,886.90M,,,,,,,531.33M,1.418B,229.55M,,229.55M,62.64M,62.64M,,4.62M,,688.21M,980.40M,2.399B,,1.00M,272.26M,973.62M,,,,67.74M,-6.913M,60.83M,1.308B,,,
2005-12,545.27M,736.62M,1.282B,347.75M,,347.75M,167.21M,,,431.04M,2.228B,0.00,208.03M,395.91M,,,603.93M,-373.32M,230.61M,196.70M,273.85M,470.56M,,,225.03M,546.44M,1.473B,3.701B,,185.02M,,,185.02M,850.66M,1.036B,,,,,,,521.02M,1.557B,229.49M,,229.49M,61.19M,61.19M,,4.62M,,679.40M,970.07M,2.527B,,0.014M,145.52M,974.60M,,,,50.82M,-1.804M,49.01M,1.169B,,,
2004-12,329.00M,808.89M,1.138B,293.29M,,293.29M,120.37M,,,351.24M,1.903B,0.00,202.54M,369.69M,,,572.24M,-329.88M,242.36M,217.65M,328.98M,546.64M,,,235.02M,337.86M,1.362B,3.265B,,187.04M,,,187.04M,648.02M,835.05M,,,,,,,466.31M,1.301B,229.57M,,229.57M,73.23M,73.23M,,4.62M,,680.94M,983.74M,2.285B,,1.00M,-121.20M,967.37M,,,,127.48M,0.307M,127.79M,974.95M,,,
2003-12,374.17M,536.34M,910.51M,259.43M,,259.43M,92.19M,60.52M,,287.20M,1.610B,0.00,169.80M,351.98M,,25.00M,546.78M,-288.26M,258.52M,187.88M,327.63M,515.51M,196.14M,,223.91M,96.98M,1.291B,2.901B,,202.60M,,,202.60M,555.16M,757.77M,,,,,,,431.09M,1.189B,229.57M,,229.57M,64.12M,64.12M,,4.62M,,715.01M,1.009B,2.198B,,1.00M,-359.26M,967.37M,,9.476M,,83.21M,-3.069M,89.62M,698.72M,,AOR,
2003-09,414.64M,,414.64M,213.50M,,213.50M,124.07M,,,817.94M,1.570B,,,,,,250.42M,,250.42M,172.82M,310.10M,482.92M,,,256.58M,294.94M,1.285B,2.855B,,143.93M,,,143.93M,493.91M,637.84M,,,131.27M,131.27M,,,267.24M,1.036B,229.55M,607.24M,836.79M,70.70M,70.70M,,4.62M,,174.61M,1.082B,2.118B,,1.00M,-292.14M,967.37M,,,,,,55.70M,731.93M,,AOR,Restated
2003-06,305.01M,,305.01M,210.28M,,210.28M,130.44M,,,840.51M,1.486B,,,,,,255.64M,,255.64M,172.33M,312.57M,484.90M,,,241.62M,288.84M,1.271B,2.757B,,146.34M,,,146.34M,435.62M,581.96M,,,142.00M,142.00M,,,313.65M,1.038B,229.54M,593.08M,822.62M,71.15M,71.15M,,4.62M,,170.41M,1.064B,2.102B,,1.00M,-366.54M,967.37M,,,,,,49.00M,650.83M,,AOR,Restated
2003-03,141.22M,,141.22M,202.92M,,202.92M,126.98M,,,871.72M,1.343B,,,,,,251.09M,,251.09M,157.04M,300.63M,457.67M,,,235.35M,261.06M,1.205B,2.548B,,129.06M,,,129.06M,383.66M,512.72M,,,142.00M,142.00M,,,279.63M,934.35M,229.58M,579.00M,808.58M,68.08M,68.08M,,4.879M,,133.10M,1.010B,1.944B,,1.00M,-398.86M,967.37M,,,,,,29.52M,599.03M,,AOR,Restated
2002-12,336.47M,535.45M,871.92M,198.86M,,198.86M,67.28M,58.09M,,259.49M,1.456B,0.00,130.03M,329.03M,,25.78M,484.84M,-258.12M,226.72M,152.94M,285.70M,438.64M,6.563M,,41.34M,91.97M,805.24M,2.261B,,172.24M,,,172.24M,486.44M,658.68M,,,,,,,271.07M,929.74M,80.11M,,80.11M,67.44M,67.44M,,0.644M,,159.53M,307.08M,1.237B,,1.00M,26.53M,967.37M,,14.46M,,16.54M,-2.498M,28.51M,1.023B,,AOR,Restated
2002-09,269.94M,,269.94M,200.65M,,200.65M,92.72M,,,841.48M,1.405B,,,,,,215.84M,,215.84M,140.17M,271.85M,412.02M,,,53.85M,93.38M,775.09M,2.180B,,104.26M,,,104.26M,443.09M,547.35M,,,,,,,276.19M,823.54M,80.48M,,80.48M,,,,0.214M,,217.80M,298.28M,1.122B,,1.00M,78.02M,967.37M,,,,,,11.25M,1.058B,,AOR,
2002-06,309.40M,,309.40M,193.33M,,193.33M,85.91M,,,693.61M,1.282B,,,,,,213.16M,,213.16M,141.30M,276.74M,418.04M,,,51.48M,56.34M,739.01M,2.021B,,114.71M,,,114.71M,390.92M,505.63M,,67.57M,,67.57M,,,165.85M,739.05M,80.48M,,80.48M,,,,0.206M,,224.46M,304.94M,1.044B,,1.00M,0.085M,967.37M,,,,,,8.41M,976.86M,,AOR,
