,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,6.21B,1.535B,7.745B,3.696B,,3.696B,121.00M,1.541B,,1.202B,14.30B,,,,,,1.638B,-778.00M,860.00M,2.974B,1.043B,4.017B,268.00M,173.00M,395.00M,2.453B,8.166B,22.47B,,345.00M,313.00M,1.232B,1.89B,5.054B,6.944B,,,,,,,2.511B,9.455B,5.858B,,5.858B,58.00M,58.00M,,22.00M,71.00M,1.75B,7.737B,17.19B,,0.00,25.09B,4.453B,23.65B,,,,,-632.00M,5.257B,,AOR,Restated
2018-03,6.89B,1.378B,8.268B,3.653B,,3.653B,21.00M,1.513B,,1.252B,14.71B,,,,,,1.587B,-748.00M,839.00M,3.104B,1.118B,4.222B,253.00M,156.00M,350.00M,2.417B,8.237B,22.94B,,370.00M,374.00M,1.28B,2.024B,4.955B,6.979B,,,,,,,1.969B,8.948B,6.469B,,6.469B,64.00M,64.00M,,28.00M,71.00M,1.661B,8.265B,17.21B,,0.00,23.85B,4.367B,22.14B,,,,,-373.00M,5.703B,,AOR,Restated
2017-12,5.933B,1.849B,7.782B,3.344B,,3.344B,77.00M,1.631B,,963.00M,13.80B,0.00,455.00M,922.00M,,166.00M,1.543B,-714.00M,829.00M,3.035B,1.12B,4.155B,249.00M,178.00M,250.00M,1.519B,7.532B,21.33B,,933.00M,194.00M,1.343B,2.47B,4.446B,6.916B,,,,,,,1.877B,8.793B,5.424B,,5.424B,106.00M,106.00M,,29.00M,71.00M,1.438B,7.039B,15.83B,,0.00,22.36B,4.365B,20.76B,,,,,-497.00M,5.468B,,AOR,Restated
2017-09,5.559B,1.864B,7.423B,3.057B,,3.057B,168.00M,1.571B,,1.012B,13.23B,,,,,,,,901.00M,3.015B,1.147B,4.162B,240.00M,148.00M,425.00M,1.456B,7.683B,20.91B,,722.00M,356.00M,1.002B,2.08B,4.038B,6.118B,,,,,,,1.866B,7.984B,5.393B,,5.393B,139.00M,139.00M,,26.00M,70.00M,860.00M,6.462B,14.45B,,0.00,22.40B,4.318B,19.74B,,,,,-542.00M,6.442B,,AOR,Restated
2017-06,5.177B,1.782B,6.959B,2.979B,,2.979B,172.00M,1.537B,,895.00M,12.54B,,,,,,,,845.00M,2.759B,1.126B,3.885B,233.00M,159.00M,375.00M,1.457B,7.297B,19.84B,,654.00M,258.00M,1.106B,2.018B,3.784B,5.802B,,,,,,,1.781B,7.583B,5.326B,,5.326B,140.00M,140.00M,,26.00M,70.00M,842.00M,6.378B,13.96B,,0.00,21.20B,4.257B,18.91B,,,,,-699.00M,5.852B,,AOR,Restated
2017-03,6.006B,1.654B,7.66B,2.638B,,2.638B,1.06B,1.527B,,,12.88B,,,,,,,,748.00M,1.775B,702.00M,2.477B,136.00M,162.00M,313.00M,1.522B,5.685B,18.57B,,680.00M,352.00M,822.00M,1.854B,3.54B,5.394B,,,,,,,1.701B,7.095B,5.216B,,5.216B,83.00M,83.00M,,27.00M,,538.00M,5.837B,12.93B,,0.00,20.26B,4.191B,17.98B,,,,,-863.00M,5.611B,,AOR,Restated
2016-12,6.721B,1.614B,8.335B,2.509B,,2.509B,118.00M,1.534B,,732.00M,13.23B,0.00,534.00M,669.00M,,133.00M,1.336B,-603.00M,733.00M,1.756B,722.00M,2.478B,132.00M,175.00M,307.00M,1.297B,5.447B,18.68B,,609.00M,161.00M,946.00M,1.716B,3.879B,5.595B,,,,,,,1.611B,7.206B,5.18B,,5.18B,81.00M,81.00M,,28.00M,,524.00M,5.785B,12.99B,,0.00,19.42B,4.183B,17.02B,,,,,-924.00M,5.656B,,AOR,Restated
2016-09,5.205B,1.774B,6.979B,2.435B,,2.435B,146.00M,1.54B,,676.00M,11.78B,,,,,,,,698.00M,1.814B,747.00M,2.561B,149.00M,172.00M,327.00M,1.289B,5.547B,17.32B,,437.00M,162.00M,1.052B,1.651B,3.768B,5.419B,,,,,,,1.702B,7.121B,3.326B,,3.326B,82.00M,82.00M,,30.00M,,545.00M,3.953B,11.07B,,0.00,18.72B,4.135B,15.92B,,,,,-717.00M,6.219B,,AOR,Restated
2016-06,5.176B,1.271B,6.447B,2.208B,,2.208B,219.00M,1.478B,,646.00M,11.00B,,,,,,,,680.00M,1.834B,762.00M,2.596B,172.00M,150.00M,337.00M,998.00M,5.284B,16.28B,,452.00M,126.00M,828.00M,1.406B,3.437B,4.843B,,,,,,,1.619B,6.462B,3.306B,,3.306B,83.00M,83.00M,,32.00M,,562.00M,3.951B,10.41B,,0.00,17.75B,4.072B,15.28B,,,,,-697.00M,5.837B,,AOR,Restated
2016-03,4.894B,1.314B,6.208B,2.206B,,2.206B,713.00M,1.479B,,,10.61B,,,,,,,,669.00M,1.886B,788.00M,2.674B,169.00M,150.00M,353.00M,924.00M,5.299B,15.90B,,409.00M,354.00M,849.00M,1.612B,3.232B,4.844B,,,,,,,1.596B,6.44B,3.333B,,3.333B,76.00M,76.00M,,32.00M,,545.00M,3.954B,10.39B,,0.00,16.97B,4.009B,14.88B,,,,,-620.00M,5.479B,,AOR,Restated
