,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,157.80M,,,-2.10M,,-2.10M,16.40M,19.30M,35.70M,35.70M,-2.50M,,3.10M,,-1.00M,-11.30M,-23.50M,,1.90M,-4.70M,,-37.60M,155.50M,,2018-03,-9.90M,,-9.90M,,-49.90M,-0.20M,-60.00M,,2018-03,0.00,-17.40M,-17.40M,,-200.00M,-200.00M,-53.00M,-53.00M,-1.60M,-255.60M,,2018-03,-160.10M,1.00M,119.80M,,2018-03,,,-200.00M,11.00M,23.90M,,2018-03,AOR,Restated
2017-12,405.60M,,,-2.90M,0.00,-2.90M,15.80M,18.00M,33.80M,33.80M,-269.90M,,3.20M,,-0.90M,30.60M,7.90M,,24.10M,16.70M,,84.30M,257.40M,,2017-12,-24.10M,,-24.10M,,0.00,-1.00M,-25.10M,,2017-12,0.00,-46.20M,-46.20M,,-100.00M,-100.00M,-47.20M,-47.20M,-0.50M,-189.70M,,2017-12,42.60M,-0.20M,278.90M,,2017-12,,0.00,-100.00M,55.70M,12.90M,,2017-12,AOR,Restated
2017-09,133.40M,,,-2.70M,0.00,-2.70M,15.40M,17.00M,32.40M,32.40M,21.00M,,2.60M,,-0.40M,-33.50M,-3.00M,,19.90M,3.90M,,-15.20M,174.80M,,2017-09,-10.50M,,-10.50M,,-1.025B,-0.80M,-1.036B,,2017-09,1.221B,-312.20M,909.10M,,0.00,0.00,-47.50M,-47.50M,-16.80M,855.40M,,2017-09,-5.80M,4.70M,236.50M,,2017-09,,1.219B,0.00,40.40M,3.60M,,2017-09,AOR,Restated
2017-06,72.90M,,,-3.10M,31.70M,28.60M,14.90M,15.00M,29.90M,29.90M,1.90M,,10.30M,,-0.90M,4.40M,-8.80M,,-16.30M,-6.90M,,-26.70M,117.80M,,2017-06,-7.60M,,-7.60M,,-75.00M,-0.40M,-83.00M,,2017-06,200.00M,43.80M,243.80M,,-142.90M,-142.90M,-47.30M,-47.30M,-0.60M,57.60M,,2017-06,92.40M,5.70M,237.60M,,2017-06,,243.80M,-142.90M,92.10M,12.80M,,2017-06,AOR,Restated
2017-03,131.50M,,,-2.10M,,-2.10M,14.80M,14.50M,29.30M,29.30M,9.40M,,2.00M,,0.50M,-11.20M,-21.30M,,-8.60M,-3.50M,,-41.60M,131.50M,,2017-03,-2.80M,,-2.80M,,-160.30M,3.80M,-159.30M,,2017-03,,158.80M,158.80M,,-157.10M,-157.10M,-48.40M,-48.40M,-0.40M,-24.40M,,2017-03,-52.20M,3.90M,139.50M,,2017-03,,158.80M,-157.10M,9.90M,4.00M,,2017-03,AOR,Restated
2016-12,110.40M,,,-2.50M,0.00,-2.50M,14.70M,12.70M,27.40M,27.40M,5.10M,,1.90M,-0.60M,-2.90M,-25.90M,25.70M,,31.10M,-0.90M,,14.00M,160.30M,,2016-12,-21.70M,,-21.70M,,-129.80M,-0.30M,-151.80M,,2016-12,0.00,196.00M,196.00M,,-200.00M,-200.00M,-45.60M,-45.60M,0.20M,-46.90M,,2016-12,-38.40M,-5.90M,187.80M,,2016-12,,68.90M,-200.00M,53.70M,10.50M,,2016-12,AOR,Restated
2016-09,124.00M,,,-2.50M,0.00,-2.50M,14.30M,11.50M,25.80M,25.80M,5.60M,,1.80M,-11.20M,-0.10M,12.90M,2.80M,,31.90M,4.90M,,51.40M,198.50M,,2016-09,-10.30M,,-10.30M,,0.00,1.10M,-9.20M,,2016-09,0.00,-150.90M,-150.90M,,0.00,0.00,-45.70M,-45.70M,10.90M,-167.10M,,2016-09,22.20M,-0.90M,232.10M,,2016-09,,-23.80M,0.00,29.90M,2.10M,,2016-09,AOR,Restated
2016-06,111.60M,,,-2.50M,0.00,-2.50M,14.70M,11.80M,26.50M,26.50M,6.60M,,6.50M,-10.30M,0.30M,-4.90M,-0.60M,,-16.60M,-0.20M,,-21.40M,118.70M,,2016-06,-9.30M,,-9.30M,,-0.50M,0.30M,-9.50M,,2016-06,0.00,-70.00M,-70.00M,,0.00,0.00,-45.60M,-45.60M,10.00M,-89.50M,,2016-06,19.70M,-3.20M,210.80M,,2016-06,,-70.00M,0.00,94.80M,10.50M,,2016-06,AOR,Restated
2016-03,113.00M,,,-1.70M,,-1.70M,16.00M,11.90M,27.90M,27.90M,7.60M,,5.80M,-7.90M,0.90M,5.20M,-8.70M,,36.90M,-1.70M,,30.20M,177.80M,,2016-03,-8.50M,,-8.50M,,-175.00M,-0.60M,-184.10M,,2016-03,,93.80M,93.80M,,-200.00M,-200.00M,-46.10M,-46.10M,2.90M,-136.10M,,2016-03,-142.40M,6.70M,194.30M,,2016-03,,93.80M,-200.00M,10.00M,2.50M,,2016-03,AOR,Restated
2015-12,109.10M,,,-2.60M,0.00,-2.60M,14.20M,10.50M,24.70M,24.70M,3.60M,1.30M,1.90M,-2.20M,0.60M,53.60M,-2.00M,,12.90M,-4.70M,,58.70M,197.30M,,2015-12,-17.10M,,-17.10M,,0.00,-1.50M,-18.60M,,2015-12,,333.40M,83.40M,,-100.00M,-100.00M,-43.90M,-43.90M,0.60M,-54.70M,,2015-12,124.00M,-4.60M,330.00M,,2015-12,,211.70M,-100.00M,64.10M,13.20M,,2015-12,AOR,Restated
2015-09,120.40M,,,-3.50M,0.00,-3.50M,14.50M,10.40M,24.90M,24.90M,9.80M,0.50M,1.80M,-2.90M,4.30M,2.80M,-8.90M,,5.90M,1.90M,,0.70M,160.40M,,2015-09,-10.70M,,-10.70M,,0.00,-1.00M,-11.70M,,2015-09,,-98.70M,-98.70M,,0.00,0.00,-43.90M,-43.90M,2.60M,-132.40M,,2015-09,16.30M,-8.90M,210.60M,,2015-09,,,0.00,33.90M,1.30M,,2015-09,AOR,Restated
2015-06,73.70M,,,-3.20M,8.40M,5.20M,15.00M,10.40M,25.40M,25.40M,4.60M,17.40M,10.70M,-2.70M,-2.70M,-0.90M,-12.40M,,-13.10M,2.10M,,-30.10M,104.20M,,2015-06,-12.10M,,-12.10M,,0.00,-0.90M,-13.00M,,2015-06,,-150.10M,-150.10M,,-6.90M,-6.90M,-43.80M,-43.80M,2.40M,-194.00M,,2015-06,-102.80M,6.30M,203.20M,,2015-06,,-127.10M,-6.90M,73.10M,13.10M,,2015-06,AOR,Restated
2015-03,107.20M,,,-2.30M,,-2.30M,14.60M,11.40M,26.00M,26.00M,6.00M,,1.70M,-8.00M,3.50M,-22.00M,-15.20M,,45.80M,-1.30M,,7.40M,144.20M,,2015-03,-21.90M,,-21.90M,,-74.90M,-1.10M,-97.90M,,2015-03,,127.10M,127.10M,,-256.20M,-256.20M,-43.70M,-43.70M,7.60M,-153.90M,,2015-03,-107.60M,-15.70M,299.70M,,2015-03,,127.10M,-256.20M,3.70M,1.40M,,2015-03,AOR,Restated
2014-12,106.60M,,,-3.70M,0.00,-3.70M,13.80M,9.70M,23.50M,23.50M,2.20M,0.80M,2.00M,-3.90M,2.10M,-6.80M,11.80M,,-3.90M,-2.70M,,-2.10M,131.60M,,2014-12,-34.30M,,-34.30M,,0.40M,-0.90M,-34.80M,,2014-12,,-257.10M,42.70M,,-43.80M,-43.80M,-41.50M,-41.50M,-0.60M,-35.00M,,2014-12,61.80M,-9.00M,423.00M,,2014-12,,49.40M,-43.80M,59.30M,11.50M,,2014-12,AOR,Restated
2014-09,115.90M,,,-3.40M,0.00,-3.40M,13.90M,8.10M,22.00M,22.00M,1.60M,0.10M,2.20M,-2.20M,1.30M,15.20M,8.80M,,20.50M,15.90M,,60.30M,201.90M,,2014-09,-19.10M,,-19.10M,,-216.10M,-0.40M,-235.60M,,2014-09,,251.30M,251.30M,,0.00,0.00,-41.40M,-41.40M,2.20M,218.70M,,2014-09,185.00M,-11.70M,370.20M,,2014-09,,250.40M,0.00,32.90M,1.70M,,2014-09,AOR,Restated
2014-06,88.80M,,,-2.90M,0.00,-2.90M,14.70M,8.20M,22.90M,22.90M,3.70M,5.50M,10.50M,-6.30M,-1.10M,3.60M,-4.50M,,-6.10M,-11.10M,,-18.80M,104.40M,,2014-06,-10.80M,,-10.80M,,0.00,-0.60M,-11.40M,,2014-06,,-0.40M,-0.40M,,-175.00M,-175.00M,-42.10M,-42.10M,6.40M,-200.40M,,2014-06,-107.40M,4.30M,196.90M,,2014-06,,,-175.00M,77.60M,11.20M,,2014-06,AOR,Restated
2014-03,102.60M,,,-1.60M,,-1.60M,14.70M,8.10M,22.80M,22.80M,5.20M,,2.30M,-6.10M,0.90M,-13.80M,-14.30M,,9.40M,-2.70M,,-25.90M,102.40M,,2014-03,-6.30M,,-6.30M,,0.00,-0.30M,-6.60M,,2014-03,,-0.50M,-0.50M,,-260.00M,-260.00M,-42.50M,-42.50M,5.90M,-289.90M,,2014-03,-194.10M,-2.80M,300.00M,,2014-03,,0.00,-260.00M,11.70M,1.30M,,2014-03,AOR,Restated
2013-12,92.20M,,,-1.40M,,-1.40M,14.80M,7.80M,22.60M,22.60M,-0.80M,7.30M,2.40M,-3.30M,0.90M,-6.80M,7.50M,,14.90M,2.00M,,-0.10M,123.00M,,2013-12,-36.80M,,-36.80M,,5.70M,-6.90M,-38.00M,,2013-12,-10.10M,0.10M,-10.00M,,-0.10M,-0.10M,-38.90M,-38.90M,13.40M,-29.80M,,2013-12,55.20M,-3.80M,496.90M,,2013-12,,-10.90M,-0.10M,48.10M,11.50M,,2013-12,AOR,Restated
2013-09,107.90M,,,-1.90M,,-1.90M,14.10M,7.50M,21.60M,21.60M,6.30M,0.60M,2.30M,-1.60M,-0.20M,6.30M,-1.20M,,61.50M,15.70M,,79.60M,215.60M,,2013-09,-10.20M,,-10.20M,,-1.20M,-2.00M,-13.40M,,2013-09,-0.30M,-0.90M,-1.20M,,0.00,0.00,-38.80M,-38.80M,1.60M,-34.90M,,2013-09,167.30M,4.10M,445.50M,,2013-09,,0.00,0.00,34.00M,1.70M,,2013-09,AOR,Restated
2013-06,86.60M,,,1.10M,,1.10M,15.00M,7.70M,22.70M,22.70M,2.80M,0.50M,10.60M,-4.70M,1.50M,0.20M,1.10M,,-21.50M,-15.20M,,-33.80M,88.70M,,2013-06,-9.70M,,-9.70M,,-1.30M,-1.10M,7.60M,,2013-06,-0.30M,-48.60M,-48.90M,,0.30M,0.30M,-38.90M,-38.90M,4.40M,-76.20M,,2013-06,20.10M,-5.60M,274.10M,,2013-06,,0.00,0.30M,86.90M,11.70M,,2013-06,AOR,Restated
2013-03,107.70M,,,-0.60M,,-0.60M,15.80M,7.80M,23.60M,23.60M,2.80M,,1.70M,-3.50M,0.30M,-30.90M,-14.70M,,-10.80M,-4.00M,,-61.80M,72.30M,,2013-03,-10.40M,,-10.40M,,-3.20M,,-33.30M,,2013-03,10.70M,-50.00M,-39.30M,,-50.30M,-50.30M,-38.60M,-38.60M,3.50M,-118.90M,,2013-03,-79.90M,-3.50M,259.60M,,2013-03,,10.90M,-50.30M,50.20M,1.50M,,2013-03,AOR,Restated
2012-12,80.80M,,,-1.60M,,-1.60M,15.80M,9.80M,25.60M,25.60M,-0.80M,,1.80M,-0.60M,-0.70M,7.50M,21.60M,,63.20M,0.00,,99.20M,207.70M,,2012-12,-24.80M,,-24.80M,,-656.30M,650.80M,-30.30M,,2012-12,0.00,-0.70M,-0.70M,,-50.00M,-50.00M,-33.50M,-33.50M,0.60M,-76.10M,,2012-12,101.30M,0.50M,343.00M,,2012-12,,-0.70M,-50.00M,9.60M,5.00M,,2012-12,AOR,Restated
2012-09,93.90M,,,-2.40M,,-2.40M,13.70M,6.40M,20.10M,20.10M,6.20M,,1.70M,-1.50M,-0.30M,-4.60M,3.80M,,14.80M,-0.40M,,6.90M,126.70M,,2012-09,-9.70M,,-9.70M,,-2.90M,-650.20M,-662.80M,,2012-09,399.60M,222.20M,621.80M,,0.00,0.00,-33.50M,-33.50M,-1.90M,589.20M,,2012-09,53.10M,3.90M,241.20M,,2012-09,,621.80M,0.00,29.10M,0.10M,,2012-09,AOR,Restated
2012-06,79.30M,,,-2.40M,,-2.40M,13.70M,6.40M,20.10M,20.10M,6.30M,,7.40M,-8.30M,0.30M,-7.20M,-15.20M,,-12.90M,3.50M,,-31.40M,75.30M,,2012-06,-24.90M,,-24.90M,,-3.80M,-1.00M,-29.70M,,2012-06,0.00,32.30M,32.30M,,-110.10M,-110.10M,-33.30M,-33.30M,8.30M,-90.50M,,2012-06,-44.90M,-3.30M,184.20M,,2012-06,,29.80M,-110.10M,66.40M,4.60M,,2012-06,AOR,Restated
2012-03,95.80M,,,-2.50M,,-2.50M,12.80M,6.40M,19.20M,19.20M,1.50M,,1.50M,-4.20M,-0.40M,-4.70M,-11.30M,,24.30M,-1.10M,,0.70M,113.90M,,2012-03,-15.10M,,-15.10M,,-3.00M,-0.40M,-18.50M,,2012-03,0.00,-2.50M,-2.50M,,-90.30M,-90.30M,-34.20M,-34.20M,4.20M,-117.40M,,2012-03,-22.00M,3.00M,232.40M,,2012-03,,0.00,-90.30M,18.70M,0.00,,2012-03,AOR,Restated
2011-12,63.80M,,,-9.50M,-9.70M,-19.20M,11.50M,6.90M,18.40M,18.40M,21.80M,,,,0.80M,-6.30M,20.30M,,5.00M,-4.30M,,20.50M,118.60M,,2011-12,-35.80M,,-35.80M,,-7.50M,1.90M,-42.90M,,2011-12,0.00,-1.30M,-1.30M,,-80.10M,-80.10M,,-24.30M,1.40M,-97.40M,,2011-12,-21.70M,-1.90M,251.40M,,2011-12,,0.00,-80.10M,,,,2011-12,AOR,Restated
2011-09,79.60M,,,0.10M,1.30M,1.40M,12.70M,6.80M,19.50M,19.50M,16.80M,,,,0.50M,5.70M,-13.80M,,42.00M,2.40M,,29.70M,147.50M,,2011-09,-17.20M,,-17.20M,,0.00,-0.70M,-17.70M,,2011-09,0.00,3.90M,3.90M,,0.00,0.00,,-24.50M,4.70M,-12.40M,,2011-09,117.40M,-5.80M,275.00M,,2011-09,,0.00,0.00,,,,2011-09,AOR,Restated
2011-06,82.60M,,,0.00,6.60M,6.60M,13.00M,6.80M,19.80M,19.80M,7.50M,,,,-0.60M,-19.70M,-0.60M,,-2.20M,2.40M,,-23.70M,92.20M,,2011-06,-16.80M,,-16.80M,,-64.80M,0.30M,-81.10M,,2011-06,,0.00,0.00,,0.00,0.00,,-24.30M,3.10M,-10.30M,,2011-06,0.80M,3.50M,163.40M,,2011-06,,,0.00,,,,2011-06,AOR,Restated
2011-03,83.60M,,,-0.60M,1.80M,1.20M,12.60M,6.80M,19.40M,19.40M,13.30M,,,,-0.50M,-15.00M,-14.90M,,1.70M,-6.60M,,-37.50M,79.50M,,2011-03,-6.80M,,-6.80M,,,-0.40M,-6.10M,,2011-03,,-90.00M,-90.00M,,-0.10M,-0.10M,,-24.30M,2.20M,-106.40M,,2011-03,-33.00M,2.90M,159.10M,,2011-03,,,-0.10M,,,,2011-03,AOR,Restated
2010-12,47.00M,,-3.30M,-7.70M,-10.10M,-15.60M,10.20M,7.00M,17.20M,17.20M,11.10M,,,,,20.60M,22.50M,,12.00M,0.20M,,63.80M,139.80M,,2010-12,-26.40M,-8.20M,-34.60M,,-46.00M,1.90M,-72.20M,,2010-12,-408.30M,90.00M,-318.30M,,0.00,0.00,,-12.10M,-5.50M,-331.40M,,2010-12,-263.80M,-0.50M,189.20M,,2010-12,,,0.00,,,,2010-12,AOR,Restated
2010-09,69.40M,,4.00M,2.50M,2.00M,8.50M,11.30M,6.70M,18.00M,18.00M,19.20M,,,,,-3.20M,18.10M,,35.70M,4.10M,,49.80M,164.90M,,2010-09,-16.90M,0.00,-16.90M,,-10.00M,-0.60M,-27.40M,,2010-09,-41.20M,-1.80M,-43.00M,,0.00,0.00,,-12.10M,2.00M,-51.40M,,2010-09,86.10M,3.10M,453.50M,,2010-09,,,0.00,,,,2010-09,AOR,Restated
2010-06,74.30M,,0.70M,-0.90M,6.30M,6.10M,11.30M,6.90M,18.20M,18.20M,4.60M,,,,,-5.90M,-3.40M,,-40.90M,1.30M,,-51.40M,51.80M,,2010-06,-11.30M,0.00,-11.30M,,-69.80M,-2.20M,-81.70M,,2010-06,-41.10M,-3.00M,-44.10M,,0.00,0.00,,-9.90M,1.50M,-48.10M,,2010-06,-78.00M,-4.30M,364.30M,,2010-06,,,0.00,,,,2010-06,AOR,Restated
2010-03,80.00M,,-1.40M,1.10M,1.80M,0.50M,11.30M,6.90M,18.20M,18.20M,4.00M,,,,,-24.20M,-13.10M,,8.30M,-3.70M,,-30.70M,72.00M,,2010-03,-9.20M,8.20M,-1.00M,,-0.20M,2.10M,0.90M,,2010-03,-41.10M,-30.10M,-71.20M,,-0.10M,-0.10M,,-9.90M,3.00M,-72.80M,,2010-03,0.10M,-0.60M,446.60M,,2010-03,,,-0.10M,,,,2010-03,AOR,Restated
2009-12,52.76M,,-3.694M,6.647M,,-4.212M,13.45M,7.013M,20.46M,20.46M,-7.95M,,,,11.71M,15.60M,11.34M,,-37.49M,27.07M,,19.35M,92.12M,,2009-12,-48.20M,,-18.07M,,0.579M,-32.13M,-48.30M,,2009-12,-20.55M,1.368M,-19.18M,,0.00,0.00,,-9.868M,2.848M,-21.26M,,2009-12,22.57M,5.334M,447.14M,,2009-12,,-29.54M,0.00,33.83M,11.55M,,2009-12,AOR,Restated
2009-09,70.02M,,,-2.703M,,-0.934M,14.16M,7.124M,21.28M,21.28M,10.28M,,,,5.482M,-1.485M,-9.828M,,43.55M,-24.80M,,7.905M,114.04M,,2009-09,-29.42M,,-29.42M,,-0.169M,0.127M,-29.46M,,2009-09,-16.98M,2.353M,-14.63M,,-0.389M,-0.389M,,-9.845M,0.356M,-22.95M,,2009-09,61.64M,0.608M,419.24M,,2009-09,,2.353M,-0.389M,29.44M,3.549M,,2009-09,AOR,Restated
2009-06,58.16M,,0.379M,-3.993M,,-1.163M,14.79M,7.143M,21.94M,21.94M,10.71M,,,,5.017M,0.068M,-9.715M,,15.45M,-1.228M,0.842M,8.151M,102.80M,,2009-06,-36.48M,,-36.48M,,-0.169M,30.88M,-5.766M,,2009-06,-17.54M,-4.245M,-21.79M,,0.00,0.00,,-6.322M,0.83M,-25.83M,,2009-06,71.21M,5.546M,357.00M,,2009-06,,-4.806M,0.00,42.78M,14.80M,,2009-06,AOR,Restated
2009-03,62.58M,,-0.379M,-2.705M,,-0.139M,14.52M,7.151M,21.67M,21.67M,10.11M,,,,2.707M,-7.98M,-2.348M,,8.633M,-1.466M,-0.842M,-4.939M,91.98M,,2009-03,-21.28M,,-21.28M,,-0.241M,0.907M,-20.62M,,2009-03,-16.42M,31.43M,15.02M,,0.00,0.00,,-6.309M,0.936M,11.71M,,2009-03,83.08M,-0.838M,280.24M,,2009-03,,32.00M,0.00,,,,2009-03,AOR,Restated
2008-12,44.24M,,6.428M,6.66M,,6.402M,,,19.39M,19.39M,5.75M,3.962M,,,13.96M,38.77M,10.06M,8.95M,-9.871M,-1.354M,,31.80M,114.04M,,2008-12,-54.53M,,-39.08M,,0.637M,-18.23M,-55.24M,,2008-12,-11.10M,-14.45M,-25.56M,,-0.403M,-0.403M,,-6.303M,0.752M,-29.29M,,2008-12,29.51M,-7.199M,198.00M,,2008-12,,0.00,-0.403M,,,,2008-12,AOR,Restated
2008-09,48.99M,,5.946M,-2.443M,,4.807M,,,20.37M,20.37M,3.697M,0.788M,,,3.215M,9.456M,-1.903M,-7.139M,9.555M,0.00,,9.922M,91.78M,,2008-09,-26.98M,,-26.96M,,-383.45M,4.382M,-406.05M,,2008-09,239.83M,2.082M,241.92M,,0.00,0.00,,-6.186M,-3.594M,236.62M,,2008-09,-77.64M,-2.60M,175.69M,,2008-09,,250.00M,0.00,,,,2008-09,,Restated
2008-06,45.76M,,-5.946M,-4.532M,,-6.459M,,,16.44M,16.44M,3.605M,6.71M,,,1.206M,-25.19M,-2.165M,0.598M,45.96M,,-20.94M,0.355M,67.62M,,2008-06,-10.52M,,-10.37M,,-10.18M,12.91M,-9.056M,,2008-06,-16.91M,-99.38M,-8.129M,-2.761M,,-2.761M,,-5.318M,-1.087M,-11.28M,,2008-06,47.29M,0.581M,255.93M,,2008-06,-2.761M,,,,,,2008-06,,Restated
