,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2017-09,1.69B,1.69B,3.262B,4.952B,9.436B,9.436B,1.898B,537.00M,1.873B,,4.308B,,1.218B,19.91B,,,,,,,40.42B,-28.08B,12.34B,25.11B,9.54B,34.65B,1.481B,,5.183B,53.66B,73.57B,9.715B,700.00M,1.31B,,11.72B,,11.72B,,,1.289B,1.289B,,,,,13.01B,15.87B,15.87B,1.893B,1.893B,1.34B,,437.00M,1.441B,20.54B,33.56B,12.86B,35.14B,,3.966B,,,-4.46B,39.57B
2017-06,1.903B,1.903B,4.315B,6.218B,8.925B,8.925B,1.701B,570.00M,2.067B,,4.338B,,1.792B,21.27B,,,,,,,40.07B,-27.72B,12.36B,25.06B,9.636B,34.69B,1.566B,,4.971B,53.59B,74.86B,9.444B,700.00M,1.159B,,11.30B,,11.30B,,,2.224B,2.224B,,,,,13.53B,16.60B,16.60B,2.00B,2.00B,1.385B,,432.00M,1.398B,21.38B,34.91B,12.84B,35.28B,,4.049B,,,-4.558B,39.52B
2017-03,1.902B,1.902B,5.451B,7.353B,8.636B,8.636B,1.633B,597.00M,2.058B,,4.288B,,1.606B,21.88B,,,,,,,39.86B,-27.35B,12.51B,25.04B,9.743B,34.79B,1.72B,,5.277B,54.29B,76.18B,9.408B,704.00M,1.215B,,11.33B,,11.33B,,,2.449B,2.449B,,,,,13.78B,16.54B,16.54B,1.908B,1.908B,1.457B,,448.00M,1.442B,21.34B,35.12B,12.78B,36.05B,,3.697B,,,-4.529B,40.61B
2016-12,2.929B,2.929B,6.328B,9.257B,9.387B,9.387B,1.72B,610.00M,1.895B,,4.225B,,1.058B,23.93B,0.0,479.00M,4.849B,34.68B,,,40.01B,-27.19B,12.82B,24.99B,9.855B,34.84B,1.481B,,4.882B,54.03B,77.96B,4.004B,702.00M,1.188B,,5.894B,4.924B,10.82B,,,3.153B,3.153B,1.088B,1.088B,,,15.06B,16.46B,16.46B,1.88B,1.88B,1.495B,,451.00M,1.53B,21.37B,36.43B,12.80B,36.47B,,3.55B,,,-4.643B,41.08B
2016-09,3.441B,3.441B,7.315B,10.76B,9.565B,9.565B,1.85B,600.00M,2.122B,,4.572B,391.00M,1.141B,26.42B,,,,,,,39.96B,-26.96B,13.00B,24.96B,9.837B,34.79B,1.637B,,4.734B,54.17B,80.59B,9.439B,702.00M,1.092B,,11.23B,,11.23B,,,3.739B,3.739B,,,,,14.97B,17.54B,17.54B,2.622B,2.622B,1.293B,,340.00M,1.595B,23.05B,38.02B,12.82B,37.37B,,3.571B,,,-4.388B,42.23B
2016-06,2.947B,2.947B,8.245B,11.19B,9.374B,9.374B,1.874B,640.00M,2.487B,,5.001B,391.00M,1.237B,27.20B,,,,,,,40.20B,-26.97B,13.23B,24.60B,9.921B,34.52B,1.662B,,4.564B,53.98B,81.17B,9.494B,701.00M,1.043B,,11.24B,,11.24B,,,3.371B,3.371B,,,,,14.61B,18.25B,18.25B,2.631B,2.631B,1.341B,,369.00M,1.359B,23.58B,38.19B,12.84B,37.89B,,3.636B,,,-4.478B,42.61B
2016-03,2.08B,2.08B,12.35B,14.43B,8.382B,8.382B,2.355B,155.00M,1.102B,,3.612B,208.00M,1.066B,27.70B,,,,,,,37.28B,-24.02B,13.26B,15.65B,4.551B,20.20B,3.742B,,4.24B,41.44B,69.14B,6.725B,632.00M,1.269B,,8.626B,,8.626B,,,4.254B,4.254B,,,,,12.88B,17.23B,17.23B,923.00M,923.00M,1.392B,,303.00M,1.051B,20.60B,33.48B,12.70B,40.74B,,13.62B,,,-4.466B,35.36B
2015-12,2.793B,2.793B,10.24B,13.03B,8.78B,8.78B,2.30B,178.00M,1.278B,,3.756B,208.00M,1.134B,26.91B,0.0,425.00M,3.96B,32.74B,,,37.12B,-23.70B,13.42B,15.60B,4.569B,20.17B,3.729B,,3.775B,41.09B,68.00B,3.243B,634.00M,1.203B,,5.08B,4.078B,9.158B,,,4.557B,4.557B,406.00M,406.00M,,,14.12B,14.44B,14.44B,1.075B,1.075B,1.434B,,272.00M,1.028B,17.98B,32.10B,12.69B,40.87B,,13.37B,,,-4.558B,35.63B
2015-09,3.172B,3.172B,3.433B,6.605B,9.372B,9.372B,2.642B,201.00M,1.385B,,4.228B,150.00M,1.177B,21.53B,,,,,,,37.37B,-22.82B,14.55B,15.61B,4.524B,20.13B,3.798B,,3.324B,41.81B,63.34B,7.186B,638.00M,1.425B,,9.249B,,9.249B,,,4.761B,4.761B,,,,,14.01B,7.487B,7.487B,1.276B,1.276B,1.282B,,238.00M,1.108B,11.15B,25.16B,12.64B,42.52B,,13.02B,,,-4.193B,37.94B
2015-06,3.541B,3.541B,3.733B,7.274B,9.569B,9.569B,2.774B,225.00M,1.582B,,4.581B,168.00M,1.269B,22.86B,,,,,,,37.33B,-22.48B,14.85B,15.52B,4.525B,20.05B,3.831B,,3.163B,41.89B,64.75B,7.479B,640.00M,1.424B,,9.543B,,9.543B,,,4.231B,4.231B,,,,,13.77B,9.11B,9.11B,1.333B,1.333B,1.348B,,220.00M,1.003B,12.79B,26.57B,12.59B,42.16B,,12.67B,,,-4.108B,37.96B
2015-03,2.121B,2.121B,4.682B,6.803B,10.44B,10.44B,2.835B,240.00M,1.591B,,4.666B,156.00M,1.326B,23.39B,,,,,,,37.17B,-22.04B,15.14B,15.51B,4.575B,20.09B,3.708B,,3.087B,42.02B,65.41B,8.469B,644.00M,1.631B,,10.74B,,10.74B,,,3.828B,3.828B,,,,,14.57B,8.898B,8.898B,1.363B,1.363B,1.419B,,210.00M,1.293B,12.97B,27.54B,12.54B,41.67B,,12.26B,,,-4.285B,37.66B
2014-12,3.13B,3.13B,4.371B,7.501B,11.17B,11.17B,2.666B,273.00M,1.689B,,4.628B,144.00M,1.25B,24.69B,0.0,445.00M,3.733B,32.79B,,,36.96B,-21.57B,15.40B,15.49B,4.654B,20.14B,3.677B,,2.996B,42.21B,66.90B,4.344B,518.00M,1.647B,,6.509B,4.902B,11.41B,,,2.765B,2.765B,,,,,14.18B,10.56B,10.56B,1.296B,1.296B,1.501B,,199.00M,1.317B,14.68B,28.86B,12.50B,41.33B,,11.77B,,,-4.206B,37.85B
2014-09,3.118B,3.118B,3.641B,6.759B,12.35B,12.35B,2.637B,296.00M,1.769B,,4.702B,287.00M,1.373B,25.47B,,,,,,,37.30B,-21.50B,15.81B,15.24B,4.69B,19.93B,3.696B,,3.409B,42.85B,68.32B,8.916B,522.00M,1.499B,,10.94B,,10.94B,,,1.451B,1.451B,,,,,12.39B,11.63B,11.63B,1.733B,1.733B,606.00M,,182.00M,1.28B,15.24B,27.63B,12.43B,41.54B,,10.72B,,,-2.741B,40.50B
2014-06,2.267B,2.267B,4.432B,6.699B,12.25B,12.25B,2.696B,314.00M,1.76B,,4.77B,235.00M,1.459B,25.41B,,,,,,,36.91B,-21.16B,15.74B,15.22B,4.738B,19.96B,3.822B,,3.149B,42.67B,68.09B,8.692B,525.00M,1.529B,,10.75B,,10.75B,,,1.505B,1.505B,,,,,12.25B,11.74B,11.74B,1.656B,1.656B,699.00M,,166.00M,1.038B,15.13B,27.38B,12.34B,40.11B,,9.514B,,,-2.399B,40.54B
2014-03,3.752B,3.752B,3.326B,7.078B,11.68B,11.68B,2.59B,310.00M,1.831B,,4.731B,301.00M,1.563B,25.35B,,,,,,,35.72B,-20.60B,15.11B,14.83B,4.713B,19.54B,3.765B,,2.94B,41.36B,66.72B,8.272B,527.00M,1.731B,,10.53B,,10.53B,,,1.369B,1.369B,,,,,11.90B,11.12B,11.12B,1.708B,1.708B,663.00M,,176.00M,1.147B,14.64B,26.54B,12.25B,39.04B,,8.723B,,,-2.555B,40.00B
2013-12,3.472B,3.472B,4.898B,8.37B,11.50B,11.50B,2.539B,261.00M,1.803B,,4.603B,288.00M,1.467B,26.22B,0.0,394.00M,3.534B,31.24B,,,35.16B,-20.07B,15.10B,14.71B,4.709B,19.42B,3.68B,,2.684B,40.88B,67.10B,4.155B,415.00M,1.49B,,6.06B,4.682B,10.74B,,,2.783B,2.783B,,,,,13.52B,10.39B,10.39B,1.708B,1.708B,670.00M,,166.00M,1.169B,13.94B,27.46B,12.19B,37.97B,,8.135B,,,-2.554B,39.47B
2013-09,3.149B,3.149B,3.286B,6.435B,12.06B,12.06B,2.642B,296.00M,1.957B,,4.895B,278.00M,1.428B,25.09B,,,,,,,34.57B,-19.74B,14.83B,14.62B,4.732B,19.36B,3.661B,,2.186B,40.03B,65.12B,8.366B,418.00M,1.471B,,10.26B,,10.26B,,,2.498B,2.498B,,,,,12.75B,9.916B,9.916B,1.479B,1.479B,1.833B,,146.00M,1.111B,14.34B,27.09B,12.11B,36.71B,,7.208B,,,-3.726B,37.88B
2013-06,2.586B,2.586B,3.339B,5.925B,11.28B,11.28B,2.695B,352.00M,1.908B,,4.955B,294.00M,1.348B,23.80B,,,,,,,34.00B,-19.26B,14.74B,14.41B,4.673B,19.08B,3.652B,,1.978B,39.45B,63.25B,7.815B,420.00M,1.361B,,9.596B,,9.596B,,,2.858B,2.858B,,,,,12.45B,9.098B,9.098B,1.45B,1.45B,2.031B,,139.00M,1.17B,13.75B,26.20B,12.02B,35.41B,,6.605B,,,-3.92B,36.91B
2013-03,2.129B,2.129B,3.432B,5.561B,11.50B,11.50B,2.648B,383.00M,1.942B,,4.973B,306.00M,1.385B,23.73B,,,,,,,33.69B,-18.88B,14.80B,14.58B,4.734B,19.31B,1.886B,,1.696B,37.70B,61.43B,7.842B,419.00M,1.548B,,9.809B,,9.809B,,,2.962B,2.962B,,,,,12.77B,8.138B,8.138B,1.506B,1.506B,2.056B,,121.00M,1.176B,12.88B,25.65B,11.95B,33.73B,,6.139B,,,-3.876B,35.66B
2012-12,1.905B,1.905B,4.369B,6.274B,11.35B,11.35B,2.519B,349.00M,1.917B,,4.785B,343.00M,1.403B,24.16B,0.0,366.00M,3.209B,29.59B,,,33.17B,-18.39B,14.78B,14.58B,4.802B,19.39B,1.747B,,1.477B,37.39B,61.55B,3.55B,368.00M,1.426B,,5.344B,4.903B,10.25B,,,2.121B,2.121B,,,,,12.37B,9.509B,9.509B,1.493B,1.493B,2.169B,,107.00M,1.15B,14.32B,26.69B,11.91B,32.89B,,6.16B,,,-3.888B,34.75B
2012-09,1.852B,1.852B,2.908B,4.76B,11.45B,11.45B,2.597B,363.00M,1.961B,,4.921B,345.00M,1.475B,22.95B,,,,,,,32.07B,-17.96B,14.10B,14.52B,4.858B,19.38B,1.597B,,1.407B,36.49B,59.44B,7.913B,368.00M,1.459B,,9.74B,,9.74B,,,1.792B,1.792B,,,,,11.53B,9.397B,9.397B,1.642B,1.642B,1.398B,,107.00M,1.161B,13.60B,25.13B,11.84B,31.89B,,6.20B,,,-3.325B,34.20B
2012-06,1.521B,1.521B,1.972B,3.493B,10.80B,10.80B,2.492B,384.00M,1.886B,,4.762B,458.00M,1.525B,21.04B,,,,,,,31.02B,-17.34B,13.69B,14.54B,4.98B,19.52B,1.525B,,1.239B,35.97B,57.01B,7.422B,369.00M,1.214B,,9.005B,,9.005B,,,2.521B,2.521B,,,,,11.53B,7.953B,7.953B,1.80B,1.80B,1.49B,,157.00M,1.277B,12.52B,24.05B,11.76B,30.83B,,6.209B,,,-3.572B,32.81B
2012-03,1.346B,1.346B,2.739B,4.085B,10.40B,10.40B,2.30B,368.00M,2.45B,,5.118B,487.00M,1.201B,21.29B,,,,,,,30.39B,-17.08B,13.31B,14.20B,4.805B,19.00B,1.584B,,1.172B,35.07B,56.37B,7.294B,369.00M,1.411B,,9.074B,,9.074B,,,1.728B,1.728B,,,,,10.80B,8.439B,8.439B,1.749B,1.749B,1.717B,,141.00M,1.171B,13.08B,23.88B,11.68B,29.79B,,5.767B,,,-3.365B,32.35B
2011-12,1.705B,1.705B,3.122B,4.827B,9.50B,9.50B,2.066B,364.00M,2.27B,,4.70B,456.00M,1.056B,20.54B,0.0,362.00M,2.912B,26.28B,,,29.55B,-16.56B,12.99B,14.15B,4.882B,19.04B,1.522B,,1.111B,34.66B,55.20B,3.389B,337.00M,1.245B,,4.971B,4.19B,9.161B,,,1.377B,1.377B,,,,,10.54B,8.556B,8.556B,1.731B,1.731B,1.732B,,129.00M,1.252B,13.27B,23.81B,11.64B,28.86B,,5.679B,,,-3.557B,31.26B
2011-09,1.732B,1.732B,4.332B,6.064B,9.493B,9.493B,1.971B,355.00M,2.143B,,4.469B,148.00M,1.086B,21.26B,,,,,,,28.96B,-16.38B,12.58B,14.12B,4.927B,19.04B,1.477B,,1.216B,34.32B,55.58B,7.023B,334.00M,1.207B,,8.564B,,8.564B,,,2.743B,2.743B,,,,,11.31B,8.74B,8.74B,1.662B,1.662B,1.034B,,123.00M,1.215B,12.65B,23.96B,11.61B,27.78B,,5.088B,,,-2.798B,31.50B
2011-06,1.378B,1.378B,3.555B,4.933B,9.356B,9.356B,1.93B,346.00M,2.03B,,4.306B,190.00M,1.157B,19.94B,,,,,,,28.30B,-15.98B,12.32B,13.94B,4.996B,18.93B,1.535B,,1.296B,34.08B,54.02B,7.013B,336.00M,1.21B,,8.559B,,8.559B,,,3.817B,3.817B,,,,,12.38B,5.745B,5.745B,1.488B,1.488B,1.244B,,214.00M,1.104B,9.581B,21.96B,12.04B,26.82B,,4.417B,,,-2.594B,31.85B
2011-03,1.475B,1.475B,2.688B,4.163B,8.891B,8.891B,1.757B,335.00M,2.00B,,4.092B,14.00M,1.051B,18.21B,,,,,,,27.33B,-15.11B,12.22B,13.98B,5.079B,19.06B,1.656B,,1.23B,34.16B,52.37B,6.328B,338.00M,1.544B,,8.21B,,8.21B,,,2.189B,2.189B,,,,,10.40B,6.422B,6.422B,1.702B,1.702B,1.253B,,212.00M,970.00M,10.35B,20.75B,11.98B,25.81B,,3.74B,,,-2.643B,31.41B
2010-12,,1.764B,3.226B,4.99B,,8.278B,1.833B,249.00M,1.722B,,3.804B,51.00M,975.00M,18.10B,0.0,314.00M,2.631B,23.73B,,,26.68B,-14.61B,12.07B,13.95B,5.162B,19.11B,1.555B,,929.00M,33.67B,51.77B,2.649B,289.00M,1.493B,2.425B,6.856B,,6.856B,,2.595B,2.595B,2.595B,,,,,10.86B,5.504B,5.504B,1.636B,1.636B,1.262B,13.00M,218.00M,1.043B,9.458B,20.32B,11.92B,25.21B,,3.136B,,,-2.768B,31.23B
2010-09,1.114B,1.114B,1.511B,2.625B,8.60B,8.60B,1.841B,280.00M,1.82B,,3.941B,,1.28B,16.45B,,,,,,,26.23B,-14.33B,11.90B,13.67B,5.248B,18.92B,1.605B,0.00,984.00M,33.41B,49.85B,6.308B,286.00M,1.217B,,7.811B,,7.811B,,,1.916B,1.916B,,334.00M,334.00M,,10.06B,4.82B,4.82B,1.557B,1.557B,1.192B,,218.00M,1.108B,8.677B,18.74B,11.87B,24.45B,,2.803B,,,-2.627B,30.90B
2010-06,229.00M,229.00M,2.849B,3.078B,6.234B,6.234B,1.665B,84.00M,116.00M,,1.865B,148.00M,905.00M,12.23B,,,,,,,22.28B,-12.62B,9.657B,5.854B,1.36B,7.214B,3.048B,199.00M,669.00M,20.79B,33.02B,4.852B,249.00M,908.00M,,6.009B,,6.009B,,,767.00M,767.00M,,,,,6.776B,3.729B,3.729B,,,1.581B,,106.00M,1.047B,6.357B,13.13B,4.92B,23.01B,,5.42B,,,-2.729B,19.78B
2010-03,271.00M,271.00M,3.932B,4.203B,5.972B,5.972B,1.643B,75.00M,133.00M,,1.851B,154.00M,885.00M,13.06B,,,,,,,21.82B,-12.28B,9.545B,5.397B,840.00M,6.237B,3.068B,301.00M,667.00M,19.82B,32.88B,4.705B,250.00M,865.00M,,5.82B,,5.82B,,934.00M,934.00M,934.00M,,,,,6.754B,4.052B,4.052B,,,1.623B,,111.00M,915.00M,6.59B,13.34B,4.841B,22.44B,,5.221B,,,-2.632B,19.43B
2009-12,,617.00M,3.999B,4.616B,6.088B,6.088B,1.646B,74.00M,146.00M,,1.866B,154.00M,926.00M,13.65B,0.0,141.00M,1.806B,18.86B,,695.00M,21.50B,-11.84B,9.66B,5.305B,786.00M,6.091B,3.044B,376.00M,644.00M,19.82B,33.46B,1.793B,253.00M,878.00M,2.163B,5.087B,,5.087B,,1.125B,1.125B,1.125B,,,,,7.259B,4.354B,4.354B,0.00,0.00,1.66B,1.00M,109.00M,962.00M,6.977B,14.24B,4.777B,22.02B,,5.002B,,,-2.674B,19.12B
2009-09,194.00M,194.00M,4.035B,4.229B,6.087B,6.087B,1.734B,78.00M,155.00M,,1.967B,158.00M,941.00M,13.38B,,,,,,,21.14B,-11.53B,9.61B,5.296B,813.00M,6.109B,2.868B,317.00M,789.00M,19.69B,33.08B,4.736B,250.00M,929.00M,,5.915B,,5.915B,,1.20B,1.20B,1.20B,,,,,7.115B,4.312B,4.312B,,,1.293B,,108.00M,892.00M,6.497B,13.61B,4.746B,21.48B,,4.568B,,,-2.298B,19.36B
2009-06,216.00M,216.00M,4.195B,4.411B,6.107B,6.107B,1.804B,76.00M,141.00M,,2.021B,162.00M,954.00M,13.66B,,,,,,,20.85B,-11.16B,9.688B,5.266B,857.00M,6.123B,2.449B,406.00M,639.00M,19.30B,32.96B,4.71B,253.00M,924.00M,,5.887B,,5.887B,,1.574B,1.574B,1.574B,,,,,7.461B,4.291B,4.291B,,,1.596B,,107.00M,878.00M,6.765B,14.23B,4.718B,20.94B,,4.668B,,,-2.363B,18.63B
2009-03,191.70M,191.70M,3.994B,4.186B,6.653B,6.653B,1.805B,99.00M,126.00M,,2.030B,178.54M,887.30M,13.93B,,,,,,,20.56B,-10.80B,9.758B,5.119B,794.45M,5.913B,2.395B,482.79M,513.02M,19.06B,33.00B,4.902B,252.82M,956.60M,,6.112B,,6.112B,,,1.591B,1.591B,,,,,7.703B,4.575B,4.575B,,,2.143B,,72.95M,891.77M,7.610B,15.31B,4.719B,20.58B,,4.717B,,,-2.969B,17.61B
2008-12,188.93M,188.93M,3.503B,3.692B,6.258B,6.258B,1.674B,136.00M,109.00M,,1.919B,184.06M,841.58M,12.89B,0.0,119.00M,1.611B,17.32B,,1.107B,20.15B,-10.46B,9.690B,5.189B,819.99M,6.009B,2.340B,564.65M,493.32M,19.10B,31.99B,5.268B,252.44M,1.007B,,6.527B,,6.527B,,1.597B,1.597B,1.597B,,,,,8.125B,3.694B,3.694B,,,2.369B,,71.92M,868.82M,6.932B,15.06B,4.668B,19.89B,,4.796B,,,-2.901B,16.86B
2008-09,,187.75M,3.306B,3.493B,6.702B,6.702B,,,,,1.878B,186.91M,817.77M,13.08B,,,,,,,19.47B,-10.26B,9.213B,5.295B,1.139B,6.434B,,224.35M,2.648B,18.52B,31.60B,4.997B,,,,4.997B,,4.997B,,,2.211B,2.211B,,,,1.418B,8.626B,3.528B,3.528B,,,,,73.59M,1.572B,5.100B,13.73B,0.00,18.99B,4.594B,4.663B,,,-1.125B,17.80B
