,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,447.13M,,447.13M,717.85M,717.85M,158.95M,300.58M,459.53M,83.56M,1.721B,,,,22.80B,-3.774B,19.03B,,,776.33M,790.37M,,463.50M,21.06B,22.78B,624.48M,,103.78M,728.26M,140.51M,868.77M,,0.00,7.65M,7.65M,13.65M,21.30M,204.08M,1.094B,14.25B,90.81M,14.34B,582.33M,1.200B,,,15.54B,16.63B,4.749M,0.00,7.448B,776.50M,,-530.62M,6.146B
2020-06,945.73M,,945.73M,608.92M,608.92M,313.37M,201.88M,515.26M,92.30M,2.180B,,,,22.62B,-3.642B,18.98B,,,778.94M,790.04M,,262.46M,20.81B,22.99B,755.47M,,77.75M,833.23M,217.38M,1.051B,,0.00,7.65M,7.65M,13.56M,21.21M,201.29M,1.273B,14.28B,93.72M,14.37B,475.90M,1.109B,,,15.48B,16.75B,4.749M,-7.536M,7.550B,781.49M,,-524.90M,6.241B
2020-03,531.63M,,531.63M,497.56M,497.56M,255.07M,131.04M,386.11M,59.12M,1.488B,,,,22.14B,-3.507B,18.63B,,,781.54M,810.48M,,259.64M,20.48B,21.97B,742.37M,,61.06M,803.43M,121.83M,925.26M,,,7.65M,7.65M,13.42M,21.08M,145.06M,1.091B,14.15B,96.43M,14.24B,442.65M,1.074B,,,15.32B,16.41B,4.45M,-141.86M,6.989B,792.02M,,-499.39M,5.561B
2019-12,20.96M,,20.96M,835.12M,835.12M,201.75M,304.93M,506.68M,82.31M,1.470B,676.52M,,3.449B,22.05B,-3.703B,18.35B,681.00M,276.84M,957.83M,861.84M,,173.42M,20.34B,21.81B,1.210B,,,1.210B,190.75M,1.401B,,220.00M,7.65M,227.65M,1.949M,229.60M,390.05M,2.020B,12.48B,24.30M,12.50B,536.06M,1.062B,,,13.57B,15.59B,4.45M,0.00,7.404B,808.39M,,-374.00M,6.226B
2019-09,673.31M,,673.31M,718.71M,718.71M,192.93M,283.54M,476.48M,79.76M,1.968B,,,,20.95B,-3.585B,17.36B,,,960.81M,870.51M,,174.15M,19.37B,21.34B,1.130B,,79.36M,1.209B,122.06M,1.331B,,,7.65M,7.65M,1.901M,9.551M,226.33M,1.567B,12.48B,24.80M,12.50B,418.74M,1.046B,,,13.55B,15.12B,4.45M,0.00,7.448B,812.54M,,-421.10M,6.219B
2019-06,273.40M,,273.40M,669.29M,669.29M,177.52M,184.95M,362.47M,69.60M,1.401B,,,,19.81B,-3.471B,16.34B,,,963.78M,881.08M,,169.32M,18.35B,19.75B,907.38M,,,907.38M,166.86M,1.074B,,,307.65M,307.65M,1.854M,309.50M,353.63M,1.737B,10.75B,25.29M,10.78B,347.83M,886.70M,,,11.67B,13.40B,4.45M,0.00,7.495B,815.38M,,-336.40M,6.348B
2019-03,27.81M,,27.81M,812.87M,812.87M,163.73M,243.22M,406.95M,56.79M,1.343B,,,,18.89B,-3.370B,15.52B,,,964.17M,950.92M,,158.42M,17.59B,18.93B,1.027B,,,1.027B,113.57M,1.141B,,,307.65M,307.65M,1.809M,309.46M,239.32M,1.690B,10.00B,25.78M,10.03B,270.75M,772.53M,,,10.80B,12.49B,4.45M,0.00,7.528B,820.77M,,-269.52M,6.442B
2018-12,11.98M,,11.98M,818.96M,818.96M,141.17M,296.67M,437.84M,100.81M,1.399B,608.56M,,1.799B,18.03B,-3.264B,14.77B,681.10M,286.04M,967.14M,969.15M,,130.10M,16.83B,18.23B,1.116B,,,1.116B,161.38M,1.278B,,0.00,507.65M,507.65M,1.765M,509.42M,321.31M,2.108B,8.873B,26.24M,8.900B,219.73M,644.11M,,,9.544B,11.65B,4.45M,0.00,7.615B,851.81M,,-188.24M,6.580B
2018-09,84.46M,,84.46M,1.085B,1.085B,128.57M,426.29M,554.87M,61.34M,1.808B,,,,17.12B,-3.160B,13.96B,,,970.12M,981.59M,0.00,191.17M,16.10B,17.91B,1.340B,,,1.340B,111.75M,1.451B,,,627.65M,627.65M,,627.65M,371.30M,2.450B,8.326B,,8.326B,132.24M,482.64M,0.00,,8.808B,11.26B,4.45M,0.00,7.663B,856.23M,,-158.14M,6.653B
2018-06,15.30M,,15.30M,934.66M,934.66M,113.83M,285.78M,399.61M,57.29M,1.434B,,,,16.36B,-3.060B,13.30B,,,987.51M,986.98M,31.50M,170.12M,15.48B,16.91B,1.027B,,,1.027B,135.43M,1.163B,,156.00M,932.65M,1.089B,,1.089B,320.54M,2.572B,7.091B,,7.091B,54.73M,411.91M,173.62M,,7.503B,10.08B,4.45M,0.00,7.700B,860.94M,,-178.59M,6.665B
2018-03,17.47M,,17.47M,844.22M,844.22M,98.70M,185.30M,283.99M,106.07M,1.291B,,,,15.84B,-2.960B,12.88B,,,990.48M,997.38M,116.12M,159.43M,15.14B,16.43B,773.05M,,,773.05M,97.52M,870.58M,,0.00,932.65M,932.65M,,932.65M,247.61M,2.051B,7.092B,,7.092B,53.80M,420.51M,167.81M,,7.512B,9.563B,4.45M,,7.735B,863.48M,,-174.69M,6.701B
2017-12,37.19M,,37.19M,1.203B,1.203B,90.30M,342.29M,432.59M,53.01M,1.764B,562.51M,,445.30M,15.56B,-2.862B,12.70B,681.10M,312.36M,993.46M,1.003B,205.91M,180.83M,15.08B,16.85B,1.141B,,,1.141B,135.31M,1.276B,,614.67M,432.65M,1.047B,,1.047B,344.13M,2.667B,8.092B,,8.092B,52.70M,401.62M,157.48M,,8.493B,11.16B,4.232M,0.00,6.589B,876.71M,,-188.53M,5.528B
2017-09,11.68M,,11.68M,939.60M,939.60M,77.37M,314.27M,391.63M,64.20M,1.519B,,,,15.36B,-2.786B,12.58B,,,996.44M,1.014B,474.97M,182.26M,15.25B,16.76B,922.82M,,,922.82M,97.02M,1.020B,,,1.365B,1.365B,,1.365B,356.34M,2.741B,8.092B,,8.092B,76.26M,415.38M,156.89M,,8.507B,11.25B,4.159M,0.00,6.418B,880.93M,,-181.77M,5.359B
2017-06,332.37M,,332.37M,749.34M,749.34M,75.17M,200.13M,275.30M,51.46M,1.448B,,,,15.24B,-2.694B,12.55B,,,999.41M,944.56M,563.36M,170.78M,15.23B,16.67B,696.83M,,,696.83M,111.70M,808.53M,,,1.769B,1.769B,,1.769B,282.88M,2.861B,7.836B,,7.836B,73.98M,411.57M,157.48M,,8.247B,11.11B,4.147M,0.00,6.463B,883.44M,,-176.08M,5.408B
