,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.174B,2.174B,1.419B,755.34M,0.00,3.101M,31.38M,176.37M,-176.37M,,204.93M,550.42M,176.37M,-176.37M,44.83M,-176.37M,418.87M,106.56M,312.32M,,,,0.275M,312.32M,310.00M,748.49M,153.24M,595.24M,0.7,,,0.6948,0.7,0.7,,,0.6948,0.7,445.10M,445.51M,0.935
2020-06,1.661B,1.661B,1.081B,579.86M,0.00,4.193M,34.33M,218.97M,-218.97M,,224.46M,355.39M,218.97M,-218.97M,41.04M,-218.97M,177.46M,43.14M,134.32M,,,,0.275M,134.32M,131.15M,536.84M,140.42M,396.43M,0.32,,,0.3124,0.32,0.32,,,0.3124,0.32,419.72M,420.12M,0.935
2020-03,2.137B,2.137B,1.409B,727.39M,107.85M,-626.14M,31.94M,140.62M,-140.62M,,207.04M,520.35M,140.62M,-140.62M,-576.99M,-140.62M,-197.25M,-55.40M,-141.86M,,,,0.275M,-141.86M,308.44M,75.72M,132.35M,-56.64M,-0.34,,,0.7469,-0.34,-0.34,,,0.7442,-0.34,414.28M,415.35M,0.935
2019-12,2.664B,2.664B,1.917B,746.28M,0.00,19.95M,27.90M,129.28M,-129.28M,,259.28M,487.01M,129.28M,-129.28M,60.71M,-129.28M,418.43M,98.18M,320.25M,,,,0.275M,320.25M,304.98M,673.70M,125.98M,547.71M,0.77,,,0.7331,0.77,0.76,,,0.7233,0.76,413.91M,415.94M,0.915
2019-09,2.263B,2.263B,1.536B,727.27M,0.00,15.81M,26.83M,129.58M,-129.58M,,245.14M,482.14M,129.58M,-129.58M,53.96M,-129.58M,406.52M,97.36M,309.16M,,,,0.275M,309.16M,297.13M,657.53M,121.43M,536.10M,0.75,,,0.7209,0.75,0.74,,,0.7111,0.74,413.82M,415.58M,0.89
2019-06,2.458B,2.458B,1.741B,716.82M,0.00,13.98M,30.94M,117.49M,-117.49M,,237.71M,479.10M,117.49M,-117.49M,49.29M,-117.49M,410.90M,98.94M,311.96M,,,,0.275M,311.96M,301.35M,643.36M,114.96M,528.39M,0.75,,,0.7243,0.75,0.75,,,0.7244,0.75,413.61M,415.05M,0.865
2019-03,2.780B,2.780B,2.071B,709.42M,0.00,12.50M,33.49M,115.42M,-115.42M,,240.74M,468.68M,115.42M,-115.42M,61.88M,-115.42M,415.14M,77.93M,337.21M,,,,0.275M,337.21M,327.05M,644.72M,114.16M,530.56M,0.82,,,0.7954,0.82,0.81,,,0.7855,0.81,412.91M,415.23M,0.86
2018-12,3.137B,3.137B,2.429B,707.95M,,4.887M,22.66M,118.49M,-118.49M,,236.34M,471.61M,118.49M,-118.49M,36.38M,-118.49M,389.51M,96.62M,292.89M,,,0.00,0.275M,292.89M,289.21M,618.64M,110.65M,508.00M,0.71,,,0.7011,0.71,0.71,,,0.7011,0.71,411.74M,414.68M,0.855
2018-09,3.394B,3.394B,2.668B,725.74M,,2.457M,24.12M,121.91M,-121.91M,,230.37M,495.37M,121.91M,-121.91M,43.44M,-121.91M,416.90M,102.98M,313.92M,,,-0.657M,0.275M,313.26M,311.41M,646.19M,107.38M,538.81M,0.76,,,0.7555,0.76,0.75,,,0.7455,0.75,412.12M,414.85M,0.825
2018-06,2.961B,2.961B,2.282B,678.42M,,0.90M,28.12M,113.50M,-113.50M,,230.15M,448.27M,113.50M,-113.50M,34.94M,-113.50M,369.71M,87.53M,282.18M,,,-1.131M,0.275M,281.05M,280.36M,589.49M,106.29M,483.21M,0.68,,,0.6783,0.68,0.68,,,0.6783,0.68,411.95M,414.64M,0.795
2018-03,3.102B,3.102B,2.472B,629.81M,,0.319M,29.02M,115.72M,-115.72M,,210.20M,419.61M,115.72M,-115.72M,37.94M,-115.72M,341.82M,75.77M,266.05M,,,-1.541M,0.275M,264.51M,264.26M,561.78M,104.24M,457.54M,0.65,,,0.6494,0.65,0.64,,,0.6394,0.64,409.68M,412.17M,0.77
2017-12,3.792B,3.792B,3.178B,614.62M,0.00,0.052M,22.30M,124.19M,-124.19M,,214.08M,400.54M,124.19M,-124.19M,39.83M,-124.19M,316.18M,251.37M,64.81M,,,-1.767M,0.274M,63.04M,63.01M,544.14M,103.77M,440.37M,0.09,,,0.0899,0.09,0.09,,,0.0899,0.09,385.58M,388.07M,0.745
2017-09,2.906B,2.906B,2.332B,574.65M,4.27M,-19.93M,24.64M,126.53M,-126.53M,,204.33M,370.32M,126.53M,-126.53M,19.87M,-126.53M,263.66M,97.13M,166.53M,,,-0.789M,0.276M,165.74M,178.33M,492.49M,102.30M,390.19M,0.43,,,0.463,0.43,0.43,,,0.4628,0.43,380.91M,383.42M,0.745
