,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,1.532B,0.00,-32.00M,0.00,-32.00M,232.00M,232.00M,-4.00M,,,86.00M,-2.117B,-391.00M,1.398B,-1.473B,393.00M,,,,0.00,7.557B,-110.00M,-3.142B,,1.355B,-6.30B,-4.945B,20.00M,-81.00M,-61.00M,,-480.00M,-480.00M,-494.00M,-63.00M,-557.00M,,3.04B,,6.338B,291.00M,6.629B,,20.00M,-1.034B,-3.911B,-561.00M,2.234B,158.00M,,AOR,
2020-06,3.655B,-5.74B,-222.00M,-118.00M,-6.08B,384.00M,384.00M,-2.275B,,,720.00M,-2.215B,5.345B,748.00M,4.16B,3.027B,,,,14.22B,-7.332B,-81.00M,-17.86B,,-17.32B,-1.044B,-18.36B,11.00M,-1.00M,10.00M,,,,-491.00M,-55.00M,-546.00M,,13.68B,,7.493B,-1.155B,6.338B,,11.00M,575.00M,-18.93B,-1.00M,492.00M,275.00M,,AOR,
2020-03,915.00M,,,-56.00M,-56.00M,328.00M,328.00M,-226.00M,,,-189.00M,5.376B,-6.292B,-1.014B,-2.382B,-696.00M,,,,,-2.102B,-125.00M,-23.38B,,8.536B,1.044B,9.58B,23.00M,-1.522B,-1.499B,,,,-503.00M,-63.00M,-566.00M,,26.51B,,5.061B,2.432B,7.493B,,23.00M,13.76B,-4.182B,-1.522B,36.00M,638.00M,,AOR,
2019-12,1.381B,,,-175.00M,-175.00M,411.00M,411.00M,220.00M,,,-50.00M,-699.00M,1.228B,-181.00M,1.107B,3.115B,,,,,1.149B,-132.00M,-4.265B,,-1.258B,-1.938B,-3.196B,17.00M,-952.00M,-935.00M,,,,-509.00M,-55.00M,-564.00M,,540.00M,,5.671B,-610.00M,5.061B,,17.00M,6.433B,-9.629B,-952.00M,109.00M,827.00M,,AOR,
2019-09,1.392B,,32.00M,-136.00M,-104.00M,325.00M,325.00M,-23.00M,,,-111.00M,19.00M,413.00M,-724.00M,-1.058B,604.00M,,,,,-896.00M,-71.00M,-3.242B,,-9.619B,1.40B,-8.219B,33.00M,-1.013B,-980.00M,,,,-518.00M,-63.00M,-581.00M,,2.893B,,5.416B,255.00M,5.671B,,33.00M,-2.825B,-5.394B,-1.013B,104.00M,1.01B,,AOR,Restated
2019-06,1.374B,,-32.00M,-109.00M,-141.00M,307.00M,307.00M,-5.00M,,,-96.00M,-984.00M,937.00M,1.107B,624.00M,2.243B,,,,,-2.235B,-715.00M,-11.46B,,9.741B,-351.00M,9.39B,18.00M,-787.00M,-769.00M,,,,-432.00M,-55.00M,-487.00M,,9.571B,,5.062B,354.00M,5.416B,,18.00M,16.29B,-6.90B,-787.00M,187.00M,998.00M,,AOR,Restated
2019-03,1.271B,,,-111.00M,-111.00M,272.00M,272.00M,111.00M,,,-84.00M,1.796B,-2.721B,358.00M,-247.00M,1.401B,,,,,-431.00M,213.00M,-6.023B,,-603.00M,351.00M,-252.00M,22.00M,-826.00M,-804.00M,,,,-436.00M,-63.00M,-499.00M,,4.076B,,5.608B,-546.00M,5.062B,,22.00M,7.794B,-8.046B,-826.00M,30.00M,907.00M,,AOR,Restated
2018-12,1.351B,,,-104.00M,-104.00M,290.00M,290.00M,249.00M,,,33.00M,-1.90B,2.531B,-1.186B,170.00M,2.137B,,,,,-1.021B,-719.00M,-2.315B,,-535.00M,110.00M,-425.00M,8.00M,-732.00M,-724.00M,,,,-442.00M,-55.00M,-497.00M,,538.00M,,5.248B,360.00M,5.608B,,8.00M,4.829B,-5.254B,-732.00M,48.00M,954.00M,,AOR,Restated
2018-09,1.40B,,,-153.00M,-153.00M,272.00M,272.00M,-283.00M,,,-45.00M,632.00M,-467.00M,132.00M,-115.00M,1.164B,,,,,-909.00M,23.00M,805.00M,,-1.833B,95.00M,-1.738B,21.00M,-504.00M,-483.00M,,,,-446.00M,-63.00M,-509.00M,,-2.146B,,5.425B,-177.00M,5.248B,,21.00M,6.678B,-8.416B,-504.00M,222.00M,699.00M,,AOR,Restated
2018-06,1.356B,,,-135.00M,-135.00M,287.00M,287.00M,86.00M,,,-60.00M,853.00M,-482.00M,-15.00M,3.00M,1.617B,,,,,-6.037B,-704.00M,-1.209B,,1.072B,-182.00M,890.00M,7.00M,-801.00M,-794.00M,,,,-355.00M,-55.00M,-410.00M,,368.00M,,4.649B,776.00M,5.425B,,7.00M,2.391B,-1.501B,-801.00M,95.00M,681.00M,,AOR,Restated
