,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,7.017B,92.19B,87.36B,179.55B,,179.55B,,9.233B,1.242B,10.48B,243.52B,5.361B,,238.16B,94.85B,374.49B,466.68B,,9.514B,9.514B,,,,,,9.514B,584.00M,37.20B,37.20B,365.34B,31.00M,403.12B,412.64B,,2.713B,46.85B,15.88B,14.20B,,2.77B,54.01B,,AOR,
2020-09,6.629B,77.59B,89.76B,167.35B,,167.35B,,9.233B,1.113B,10.35B,251.07B,5.751B,,245.32B,96.12B,384.23B,461.82B,,10.63B,10.63B,,,,,,10.63B,689.00M,42.11B,42.11B,355.08B,34.00M,397.88B,408.51B,,2.712B,45.95B,15.84B,14.22B,,2.997B,53.28B,,AOR,
2020-06,6.338B,56.57B,97.07B,153.64B,,153.64B,,9.233B,1.067B,10.30B,259.68B,5.928B,,253.75B,103.44B,402.41B,458.98B,,12.34B,12.34B,,,,,,12.34B,662.00M,47.03B,47.03B,346.00B,25.00M,393.68B,406.03B,,2.712B,44.99B,16.28B,14.13B,,3.069B,52.92B,,AOR,
2020-03,7.493B,27.48B,89.11B,116.59B,,116.59B,,9.233B,1.082B,10.32B,266.34B,3.944B,,262.39B,103.75B,418.01B,445.49B,,17.15B,17.15B,,,,,,17.15B,450.00M,73.40B,73.40B,305.20B,27.00M,379.05B,396.20B,,2.712B,41.88B,16.29B,14.14B,,2.518B,49.26B,,AOR,
2019-12,5.061B,28.47B,69.21B,97.68B,,97.68B,,9.233B,1.644B,10.88B,240.93B,2.742B,,238.18B,100.56B,381.82B,410.30B,,11.83B,11.83B,,,,,,11.83B,318.00M,60.26B,60.26B,288.54B,29.00M,349.12B,360.95B,,2.712B,42.22B,16.37B,12.78B,,799.00M,49.31B,,AOR,
2019-09,5.671B,24.71B,69.09B,93.80B,,93.80B,,9.233B,1.483B,10.72B,239.25B,2.738B,,236.51B,101.21B,384.21B,408.92B,,12.22B,12.22B,,,,,,12.22B,304.00M,61.35B,61.35B,285.58B,35.00M,347.24B,359.46B,,2.711B,41.41B,16.30B,11.84B,,837.00M,49.42B,,AOR,Restated
2019-06,5.416B,23.78B,69.39B,93.16B,,93.16B,,9.221B,1.627B,10.85B,238.36B,2.721B,,235.64B,101.30B,381.98B,405.76B,,13.80B,13.80B,,,,,,13.80B,291.00M,69.02B,69.02B,273.26B,41.00M,342.58B,356.38B,,2.711B,40.62B,16.25B,10.87B,,631.00M,49.34B,,AOR,Restated
2019-03,5.062B,20.32B,65.08B,85.41B,,85.41B,,9.218B,1.812B,11.03B,232.98B,2.692B,,230.29B,96.44B,372.51B,392.84B,,12.90B,12.90B,,,,,,12.90B,279.00M,59.86B,59.86B,271.22B,39.00M,331.36B,344.26B,,2.711B,39.74B,16.17B,10.08B,,-5.00M,48.54B,,AOR,Restated
2018-12,5.608B,16.50B,63.39B,79.89B,,79.89B,,9.218B,1.983B,11.20B,227.24B,2.629B,,224.61B,95.60B,365.81B,382.32B,,9.002B,9.002B,,,,,,9.002B,285.00M,57.42B,57.42B,267.84B,42.00M,325.54B,334.54B,,2.711B,38.92B,16.28B,9.454B,,-725.00M,47.73B,,AOR,Restated
2018-09,5.248B,25.05B,61.21B,86.26B,,86.26B,,9.218B,2.136B,11.35B,224.16B,2.584B,,221.58B,93.25B,355.03B,380.08B,,9.851B,9.851B,,,,,,9.851B,288.00M,57.96B,57.96B,264.88B,44.00M,323.13B,332.98B,,2.71B,38.08B,16.30B,8.771B,,-1.26B,47.06B,,AOR,Restated
2018-06,5.425B,27.40B,60.28B,87.67B,,87.67B,,9.218B,2.045B,11.26B,224.18B,2.581B,,221.60B,92.56B,353.31B,380.71B,,9.34B,9.34B,,,,,,9.34B,289.00M,59.22B,59.22B,264.88B,71.00M,324.40B,333.74B,,2.71B,37.20B,16.25B,8.317B,,-940.00M,46.90B,,AOR,Restated
2018-03,4.649B,33.47B,56.02B,89.49B,,89.49B,,9.218B,1.979B,11.20B,222.58B,2.604B,,219.98B,86.57B,345.69B,379.16B,,9.093B,9.093B,,,,,,9.093B,290.00M,58.04B,58.04B,264.70B,66.00M,323.03B,332.13B,,2.71B,36.27B,16.23B,7.535B,,-699.00M,46.97B,,AOR,Restated
2017-12,5.249B,33.84B,57.62B,91.46B,,91.46B,,9.173B,1.832B,11.00B,223.11B,2.611B,,220.50B,87.52B,346.92B,380.77B,,8.745B,8.745B,,,,,,8.745B,297.00M,59.09B,59.09B,265.05B,72.00M,324.44B,333.18B,,2.71B,35.48B,16.37B,6.904B,,-148.00M,47.51B,,AOR,Restated
2017-09,4.736B,29.45B,57.25B,86.70B,,86.70B,,9.163B,1.854B,11.02B,222.87B,2.605B,,220.27B,86.00B,345.74B,375.19B,,10.15B,10.15B,,,,,,10.15B,293.00M,57.56B,57.56B,260.74B,64.00M,318.59B,328.74B,,2.71B,33.82B,16.34B,6.462B,,-22.00M,46.39B,,AOR,Restated
2017-06,5.039B,27.52B,58.88B,86.40B,,86.40B,,9.163B,1.867B,11.03B,220.06B,2.561B,,217.50B,87.25B,344.67B,372.19B,,10.12B,10.12B,,,,,,10.12B,304.00M,56.41B,56.41B,259.18B,101.00M,315.89B,326.00B,,2.71B,33.13B,16.33B,5.987B,,-98.00M,46.08B,,AOR,Restated
2017-03,5.003B,32.88B,59.34B,92.22B,,92.22B,,9.103B,1.867B,10.97B,214.24B,2.561B,,211.68B,87.33B,338.06B,370.94B,,8.964B,8.964B,,,,,,8.964B,305.00M,55.06B,55.06B,260.71B,149.00M,316.08B,325.04B,,2.709B,32.37B,16.28B,5.323B,,-279.00M,45.75B,,AOR,Restated
2016-12,4.879B,30.59B,60.10B,90.69B,,90.69B,,9.103B,1.758B,10.86B,213.34B,2.589B,,210.75B,86.68B,335.79B,366.38B,,9.355B,9.355B,,,,,,9.355B,301.00M,52.71B,52.71B,257.16B,1.155B,310.17B,319.53B,,2.709B,31.67B,16.65B,5.066B,,-265.00M,45.70B,,AOR,Restated
2016-09,4.531B,31.59B,,31.59B,,32.31B,,9.103B,1.597B,10.70B,212.50B,2.619B,,209.88B,91.73B,337.04B,369.35B,,5.226B,5.226B,,,,,,6.461B,310.00M,50.31B,50.31B,259.90B,1.138B,310.51B,322.50B,,2.709B,30.96B,16.16B,4.765B,,646.00M,45.71B,,AOR,Restated
