,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,281.00M,0.00,,0.00,42.00M,50.00M,92.00M,92.00M,11.00M,67.00M,67.00M,1.044B,,132.00M,,-505.00M,-318.00M,353.00M,,804.00M,,-30.00M,,0.00,207.00M,,177.00M,,2020-09,-310.00M,-310.00M,,-500.00M,-500.00M,,,,-103.00M,-103.00M,16.00M,-45.00M,-942.00M,2020-09,757.00M,39.00M,25.00M,,2020-09,,0.00,-310.00M,-500.00M,224.00M,,2020-09,AOR,
2020-06,410.00M,0.00,,0.00,41.00M,58.00M,99.00M,99.00M,-9.00M,64.00M,64.00M,-551.00M,,-48.00M,,1.217B,-301.00M,317.00M,,881.00M,,-30.00M,,-34.00M,-490.00M,,-554.00M,,2020-06,-113.00M,-113.00M,,0.00,0.00,,,,-102.00M,-102.00M,-45.00M,-26.00M,-286.00M,2020-06,690.00M,41.00M,26.00M,,2020-06,,2.093B,-2.206B,0.00,49.00M,,2020-06,AOR,
2020-03,792.00M,-25.00M,,-25.00M,41.00M,97.00M,138.00M,138.00M,-6.00M,76.00M,76.00M,-1.351B,,-275.00M,,1.045B,-56.00M,-637.00M,,338.00M,,-59.00M,,-304.00M,-75.00M,,-438.00M,,2020-03,719.00M,719.00M,,-463.00M,-463.00M,,,,-102.00M,-102.00M,-112.00M,40.00M,82.00M,2020-03,790.00M,-18.00M,-82.00M,,2020-03,,2.06B,-1.341B,-463.00M,53.00M,,2020-03,AOR,
2019-12,382.00M,-5.00M,,-5.00M,48.00M,97.00M,145.00M,145.00M,8.00M,65.00M,65.00M,-787.00M,,357.00M,,544.00M,-37.00M,77.00M,,672.00M,,-58.00M,,9.00M,51.00M,,2.00M,,2019-12,51.00M,51.00M,,-453.00M,-453.00M,,,,-103.00M,-103.00M,2.00M,-22.00M,-525.00M,2019-12,602.00M,149.00M,39.00M,,2019-12,,1.134B,-1.083B,-453.00M,74.00M,,2019-12,AOR,
2019-09,229.00M,-1.00M,,-1.00M,44.00M,101.00M,145.00M,145.00M,-19.00M,72.00M,72.00M,1.41B,,194.00M,,-776.00M,-452.00M,376.00M,,802.00M,,-61.00M,,12.00M,40.00M,,-9.00M,,2019-09,-271.00M,-271.00M,,-352.00M,-352.00M,,,,-104.00M,-104.00M,11.00M,-20.00M,-736.00M,2019-09,581.00M,57.00M,-36.00M,,2019-09,,1.359B,-1.63B,-352.00M,82.00M,,2019-09,AOR,Restated
2019-06,287.00M,-3.00M,,-3.00M,40.00M,97.00M,137.00M,137.00M,0.00,91.00M,91.00M,-336.00M,,-125.00M,,737.00M,-501.00M,-225.00M,,287.00M,,-49.00M,,1.00M,-147.00M,,-195.00M,,2019-06,1.154B,1.154B,,-1.055B,-1.055B,,,,-107.00M,-107.00M,-46.00M,-38.00M,-92.00M,2019-06,600.00M,0.00,-19.00M,,2019-06,,2.688B,-1.534B,-1.055B,164.00M,,2019-06,AOR,Restated
2019-03,676.00M,-4.00M,,-4.00M,40.00M,97.00M,137.00M,137.00M,-25.00M,89.00M,89.00M,-1.067B,,-454.00M,,1.15B,-428.00M,-799.00M,,74.00M,,-57.00M,,-9.00M,39.00M,,-27.00M,,2019-03,177.00M,177.00M,,-100.00M,-100.00M,,,,-96.00M,-96.00M,-98.00M,-23.00M,-140.00M,2019-03,656.00M,-93.00M,37.00M,,2019-03,,871.00M,-694.00M,-100.00M,33.00M,,2019-03,AOR,Restated
2018-12,284.00M,2.00M,,2.00M,50.00M,101.00M,151.00M,151.00M,-97.00M,124.00M,124.00M,-1.561B,,356.00M,,1.034B,418.00M,247.00M,,711.00M,,-61.00M,,-10.00M,18.00M,,-53.00M,,2018-12,-125.00M,-125.00M,,-198.00M,-198.00M,,,,-97.00M,-97.00M,-10.00M,-14.00M,-444.00M,2018-12,484.00M,214.00M,-42.00M,,2018-12,,1.794B,-1.919B,-198.00M,63.00M,,2018-12,AOR,Restated
2018-09,155.00M,3.00M,,3.00M,40.00M,100.00M,140.00M,140.00M,-35.00M,67.00M,67.00M,2.009B,,164.00M,,-1.072B,-869.00M,232.00M,,562.00M,,-68.00M,,-9.00M,-18.00M,,-95.00M,,2018-09,-63.00M,-63.00M,,-301.00M,-301.00M,,,,-98.00M,-98.00M,11.00M,-6.00M,-457.00M,2018-09,487.00M,10.00M,-13.00M,,2018-09,,1.408B,-1.471B,-301.00M,67.00M,,2018-09,AOR,Restated
2018-06,57.00M,0.00,,0.00,47.00M,282.00M,329.00M,329.00M,-119.00M,70.00M,70.00M,-380.00M,,-56.00M,,237.00M,135.00M,-64.00M,,273.00M,,-66.00M,,-19.00M,-82.00M,,-167.00M,,2018-06,421.00M,421.00M,,-402.00M,-402.00M,,,,-98.00M,-98.00M,-41.00M,-15.00M,-135.00M,2018-06,597.00M,-29.00M,-81.00M,,2018-06,,1.744B,-1.323B,-402.00M,149.00M,,2018-06,AOR,Restated
