,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,,821.00M,14.00B,14.82B,2.906B,,3.037B,116.00M,,58.00M,18.25B,,,,1.618B,,,1.618B,,1.618B,8.462B,665.00M,9.127B,59.00M,,94.00M,831.00M,132.00M,13.11B,31.36B,1.608B,134.00M,1.742B,1.742B,472.00M,472.00M,224.00M,696.00M,251.00M,251.00M,,14.18B,16.87B,7.251B,982.00M,8.233B,223.00M,67.00M,290.00M,,1.647B,78.00M,10.87B,27.74B,,2020-09,2.00M,,,,,-4.099B,3.542B,,2020-09,AOR,
2020-06,,757.00M,14.45B,15.20B,3.314B,,3.397B,133.00M,,62.00M,18.99B,,,,1.657B,,,1.657B,,1.657B,8.356B,699.00M,9.055B,51.00M,,100.00M,826.00M,124.00M,13.00B,32.00B,1.488B,242.00M,1.73B,1.73B,782.00M,782.00M,216.00M,998.00M,294.00M,294.00M,,14.36B,17.38B,7.229B,1.025B,8.254B,200.00M,69.00M,269.00M,,1.688B,94.00M,10.92B,28.30B,,2020-06,2.00M,,,,,-4.296B,3.601B,,2020-06,AOR,
2020-03,,690.00M,12.57B,13.26B,3.554B,,3.633B,156.00M,,66.00M,17.34B,,,,1.656B,,,1.656B,,1.656B,8.293B,746.00M,9.039B,52.00M,,101.00M,805.00M,120.00M,12.94B,30.28B,1.549B,196.00M,1.745B,1.745B,1.884B,1.884B,200.00M,2.084B,309.00M,309.00M,,12.97B,17.11B,6.227B,984.00M,7.211B,189.00M,72.00M,261.00M,,1.696B,91.00M,9.911B,27.02B,,2020-03,2.00M,,,,,-4.409B,3.169B,,2020-03,AOR,
2019-12,,790.00M,11.97B,12.76B,3.112B,,3.204B,97.00M,,78.00M,16.48B,0.00,,1.202B,1.066B,183.00M,358.00M,2.809B,-1.159B,1.65B,8.165B,783.00M,8.948B,53.00M,,102.00M,816.00M,144.00M,12.93B,29.40B,1.939B,93.00M,2.032B,2.032B,712.00M,712.00M,210.00M,922.00M,270.00M,270.00M,,12.35B,15.57B,6.627B,1.02B,7.647B,199.00M,62.00M,261.00M,,1.787B,74.00M,10.38B,25.96B,,2019-12,2.00M,,,,,-4.033B,3.375B,,2019-12,AOR,
2019-09,,602.00M,11.22B,11.82B,2.866B,,3.043B,123.00M,,92.00M,15.32B,,,,1.625B,,,1.625B,,1.625B,8.071B,874.00M,8.945B,52.00M,,100.00M,774.00M,141.00M,12.85B,28.17B,1.499B,152.00M,1.651B,1.651B,1.148B,1.148B,218.00M,1.366B,256.00M,256.00M,,11.58B,14.85B,6.12B,1.004B,7.124B,209.00M,59.00M,268.00M,,1.599B,69.00M,9.755B,24.61B,,2019-09,2.00M,,,,,-4.03B,3.492B,,2019-09,AOR,Restated
2019-06,,581.00M,12.31B,12.89B,3.227B,,3.372B,128.00M,,142.00M,16.74B,,,,1.623B,,,1.623B,,1.623B,8.198B,973.00M,9.171B,54.00M,,100.00M,760.00M,141.00M,13.06B,29.81B,1.369B,133.00M,1.502B,1.502B,844.00M,844.00M,223.00M,1.067B,337.00M,337.00M,,12.58B,15.48B,6.74B,999.00M,7.739B,211.00M,59.00M,270.00M,,1.625B,77.00M,10.41B,25.89B,,2019-06,2.00M,,,,,-3.837B,3.836B,,2019-06,AOR,Restated
2019-03,,600.00M,11.55B,12.15B,3.242B,,3.323B,108.00M,,106.00M,15.92B,,,,1.669B,,,1.669B,,1.669B,8.219B,1.077B,9.296B,55.00M,,99.00M,743.00M,130.00M,13.22B,29.14B,1.479B,158.00M,1.637B,1.637B,426.00M,426.00M,241.00M,667.00M,305.00M,305.00M,,11.93B,14.54B,5.99B,1.028B,7.018B,205.00M,60.00M,265.00M,,1.634B,87.00M,9.736B,24.27B,,2019-03,2.00M,,,,,-3.74B,4.775B,,2019-03,AOR,Restated
2018-12,,656.00M,10.34B,10.99B,2.76B,,2.885B,97.00M,,67.00M,14.37B,0.00,,1.20B,45.00M,154.00M,334.00M,1.733B,-1.145B,588.00M,8.171B,1.149B,9.32B,54.00M,,100.00M,717.00M,138.00M,12.05B,26.42B,1.943B,83.00M,2.026B,2.026B,,251.00M,,251.00M,251.00M,251.00M,,10.77B,13.30B,5.993B,169.00M,6.162B,181.00M,65.00M,246.00M,,1.692B,68.00M,8.907B,22.20B,,2018-12,2.00M,,,,,-3.909B,4.151B,,2018-12,AOR,Restated
2018-09,,484.00M,9.481B,9.965B,2.656B,,2.863B,109.00M,,163.00M,13.35B,,,,,,,,,594.00M,8.282B,1.26B,9.542B,52.00M,,75.00M,626.00M,157.00M,12.25B,25.60B,1.60B,16.00M,1.616B,1.616B,,741.00M,,741.00M,266.00M,266.00M,,10.02B,12.64B,5.665B,157.00M,5.822B,273.00M,52.00M,325.00M,,1.663B,66.00M,8.631B,21.27B,,2018-09,2.00M,,,,,-3.632B,4.262B,,2018-09,AOR,Restated
2018-06,,487.00M,10.65B,11.14B,2.992B,,3.174B,120.00M,,167.00M,14.86B,,,,,,,,,575.00M,8.291B,1.363B,9.654B,54.00M,,77.00M,596.00M,129.00M,12.36B,27.22B,1.447B,25.00M,1.472B,1.472B,,799.00M,,799.00M,332.00M,332.00M,,11.24B,13.84B,5.659B,152.00M,5.811B,294.00M,60.00M,354.00M,,1.775B,73.00M,8.756B,22.60B,,2018-06,2.00M,,,,,-3.524B,4.545B,,2018-06,AOR,Restated
