,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,2.385B,2.385B,1.387B,998.00M,461.00M,461.00M,42.00M,50.00M,70.00M,0.00,,80.00M,3.00M,-77.00M,,553.00M,445.00M,3.00M,80.00M,-77.00M,-5.00M,-77.00M,363.00M,82.00M,281.00M,-7.00M,,275.00M,278.64M,535.00M,,2020-09,1.18,0.00,,,2020-09,1.18,1.200,1.18,,2020-09,232.60M,233.50M,0.44,,2020-09,AOR,
2020-06,2.497B,2.497B,1.361B,1.136B,441.00M,441.00M,41.00M,58.00M,74.00M,-7.00M,,89.00M,0.00,-89.00M,,540.00M,596.00M,0.00,89.00M,-89.00M,-12.00M,-89.00M,495.00M,85.00M,410.00M,-13.00M,,398.00M,407.76M,683.00M,,2020-06,1.71,0.00,,,2020-06,1.70,1.746,1.70,,2020-06,232.70M,233.60M,0.44,,2020-06,AOR,
2020-03,3.219B,3.219B,1.522B,1.697B,522.00M,522.00M,41.00M,97.00M,73.00M,25.00M,,83.00M,2.00M,-81.00M,,660.00M,1.037B,2.00M,83.00M,-81.00M,25.00M,-81.00M,981.00M,189.00M,792.00M,-19.00M,,772.00M,754.44M,1.202B,,2020-03,3.31,0.00,,,2020-03,3.29,3.211,3.29,,2020-03,233.20M,234.50M,0.44,,2020-03,AOR,
2019-12,2.885B,2.885B,1.601B,1.284B,618.00M,618.00M,48.00M,97.00M,91.00M,5.00M,,80.00M,4.00M,-76.00M,,763.00M,521.00M,4.00M,80.00M,-76.00M,-4.00M,-76.00M,441.00M,59.00M,382.00M,-8.00M,,374.00M,378.33M,666.00M,,2019-12,1.59,0.00,,,2019-12,1.58,1.598,1.58,,2019-12,234.70M,236.70M,0.44,,2019-12,AOR,
2019-09,2.379B,2.379B,1.368B,1.011B,503.00M,503.00M,44.00M,101.00M,76.00M,1.00M,,78.00M,1.00M,-77.00M,,648.00M,363.00M,1.00M,78.00M,-77.00M,-1.00M,-77.00M,285.00M,56.00M,229.00M,-6.00M,,222.00M,224.61M,508.00M,,2019-09,0.94,0.00,,,2019-09,0.93,0.9367,0.93,,2019-09,236.90M,239.10M,0.44,,2019-09,AOR,Restated
2019-06,2.606B,2.606B,1.501B,1.105B,550.00M,550.00M,40.00M,97.00M,85.00M,2.00M,,77.00M,1.00M,-76.00M,,687.00M,418.00M,1.00M,77.00M,-76.00M,1.00M,-76.00M,343.00M,56.00M,287.00M,-10.00M,,277.00M,277.00M,557.00M,,2019-06,1.15,0.00,,,2019-06,1.14,1.14,1.14,,2019-06,240.60M,242.80M,0.44,,2019-06,AOR,Restated
2019-03,3.143B,3.143B,1.584B,1.559B,546.00M,546.00M,40.00M,97.00M,87.00M,5.00M,,72.00M,2.00M,-70.00M,,683.00M,876.00M,2.00M,72.00M,-70.00M,-4.00M,-70.00M,802.00M,126.00M,676.00M,-17.00M,,659.00M,663.22M,1.011B,,2019-03,2.72,0.00,,,2019-03,2.70,2.717,2.70,,2019-03,242.20M,243.70M,0.40,,2019-03,AOR,Restated
2018-12,2.77B,2.77B,1.601B,1.169B,513.00M,513.00M,50.00M,101.00M,87.00M,-2.00M,,70.00M,0.00,-70.00M,,664.00M,505.00M,0.00,70.00M,-70.00M,-14.00M,-70.00M,421.00M,137.00M,284.00M,-8.00M,,345.00M,286.12M,642.00M,,2018-12,1.14,0.28,,,2018-12,1.13,1.171,1.41,,2018-12,242.20M,244.90M,0.40,,2018-12,AOR,Restated
2018-09,2.349B,2.349B,1.392B,957.00M,555.00M,555.00M,40.00M,100.00M,94.00M,-3.00M,,69.00M,,-69.00M,,695.00M,262.00M,,69.00M,-69.00M,1.00M,-69.00M,194.00M,39.00M,155.00M,-6.00M,,147.00M,149.00M,403.00M,,2018-09,0.61,-0.01,,,2018-09,0.61,0.61,0.60,,2018-09,244.00M,245.60M,0.40,,2018-09,AOR,Restated
2018-06,2.561B,2.561B,1.494B,1.067B,761.00M,761.00M,47.00M,282.00M,96.00M,0.00,,69.00M,1.00M,-68.00M,,1.09B,-23.00M,1.00M,69.00M,-68.00M,4.00M,-68.00M,-87.00M,-144.00M,57.00M,-10.00M,,48.00M,45.54M,311.00M,,2018-06,0.19,0.01,,,2018-06,0.19,0.1841,0.19,,2018-06,246.00M,247.40M,0.40,,2018-06,AOR,Restated
2018-03,3.09B,3.09B,1.616B,1.474B,526.00M,526.00M,39.00M,110.00M,93.00M,,,70.00M,4.00M,-66.00M,,675.00M,799.00M,4.00M,70.00M,-66.00M,-15.00M,-66.00M,718.00M,114.00M,604.00M,-16.00M,,594.00M,588.00M,937.00M,,2018-03,2.37,0.02,,,2018-03,2.35,2.35,2.37,,2018-03,248.50M,250.20M,0.36,,2018-03,AOR,Restated
2017-12,2.909B,2.909B,1.64B,1.269B,615.00M,615.00M,39.00M,100.00M,89.00M,,,71.00M,7.00M,-64.00M,,754.00M,515.00M,7.00M,71.00M,-64.00M,-45.00M,-64.00M,406.00M,389.00M,17.00M,-7.00M,,-19.00M,10.00M,616.00M,,2017-12,0.04,-0.12,,,2017-12,0.04,0.04,-0.08,,2017-12,251.30M,254.10M,0.36,,2017-12,AOR,Restated
2017-09,2.34B,2.34B,1.428B,912.00M,515.00M,515.00M,40.00M,101.00M,89.00M,,,70.00M,10.00M,-60.00M,,656.00M,256.00M,10.00M,70.00M,-60.00M,4.00M,-60.00M,200.00M,4.00M,196.00M,-7.00M,,185.00M,189.00M,411.00M,,2017-09,0.74,-0.02,,,2017-09,0.73,0.73,0.72,,2017-09,255.60M,257.30M,0.36,,2017-09,AOR,Restated
2017-06,2.368B,2.368B,1.466B,902.00M,515.00M,515.00M,54.00M,460.00M,86.00M,,,71.00M,8.00M,-63.00M,,1.029B,-127.00M,8.00M,71.00M,-63.00M,4.00M,-63.00M,-186.00M,-143.00M,-43.00M,-9.00M,,769.00M,-52.00M,399.00M,,2017-06,-0.20,3.13,,,2017-06,-0.20,-0.20,2.93,,2017-06,262.40M,262.40M,0.36,,2017-06,AOR,Restated
2017-03,2.381B,2.381B,1.469B,912.00M,480.00M,480.00M,54.00M,43.00M,84.00M,,,70.00M,2.00M,-68.00M,,577.00M,335.00M,2.00M,70.00M,-68.00M,-2.00M,-68.00M,265.00M,0.00,265.00M,-14.00M,,291.00M,251.00M,432.00M,,2017-03,0.95,0.15,,,2017-03,0.94,0.94,1.09,,2017-03,264.80M,267.00M,0.33,,2017-03,AOR,Restated
2016-12,2.65B,2.65B,1.473B,1.177B,457.00M,457.00M,44.00M,40.00M,86.00M,,,70.00M,3.00M,-67.00M,,541.00M,636.00M,3.00M,70.00M,-67.00M,-164.00M,-67.00M,405.00M,21.00M,384.00M,-7.00M,,452.00M,377.00M,559.00M,,2016-12,1.89,0.28,,,2016-12,1.87,1.87,1.87,,2016-12,265.10M,268.20M,0.33,,2016-12,AOR,Restated
2016-09,2.201B,2.201B,1.30B,901.00M,452.00M,452.00M,39.00M,42.00M,86.00M,,,70.00M,1.00M,-69.00M,,533.00M,368.00M,1.00M,70.00M,-69.00M,10.00M,-69.00M,309.00M,25.00M,284.00M,-7.00M,,319.00M,277.00M,460.00M,,2016-09,1.03,0.16,,,2016-09,1.03,1.03,1.18,,2016-09,267.50M,269.60M,0.33,,2016-09,AOR,Restated
2016-06,2.282B,2.282B,1.396B,886.00M,420.00M,420.00M,41.00M,38.00M,89.00M,,,73.00M,3.00M,-70.00M,,499.00M,387.00M,3.00M,73.00M,-70.00M,-1.00M,-70.00M,316.00M,43.00M,273.00M,-8.00M,,300.00M,265.00M,468.00M,,2016-06,0.99,0.13,,,2016-06,0.98,0.98,1.11,,2016-06,268.00M,269.80M,0.33,,2016-06,AOR,Restated
2016-03,2.276B,2.276B,1.345B,931.00M,436.00M,436.00M,38.00M,37.00M,82.00M,,,69.00M,2.00M,-67.00M,,511.00M,420.00M,2.00M,69.00M,-67.00M,18.00M,-67.00M,371.00M,59.00M,312.00M,-12.00M,,325.00M,300.00M,515.00M,,2016-03,1.11,0.09,,,2016-03,1.10,1.10,1.19,,2016-03,271.70M,273.70M,0.30,,2016-03,AOR,Restated
2015-12,1.086B,1.086B,625.00M,461.00M,-332.00M,-332.00M,,,,,,68.00M,4.00M,-64.00M,,5.00M,456.00M,4.00M,68.00M,-64.00M,49.00M,-64.00M,441.00M,20.00M,421.00M,-6.00M,,584.00M,415.00M,509.00M,,2015-12,2.12,,,,2015-12,2.09,2.09,2.09,,2015-12,273.60M,277.50M,0.30,,2015-12,AOR,Restated
2015-09,2.742B,2.742B,1.644B,1.098B,685.00M,685.00M,,,,,,72.00M,3.00M,-69.00M,,685.00M,413.00M,3.00M,72.00M,-69.00M,8.00M,-69.00M,352.00M,49.00M,303.00M,-8.00M,,295.00M,295.00M,558.00M,,2015-09,1.05,,,,2015-09,1.04,1.04,1.04,,2015-09,280.90M,283.80M,0.30,,2015-09,AOR,Restated
2015-06,2.805B,2.805B,1.653B,1.152B,875.00M,875.00M,,,,,,68.00M,4.00M,-64.00M,,875.00M,277.00M,4.00M,68.00M,-64.00M,1.00M,-64.00M,214.00M,26.00M,188.00M,-10.00M,,178.00M,178.00M,418.00M,,2015-06,0.63,,,,2015-06,0.62,0.62,0.62,,2015-06,284.50M,286.70M,0.30,,2015-06,AOR,Restated
2015-03,2.847B,2.847B,1.683B,1.164B,723.00M,723.00M,,,,,,65.00M,3.00M,-62.00M,,723.00M,441.00M,3.00M,65.00M,-62.00M,42.00M,-62.00M,421.00M,80.00M,341.00M,-13.00M,,328.00M,328.00M,622.00M,,2015-03,1.15,,,,2015-03,1.14,1.14,1.14,,2015-03,284.20M,287.10M,0.25,,2015-03,AOR,Restated
2014-12,3.299B,3.299B,1.848B,1.451B,816.00M,816.00M,,,,,,67.00M,3.00M,-64.00M,,816.00M,635.00M,3.00M,67.00M,-64.00M,10.00M,-64.00M,581.00M,114.00M,467.00M,-8.00M,,459.00M,459.00M,796.00M,,2014-12,1.60,,,,2014-12,1.56,1.56,1.56,,2014-12,287.70M,293.60M,0.25,,2014-12,AOR,Restated
2014-09,2.88B,2.88B,1.707B,1.173B,756.00M,756.00M,,,,,,65.00M,3.00M,-62.00M,,756.00M,417.00M,3.00M,65.00M,-62.00M,35.00M,-62.00M,390.00M,75.00M,315.00M,-6.00M,,309.00M,309.00M,606.00M,,2014-09,1.06,,,,2014-09,1.04,1.04,1.04,,2014-09,292.30M,296.10M,0.25,,2014-09,AOR,Restated
2014-06,2.919B,2.919B,1.708B,1.211B,766.00M,766.00M,,,,,,65.00M,2.00M,-63.00M,,766.00M,445.00M,2.00M,65.00M,-63.00M,-2.00M,-63.00M,380.00M,67.00M,313.00M,-9.00M,,304.00M,304.00M,594.00M,,2014-06,1.02,,,,2014-06,1.01,1.01,1.01,,2014-06,298.50M,301.60M,0.25,,2014-06,AOR,Restated
2014-03,2.947B,2.947B,1.751B,1.196B,727.00M,727.00M,,,,,,58.00M,2.00M,-56.00M,,727.00M,469.00M,2.00M,58.00M,-56.00M,1.00M,-56.00M,414.00M,78.00M,336.00M,-11.00M,,325.00M,325.00M,618.00M,,2014-03,1.07,,,,2014-03,1.06,1.06,1.06,,2014-03,303.50M,307.20M,0.175,,2014-03,AOR,Restated
2013-12,3.209B,3.209B,1.842B,1.367B,852.00M,852.00M,,,,,,57.00M,3.00M,-54.00M,,852.00M,515.00M,3.00M,57.00M,-54.00M,14.00M,-54.00M,475.00M,115.00M,360.00M,-5.00M,,355.00M,355.00M,694.00M,,2013-12,1.16,,,,2013-12,1.14,1.14,1.14,,2013-12,306.00M,311.50M,0.175,,2013-12,AOR,Restated
2013-09,2.794B,2.794B,1.666B,1.128B,764.00M,764.00M,,,,,,53.00M,3.00M,-50.00M,,764.00M,364.00M,3.00M,53.00M,-50.00M,39.00M,-50.00M,353.00M,89.00M,264.00M,-8.00M,,256.00M,256.00M,563.00M,,2013-09,0.83,,,,2013-09,0.82,0.82,0.82,,2013-09,309.50M,312.90M,0.175,,2013-09,AOR,Restated
2013-06,2.897B,2.897B,1.712B,1.185B,803.00M,803.00M,,,,,,48.00M,2.00M,-46.00M,,803.00M,382.00M,2.00M,48.00M,-46.00M,6.00M,-46.00M,342.00M,90.00M,252.00M,-11.00M,,241.00M,241.00M,548.00M,,2013-06,0.77,,,,2013-06,0.76,0.76,0.76,,2013-06,313.70M,317.10M,0.175,,2013-06,AOR,Restated
2013-03,2.915B,2.915B,1.725B,1.19B,780.00M,780.00M,,,,,,52.00M,1.00M,-51.00M,,780.00M,410.00M,1.00M,52.00M,-51.00M,9.00M,-51.00M,368.00M,96.00M,272.00M,-11.00M,,261.00M,261.00M,578.00M,,2013-03,0.82,,,,2013-03,0.82,0.82,0.82,,2013-03,316.40M,320.00M,0.1575,,2013-03,AOR,Restated
2012-12,3.115B,3.115B,1.789B,1.326B,865.00M,865.00M,,,,,,55.00M,4.00M,-51.00M,,865.00M,461.00M,4.00M,55.00M,-51.00M,-1.00M,-51.00M,409.00M,103.00M,306.00M,-2.00M,,305.00M,304.00M,638.00M,,2012-12,0.95,0.00,,,2012-12,0.93,0.93,0.93,,2012-12,322.20M,327.20M,0.1575,,2012-12,AOR,Restated
2012-09,2.737B,2.737B,1.62B,1.117B,778.00M,778.00M,,,,,,57.00M,1.00M,-56.00M,,778.00M,339.00M,1.00M,57.00M,-56.00M,-9.00M,-56.00M,274.00M,64.00M,210.00M,-6.00M,,204.00M,204.00M,492.00M,,2012-09,0.6233,0.00,,,2012-09,0.6163,0.6163,0.62,,2012-09,327.30M,331.00M,0.1575,,2012-09,AOR,Restated
2012-06,2.821B,2.821B,1.639B,1.182B,788.00M,788.00M,,,,,,57.00M,2.00M,-55.00M,,788.00M,394.00M,2.00M,57.00M,-55.00M,12.00M,-55.00M,351.00M,96.00M,255.00M,-8.00M,,246.00M,247.00M,569.00M,,2012-06,0.7440,-0.0030,,,2012-06,0.7360,0.7360,0.73,,2012-06,332.00M,335.60M,0.1575,,2012-06,AOR,Restated
