,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-11,11.24B,11.24B,6.396B,4.847B,729.00M,2.538B,3.267B,,,-70.00M,3.267B,1.58B,,-70.00M,-54.00M,-70.00M,1.456B,205.00M,1.251B,,,1.251B,1.251B,1.827B,247.00M,1.58B,,0.80,,,0.80,0.80,,0.78,,,0.78,0.78,,1.573B,1.610B,0.275,,AOR,
2020-08,10.59B,10.59B,5.853B,4.741B,677.00M,2.298B,2.975B,,,-65.00M,2.975B,1.766B,,-65.00M,14.00M,-65.00M,1.715B,197.00M,1.518B,,,1.518B,1.518B,1.983B,217.00M,1.766B,,0.97,,,0.97,0.97,,0.95,,,0.95,0.95,,1.562B,1.593B,0.245,,AOR,
2020-05,6.313B,6.313B,3.96B,2.353B,823.00M,2.368B,3.191B,,,-50.00M,3.191B,-838.00M,,-50.00M,84.00M,-50.00M,-804.00M,-14.00M,-790.00M,,,-790.00M,-790.00M,-615.00M,223.00M,-838.00M,,-0.51,,,-0.51,-0.51,,-0.51,,,-0.51,-0.51,,1.687B,1.687B,0.245,,AOR,
2020-02,10.10B,10.10B,5.631B,4.473B,870.00M,2.413B,3.283B,,,-12.00M,3.283B,1.19B,,-12.00M,-297.00M,-12.00M,881.00M,34.00M,847.00M,,,847.00M,847.00M,1.724B,534.00M,1.19B,,0.54,,,0.54,0.54,,0.53,,,0.53,0.53,,1.556B,1.592B,0.245,,AOR,
2019-11,10.33B,10.33B,5.782B,4.544B,881.00M,2.443B,3.324B,,,-12.00M,3.324B,1.22B,,-12.00M,41.00M,-12.00M,1.249B,134.00M,1.115B,,,1.115B,1.115B,1.407B,187.00M,1.22B,,0.71,,,0.71,0.71,,0.70,,,0.70,0.70,,1.561B,1.594B,0.245,,AOR,Restated
2019-08,10.66B,10.66B,5.789B,4.871B,1.018B,2.31B,3.328B,,,-15.00M,3.328B,1.543B,,-15.00M,33.00M,-15.00M,1.561B,194.00M,1.367B,,,1.367B,1.367B,1.718B,175.00M,1.543B,,0.87,,,0.87,0.87,,0.86,,,0.86,0.86,,1.562B,1.598B,0.22,,AOR,Restated
2019-05,10.18B,10.18B,5.551B,4.633B,1.014B,2.392B,3.406B,,,-12.00M,3.406B,1.227B,,-12.00M,28.00M,-12.00M,1.243B,254.00M,989.00M,,,989.00M,989.00M,1.411B,184.00M,1.227B,,0.63,,,0.63,0.63,,0.62,,,0.62,0.62,,1.725B,1.725B,0.22,,AOR,Restated
2019-02,9.611B,9.611B,5.272B,4.339B,865.00M,2.226B,3.091B,,,-12.00M,3.091B,1.248B,,-12.00M,55.00M,-12.00M,1.291B,190.00M,1.101B,,,1.101B,1.101B,1.425B,177.00M,1.248B,,0.70,,,0.70,0.70,,0.68,,,0.68,0.68,,1.573B,1.610B,0.22,,AOR,Restated
2018-11,9.374B,9.374B,5.269B,4.105B,910.00M,2.232B,3.142B,,,-14.00M,3.142B,963.00M,,-14.00M,48.00M,-14.00M,997.00M,150.00M,847.00M,,,847.00M,847.00M,1.141B,178.00M,963.00M,,0.54,,,0.54,0.54,,0.52,,,0.52,0.52,,1.581B,1.621B,0.22,,AOR,Restated
2018-08,9.948B,9.948B,5.551B,4.397B,964.00M,2.099B,3.063B,,,-11.00M,3.063B,1.334B,,-11.00M,-53.00M,-11.00M,1.27B,178.00M,1.092B,,,1.092B,1.092B,1.515B,181.00M,1.334B,,0.69,,,0.69,0.69,,0.67,,,0.67,0.67,,1.594B,1.634B,0.20,,AOR,Restated
2018-05,9.789B,9.789B,5.411B,4.378B,983.00M,2.137B,3.12B,,,-12.00M,3.12B,1.258B,,-12.00M,-31.00M,-12.00M,1.215B,78.00M,1.137B,,,1.137B,1.137B,1.458B,200.00M,1.258B,,0.7081,,,0.7081,0.7081,,0.6928,,,0.6928,0.6928,,1.747B,1.747B,0.20,,AOR,Restated
2018-02,8.984B,8.984B,5.046B,3.938B,862.00M,1.905B,2.767B,,,-13.00M,2.767B,1.171B,,-13.00M,1.00M,-13.00M,1.159B,2.08B,-921.00M,,,-921.00M,-921.00M,1.369B,198.00M,1.171B,,-0.57,,,-0.57,-0.57,,-0.57,,,-0.57,-0.57,,1.624B,1.624B,0.20,,AOR,Restated
