,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-11,1.251B,,-53.00M,-53.00M,185.00M,62.00M,247.00M,247.00M,43.00M,,189.00M,189.00M,69.00M,632.00M,175.00M,-80.00M,,,796.00M,2.473B,,-168.00M,,-168.00M,,-2.074B,254.00M,-1.988B,,-90.00M,-7.00M,-97.00M,,0.00,0.00,384.00M,-385.00M,479.00M,-41.00M,-44.00M,,8.148B,441.00M,46.00M,8.635B,,,,-90.00M,0.00,,AOR,
2020-08,1.518B,,-45.00M,-45.00M,176.00M,41.00M,217.00M,217.00M,-220.00M,,136.00M,136.00M,-990.00M,689.00M,-338.00M,-85.00M,,,-724.00M,882.00M,,-176.00M,,-176.00M,,-715.00M,2.00M,-889.00M,,-83.00M,-30.00M,-113.00M,,0.00,0.00,-384.00M,-384.00M,302.00M,-53.00M,-248.00M,,8.348B,-255.00M,55.00M,8.148B,,,,-83.00M,0.00,,AOR,
2020-05,-790.00M,,72.00M,72.00M,208.00M,15.00M,223.00M,223.00M,-8.00M,,126.00M,126.00M,1.714B,-1.399B,-160.00M,221.00M,,,376.00M,-1.00M,,-289.00M,,-289.00M,,18.00M,1.00M,-270.00M,,6.134B,49.00M,6.183B,,-202.00M,-202.00M,-381.00M,-381.00M,207.00M,-6.00M,5.801B,,2.863B,5.53B,-45.00M,8.348B,,,,,-202.00M,,AOR,
2020-02,847.00M,,-55.00M,-55.00M,170.00M,364.00M,534.00M,534.00M,-238.00M,,113.00M,113.00M,93.00M,153.00M,-427.00M,160.00M,,,-21.00M,1.18B,,-275.00M,,-275.00M,,166.00M,139.00M,30.00M,,3.00M,-291.00M,-288.00M,,-944.00M,-944.00M,-1.071B,-382.00M,195.00M,-23.00M,-1.442B,,3.07B,-232.00M,25.00M,2.863B,,,,3.00M,-944.00M,,AOR,
2019-11,1.115B,,-43.00M,-43.00M,174.00M,13.00M,187.00M,187.00M,-92.00M,,110.00M,110.00M,-112.00M,-338.00M,-105.00M,190.00M,,,-365.00M,912.00M,,-238.00M,,-238.00M,,-202.00M,0.00,-440.00M,,-1.00M,50.00M,49.00M,,-922.00M,-922.00M,345.00M,-344.00M,372.00M,-13.00M,-858.00M,,3.446B,-386.00M,10.00M,3.07B,,,,-1.00M,-922.00M,,AOR,Restated
2019-08,1.367B,,49.00M,49.00M,169.00M,6.00M,175.00M,175.00M,-42.00M,,80.00M,80.00M,-456.00M,-270.00M,38.00M,-547.00M,,,-1.235B,394.00M,,-284.00M,,-284.00M,,45.00M,-109.00M,-348.00M,,-2.00M,241.00M,239.00M,,-999.00M,-999.00M,-345.00M,-345.00M,111.00M,-16.00M,-1.01B,,4.466B,-964.00M,-56.00M,3.446B,,,,-2.00M,-999.00M,,AOR,Restated
2019-05,989.00M,,15.00M,15.00M,178.00M,6.00M,184.00M,184.00M,-33.00M,,99.00M,99.00M,190.00M,-264.00M,-36.00M,866.00M,,,756.00M,2.01B,,-273.00M,,-273.00M,,130.00M,0.00,-143.00M,,,-5.00M,-5.00M,,-881.00M,-881.00M,-346.00M,-346.00M,213.00M,-7.00M,-1.026B,,3.695B,841.00M,-70.00M,4.466B,,,,,-881.00M,,AOR,Restated
2019-02,1.101B,,8.00M,8.00M,178.00M,-1.00M,177.00M,177.00M,56.00M,,93.00M,93.00M,-136.00M,37.00M,-43.00M,-225.00M,,,-367.00M,1.068B,,-216.00M,,-216.00M,,339.00M,1.00M,124.00M,,,7.00M,7.00M,,-768.00M,-768.00M,-348.00M,-348.00M,147.00M,-15.00M,-977.00M,,3.423B,215.00M,57.00M,3.695B,,,,,-768.00M,,AOR,Restated
2018-11,847.00M,,44.00M,44.00M,171.00M,7.00M,178.00M,178.00M,-7.00M,,92.00M,92.00M,-30.00M,-238.00M,-41.00M,679.00M,,,370.00M,1.524B,,-287.00M,,-287.00M,,375.00M,0.00,88.00M,,,-6.00M,-6.00M,,-1.277B,-1.277B,-318.00M,-318.00M,153.00M,-10.00M,-1.458B,,3.282B,154.00M,-13.00M,3.423B,,,,,-1.277B,,AOR,Restated
2018-08,1.092B,,166.00M,166.00M,178.00M,3.00M,181.00M,181.00M,18.00M,,41.00M,41.00M,-294.00M,-25.00M,-83.00M,205.00M,,,-197.00M,1.301B,,-343.00M,,-343.00M,,6.00M,4.00M,-333.00M,,,-321.00M,-321.00M,,-1.36B,-1.36B,-320.00M,-320.00M,187.00M,-18.00M,-1.832B,,4.249B,-864.00M,-103.00M,3.282B,,,,,-1.36B,,AOR,Restated
