,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,2.66B,2.66B,,1.523B,1.523B,59.00M,-12.00M,1.57B,2.00M,499.00M,641.00M,104.00M,537.00M,,,,39.00M,537.00M,547.07M,59.00M,655.00M,,1.41,,,1.439,1.41,,1.39,,,1.418,1.39,,352.97M,357.72M,0.52,,AOR,
2020-09,2.524B,2.524B,20.00M,1.461B,1.481B,59.00M,-15.00M,1.525B,0.00,478.00M,681.00M,126.00M,555.00M,,,,38.00M,555.00M,567.22M,-1.302B,723.00M,,1.47,,,1.505,1.47,,1.45,,,1.484,1.45,,352.59M,357.17M,0.52,,AOR,
2020-06,2.672B,2.672B,12.00M,1.434B,1.446B,58.00M,-12.00M,1.492B,0.00,559.00M,803.00M,109.00M,694.00M,,,,32.00M,694.00M,704.37M,352.00M,918.00M,,1.88,,,1.909,1.88,,1.86,,,1.889,1.86,,352.16M,356.41M,0.52,,AOR,
2020-03,2.784B,2.784B,18.00M,1.607B,1.625B,58.00M,-11.00M,1.672B,2.00M,664.00M,774.00M,140.00M,634.00M,,,,53.00M,634.00M,643.01M,332.00M,978.00M,,1.64,,,1.665,1.64,,1.62,,,1.645,1.62,,353.75M,357.99M,0.52,,AOR,
2019-12,2.767B,2.767B,31.00M,1.525B,1.556B,58.00M,-80.00M,1.534B,-1.00M,636.00M,638.00M,74.00M,564.00M,,,,72.00M,564.00M,634.72M,363.00M,908.00M,,1.75,,,1.946,1.75,,1.73,,,1.923,1.73,,361.35M,365.58M,0.52,,AOR,
2019-09,2.603B,2.603B,30.00M,1.474B,1.504B,59.00M,-27.00M,1.536B,0.00,644.00M,721.00M,138.00M,583.00M,,,,55.00M,583.00M,604.82M,340.00M,1.078B,,1.44,,,1.499,1.44,,1.42,,,1.479,1.42,,366.73M,370.60M,0.52,,AOR,Restated
2019-06,2.593B,2.593B,27.00M,1.463B,1.49B,59.00M,-12.00M,1.537B,0.00,613.00M,718.00M,131.00M,587.00M,,,,50.00M,587.00M,596.83M,330.00M,1.112B,,1.44,,,1.466,1.44,,1.42,,,1.446,1.42,,373.77M,377.58M,0.47,,AOR,Restated
2019-03,2.661B,2.661B,27.00M,1.607B,1.634B,60.00M,-9.00M,1.685B,0.00,673.00M,635.00M,127.00M,508.00M,,,,55.00M,508.00M,515.19M,304.00M,989.00M,,1.20,,,1.219,1.20,,1.18,,,1.199,1.18,,377.92M,381.70M,0.47,,AOR,Restated
2018-12,2.727B,2.727B,,1.747B,1.862B,81.00M,-36.00M,1.907B,0.00,697.00M,529.00M,92.00M,437.00M,,,,42.00M,437.00M,466.74M,329.00M,814.00M,,1.05,,,1.128,1.05,,1.04,,,1.118,1.04,,379.83M,383.71M,0.47,,AOR,Restated
2018-09,2.727B,2.727B,,1.435B,1.435B,47.00M,0.00,1.482B,-1.00M,672.00M,893.00M,129.00M,764.00M,,,,55.00M,764.00M,764.00M,287.00M,1.137B,,1.89,,,1.89,1.89,,1.87,,,1.87,1.87,,374.96M,379.38M,0.47,,AOR,Restated
2018-06,2.777B,2.777B,29.00M,1.50B,1.529B,48.00M,0.00,1.577B,9.00M,659.00M,891.00M,158.00M,733.00M,,,,36.00M,733.00M,733.00M,289.00M,1.139B,,1.91,,,1.91,1.91,,1.88,,,1.88,1.88,,365.62M,370.41M,0.42,,AOR,Restated
2018-03,2.775B,2.775B,26.00M,1.613B,1.639B,50.00M,0.00,1.689B,-2.00M,643.00M,788.00M,129.00M,659.00M,,,,55.00M,659.00M,659.00M,298.00M,1.002B,,1.64,,,1.64,1.64,,1.62,,,1.62,1.62,,367.44M,372.62M,0.42,,AOR,Restated
2017-12,2.682B,2.682B,25.00M,1.331B,1.356B,54.00M,-165.00M,1.245B,0.00,616.00M,813.00M,464.00M,349.00M,,,,36.00M,349.00M,448.00M,289.00M,994.00M,,0.91,,,1.178,0.91,,0.89,,,1.154,0.89,,369.88M,375.52M,0.42,,AOR,Restated
2017-09,2.607B,2.607B,14.00M,1.432B,1.446B,54.00M,-36.00M,1.464B,1.00M,603.00M,822.00M,137.00M,685.00M,,,,55.00M,685.00M,714.99M,275.00M,980.00M,,1.69,,,1.770,1.69,,1.66,,,1.739,1.66,,372.76M,378.52M,0.42,,AOR,Restated
2017-06,2.57B,2.57B,,1.401B,1.401B,54.00M,-54.00M,1.401B,0.00,575.00M,776.00M,156.00M,620.00M,,,,36.00M,620.00M,663.15M,257.00M,901.00M,,1.56,,,1.675,1.56,,1.53,,,1.643,1.53,,375.40M,380.92M,0.38,,AOR,Restated
2017-03,2.436B,2.436B,,1.483B,1.483B,52.00M,-29.00M,1.506B,-40.00M,510.00M,584.00M,82.00M,502.00M,,,,55.00M,502.00M,526.94M,264.00M,724.00M,,1.17,,,1.235,1.17,,1.15,,,1.215,1.15,,381.22M,386.42M,0.38,,AOR,Restated
2016-12,2.334B,2.334B,,1.603B,1.655B,54.00M,-46.00M,1.663B,2.00M,514.00M,345.00M,-248.00M,593.00M,,,0.00,36.00M,593.00M,620.60M,259.00M,447.00M,,1.45,,,1.522,1.45,,1.43,,,1.501,1.43,,384.06M,389.12M,0.38,,AOR,Restated
2016-09,2.382B,2.382B,,1.329B,1.329B,55.00M,-89.00M,1.295B,4.00M,537.00M,636.00M,72.00M,564.00M,,,-1.00M,55.00M,563.00M,641.85M,210.00M,746.00M,,1.31,,,1.513,1.31,,1.29,,,1.491,1.29,,388.36M,393.21M,0.38,,AOR,Restated
2016-06,2.348B,2.348B,,1.28B,1.28B,49.00M,-20.00M,1.309B,-1.00M,521.00M,709.00M,92.00M,617.00M,,,2.00M,33.00M,619.00M,636.42M,228.00M,808.00M,,1.48,,,1.524,1.48,,1.47,,,1.514,1.47,,394.16M,398.85M,0.34,,AOR,Restated
2016-03,2.26B,2.26B,,1.401B,1.401B,49.00M,-104.00M,1.346B,2.00M,512.00M,430.00M,62.00M,368.00M,,,,49.00M,368.00M,457.02M,232.00M,547.00M,,0.80,,,1.023,0.80,,0.79,,,1.011,0.79,,399.42M,403.62M,0.34,,AOR,Restated
2015-12,2.394B,2.394B,,1.333B,1.398B,50.00M,-32.00M,1.416B,0.00,494.00M,680.00M,103.00M,577.00M,,,-1.00M,28.00M,576.00M,603.15M,210.00M,789.00M,,1.36,,,1.428,1.36,,1.34,,,1.407,1.34,,401.98M,407.24M,0.34,,AOR,Restated
2015-09,2.342B,2.342B,,1.349B,1.349B,48.00M,-3.00M,1.394B,-2.00M,513.00M,647.00M,67.00M,580.00M,,,1.00M,42.00M,581.00M,583.69M,207.00M,748.00M,,1.33,,,1.337,1.33,,1.31,,,1.317,1.31,,406.61M,412.17M,0.34,,AOR,Restated
2015-06,2.368B,2.368B,,1.261B,1.261B,49.00M,-256.00M,1.054B,-3.00M,535.00M,472.00M,54.00M,418.00M,,,0.00,29.00M,418.00M,644.71M,198.00M,566.00M,,0.95,,,1.502,0.95,,0.93,,,1.474,0.93,,410.67M,416.71M,0.34,,AOR,Restated
2015-03,2.349B,2.349B,,1.371B,1.371B,50.00M,-156.00M,1.265B,-1.00M,546.00M,499.00M,94.00M,405.00M,,,,31.00M,405.00M,531.67M,186.00M,595.00M,,0.90,,,1.207,0.90,,0.89,,,1.192,0.89,,412.22M,418.75M,0.30,,AOR,Restated
2014-12,2.266B,2.266B,,1.298B,1.298B,60.00M,-225.00M,1.133B,0.00,574.00M,548.00M,71.00M,477.00M,,,0.00,18.00M,477.00M,672.85M,186.00M,650.00M,,1.26,,,1.730,1.26,,1.24,,,1.701,1.24,,416.57M,424.50M,0.30,,AOR,Restated
2014-09,2.383B,2.383B,,1.195B,1.195B,54.00M,-20.00M,1.229B,0.00,570.00M,688.00M,128.00M,560.00M,,,0.00,18.00M,560.00M,576.28M,177.00M,789.00M,,1.28,,,1.319,1.28,,1.26,,,1.298,1.26,,421.97M,429.74M,0.30,,AOR,Restated
2014-06,2.405B,2.405B,,1.222B,1.222B,54.00M,-28.00M,1.248B,-2.00M,561.00M,746.00M,124.00M,622.00M,,,,19.00M,622.00M,645.35M,183.00M,835.00M,,1.41,,,1.465,1.41,,1.38,,,1.434,1.38,,427.82M,435.32M,0.30,,AOR,Restated
2014-03,2.294B,2.294B,,1.401B,1.401B,54.00M,-33.00M,1.422B,6.00M,555.00M,455.00M,92.00M,363.00M,,,,6.00M,363.00M,389.30M,153.00M,555.00M,,0.83,,,0.8911,0.83,,0.81,,,0.8699,0.81,,430.62M,438.82M,0.26,,AOR,Restated
2013-12,2.138B,2.138B,,1.253B,1.253B,54.00M,-13.00M,1.294B,0.00,585.00M,592.00M,125.00M,467.00M,,,,6.00M,467.00M,477.26M,191.00M,691.00M,,1.25,,,1.274,1.25,,1.22,,,1.243,1.22,,435.75M,445.44M,0.26,,AOR,Restated
2013-09,2.24B,2.24B,,1.138B,1.138B,53.00M,-30.00M,1.161B,-4.00M,546.00M,703.00M,163.00M,540.00M,,,,7.00M,540.00M,563.04M,184.00M,800.00M,,1.20,,,1.252,1.20,,1.17,,,1.221,1.17,,442.86M,452.15M,0.26,,AOR,Restated
2013-06,2.374B,2.374B,,1.152B,1.152B,54.00M,-30.00M,1.176B,-7.00M,596.00M,762.00M,183.00M,579.00M,,,,6.00M,579.00M,601.80M,140.00M,866.00M,,1.26,,,1.310,1.26,,1.24,,,1.289,1.24,,452.18M,461.04M,0.26,,AOR,Restated
2013-03,2.255B,2.255B,,1.272B,1.272B,53.00M,-14.00M,1.311B,2.00M,576.00M,609.00M,145.00M,464.00M,,,,7.00M,464.00M,474.67M,160.00M,720.00M,,1.00,,,1.023,1.00,,0.98,,,1.003,0.98,,454.32M,462.75M,0.26,,AOR,Restated
2012-12,2.27B,2.27B,,1.149B,1.149B,53.00M,-139.00M,1.063B,21.00M,622.00M,587.00M,117.00M,470.00M,,,,0.00,470.00M,581.29M,172.00M,698.00M,,1.02,,,1.262,1.02,,1.00,,,1.238,1.00,,459.22M,467.08M,0.24,,AOR,Restated
2012-09,2.186B,2.186B,,1.127B,1.127B,46.00M,334.00M,1.507B,18.00M,619.00M,941.00M,267.00M,674.00M,,,,15.00M,674.00M,434.77M,120.00M,1.052B,,1.39,,,0.8835,1.39,,1.36,,,0.8616,1.36,,472.36M,480.01M,0.24,,AOR,Restated
2012-06,2.251B,2.251B,,1.15B,1.15B,48.00M,-37.00M,1.161B,-27.00M,672.00M,652.00M,162.00M,490.00M,,,,7.00M,490.00M,517.81M,91.00M,766.00M,,1.00,,,1.058,1.00,,0.98,,,1.037,0.98,,481.40M,488.52M,0.24,,AOR,Restated
