,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,3.177B,3.177B,1.671B,1.506B,189.75M,355.37M,,,52.12M,6.959M,-45.16M,,545.12M,961.06M,6.959M,52.12M,-45.16M,6.364M,-45.16M,922.27M,98.82M,823.45M,,823.45M,824.68M,1.047B,72.91M,974.39M,5.67,,,5.678,5.67,5.59,,,5.598,5.59,145.27M,147.25M,1.3
2020-06,2.792B,2.792B,1.512B,1.280B,185.80M,338.81M,,,49.25M,9.339M,-39.91M,,524.61M,755.72M,9.339M,49.25M,-39.91M,32.36M,-39.91M,748.17M,51.50M,696.67M,,696.67M,697.59M,868.50M,71.08M,797.42M,4.79,,,4.796,4.79,4.73,,,4.736000000000001,4.73,145.29M,147.42M,1.15
2020-03,2.504B,2.504B,1.337B,1.167B,164.98M,307.91M,,,41.58M,18.86M,-22.72M,,472.89M,694.11M,18.86M,41.58M,-22.72M,-41.90M,-22.72M,629.50M,54.71M,574.78M,,574.78M,574.34M,738.32M,67.25M,671.08M,3.96,,,3.957,3.96,3.88,,,3.877,3.88,145.30M,148.16M,1.15
2019-12,2.584B,2.584B,1.404B,1.180B,174.27M,318.86M,,,42.62M,25.45M,-17.16M,,493.13M,686.51M,25.45M,42.62M,-17.16M,3.237M,-17.16M,672.59M,158.08M,514.51M,,514.51M,516.26M,780.73M,65.53M,715.20M,3.57,,,3.582,3.57,3.43,,,3.4419999999999997,3.43,143.99M,150.10M,1.15
2019-09,2.166B,2.166B,1.184B,981.71M,157.43M,286.83M,,,44.00M,31.78M,-12.21M,,444.26M,537.46M,31.78M,44.00M,-12.21M,-0.517M,-12.21M,524.73M,58.94M,465.79M,,465.79M,466.26M,633.39M,64.66M,568.72M,3.22,,,3.2230000000000003,3.22,3.09,,,3.093,3.09,144.67M,150.68M,1.15
2019-06,2.361B,2.361B,1.280B,1.081B,168.23M,295.58M,,,45.43M,35.06M,-10.37M,,463.81M,617.08M,35.06M,45.43M,-10.37M,2.699M,-10.37M,609.42M,67.59M,541.82M,,541.82M,544.07M,720.25M,65.41M,654.85M,3.66,,,3.675,3.66,3.51,,,3.525,3.51,148.24M,154.61M,1.1
2019-03,2.439B,2.439B,1.365B,1.074B,190.31M,318.51M,,,30.26M,26.97M,-3.297M,,508.82M,565.52M,26.97M,30.26M,-3.297M,23.83M,-3.297M,586.05M,38.66M,547.39M,,547.39M,546.72M,698.59M,82.27M,616.31M,3.62,,,3.616,3.62,3.47,,,3.466,3.47,151.20M,157.85M,1.1
2018-12,2.523B,2.523B,1.378B,1.145B,169.10M,285.56M,,,19.78M,17.81M,-1.975M,,454.65M,690.38M,17.81M,19.78M,-1.975M,-28.67M,-1.975M,659.73M,90.88M,568.86M,,568.86M,566.63M,761.31M,81.79M,679.51M,3.67,,,3.656,3.67,3.51,,,3.4960000000000004,3.51,155.02M,162.17M,1.1
2018-09,2.331B,2.331B,1.272B,1.058B,174.78M,291.67M,,,21.79M,18.93M,-2.855M,,466.45M,591.75M,18.93M,21.79M,-2.855M,2.478M,-2.855M,591.37M,58.01M,533.36M,,533.36M,533.31M,692.97M,79.80M,613.16M,3.43,,,3.43,3.43,3.23,,,3.23,3.23,155.66M,165.33M,1.1
2018-06,3.126B,3.126B,1.647B,1.479B,196.50M,327.71M,0.00,0.00,24.43M,23.26M,-1.166M,,524.21M,955.20M,23.26M,24.43M,-1.166M,4.12M,-1.166M,958.15M,-63.00M,1.021B,,1.021B,1.022B,1.068B,85.12M,982.58M,6.35,,,6.352,6.35,5.82,,,5.822,5.82,160.92M,175.43M,1.1
