,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,753.18M,4.129B,2.529B,6.658B,2.318B,,2.318B,1.284B,269.02M,584.72M,2.138B,161.00M,,,11.27B,,,,,,,,,1.134B,1.485B,161.71M,1.646B,,,1.002B,3.782B,15.06B,662.67M,188.05M,170.41M,1.021B,404.25M,1.425B,125.24M,,,834.14M,,834.14M,576.49M,576.49M,,3.407B,4.993B,,4.993B,,,,351.28M,6.225B,9.632B,0.145M,12.16B,6.762B,13.42B,,,-82.67M,5.425B
2020-06,973.98M,4.915B,1.795B,6.710B,2.097B,,2.097B,1.162B,251.20M,486.86M,1.900B,146.16M,,,10.85B,0.0,58.80M,660.86M,1.416B,18.41M,,2.154B,-1.083B,1.071B,1.484B,168.53M,1.653B,,,981.04M,3.706B,14.56B,592.39M,167.13M,215.65M,975.17M,369.63M,1.345B,117.84M,,836.11M,836.11M,3.77M,839.88M,457.52M,457.52M,,3.162B,4.959B,11.48M,4.971B,,,,332.56M,6.213B,9.376B,0.145M,11.52B,6.696B,12.95B,,,-94.21M,5.183B
2020-03,1.483B,3.962B,1.432B,5.393B,2.191B,,2.191B,1.035B,227.60M,411.65M,1.675B,149.84M,,,9.409B,,,,,,,,,1.049B,1.484B,182.68M,1.667B,,,814.50M,3.530B,12.94B,498.86M,167.74M,112.47M,779.07M,321.60M,1.101B,117.68M,,,42.41M,,42.41M,539.60M,539.60M,,2.106B,5.044B,,5.044B,,,,350.60M,6.284B,8.389B,0.145M,10.99B,6.578B,12.92B,,,-112.68M,4.549B
2019-12,,3.036B,1.648B,4.684B,2.030B,,2.030B,980.75M,200.63M,347.24M,1.529B,212.10M,,,8.455B,,,,,,,,,1.047B,1.485B,193.12M,1.678B,,,733.96M,3.459B,11.91B,452.78M,163.51M,134.62M,750.90M,307.66M,1.059B,118.19M,,,632.29M,,632.29M,366.42M,366.42M,,2.566B,3.786B,,3.786B,,,,272.04M,4.931B,7.496B,0.142M,10.58B,6.529B,12.67B,,,-60.25M,4.418B
2019-09,,4.607B,983.65M,5.591B,1.636B,,1.636B,958.88M,182.39M,342.12M,1.483B,124.76M,,,8.835B,,,,,,,,,1.030B,1.484B,206.26M,1.691B,,,788.07M,3.509B,12.34B,415.81M,166.72M,115.29M,697.82M,263.79M,961.62M,114.47M,,,645.16M,,645.16M,406.68M,406.68M,,2.458B,3.788B,,3.788B,,,,261.89M,4.907B,7.365B,0.145M,10.23B,6.456B,11.68B,,,-72.56M,4.979B
2019-06,462.31M,3.658B,1.773B,5.431B,1.456B,,1.456B,994.74M,174.22M,371.18M,1.540B,133.54M,,,8.560B,0.0,46.16M,664.06M,1.313B,,,2.023B,-963.68M,1.059B,1.485B,216.95M,1.702B,,,680.30M,3.441B,12.00B,376.56M,158.87M,49.93M,585.36M,273.82M,859.18M,127.93M,,,667.13M,,667.13M,381.32M,381.32M,,2.372B,3.823B,,3.823B,,,,190.82M,4.906B,7.278B,0.144M,9.931B,6.409B,11.60B,,,-64.03M,4.723B
2019-03,,4.932B,1.209B,6.141B,1.522B,,1.522B,1.035B,206.24M,381.36M,1.622B,156.80M,,,9.442B,,,,,,,,,1.040B,1.485B,223.02M,1.708B,,,704.76M,3.453B,12.90B,416.19M,164.87M,89.26M,670.32M,225.40M,895.72M,159.32M,,,964.11M,,964.11M,378.40M,378.40M,,2.806B,3.802B,,3.802B,,,,83.99M,4.749B,7.554B,0.15M,9.548B,6.315B,10.51B,,,-62.66M,5.341B
2018-12,,3.360B,275.67M,3.635B,1.869B,,1.869B,1.018B,183.95M,501.64M,1.703B,148.23M,,,7.356B,,,,,,,,,1.013B,1.485B,251.90M,1.736B,,,662.84M,3.413B,10.77B,343.94M,171.20M,158.35M,673.49M,222.81M,896.30M,166.91M,,,187.10M,,187.10M,432.22M,432.22M,,2.167B,1.813B,,1.813B,,,,87.83M,2.760B,4.927B,0.154M,9.165B,6.257B,9.573B,,,-64.69M,5.841B
2018-09,,2.568B,1.051B,3.619B,1.847B,,1.847B,994.68M,187.35M,692.17M,1.874B,175.89M,,,7.516B,,,,,,,,,951.38M,1.485B,282.69M,1.768B,,,722.77M,3.442B,10.96B,384.40M,167.91M,253.31M,805.62M,230.41M,1.036B,179.61M,,,550.37M,,550.37M,542.32M,542.32M,,2.825B,1.805B,,1.805B,,,,100.14M,2.751B,5.576B,0.153M,8.768B,6.195B,9.582B,,,-57.73M,5.382B
2018-06,,4.512B,437.34M,4.950B,2.177B,,2.177B,916.44M,222.92M,736.80M,1.876B,147.22M,,,9.150B,0.0,46.16M,530.03M,1.160B,,,1.736B,-833.61M,902.55M,1.485B,317.84M,1.803B,,,624.28M,3.330B,12.48B,510.98M,174.37M,185.38M,870.74M,250.50M,1.121B,192.48M,610.03M,,610.03M,,610.03M,720.09M,720.09M,,3.150B,1.807B,,1.807B,,,,90.63M,2.749B,5.899B,0.157M,8.261B,6.144B,7.846B,,,-57.45M,6.580B
