,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.122B,2.122B,1.621B,501.00M,165.00M,56.00M,,-61.00M,54.00M,2.00M,-52.00M,,221.00M,280.00M,2.00M,54.00M,-52.00M,-38.00M,-52.00M,190.00M,25.00M,165.00M,,,-4.00M,161.00M,218.42M,393.00M,149.00M,244.00M,1.19,,,1.614,1.19,1.18,,,1.601,1.18,135.30M,136.30M,0.66
2020-06,1.924B,1.924B,1.553B,371.00M,155.00M,52.00M,,-141.00M,55.00M,0.00,-55.00M,,207.00M,164.00M,0.00,55.00M,-55.00M,-110.00M,-55.00M,-1.00M,-31.00M,30.00M,,,-3.00M,27.00M,129.93M,195.00M,141.00M,54.00M,0.2,,,0.9608,0.2,0.2,,,0.9563,0.2,135.30M,136.10M,0.66
2020-03,2.241B,2.241B,1.664B,577.00M,160.00M,61.00M,,-14.00M,53.00M,1.00M,-52.00M,,221.00M,356.00M,1.00M,53.00M,-52.00M,12.00M,-52.00M,316.00M,56.00M,260.00M,,,-2.00M,258.00M,273.58M,508.00M,139.00M,369.00M,1.9,,,2.015,1.9,1.89,,,2.004,1.89,136.00M,136.50M,0.66
2019-12,2.205B,2.205B,1.708B,497.00M,176.00M,60.00M,,-74.00M,54.00M,1.00M,-53.00M,,236.00M,261.00M,1.00M,54.00M,-53.00M,-199.00M,-53.00M,9.00M,-18.00M,27.00M,,,-1.00M,26.00M,88.05M,212.00M,149.00M,63.00M,0.19,,,0.6466,0.19,0.19,,,0.6419,0.19,135.90M,137.30M,0.66
2019-09,2.325B,2.325B,1.751B,574.00M,163.00M,59.00M,,-2.00M,55.00M,1.00M,-54.00M,,222.00M,352.00M,1.00M,55.00M,-54.00M,15.00M,-54.00M,313.00M,46.00M,267.00M,,,-1.00M,266.00M,269.40M,519.00M,151.00M,368.00M,1.95,,,1.975,1.95,1.93,,,1.955,1.93,136.80M,137.80M,0.62
2019-06,2.363B,2.363B,1.774B,589.00M,165.00M,57.00M,,-18.00M,55.00M,0.00,-55.00M,,222.00M,367.00M,0.00,55.00M,-55.00M,4.00M,-55.00M,316.00M,57.00M,259.00M,,,-1.00M,258.00M,271.94M,527.00M,156.00M,371.00M,1.87,,,1.9709999999999999,1.87,1.85,,,1.95,1.85,137.80M,139.10M,0.62
2019-03,2.38B,2.38B,1.806B,574.00M,187.00M,58.00M,,-32.00M,57.00M,1.00M,-56.00M,,245.00M,329.00M,1.00M,57.00M,-56.00M,-9.00M,-56.00M,264.00M,55.00M,209.00M,,,0.00,209.00M,234.28M,476.00M,155.00M,321.00M,1.5,,,1.682,1.5,1.49,,,1.67,1.49,139.00M,140.10M,0.62
2018-12,2.376B,2.376B,1.91B,466.00M,167.00M,59.00M,,-46.00M,57.00M,0.00,-57.00M,,226.00M,240.00M,0.00,57.00M,-57.00M,-112.00M,-57.00M,71.00M,36.00M,35.00M,,,-1.00M,34.00M,66.85M,281.00M,153.00M,128.00M,0.25,,,0.4851,0.25,0.24,,,0.4738,0.24,139.70M,140.50M,0.62
2018-09,2.547B,2.547B,1.819B,728.00M,175.00M,60.00M,0.00,0.00,58.00M,,-58.00M,,235.00M,493.00M,,58.00M,-58.00M,24.00M,-58.00M,459.00M,46.00M,413.00M,,,-1.00M,412.00M,417.40M,668.00M,151.00M,517.00M,2.93,,,2.968,2.93,2.89,,,2.928,2.89,140.60M,142.40M,0.56
2018-06,2.621B,2.621B,1.917B,704.00M,189.00M,60.00M,,6.00M,63.00M,2.00M,-61.00M,,249.00M,455.00M,2.00M,63.00M,-61.00M,36.00M,-61.00M,430.00M,84.00M,346.00M,,,-2.00M,344.00M,344.80M,641.00M,148.00M,493.00M,2.42,,,2.426,2.42,2.39,,,2.396,2.39,141.90M,144.00M,0.56
2018-03,2.607B,2.607B,2.026B,581.00M,190.00M,56.00M,,40.00M,60.00M,1.00M,-59.00M,,246.00M,335.00M,1.00M,60.00M,-59.00M,74.00M,-59.00M,350.00M,60.00M,290.00M,,,0.00,290.00M,256.80M,562.00M,152.00M,410.00M,2.03,,,1.798,2.03,2.0,,,1.771,2.0,142.80M,144.80M,0.56
2017-12,2.362B,2.362B,1.905B,457.00M,189.00M,53.00M,1.00M,-17.00M,60.00M,1.00M,-59.00M,,242.00M,215.00M,1.00M,60.00M,-59.00M,30.00M,-59.00M,186.00M,-305.00M,491.00M,,,0.00,491.00M,502.40M,393.00M,147.00M,246.00M,4.05,,,4.129,4.05,4.01,,,4.0889999999999995,4.01,143.60M,144.90M,0.56
2017-09,2.465B,2.465B,1.794B,671.00M,180.00M,59.00M,0.00,3.00M,62.00M,1.00M,-61.00M,,239.00M,432.00M,1.00M,62.00M,-61.00M,32.00M,-61.00M,403.00M,79.00M,324.00M,,,-1.00M,323.00M,321.40M,613.00M,148.00M,465.00M,2.24,,,2.229,2.24,2.22,,,2.209,2.22,144.30M,145.50M,0.51
2017-06,2.419B,2.419B,1.789B,630.00M,181.00M,58.00M,,,61.00M,,-61.00M,,239.00M,391.00M,,61.00M,-61.00M,29.00M,-61.00M,359.00M,65.00M,294.00M,,,-2.00M,292.00M,294.46M,567.00M,147.00M,420.00M,2.01,,,2.0269999999999997,2.01,2.0,,,2.017,2.0,145.30M,146.40M,0.51
2017-03,2.303B,2.303B,1.698B,605.00M,179.00M,57.00M,0.00,0.00,61.00M,1.00M,-60.00M,,236.00M,369.00M,1.00M,61.00M,-60.00M,32.00M,-60.00M,341.00M,62.00M,279.00M,,,-1.00M,278.00M,277.18M,547.00M,145.00M,402.00M,1.9,,,1.8940000000000001,1.9,1.89,,,1.8840000000000001,1.89,146.20M,147.20M,0.51
2016-12,2.188B,2.188B,1.691B,497.00M,169.00M,60.00M,,-98.00M,46.00M,-18.00M,-64.00M,,229.00M,268.00M,-18.00M,46.00M,-64.00M,-91.00M,-64.00M,113.00M,-5.00M,118.00M,,,-2.00M,116.00M,179.60M,303.00M,144.00M,159.00M,0.88,,,1.314,0.88,0.87,,,1.3,0.87,146.40M,147.80M,0.51
