,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,165.00M,,,83.00M,84.00M,149.00M,149.00M,-25.00M,0.00,-78.00M,-163.00M,95.00M,130.00M,,85.00M,147.00M,442.00M,-82.00M,,-82.00M,,,,1.00M,-81.00M,-333.00M,,-333.00M,,0.00,0.00,-90.00M,-90.00M,,7.00M,-416.00M,704.00M,-55.00M,1.00M,650.00M,,-83.00M,-250.00M,0.00
2020-06,30.00M,,,-31.00M,-31.00M,141.00M,141.00M,-1.00M,136.00M,44.00M,145.00M,239.00M,-239.00M,,-28.00M,117.00M,436.00M,-97.00M,,-97.00M,,0.00,,-3.00M,-100.00M,346.00M,-539.00M,-193.00M,,-30.00M,-30.00M,-89.00M,-89.00M,,-2.00M,-314.00M,680.00M,22.00M,2.00M,704.00M,,-193.00M,0.00,-30.00M
2020-03,260.00M,,,-52.00M,-52.00M,139.00M,139.00M,12.00M,9.00M,-74.00M,-72.00M,-18.00M,-104.00M,,71.00M,-123.00M,171.00M,-99.00M,,-99.00M,,0.00,,-2.00M,-101.00M,0.00,539.00M,539.00M,,-30.00M,-30.00M,-90.00M,-90.00M,,-11.00M,408.00M,204.00M,478.00M,-2.00M,680.00M,,539.00M,0.00,-30.00M
2019-12,27.00M,,,24.00M,24.00M,149.00M,149.00M,10.00M,72.00M,135.00M,220.00M,42.00M,156.00M,,-164.00M,254.00M,671.00M,-117.00M,,-117.00M,,0.00,,-3.00M,-120.00M,-399.00M,-70.00M,-469.00M,,0.00,0.00,-85.00M,-85.00M,,-2.00M,-556.00M,207.00M,-5.00M,2.00M,204.00M,,-24.00M,-375.00M,0.00
2019-09,267.00M,,,65.00M,65.00M,151.00M,151.00M,2.00M,0.00,-52.00M,30.00M,26.00M,-95.00M,,22.00M,-17.00M,416.00M,-110.00M,,-110.00M,,-29.00M,,-2.00M,-141.00M,-90.00M,,-90.00M,,-75.00M,-75.00M,-85.00M,-85.00M,,0.00,-250.00M,186.00M,25.00M,-4.00M,207.00M,,20.00M,-110.00M,-75.00M
2019-06,259.00M,,,-29.00M,-29.00M,156.00M,156.00M,7.00M,0.00,32.00M,69.00M,-26.00M,-46.00M,,0.00,-3.00M,422.00M,-92.00M,,-92.00M,,0.00,,-2.00M,-94.00M,239.00M,-370.00M,-131.00M,,-125.00M,-125.00M,-86.00M,-86.00M,,3.00M,-339.00M,195.00M,-11.00M,2.00M,186.00M,,-31.00M,-100.00M,-125.00M
2019-03,209.00M,,,-36.00M,-36.00M,155.00M,155.00M,4.00M,0.00,-77.00M,-149.00M,-122.00M,-42.00M,,53.00M,-260.00M,-5.00M,-106.00M,,-106.00M,,-19.00M,,,-125.00M,-50.00M,370.00M,320.00M,,-125.00M,-125.00M,-87.00M,-87.00M,,-6.00M,102.00M,226.00M,-28.00M,-3.00M,195.00M,,495.00M,-175.00M,-125.00M
2018-12,35.00M,,,59.00M,62.00M,153.00M,153.00M,-66.00M,,32.00M,245.00M,37.00M,83.00M,,120.00M,485.00M,740.00M,-147.00M,,-147.00M,,-3.00M,,2.00M,-148.00M,33.00M,-485.00M,-452.00M,,-25.00M,-25.00M,-78.00M,-78.00M,,-3.00M,-558.00M,193.00M,34.00M,-1.00M,226.00M,,775.00M,-1.081B,-25.00M
2018-09,413.00M,,,-34.00M,-34.00M,151.00M,151.00M,10.00M,,47.00M,-16.00M,-103.00M,17.00M,,-90.00M,-192.00M,395.00M,-137.00M,,-137.00M,,0.00,,1.00M,-136.00M,-125.00M,71.00M,-54.00M,,-125.00M,-125.00M,-80.00M,-80.00M,,0.00,-259.00M,193.00M,0.00,0.00,193.00M,,211.00M,-265.00M,-125.00M
2018-06,346.00M,,,-42.00M,-42.00M,148.00M,148.00M,-6.00M,,38.00M,10.00M,-78.00M,-18.00M,,45.00M,-41.00M,443.00M,-116.00M,,-116.00M,,0.00,,15.00M,-101.00M,-178.00M,69.00M,-109.00M,,-150.00M,-150.00M,-80.00M,-80.00M,,0.00,-339.00M,194.00M,3.00M,-4.00M,193.00M,,144.00M,-253.00M,-150.00M
2018-03,290.00M,,,-36.00M,-36.00M,152.00M,152.00M,11.00M,,-127.00M,-223.00M,-80.00M,8.00M,,-30.00M,-325.00M,-35.00M,-128.00M,,-128.00M,,0.00,,50.00M,-78.00M,100.00M,199.00M,299.00M,,-100.00M,-100.00M,-80.00M,-80.00M,,-3.00M,116.00M,191.00M,3.00M,0.00,194.00M,,474.00M,-175.00M,-100.00M
2017-12,491.00M,3.00M,,-55.00M,-55.00M,147.00M,147.00M,-464.00M,,53.00M,135.00M,72.00M,143.00M,,123.00M,473.00M,646.00M,-211.00M,,-211.00M,,-14.00M,,12.00M,-213.00M,-200.00M,-90.00M,-290.00M,,-75.00M,-75.00M,-73.00M,-73.00M,,0.00,-438.00M,195.00M,-5.00M,1.00M,191.00M,,4.00M,-275.00M,-75.00M
2017-09,324.00M,-3.00M,,-25.00M,-28.00M,148.00M,148.00M,34.00M,,52.00M,-22.00M,-35.00M,8.00M,,47.00M,-2.00M,528.00M,-159.00M,,-159.00M,,14.00M,,-2.00M,-147.00M,-400.00M,166.00M,-234.00M,,-100.00M,-100.00M,-74.00M,-74.00M,,-2.00M,-410.00M,222.00M,-29.00M,2.00M,195.00M,,171.00M,-405.00M,-100.00M
2017-06,294.00M,,,-20.00M,-20.00M,147.00M,147.00M,5.00M,,50.00M,-17.00M,-26.00M,-2.00M,,0.00,-45.00M,431.00M,-146.00M,,-146.00M,,0.00,,-1.00M,-147.00M,0.00,-95.00M,-95.00M,,-100.00M,-100.00M,-74.00M,-74.00M,-2.00M,11.00M,-260.00M,197.00M,24.00M,1.00M,222.00M,,250.00M,-345.00M,-100.00M
2017-03,279.00M,,,-36.00M,-36.00M,145.00M,145.00M,31.00M,,-84.00M,-149.00M,-82.00M,-26.00M,,-26.00M,-283.00M,52.00M,-133.00M,,-133.00M,,-4.00M,,1.00M,-136.00M,250.00M,0.00,250.00M,,-75.00M,-75.00M,-75.00M,-75.00M,2.00M,,102.00M,181.00M,18.00M,-2.00M,197.00M,,250.00M,0.00,-75.00M
2016-12,118.00M,17.00M,,-128.00M,-52.00M,144.00M,144.00M,88.00M,,36.00M,76.00M,42.00M,73.00M,,-144.00M,47.00M,390.00M,-251.00M,,-251.00M,,-41.00M,,-4.00M,-296.00M,-128.00M,105.00M,-23.00M,,-25.00M,-25.00M,-68.00M,-68.00M,-16.00M,15.00M,-117.00M,207.00M,-23.00M,-3.00M,181.00M,,1.041B,-1.064B,-25.00M
2016-09,233.00M,0.00,,-53.00M,-53.00M,145.00M,145.00M,42.00M,,48.00M,46.00M,-29.00M,10.00M,,8.00M,35.00M,450.00M,-141.00M,,-141.00M,,37.00M,,-43.00M,-147.00M,-150.00M,-47.00M,-197.00M,,-75.00M,-75.00M,-68.00M,-68.00M,8.00M,-4.00M,-336.00M,240.00M,-33.00M,0.00,207.00M,,0.00,-197.00M,-75.00M
