,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,650.00M,,650.00M,1.077B,377.00M,1.454B,510.00M,191.00M,873.00M,,1.338B,92.00M,3.534B,,,,,,,13.33B,-7.843B,5.489B,4.443B,1.802B,6.245B,741.00M,12.48B,16.01B,663.00M,89.00M,90.00M,,842.00M,188.00M,1.03B,,,,370.00M,370.00M,250.00M,1.789B,5.495B,5.495B,928.00M,928.00M,939.00M,81.00M,702.00M,8.064B,9.853B,2.00M,8.142B,2.134B,3.96B,,,-243.00M,6.075B
2020-06,704.00M,,704.00M,904.00M,422.00M,1.326B,514.00M,193.00M,949.00M,,1.419B,77.00M,3.526B,,,,,,,13.18B,-7.697B,5.478B,4.425B,1.817B,6.242B,727.00M,12.45B,15.97B,525.00M,89.00M,94.00M,,708.00M,141.00M,849.00M,,,,702.00M,702.00M,242.00M,1.878B,5.431B,5.431B,932.00M,932.00M,951.00M,77.00M,683.00M,7.997B,9.875B,2.00M,8.071B,2.117B,3.96B,,,-209.00M,6.021B
2020-03,680.00M,,680.00M,1.045B,391.00M,1.436B,548.00M,221.00M,1.138B,,1.659B,76.00M,3.851B,,,,,,,13.08B,-7.584B,5.498B,4.417B,1.962B,6.379B,737.00M,12.61B,16.46B,770.00M,90.00M,79.00M,,939.00M,127.00M,1.066B,,,,895.00M,895.00M,270.00M,2.315B,5.399B,5.399B,924.00M,924.00M,968.00M,75.00M,667.00M,7.958B,10.27B,2.00M,8.133B,2.109B,3.93B,,,-197.00M,6.117B
2019-12,204.00M,,204.00M,980.00M,395.00M,1.375B,576.00M,220.00M,1.114B,,1.662B,80.00M,3.321B,0.00,158.00M,1.43B,10.96B,,356.00M,12.90B,-7.333B,5.571B,4.431B,2.011B,6.442B,674.00M,12.69B,16.01B,890.00M,90.00M,89.00M,,1.069B,176.00M,1.245B,,,,171.00M,171.00M,280.00M,1.789B,5.611B,5.611B,915.00M,915.00M,1.016B,74.00M,645.00M,8.187B,9.976B,2.00M,7.965B,2.105B,3.90B,,,-214.00M,5.958B
2019-09,207.00M,,207.00M,1.191B,279.00M,1.47B,571.00M,239.00M,1.161B,,1.695B,68.00M,3.44B,,,,,13.10B,,13.10B,-7.364B,5.739B,4.464B,2.034B,6.498B,460.00M,12.70B,16.14B,716.00M,,94.00M,,810.00M,163.00M,973.00M,,,,642.00M,642.00M,465.00M,2.08B,5.567B,5.567B,887.00M,887.00M,867.00M,77.00M,639.00M,7.96B,10.04B,2.00M,8.029B,2.092B,3.90B,,,-203.00M,6.02B
2019-06,186.00M,,186.00M,1.232B,286.00M,1.518B,573.00M,252.00M,1.205B,,1.73B,82.00M,3.516B,,,,,13.06B,,13.06B,-7.298B,5.761B,4.481B,2.093B,6.574B,405.00M,12.74B,16.26B,814.00M,,89.00M,,903.00M,116.00M,1.019B,,,,731.00M,731.00M,476.00M,2.226B,5.624B,5.624B,888.00M,888.00M,892.00M,77.00M,680.00M,8.084B,10.31B,2.00M,7.848B,2.079B,3.825B,,,-235.00M,5.869B
2019-03,195.00M,,195.00M,1.297B,285.00M,1.582B,572.00M,260.00M,1.201B,,1.704B,70.00M,3.551B,,,,,13.02B,,13.02B,-7.22B,5.795B,4.477B,2.13B,6.607B,408.00M,12.81B,16.36B,857.00M,,67.00M,,924.00M,115.00M,1.039B,,,,862.00M,862.00M,451.00M,2.352B,5.602B,5.602B,892.00M,892.00M,915.00M,76.00M,681.00M,8.09B,10.44B,2.00M,7.675B,2.06B,3.70B,,,-194.00M,5.843B
2018-12,226.00M,,226.00M,1.154B,329.00M,1.483B,515.00M,262.00M,1.143B,,1.583B,73.00M,3.365B,0.00,158.00M,1.385B,10.80B,,387.00M,12.73B,-7.131B,5.60B,4.467B,2.185B,6.652B,378.00M,12.63B,16.00B,914.00M,87.00M,94.00M,,1.095B,197.00M,1.292B,,,,243.00M,243.00M,236.00M,1.851B,5.925B,5.925B,884.00M,884.00M,925.00M,75.00M,532.00M,8.266B,10.12B,2.00M,7.573B,2.048B,3.575B,,,-245.00M,5.803B
2018-09,193.00M,,193.00M,1.404B,368.00M,1.772B,554.00M,271.00M,1.118B,,1.625B,57.00M,3.647B,,,,,,,12.60B,-7.034B,5.57B,4.509B,2.231B,6.74B,405.00M,12.72B,16.36B,823.00M,,82.00M,,905.00M,191.00M,1.096B,,,,728.00M,728.00M,329.00M,2.153B,5.898B,5.898B,944.00M,944.00M,901.00M,75.00M,471.00M,8.214B,10.37B,2.00M,7.626B,2.036B,3.55B,,,-194.00M,5.92B
2018-06,193.00M,,193.00M,1.393B,314.00M,1.707B,549.00M,241.00M,1.044B,,1.532B,66.00M,3.498B,,,,,,,12.51B,-6.943B,5.57B,4.514B,2.278B,6.792B,400.00M,12.76B,16.26B,811.00M,,79.00M,,890.00M,135.00M,1.025B,,,,662.00M,662.00M,381.00M,2.068B,6.033B,6.033B,933.00M,933.00M,924.00M,77.00M,528.00M,8.418B,10.49B,2.00M,7.292B,2.021B,3.425B,,,-193.00M,5.697B
