,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2010-09,2.109B,899.00M,3.008B,4.367B,4.367B,547.00M,,661.00M,,1.127B,420.00M,,,8.922B,,58.02B,-22.05B,35.97B,,,,1.777B,830.00M,,,38.58B,47.50B,,3.832B,203.00M,4.035B,2.162B,6.197B,,,,,,,,101.00M,6.298B,,2.512B,,2.512B,3.45B,6.849B,,136.00M,,,9.361B,15.66B,,177.00M,28.96B,7.182B,4.172B,,,,-443.00M,31.71B,,AOR,Restated
2010-06,2.322B,872.00M,3.194B,4.335B,4.335B,563.00M,,738.00M,,1.22B,440.00M,,,9.189B,,55.72B,-21.20B,34.51B,,,,1.786B,770.00M,,,37.07B,46.26B,,3.952B,72.00M,4.024B,1.923B,5.947B,,,12.00M,,12.00M,,,103.00M,6.062B,,2.511B,,2.511B,3.321B,6.774B,,114.00M,,,9.285B,15.35B,,177.00M,28.08B,7.193B,4.172B,,,,-483.00M,30.80B,,AOR,Restated
2010-03,1.895B,1.077B,2.972B,4.616B,4.616B,588.00M,,559.00M,,1.066B,434.00M,,,9.088B,,54.21B,-20.34B,33.86B,,,,1.776B,803.00M,,,36.44B,45.53B,,4.071B,223.00M,4.294B,1.958B,6.252B,,,83.00M,,83.00M,,,105.00M,6.44B,,2.511B,,2.511B,3.236B,3.236B,,102.00M,,3.307B,9.054B,15.49B,,177.00M,27.33B,7.138B,4.161B,,,,-548.00M,29.94B,,AOR,Restated
2009-12,1.224B,1.075B,2.299B,4.092B,4.092B,505.00M,,574.00M,,998.00M,426.00M,,2.792B,10.61B,,48.81B,-17.67B,31.14B,,,,1.732B,,,753.00M,33.62B,44.23B,,3.282B,24.00M,3.306B,2.291B,5.597B,,,239.00M,,239.00M,,,655.00M,6.491B,,2.557B,,2.557B,2.80B,2.80B,,78.00M,,3.222B,8.579B,15.07B,,177.00M,26.53B,7.127B,4.161B,,,,-596.00M,29.08B,,AOR,Restated
2009-09,1.608B,622.00M,2.23B,3.33B,3.33B,603.00M,,600.00M,,1.132B,308.00M,,,7.00B,,51.44B,-18.54B,32.90B,,,,1.45B,859.00M,,,35.21B,42.21B,,2.999B,79.00M,3.078B,1.682B,4.76B,,,239.00M,,239.00M,,,107.00M,5.106B,,2.556B,,2.556B,2.813B,6.032B,,62.00M,,,8.588B,13.69B,,177.00M,25.86B,7.132B,4.15B,,,,-565.00M,28.46B,,AOR,Restated
2009-06,1.755B,749.00M,2.504B,2.776B,2.776B,612.00M,,528.00M,,1.069B,309.00M,,,6.658B,,50.81B,-17.90B,32.91B,,,,1.35B,918.00M,,,35.18B,41.84B,,2.574B,110.00M,2.684B,1.70B,4.384B,,,918.00M,,918.00M,,,109.00M,5.411B,,2.567B,,2.567B,2.714B,5.97B,,61.00M,,,8.537B,13.95B,,176.00M,25.21B,7.164B,4.13B,,,,-590.00M,27.83B,,AOR,Restated
2009-03,1.126B,999.00M,2.125B,2.483B,2.483B,594.00M,,484.00M,,1.007B,321.00M,,,5.936B,,34.30B,-1.72B,32.58B,,,,1.296B,812.00M,,,34.68B,40.62B,,2.531B,158.00M,2.689B,1.647B,4.336B,,,918.00M,,918.00M,,,111.00M,5.365B,,1.822B,,1.822B,2.675B,2.675B,,34.00M,,3.289B,7.786B,13.15B,,176.00M,24.79B,7.141B,4.13B,,,,-544.00M,27.44B,,AOR,Restated
2008-12,1.777B,1.012B,2.789B,3.117B,3.117B,535.00M,,494.00M,,958.00M,308.00M,,,7.172B,,48.73B,-16.46B,32.27B,,,,1.263B,836.00M,,,34.36B,41.54B,,3.306B,158.00M,3.464B,1.861B,5.325B,,,698.00M,,698.00M,,,111.00M,6.134B,,2.049B,,2.049B,2.66B,6.029B,,25.00M,,,8.078B,14.21B,,176.00M,24.68B,7.113B,4.121B,,,,-552.00M,27.30B,,AOR,Restated
2008-09,1.452B,,1.452B,6.878B,6.878B,511.00M,,548.00M,,957.00M,333.00M,,,9.62B,,46.25B,-15.40B,30.85B,,,,,,,2.115B,32.97B,42.59B,,4.907B,,4.907B,2.005B,6.912B,,,714.00M,,714.00M,,,438.00M,8.064B,,1.057B,,1.057B,2.874B,2.874B,,31.00M,,3.626B,7.557B,15.62B,,176.00M,24.50B,7.083B,4.121B,,,,-702.00M,26.94B,,,
2008-06,1.506B,,1.506B,7.30B,7.30B,100.00M,378.00M,571.00M,,947.00M,372.00M,,,10.12B,,44.34B,-14.87B,29.47B,,,,,,,1.853B,31.32B,41.44B,,5.226B,,5.226B,2.307B,7.533B,,,,,,,,711.00M,8.244B,,1.775B,,1.775B,2.223B,2.223B,,42.00M,,4.017B,8.015B,16.26B,,176.00M,22.49B,7.085B,3.50B,,,,-1.11B,25.14B,,,Restated
2008-03,1.495B,,1.495B,6.055B,6.055B,446.00M,,485.00M,,829.00M,369.00M,,33.00M,8.781B,,42.28B,-14.29B,27.99B,,,,,,,1.717B,29.70B,38.49B,,4.516B,,4.516B,1.584B,6.10B,,,30.00M,,30.00M,,,901.00M,7.031B,,1.775B,,1.775B,2.365B,2.365B,,31.00M,,3.341B,7.481B,14.51B,,176.00M,20.46B,7.08B,3.046B,,,,-725.00M,23.94B,,,Restated
2007-12,1.964B,416.00M,2.38B,4.973B,4.973B,441.00M,,571.00M,,910.00M,332.00M,,,8.595B,,39.92B,-13.64B,26.28B,,,,783.00M,863.00M,,,27.92B,36.52B,,4.263B,227.00M,4.49B,1.611B,6.101B,,,47.00M,,47.00M,,,118.00M,6.266B,,1.741B,,1.741B,2.324B,5.654B,,,,35.00M,7.43B,13.70B,,175.00M,18.82B,7.071B,2.61B,,,,-632.00M,22.82B,,,Restated
2007-09,1.455B,,1.455B,4.18B,4.18B,451.00M,,575.00M,,952.00M,266.00M,,,6.853B,,38.40B,-12.86B,25.54B,,,,,,,1.628B,27.17B,34.02B,,3.068B,,3.068B,1.465B,4.533B,,,156.00M,,156.00M,,,274.00M,4.963B,,1.748B,,1.748B,2.308B,2.308B,,105.00M,,2.997B,7.053B,12.02B,,175.00M,17.57B,7.043B,2.391B,,,,-500.00M,21.90B,,,
2007-06,1.505B,,1.505B,3.942B,3.942B,444.00M,,501.00M,,871.00M,500.00M,,22.00M,6.84B,,37.32B,-12.24B,25.08B,,,,,,,1.751B,26.83B,33.67B,,2.837B,,2.837B,1.496B,4.333B,,,163.00M,,163.00M,,,653.00M,5.149B,,1.717B,,1.717B,2.253B,2.253B,,378.00M,,3.064B,7.034B,12.18B,,175.00M,16.46B,7.002B,2.038B,,,,-487.00M,21.11B,,,
2007-03,1.292B,213.00M,1.505B,3.771B,3.771B,424.00M,,388.00M,,738.00M,286.00M,,22.00M,6.322B,,36.76B,-12.35B,24.41B,,,,,,,2.152B,26.56B,32.88B,,2.74B,,2.74B,1.45B,4.19B,,,449.00M,,449.00M,,,616.00M,5.255B,,1.691B,,1.691B,2.343B,2.343B,,361.00M,,3.016B,7.05B,12.30B,,174.00M,15.23B,6.948B,1.802B,,,,-336.00M,20.22B,,,
2006-12,1.339B,240.00M,1.579B,3.324B,3.324B,374.00M,,525.00M,,825.00M,257.00M,,184.00M,6.169B,,35.48B,-11.34B,24.14B,,,,,,,2.124B,26.26B,32.43B,,2.263B,,2.263B,1.72B,3.983B,,,171.00M,,171.00M,,,541.00M,4.695B,,2.619B,,2.619B,2.366B,2.366B,,352.00M,,3.147B,8.132B,12.83B,,174.00M,13.99B,6.905B,1.481B,,-24.00M,-309.00M,-333.00M,19.25B,,,
2006-09,1.214B,225.00M,1.439B,3.358B,3.358B,81.00M,,624.00M,284.00M,872.00M,236.00M,,37.00M,5.942B,,34.61B,-11.18B,23.43B,,,,,,,2.327B,25.76B,31.70B,,2.281B,,2.281B,1.712B,3.993B,,,46.00M,,46.00M,,,455.00M,4.494B,,2.847B,,2.847B,2.209B,2.209B,,356.00M,,2.937B,7.993B,12.49B,,174.00M,13.18B,6.946B,1.296B,,,,-144.00M,18.86B,,,
2006-06,1.356B,227.00M,1.583B,3.664B,3.664B,74.00M,,506.00M,258.00M,721.00M,255.00M,,325.00M,6.548B,,33.07B,-10.69B,22.38B,,,,,,,2.233B,24.62B,31.16B,,2.498B,,2.498B,1.831B,4.329B,,,71.00M,,71.00M,,,426.00M,4.826B,,2.816B,,2.816B,2.044B,2.044B,,358.00M,,3.157B,8.017B,12.84B,,87.00M,12.20B,6.998B,978.00M,,,,-344.00M,17.96B,,,
2006-03,1.804B,227.00M,2.031B,3.453B,3.453B,318.00M,,517.00M,,718.00M,378.00M,,1.502B,8.082B,,32.68B,-10.56B,22.12B,,,,,,,1.996B,24.12B,32.20B,,2.335B,,2.335B,1.829B,4.164B,,,255.00M,,255.00M,,,1.236B,5.655B,,3.273B,,3.273B,2.055B,2.055B,,356.00M,,2.914B,8.242B,13.90B,,86.00M,11.50B,7.01B,229.00M,,,,-417.00M,17.95B,,,
2005-12,2.188B,252.00M,2.44B,3.099B,3.099B,83.00M,,573.00M,177.00M,716.00M,256.00M,,426.00M,6.937B,,26.94B,-9.774B,17.17B,,,,,,,2.00B,19.17B,26.11B,,2.046B,,2.046B,1.718B,3.764B,,,46.00M,,46.00M,,,462.00M,4.272B,,2.873B,,2.873B,970.00M,970.00M,,340.00M,,2.621B,6.464B,10.74B,,161.00M,10.42B,4.827B,8.00M,,,,-373.00M,15.03B,,,
2005-09,1.411B,305.00M,1.716B,3.393B,3.393B,72.00M,,402.00M,197.00M,617.00M,166.00M,,,5.892B,,26.86B,-9.723B,17.13B,,,,,,,2.071B,19.20B,25.10B,,2.122B,,2.122B,1.941B,4.063B,,,21.00M,,21.00M,,,485.00M,4.569B,,2.896B,,2.896B,843.00M,843.00M,,330.00M,,2.55B,6.289B,10.86B,,81.00M,9.419B,4.883B,,,,,-474.00M,13.91B,,,
2005-06,630.00M,240.00M,870.00M,2.859B,2.859B,,,,,603.00M,178.00M,,,4.51B,,26.32B,-9.39B,16.93B,,,,,,,2.521B,19.45B,23.96B,,1.912B,,1.912B,1.282B,3.194B,,,333.00M,,333.00M,,,290.00M,3.817B,,3.027B,,3.027B,1.146B,1.146B,,366.00M,,2.898B,7.071B,10.89B,,80.00M,7.799B,4.762B,,,,,65.00M,12.71B,,,
2005-03,1.092B,270.00M,1.362B,2.561B,2.561B,60.00M,,360.00M,165.00M,531.00M,183.00M,,17.00M,4.654B,,24.07B,-8.962B,15.10B,,,,,,,2.518B,17.62B,22.28B,,1.545B,,1.545B,1.253B,2.798B,,,,,,,,542.00M,3.34B,,3.365B,,3.365B,1.203B,1.203B,,347.00M,,2.781B,7.349B,10.69B,,79.00M,6.387B,4.713B,,,,,62.00M,11.24B,,,
2004-12,1.199B,250.00M,1.449B,2.235B,2.235B,62.00M,,380.00M,157.00M,545.00M,202.00M,,,4.431B,,23.26B,-8.626B,14.63B,,,,,,,2.327B,16.96B,21.39B,,1.557B,,1.557B,1.144B,2.701B,,,459.00M,,459.00M,,,263.00M,3.423B,,3.345B,,3.345B,1.248B,1.248B,,327.00M,,2.498B,7.091B,10.51B,,79.00M,5.664B,4.652B,,,,,155.00M,10.55B,,,
2004-09,998.00M,,998.00M,2.178B,2.178B,57.00M,,303.00M,160.00M,499.00M,130.00M,,,3.805B,,22.84B,-8.391B,14.45B,,,,,,,2.119B,16.57B,20.38B,,1.417B,,1.417B,1.043B,2.46B,,,23.00M,,23.00M,383.00M,383.00M,,2.866B,,3.809B,,3.809B,1.114B,1.114B,,343.00M,,2.466B,7.389B,10.26B,,79.00M,5.032B,4.559B,,,,,108.00M,9.778B,,,
2004-06,383.00M,,383.00M,1.995B,1.995B,55.00M,,262.00M,154.00M,449.00M,133.00M,,,2.96B,,22.43B,-8.089B,14.34B,,,,,,,2.046B,16.38B,19.34B,,1.279B,,1.279B,965.00M,2.244B,,,182.00M,,182.00M,,,298.00M,2.724B,,3.788B,,3.788B,1.111B,1.111B,,341.00M,,2.375B,7.274B,9.998B,,78.00M,4.382B,4.437B,,,,,109.00M,9.006B,,,
2004-03,470.00M,,470.00M,1.466B,1.466B,50.00M,,221.00M,146.00M,396.00M,140.00M,,,2.472B,,21.93B,-7.782B,14.15B,,,,,,,2.044B,16.19B,18.67B,,1.199B,,1.199B,841.00M,2.04B,,,23.00M,,23.00M,,,454.00M,2.517B,,4.018B,,4.018B,1.036B,1.036B,,325.00M,,2.306B,7.36B,9.877B,,78.00M,3.909B,4.407B,,,,,70.00M,8.464B,,,
2003-12,683.00M,,683.00M,1.154B,1.154B,46.00M,,342.00M,143.00M,510.00M,127.00M,,,2.474B,,21.47B,-7.467B,14.00B,,,,,,,1.689B,15.69B,18.17B,,909.00M,,909.00M,978.00M,1.887B,,,23.00M,,23.00M,,,616.00M,2.526B,,3.993B,,3.993B,1.001B,1.001B,,312.00M,,2.407B,7.401B,9.927B,,77.00M,3.53B,4.272B,,,,,50.00M,7.929B,,,
2003-09,529.00M,,529.00M,1.053B,1.053B,59.00M,,333.00M,145.00M,530.00M,161.00M,,,2.273B,,21.00B,-7.187B,13.82B,,,,,,,1.618B,15.43B,17.71B,,884.00M,,884.00M,887.00M,1.771B,,,28.00M,,28.00M,,,162.00M,1.961B,,4.051B,,4.051B,1.071B,1.071B,,323.00M,454.00M,2.351B,7.927B,9.888B,,77.00M,3.248B,4.16B,,,,,10.00M,7.495B,,,
2003-06,115.00M,,115.00M,1.016B,1.016B,56.00M,,306.00M,142.00M,497.00M,161.00M,,,1.789B,,20.77B,-6.973B,13.80B,,,,,,,1.593B,15.39B,17.18B,,784.00M,,784.00M,931.00M,1.715B,,,28.00M,,28.00M,,,208.00M,1.951B,,4.065B,,4.065B,996.00M,996.00M,,326.00M,454.00M,2.333B,7.848B,9.799B,,77.00M,2.902B,4.088B,,,,,-13.00M,7.054B,,,
2003-03,146.00M,,146.00M,1.277B,1.277B,59.00M,,274.00M,129.00M,455.00M,165.00M,,,2.043B,,19.74B,-6.611B,13.12B,,,,,,,1.77B,14.89B,16.94B,,896.00M,,896.00M,903.00M,1.799B,,,24.00M,,24.00M,,,315.00M,2.138B,,3.998B,,3.998B,985.00M,985.00M,,331.00M,454.00M,2.359B,7.796B,9.934B,,76.00M,2.628B,3.982B,,,,,-14.00M,6.672B,,,
2002-12,146.00M,,146.00M,929.00M,929.00M,54.00M,,319.00M,125.00M,491.00M,157.00M,,150.00M,1.873B,,19.43B,-6.395B,13.04B,,,,,,,1.639B,14.68B,16.55B,,785.00M,,785.00M,914.00M,1.699B,,,206.00M,,206.00M,,,330.00M,2.235B,,3.997B,,3.997B,982.00M,982.00M,,333.00M,455.00M,2.228B,7.662B,9.897B,,75.00M,2.303B,3.967B,,,,,-27.00M,6.318B,,,
2002-09,298.00M,,298.00M,910.00M,910.00M,44.00M,1.00M,292.00M,133.00M,471.00M,148.00M,,47.00M,1.874B,,19.07B,-6.20B,12.87B,,,,,,,1.594B,14.46B,16.34B,,808.00M,,808.00M,1.293B,2.101B,,,,,,,,199.00M,2.30B,,4.141B,,4.141B,968.00M,968.00M,,260.00M,456.00M,2.193B,7.758B,10.06B,,75.00M,2.079B,3.939B,,,,,-72.00M,6.021B,,,
2002-06,430.00M,,430.00M,886.00M,886.00M,51.00M,2.00M,240.00M,129.00M,420.00M,148.00M,,,1.884B,,19.08B,-6.148B,12.94B,,,,,,,1.66B,14.60B,16.48B,,807.00M,,807.00M,1.37B,2.177B,,,,,,,,80.00M,2.257B,,4.09B,,4.09B,1.252B,1.252B,,259.00M,459.00M,2.332B,8.133B,10.39B,,75.00M,1.866B,3.916B,,,,,-25.00M,5.832B,,,
2002-03,95.00M,,95.00M,941.00M,941.00M,51.00M,2.00M,244.00M,126.00M,421.00M,151.00M,,,1.608B,,18.88B,-6.03B,12.85B,,,,,,,3.253B,16.11B,17.71B,,736.00M,,736.00M,1.046B,1.782B,,,,,,,,55.00M,1.837B,,4.051B,,4.051B,1.125B,1.125B,,2.224B,461.00M,2.437B,8.074B,9.911B,,75.00M,1.719B,3.873B,,,,,-88.00M,5.579B,,,
2001-12,198.00M,,198.00M,661.00M,661.00M,53.00M,,252.00M,119.00M,414.00M,153.00M,,131.00M,1.557B,,18.44B,-5.653B,12.79B,,,,,,,3.502B,16.29B,17.85B,,715.00M,,715.00M,1.08B,1.795B,54.00M,,54.00M,,54.00M,,,45.00M,1.894B,,4.065B,,4.065B,1.103B,1.103B,,2.224B,463.00M,2.467B,8.098B,9.992B,,75.00M,1.788B,3.857B,,,,,-86.00M,5.634B,,,
2001-09,569.00M,,569.00M,1.017B,1.017B,59.00M,2.00M,288.00M,131.00M,445.00M,168.00M,,,2.199B,,18.43B,-5.724B,12.71B,,,,,,,3.856B,16.56B,18.76B,,814.00M,,814.00M,1.256B,2.07B,2.00M,252.00M,254.00M,,254.00M,,,194.00M,2.518B,,3.955B,,3.955B,1.22B,1.22B,,2.228B,467.00M,2.512B,8.154B,10.67B,,75.00M,2.035B,3.843B,,,,,-90.00M,5.863B,,,
2001-06,163.00M,,163.00M,1.223B,1.223B,199.00M,2.00M,271.00M,,436.00M,172.00M,,,1.994B,,19.64B,-6.158B,13.48B,,,,,,,4.01B,17.49B,19.49B,,842.00M,,842.00M,1.153B,1.995B,243.00M,,243.00M,,243.00M,103.00M,103.00M,,2.341B,,4.794B,,4.794B,1.384B,1.384B,,2.222B,468.00M,2.682B,9.328B,11.67B,,75.00M,1.778B,3.82B,,,,,-78.00M,5.595B,,,
2001-03,299.00M,,299.00M,1.404B,1.404B,190.00M,2.00M,281.00M,,437.00M,175.00M,,,2.315B,,19.58B,-6.139B,13.44B,,,,,,,4.125B,17.57B,19.88B,,931.00M,,931.00M,1.39B,2.321B,260.00M,,260.00M,,260.00M,212.00M,212.00M,,2.793B,,4.986B,,4.986B,1.356B,1.356B,,2.254B,471.00M,2.881B,9.694B,12.49B,,74.00M,1.398B,3.753B,,,,,-83.00M,5.142B,,,
2000-12,97.00M,,97.00M,1.326B,1.326B,,,,,485.00M,,,159.00M,2.067B,,19.51B,-6.041B,13.47B,,,,,,,3.876B,17.35B,19.41B,,1.091B,,1.091B,,1.091B,,,260.00M,,260.00M,,,1.389B,2.74B,,5.185B,,5.185B,1.28B,1.28B,,2.738B,,2.697B,9.162B,11.90B,,74.00M,1.007B,3.743B,,,,,-50.00M,4.774B,,,
2000-09,268.00M,,268.00M,,1.336B,,,,,530.00M,,,165.00M,2.299B,,20.31B,-6.828B,13.48B,,,,,,,3.992B,17.48B,19.77B,,1.20B,,1.20B,,1.20B,,,223.00M,,223.00M,,,1.233B,2.656B,,5.894B,,5.894B,1.342B,1.342B,,2.745B,,2.615B,9.851B,12.51B,,74.00M,766.00M,3.727B,,,,,-45.00M,4.522B,,,
2000-06,97.00M,,97.00M,,1.196B,,,,,510.00M,,,176.00M,1.979B,,20.36B,-6.814B,13.55B,,,,,,,4.03B,17.58B,19.56B,,944.00M,,944.00M,,944.00M,,,89.00M,,89.00M,,,1.244B,2.277B,,6.661B,,6.661B,1.225B,1.225B,,2.27B,,2.921B,10.81B,13.08B,,74.00M,456.00M,3.714B,,,,,-42.00M,4.202B,,,
2000-03,128.00M,,128.00M,,745.00M,,,,,486.00M,,,188.00M,1.547B,,17.81B,-7.856B,9.953B,,,,,,,2.843B,12.80B,14.34B,,706.00M,,706.00M,,706.00M,,,54.00M,,54.00M,,,1.086B,1.846B,,4.513B,,4.513B,1.053B,1.053B,,743.00M,,2.466B,8.032B,9.878B,,74.00M,-15.00M,3.71B,,,,,-47.00M,3.722B,,,
1999-12,214.00M,,214.00M,,774.00M,,,,,503.00M,,,197.00M,1.688B,,16.62B,-6.59B,10.03B,,,,,,,2.408B,12.44B,14.12B,,812.00M,,812.00M,,812.00M,,,34.00M,,34.00M,,,1.121B,1.967B,,4.368B,,4.368B,995.00M,995.00M,,738.00M,,2.534B,7.897B,9.864B,,73.00M,-286.00M,3.787B,,,,,-51.00M,3.523B,,,
1999-09,151.00M,,151.00M,,674.00M,,,,,498.00M,,,168.00M,1.491B,,17.72B,-7.496B,10.23B,,,,,,,2.416B,12.64B,14.14B,,619.00M,,619.00M,,619.00M,,,32.00M,,32.00M,,,926.00M,1.577B,,5.144B,,5.144B,967.00M,967.00M,,754.00M,,2.477B,8.588B,10.16B,,73.00M,-669.00M,3.869B,,,,,-57.00M,3.216B,,,
1999-06,267.00M,,267.00M,,753.00M,,,,,498.00M,,,240.00M,1.758B,,17.35B,-7.325B,10.03B,,,,,,,2.507B,12.53B,14.29B,,702.00M,,702.00M,,702.00M,,,30.00M,,30.00M,,,929.00M,1.661B,,5.312B,,5.312B,891.00M,891.00M,,763.00M,,2.556B,8.759B,10.42B,,238.00M,-795.00M,,,238.00M,,,,3.108B,,,
1999-03,571.00M,,571.00M,,408.00M,,,,,495.00M,,,210.00M,1.684B,,16.75B,-6.954B,9.796B,,,,,,,2.508B,12.30B,13.99B,,417.00M,,417.00M,,417.00M,,,30.00M,,30.00M,,,870.00M,1.317B,,5.454B,,5.454B,844.00M,844.00M,,525.00M,,2.648B,8.946B,10.26B,,243.00M,-804.00M,,,243.00M,,,,3.20B,,,
1998-12,96.00M,,96.00M,,2.018B,,,,,500.00M,,,181.00M,2.795B,,16.68B,-6.774B,9.905B,,,,,,,2.552B,12.46B,15.25B,,613.00M,,613.00M,,613.00M,,,1.43B,,1.43B,,,888.00M,2.931B,,5.367B,,5.367B,825.00M,825.00M,,5.00M,,2.761B,8.953B,11.88B,,312.00M,-734.00M,3.814B,,243.00M,,,-29.00M,3.363B,,,
1998-09,118.00M,,118.00M,,629.00M,,,,,481.00M,,,1.598B,2.826B,,16.57B,-6.672B,9.899B,,,,,,,2.619B,12.52B,15.34B,,512.00M,,512.00M,,512.00M,,,1.43B,,1.43B,,,927.00M,2.869B,,5.83B,,5.83B,925.00M,925.00M,,,,2.234B,8.989B,11.86B,,269.00M,-696.00M,,,269.00M,,,,3.486B,,,
1998-06,134.00M,,134.00M,,602.00M,,,,,481.00M,,,1.602B,2.819B,,16.54B,-6.534B,10.01B,,,,,,,2.708B,12.72B,15.54B,,495.00M,,495.00M,,495.00M,,,1.432B,,1.432B,,,1.022B,2.949B,,5.608B,,5.608B,941.00M,941.00M,,,,2.306B,8.855B,11.80B,,294.00M,-735.00M,,,294.00M,,,,3.734B,,,
1998-03,255.00M,,255.00M,,696.00M,,,,,669.00M,,,1.61B,3.23B,,19.79B,-7.935B,11.85B,,,,,,,1.544B,13.40B,16.63B,,545.00M,,545.00M,,545.00M,,,1.428B,,1.428B,,,1.188B,3.161B,,5.931B,,5.931B,871.00M,871.00M,,,,2.614B,9.416B,12.58B,,295.00M,-921.00M,,,295.00M,,,,4.051B,,,
1997-12,113.00M,,113.00M,,822.00M,,,,,604.00M,,,386.00M,1.925B,,16.56B,-7.967B,8.59B,,,,,,,4.776B,13.37B,15.29B,,717.00M,,717.00M,,717.00M,,,41.00M,,41.00M,,,1.121B,1.879B,,4.925B,,4.925B,1.028B,1.028B,,,,3.173B,9.126B,11.00B,,1.177B,-1.097B,,,1.177B,,,,4.286B,,,
1997-09,170.00M,,170.00M,,802.00M,,,,,650.00M,,,292.00M,1.914B,,23.35B,-9.327B,14.02B,,,,,,,1.633B,15.66B,17.57B,,902.00M,,902.00M,,902.00M,,,26.00M,,26.00M,,,1.218B,2.146B,,4.785B,,4.785B,2.546B,2.546B,,,,2.736B,10.07B,12.21B,,1.252B,-231.00M,,,1.252B,,,,5.357B,,,
1997-06,331.00M,,331.00M,,825.00M,,,,,632.00M,,,311.00M,2.099B,,23.45B,-9.551B,13.90B,,,,,,,1.674B,15.58B,17.68B,,960.00M,,960.00M,,960.00M,,,82.00M,,82.00M,,,1.252B,2.294B,,4.743B,,4.743B,2.551B,2.551B,,,,2.802B,10.10B,12.39B,,1.337B,-388.00M,,,1.337B,,,,5.286B,,,
1997-03,342.00M,,342.00M,,784.00M,,,,,558.00M,,,342.00M,2.026B,,23.39B,-9.579B,13.81B,,,,,,,1.70B,15.51B,17.53B,,857.00M,,857.00M,,857.00M,,,55.00M,,55.00M,,,1.347B,2.259B,,4.639B,,4.639B,2.551B,2.551B,,,,2.868B,10.06B,12.32B,,1.331B,-546.00M,,,1.331B,,,,5.217B,,,
1996-12,258.00M,,258.00M,,757.00M,,,,,582.00M,,,313.00M,1.91B,,15.89B,-7.69B,8.196B,,,,,,,4.875B,13.07B,14.98B,,617.00M,,617.00M,,617.00M,,,47.00M,,47.00M,,,1.173B,1.837B,,4.511B,,4.511B,839.00M,839.00M,,,,2.654B,8.004B,9.841B,,2.725B,-726.00M,,,2.725B,,,,5.14B,,,
1996-09,135.00M,,135.00M,,938.00M,,,,,610.00M,,,328.00M,2.011B,,23.06B,-9.268B,13.79B,,,,,,,1.529B,15.32B,17.33B,,888.00M,,888.00M,,888.00M,,,95.00M,,95.00M,,,1.178B,2.161B,,4.57B,,4.57B,2.53B,2.53B,,,,3.004B,10.10B,12.26B,,1.325B,-893.00M,,,1.325B,,,,5.069B,,,
1996-06,113.00M,,113.00M,,1.008B,,,,,573.00M,,,365.00M,2.059B,,23.00B,-9.107B,13.89B,,,,,,,1.542B,15.43B,17.49B,,849.00M,,849.00M,,849.00M,,,142.00M,,142.00M,,,1.176B,2.167B,,4.806B,,4.806B,2.655B,2.655B,,,,3.025B,10.49B,12.65B,,1.325B,-1.087B,,,1.325B,,,,4.839B,,,
1996-03,118.00M,,118.00M,,987.00M,,,,,588.00M,,,419.00M,2.112B,,22.84B,-8.967B,13.87B,,,,,,,1.485B,15.36B,17.47B,,869.00M,,869.00M,,869.00M,,,68.00M,,68.00M,,,1.199B,2.136B,,4.964B,,4.964B,2.619B,2.619B,,,,3.081B,10.66B,12.80B,,1.325B,-1.269B,,,1.325B,,,,4.669B,,,
1995-12,520.00M,,520.00M,,891.00M,,,,,647.00M,,,461.00M,2.519B,,22.70B,-8.837B,13.87B,,,,,,,1.429B,15.30B,17.82B,,859.00M,,859.00M,,859.00M,,,538.00M,,538.00M,,,1.26B,2.657B,,4.819B,,4.819B,2.62B,2.62B,,,,3.089B,10.53B,13.18B,,1.325B,-1.402B,,,1.325B,,,,4.63B,,,
