,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-03,1.606B,,1.606B,5.184B,5.184B,538.00M,,562.00M,,1.057B,,,712.00M,8.894B,,71.26B,-39.92B,31.34B,,,,1.509B,,1.061B,,33.91B,42.81B,,5.059B,,5.059B,2.011B,7.07B,,,,,,,,,7.07B,1.977B,10.31B,,10.31B,659.00M,659.00M,1.008B,,,1.063B,15.02B,22.09B,,179.00M,22.11B,7.916B,9.168B,,,,-312.00M,20.72B,,AOR,Restated
2017-12,1.672B,,1.672B,4.145B,4.145B,513.00M,,776.00M,,1.246B,,,733.00M,8.27B,70.25B,70.25B,-39.07B,31.17B,,,,1.515B,,1.067B,,33.76B,42.03B,,4.408B,,4.408B,2.492B,6.90B,,,500.00M,,500.00M,,,,7.40B,1.969B,9.328B,,9.328B,581.00M,581.00M,1.005B,,,1.171B,14.05B,21.45B,,179.00M,21.94B,7.884B,9.168B,,,,-258.00M,20.57B,,AOR,Restated
2017-09,1.806B,,1.806B,3.749B,3.749B,523.00M,,519.00M,,1.007B,,,483.00M,7.045B,,70.32B,-38.25B,32.06B,,,,1.526B,,807.00M,,34.40B,41.44B,,3.734B,,3.734B,2.128B,5.862B,,,500.00M,,500.00M,,,,6.362B,,9.326B,,9.326B,978.00M,978.00M,,,,4.108B,14.41B,20.77B,,179.00M,22.03B,7.85B,9.154B,,,,-238.00M,20.67B,,AOR,Restated
2017-06,2.218B,,2.218B,3.913B,3.913B,532.00M,,429.00M,,920.00M,,,466.00M,8.075B,,68.80B,-37.33B,31.47B,,,,1.572B,,869.00M,,33.91B,41.98B,,3.825B,,3.825B,2.05B,5.875B,,,500.00M,,500.00M,,,16.00M,6.391B,,9.324B,,9.324B,1.059B,1.059B,,,,4.171B,14.55B,20.94B,,179.00M,22.44B,7.824B,9.149B,,,,-252.00M,21.04B,,AOR,Restated
2017-03,1.494B,,1.494B,4.316B,4.316B,518.00M,,526.00M,,1.005B,,,1.261B,8.238B,,69.61B,-37.61B,32.00B,,,,1.436B,,786.00M,,34.23B,42.46B,,4.071B,,4.071B,2.155B,6.226B,,,500.00M,,500.00M,,,126.00M,6.852B,,9.322B,,9.322B,1.031B,1.031B,,,,4.181B,14.53B,21.39B,,179.00M,22.51B,7.783B,9.143B,,,,-253.00M,21.08B,,AOR,Restated
2016-12,2.233B,,2.233B,3.989B,3.989B,511.00M,,395.00M,,866.00M,,,1.34B,8.428B,71.29B,71.29B,-38.96B,32.34B,,,,1.401B,,943.00M,,34.68B,43.11B,,3.926B,,3.926B,2.436B,6.362B,,,,,,,,,6.362B,1.984B,9.819B,,9.819B,1.132B,1.132B,963.00M,,,1.352B,15.25B,21.61B,,178.00M,22.98B,7.747B,9.143B,,,,-266.00M,21.50B,,AOR,Restated
2016-09,3.18B,,3.18B,3.521B,3.521B,580.00M,,397.00M,,927.00M,,,1.083B,8.711B,,72.50B,-42.08B,30.42B,,,,1.42B,,1.08B,,32.92B,41.63B,,3.392B,,3.392B,2.296B,5.688B,,,,,,,,,5.688B,,8.333B,,8.333B,1.411B,1.411B,,,,3.902B,13.65B,19.33B,,178.00M,23.84B,7.719B,9.143B,,,,-294.00M,22.30B,,AOR,Restated
2016-06,3.751B,,3.751B,3.113B,3.113B,575.00M,,381.00M,,906.00M,,0.00,1.202B,8.972B,,72.25B,-41.21B,31.04B,,,,1.36B,,1.025B,,33.42B,42.40B,,3.126B,,3.126B,2.141B,5.267B,,,,,,,,,5.267B,,8.331B,,8.331B,1.646B,1.646B,,,,4.05B,14.03B,19.29B,,178.00M,24.66B,7.697B,9.136B,,,,-299.00M,23.10B,,AOR,Restated
2016-03,3.176B,,3.176B,2.78B,2.78B,581.00M,,466.00M,,997.00M,,0.00,1.284B,8.237B,,71.64B,-40.14B,31.50B,,,,1.301B,,975.00M,,33.78B,42.02B,,2.801B,,2.801B,2.025B,4.826B,,,2.00B,,2.00B,,,,6.826B,,5.608B,,5.608B,1.642B,1.642B,,,,4.153B,11.40B,18.23B,,178.00M,25.38B,7.668B,9.128B,,,,-304.00M,23.79B,,AOR,Restated
2015-12,3.201B,,3.201B,2.97B,2.97B,641.00M,,395.00M,,986.00M,,1.193B,911.00M,9.402B,71.06B,71.06B,-39.42B,31.64B,,,,1.434B,,934.00M,,34.01B,43.41B,,3.069B,,3.069B,2.213B,5.282B,,,1.45B,,1.45B,,,110.00M,6.842B,,6.855B,,6.855B,1.323B,1.323B,,,,4.039B,12.22B,19.06B,,178.00M,25.96B,7.64B,9.121B,,,,-307.00M,24.35B,,AOR,Restated
