,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,4.108B,4.108B,3.522B,586.00M,166.00M,2.723B,-3.574B,180.00M,353.00M,21.00M,-332.00M,603.00M,949.00M,-363.00M,21.00M,353.00M,-332.00M,-3.363B,-332.00M,-4.058B,-403.00M,-3.655B,80.00M,,0.00,203.00M,-3.575B,-517.60M,-1.79B,1.915B,-3.705B,,-4.16,0.09,,,-0.7839,-4.07,,-4.16,0.09,,,-0.7839,-4.07,,929.30M,929.30M,0.01,,AOR,
2020-06,2.928B,2.928B,3.541B,-613.00M,225.00M,6.47B,-6.604B,68.00M,310.00M,33.00M,-277.00M,514.00M,807.00M,-1.42B,33.00M,310.00M,-277.00M,-6.487B,-277.00M,-8.184B,-1.468B,-6.716B,-1.415B,,,222.00M,-8.131B,-1.238B,-5.688B,2.186B,-7.874B,,-7.58,-1.54,,,-1.597,-9.12,,-7.58,-1.54,,,-1.597,-9.12,,915.50M,915.50M,0.01,,AOR,
2020-03,6.41B,6.41B,4.293B,2.117B,260.00M,,-1.944B,182.00M,352.00M,34.00M,-318.00M,790.00M,1.232B,885.00M,34.00M,352.00M,-318.00M,-2.662B,-318.00M,-2.095B,-82.00M,-2.013B,,,,219.00M,-2.013B,414.84M,499.00M,2.242B,-1.743B,,-2.49,0.00,,,0.2175,-2.49,,-2.49,0.00,,,0.2175,-2.49,,896.70M,896.70M,0.79,,AOR,
2019-12,6.11B,6.11B,4.307B,1.803B,334.00M,1.036B,-1.237B,229.00M,434.00M,42.00M,-392.00M,1.013B,1.576B,227.00M,42.00M,434.00M,-392.00M,-872.00M,-392.00M,-1.037B,-1.00M,-1.036B,0.00,,-103.00M,200.00M,-1.139B,-168.94M,1.607B,2.21B,-603.00M,,-1.50,0.00,,,-0.4158,-1.50,,-1.50,0.00,,,-0.4158,-1.50,,894.70M,894.70M,0.79,,AOR,
2019-09,5.859B,5.859B,3.923B,1.936B,245.00M,325.00M,-1.121B,244.00M,381.00M,56.00M,-325.00M,646.00M,1.135B,801.00M,56.00M,381.00M,-325.00M,-1.05B,-325.00M,-574.00M,163.00M,-737.00M,-15.00M,,-42.00M,118.00M,-794.00M,63.42M,1.574B,1.767B,-193.00M,,-1.06,-0.02,,,-0.0639,-1.08,,-1.06,-0.02,,,-0.0639,-1.08,,845.70M,845.70M,0.79,,AOR,Restated
2019-06,4.42B,4.42B,2.815B,1.605B,163.00M,0.00,-35.00M,123.00M,153.00M,41.00M,-112.00M,328.00M,614.00M,991.00M,41.00M,153.00M,-112.00M,62.00M,-112.00M,941.00M,306.00M,635.00M,0.00,,,,635.00M,658.45M,2.125B,1.031B,1.094B,,0.84,0.00,,,0.8713,0.84,,0.84,0.00,,,0.8713,0.84,,748.30M,749.50M,0.78,,AOR,Restated
2019-03,4.004B,4.004B,2.652B,1.352B,140.00M,,7.00M,111.00M,98.00M,78.00M,-20.00M,305.00M,556.00M,796.00M,78.00M,98.00M,-20.00M,80.00M,-20.00M,856.00M,225.00M,631.00M,,,,,631.00M,625.82M,1.927B,973.00M,954.00M,,0.84,0.00,,,0.8331,0.84,,0.84,0.00,,,0.8331,0.84,,748.90M,750.50M,0.78,,AOR,Restated
2018-12,4.762B,4.762B,3.009B,1.753B,162.00M,305.00M,-300.00M,106.00M,99.00M,35.00M,-64.00M,392.00M,660.00M,1.093B,35.00M,99.00M,-64.00M,-197.00M,-64.00M,832.00M,126.00M,706.00M,0.00,,0.00,,706.00M,960.57M,2.017B,1.086B,931.00M,,0.93,0.00,,,1.268,0.93,,0.93,0.00,,,1.267,0.93,,753.90M,755.80M,0.78,,AOR,Restated
2018-09,5.216B,5.216B,2.768B,2.448B,151.00M,214.00M,712.00M,110.00M,96.00M,34.00M,-62.00M,345.00M,606.00M,1.842B,34.00M,96.00M,-62.00M,799.00M,-62.00M,2.579B,710.00M,1.869B,0.00,,0.00,,1.869B,1.356B,3.698B,1.023B,2.675B,,2.44,0.00,,,1.767,2.44,,2.44,0.00,,,1.768,2.44,,761.70M,763.30M,0.78,,AOR,Restated
2018-06,4.083B,4.083B,2.412B,1.671B,142.00M,12.00M,-2.00M,115.00M,97.00M,38.00M,-59.00M,281.00M,538.00M,1.133B,38.00M,97.00M,-59.00M,-2.00M,-59.00M,1.072B,302.00M,848.00M,,,,,848.00M,849.48M,2.116B,947.00M,1.169B,,1.10,,,,1.102,1.10,,1.10,,,,1.102,1.10,,765.70M,767.40M,0.77,,AOR,Restated
2018-03,3.763B,3.763B,2.284B,1.479B,130.00M,30.00M,3.00M,108.00M,97.00M,29.00M,-68.00M,192.00M,430.00M,1.049B,29.00M,97.00M,-68.00M,3.00M,-68.00M,984.00M,339.00M,708.00M,,,,,708.00M,705.96M,2.002B,921.00M,1.081B,,0.92,,,,0.9173,0.92,,0.92,,,,0.9173,0.92,,765.60M,767.00M,0.77,,AOR,Restated
2017-12,3.492B,3.492B,2.226B,1.266B,-430.00M,521.00M,-452.00M,90.00M,87.00M,27.00M,-60.00M,1.108B,768.00M,498.00M,27.00M,87.00M,-60.00M,-95.00M,-60.00M,343.00M,-431.00M,497.00M,,,,,497.00M,768.20M,1.506B,1.076B,430.00M,,0.65,0.00,,,1.004,0.65,,0.6485,0.00,,,1.002,0.65,,765.70M,766.50M,0.77,,AOR,Restated
2017-09,2.999B,2.999B,2.352B,647.00M,352.00M,11.00M,75.00M,76.00M,91.00M,20.00M,-71.00M,8.00M,436.00M,211.00M,20.00M,91.00M,-71.00M,75.00M,-71.00M,215.00M,85.00M,190.00M,,,,,190.00M,138.25M,1.301B,995.00M,306.00M,,0.25,,,,0.1824,0.25,,0.25,,,,0.1825,0.25,,765.50M,766.40M,0.77,,AOR,Restated
2017-06,3.06B,3.06B,2.475B,585.00M,352.00M,0.00,512.00M,77.00M,86.00M,31.00M,-55.00M,8.00M,437.00M,148.00M,31.00M,86.00M,-55.00M,512.00M,-55.00M,605.00M,285.00M,507.00M,,,,,507.00M,179.32M,1.68B,989.00M,691.00M,,0.66,,,,0.2316,0.66,,0.66,,,,0.2322,0.66,,764.90M,765.90M,0.76,,AOR,Restated
