,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,,62.58B,136.84B,199.42B,,,,199.42B,,,,,,,,3.468B,9.918B,2.864B,12.78B,306.47B,7.314B,,299.15B,136.84B,491.32B,553.90B,,,11.77B,11.77B,11.77B,11.77B,41.30B,,41.30B,429.77B,630.00M,471.07B,500.18B,,6.004B,64.19B,8.511B,25.93B,5.983B,322.00M,53.10B,,AOR,
2020-09,,44.05B,134.03B,178.08B,,,,178.08B,,,,,,,,3.516B,9.889B,2.654B,12.54B,314.60B,7.407B,,307.20B,134.03B,496.41B,540.46B,,,13.72B,13.72B,13.72B,13.72B,42.44B,,42.44B,413.22B,630.00M,455.66B,487.26B,,6.005B,63.39B,8.516B,25.96B,5.984B,612.00M,52.56B,,AOR,
2020-06,,52.39B,128.12B,180.51B,,,,180.51B,,,,,,,,3.616B,9.842B,2.518B,12.36B,318.51B,7.383B,,311.13B,128.12B,494.26B,546.65B,,,20.60B,20.60B,20.60B,20.60B,42.58B,,42.58B,413.31B,630.00M,455.88B,494.17B,,6.005B,62.53B,8.483B,25.96B,5.984B,798.00M,51.85B,,AOR,
2020-03,,46.80B,123.68B,170.49B,,,,170.49B,,,,,,,,3.66B,9.836B,2.629B,12.46B,322.93B,6.216B,,316.71B,123.68B,496.10B,542.91B,,,26.34B,26.34B,26.34B,26.34B,52.30B,,52.30B,394.85B,630.00M,447.15B,490.75B,,6.005B,62.54B,8.452B,25.97B,5.984B,503.00M,51.53B,,AOR,
2019-12,,22.40B,122.61B,145.02B,,,,145.02B,504.00M,3.624B,3.366B,1.141B,21.00M,8.656B,-4.954B,3.702B,9.655B,3.223B,12.88B,301.68B,4.02B,,297.66B,122.61B,473.02B,495.43B,,7.576B,14.15B,21.73B,21.73B,23.72B,40.17B,,40.17B,361.92B,630.00M,402.08B,442.94B,,6.005B,63.19B,8.475B,24.44B,5.984B,-1.373B,51.85B,,AOR,
2019-09,,15.27B,74.60B,89.87B,,,,89.87B,,,,,,,,3.673B,9.632B,2.983B,12.62B,299.17B,4.007B,,295.16B,121.08B,472.40B,487.67B,,,14.58B,14.58B,14.58B,14.58B,41.27B,,41.27B,359.72B,630.00M,400.99B,433.52B,,6.005B,62.42B,8.49B,22.22B,5.984B,-1.173B,53.52B,,AOR,Restated
2019-06,,16.93B,69.20B,86.13B,,,,86.13B,,,,,,,,3.69B,9.548B,3.161B,12.71B,295.85B,4.019B,,291.83B,115.58B,464.79B,481.72B,,,15.03B,15.03B,15.03B,15.03B,41.01B,,41.01B,353.18B,627.00M,394.18B,428.18B,,6.005B,61.25B,8.465B,21.46B,5.984B,-1.344B,52.91B,,AOR,Restated
2019-03,,18.12B,68.11B,86.23B,,,,86.23B,,,,,,,,3.686B,9.547B,3.341B,12.89B,290.42B,3.99B,,286.43B,114.40B,457.66B,475.78B,,,15.40B,15.40B,15.40B,15.40B,40.68B,,40.68B,348.09B,629.00M,388.77B,423.09B,,6.005B,60.09B,8.432B,20.70B,5.984B,-1.773B,52.06B,,AOR,Restated
2018-12,,21.45B,66.12B,87.57B,,,,87.57B,515.00M,3.602B,3.11B,,20.00M,7.247B,-4.79B,2.457B,9.369B,3.392B,12.76B,288.87B,3.973B,,284.89B,112.16B,445.92B,467.37B,,6.94B,4.159B,11.10B,11.10B,14.14B,41.34B,,41.34B,345.48B,628.00M,386.82B,415.72B,,6.005B,59.06B,8.469B,20.19B,5.984B,-2.322B,51.03B,,AOR,Restated
2018-09,,20.08B,64.91B,84.99B,,,,84.99B,,,,,,,,2.438B,9.53B,3.544B,13.07B,285.99B,3.954B,,282.04B,110.96B,444.52B,464.61B,,,23.87B,23.87B,23.87B,23.87B,40.89B,,40.89B,331.18B,632.00M,372.07B,413.60B,,6.005B,57.88B,8.479B,19.41B,5.984B,-2.573B,50.38B,,AOR,Restated
2018-06,,19.02B,66.35B,85.37B,,,,85.37B,,,,,,,,2.431B,9.425B,3.415B,12.84B,283.43B,3.92B,,279.51B,112.40B,442.31B,461.33B,,,18.14B,18.14B,18.14B,18.14B,37.17B,,37.17B,340.08B,629.00M,377.25B,411.07B,,5.44B,56.74B,8.468B,18.71B,5.419B,-2.315B,49.63B,,AOR,Restated
2018-03,,19.25B,67.12B,86.37B,,,,86.37B,,,,,,,,2.441B,9.44B,3.388B,12.83B,282.69B,3.918B,,278.77B,111.74B,440.87B,460.12B,,,17.70B,17.70B,17.70B,17.70B,33.20B,,33.20B,344.53B,625.00M,377.73B,410.31B,,5.44B,55.55B,8.438B,18.05B,5.419B,-2.193B,49.19B,,AOR,Restated
2017-12,,19.50B,68.14B,87.64B,,,,87.64B,520.00M,3.555B,2.951B,,35.00M,7.061B,-4.629B,2.432B,9.434B,3.228B,12.66B,283.99B,3.925B,,280.06B,112.50B,442.54B,462.04B,,8.303B,7.293B,15.60B,15.60B,16.65B,32.26B,,32.26B,347.22B,626.00M,379.47B,412.37B,,5.44B,54.14B,8.464B,17.60B,5.419B,-1.404B,49.04B,,AOR,Restated
2017-09,,20.54B,67.77B,88.31B,,,,88.31B,,,,,,,,2.402B,9.37B,3.193B,12.56B,282.48B,3.908B,,278.57B,111.79B,438.69B,459.23B,,,15.86B,15.86B,15.86B,15.86B,34.52B,,34.52B,342.59B,628.00M,377.10B,409.88B,,5.44B,53.02B,8.457B,16.98B,5.419B,-1.219B,48.72B,,AOR,Restated
2017-06,,28.96B,67.46B,96.42B,,,,96.42B,,,,,,,,2.413B,9.361B,3.216B,12.58B,280.94B,3.856B,,277.09B,111.11B,434.88B,463.84B,,,14.41B,14.41B,14.41B,14.41B,37.81B,,37.81B,347.26B,629.00M,385.08B,414.90B,,5.44B,52.03B,8.425B,16.33B,5.419B,-1.246B,48.32B,,AOR,Restated
2017-03,,20.32B,67.03B,87.35B,,,,87.35B,,,,,,,,2.432B,9.348B,3.313B,12.66B,276.32B,3.816B,,272.50B,110.42B,429.20B,449.52B,,,12.18B,12.18B,12.18B,12.18B,35.95B,,35.95B,336.87B,635.00M,372.82B,401.09B,,5.44B,51.07B,8.388B,15.66B,5.419B,-1.439B,47.80B,,AOR,Restated
2016-12,,15.70B,66.28B,81.99B,,,,81.99B,516.00M,3.508B,2.798B,,29.00M,6.851B,-4.408B,2.443B,9.344B,3.303B,12.65B,278.03B,3.813B,,274.22B,109.28B,430.26B,445.96B,,10.01B,2.705B,12.72B,12.72B,13.96B,33.32B,,33.32B,334.59B,635.00M,367.91B,398.03B,,5.522B,50.15B,8.44B,15.28B,5.501B,-1.535B,47.30B,,AOR,Restated
2016-09,,23.66B,67.16B,90.82B,,,,90.82B,,,,,,,,2.449B,9.357B,2.887B,12.24B,276.86B,3.797B,,273.07B,110.03B,430.47B,454.13B,,,15.70B,15.70B,15.70B,15.70B,37.98B,,37.98B,334.60B,640.00M,372.57B,405.74B,,5.522B,49.23B,8.429B,14.84B,5.501B,-579.00M,47.76B,,AOR,Restated
2016-06,,14.04B,66.49B,80.53B,,,,80.53B,,,,,,,,2.459B,9.359B,2.852B,12.21B,272.83B,3.806B,,269.03B,108.52B,424.42B,438.46B,,,18.43B,18.43B,18.43B,18.43B,36.94B,,36.94B,317.59B,639.00M,354.53B,390.43B,,5.522B,48.27B,8.402B,14.24B,5.501B,-562.00M,47.39B,,AOR,Restated
2016-03,,10.98B,64.91B,75.89B,,,,75.89B,,,,,,,,2.486B,9.368B,3.042B,12.41B,268.53B,3.853B,,264.67B,107.02B,417.66B,428.64B,,,23.78B,23.78B,23.78B,23.78B,34.87B,,34.87B,306.35B,638.00M,341.22B,381.24B,,5.522B,47.27B,8.368B,13.66B,5.501B,-744.00M,46.76B,,AOR,Restated
2015-12,,11.15B,62.00B,73.14B,,,,73.14B,522.00M,3.461B,2.721B,,19.00M,6.723B,-4.21B,2.513B,9.361B,3.35B,12.71B,264.03B,3.863B,,260.17B,105.59B,410.71B,421.85B,,22.02B,4.116B,26.14B,26.14B,27.88B,32.08B,,32.08B,300.40B,686.00M,332.48B,375.04B,,5.522B,46.38B,8.376B,13.12B,5.501B,-1.019B,46.13B,,AOR,Restated
2015-09,,10.45B,60.40B,70.85B,,,,70.85B,,,,,,,,2.515B,9.368B,3.176B,12.54B,259.26B,3.965B,,255.30B,105.09B,405.49B,415.94B,,,26.92B,26.92B,26.92B,26.92B,32.50B,,32.50B,295.26B,692.00M,327.77B,370.18B,,4.777B,45.41B,8.362B,12.76B,4.756B,-721.00M,45.08B,,AOR,Restated
2015-06,,17.92B,57.08B,75.00B,,,,75.00B,,,,,,,,2.551B,9.374B,3.225B,12.60B,257.14B,4.013B,,253.12B,103.31B,401.15B,419.08B,,,27.78B,27.78B,27.78B,27.78B,34.14B,,34.14B,296.85B,694.00M,330.99B,373.84B,,4.777B,44.43B,8.335B,12.14B,4.756B,-865.00M,44.54B,,AOR,Restated
2015-03,,14.07B,56.83B,70.90B,,,,70.90B,,,,,,,,2.575B,9.363B,3.033B,12.40B,253.31B,4.023B,,249.29B,102.42B,396.16B,410.23B,,,28.23B,28.23B,28.23B,28.23B,35.10B,,35.10B,286.60B,688.00M,321.70B,365.27B,,4.777B,43.46B,8.315B,11.56B,4.756B,-714.00M,44.28B,,AOR,Restated
2014-12,,10.65B,56.07B,66.72B,,,,66.72B,534.00M,3.449B,2.719B,,26.00M,6.728B,-4.11B,2.618B,9.389B,3.162B,12.55B,252.64B,4.039B,,248.60B,101.04B,391.88B,402.53B,,22.20B,5.862B,28.06B,28.06B,29.89B,31.46B,797.00M,32.26B,282.73B,689.00M,314.99B,358.36B,,4.777B,42.53B,8.313B,11.24B,4.756B,-896.00M,43.48B,,AOR,Restated
2014-09,,6.183B,52.67B,58.86B,,,,58.86B,,,,,,,,2.608B,9.401B,3.338B,12.74B,249.53B,4.065B,,245.46B,96.90B,385.10B,391.28B,,,30.04B,30.04B,30.04B,30.04B,30.77B,,30.77B,273.10B,688.00M,303.86B,347.46B,,4.777B,41.54B,8.293B,10.84B,4.756B,-636.00M,43.14B,,AOR,Restated
2014-06,,12.64B,48.39B,61.02B,,,,61.02B,,,,,,,,2.614B,9.422B,3.337B,12.76B,246.89B,4.132B,,242.76B,90.38B,376.43B,389.06B,,,29.10B,29.10B,29.10B,29.10B,25.89B,,25.89B,276.26B,686.00M,302.15B,345.68B,,4.777B,40.57B,8.264B,10.23B,4.756B,-682.00M,42.70B,,AOR,Restated
2014-03,,7.408B,44.76B,52.17B,,,,52.17B,,,,,,,,2.589B,9.204B,3.422B,12.63B,240.22B,4.189B,,236.03B,85.47B,363.88B,371.29B,,,30.78B,30.78B,30.78B,30.78B,23.77B,,23.77B,260.61B,689.00M,284.39B,328.55B,,4.777B,39.58B,8.236B,9.693B,4.756B,-850.00M,42.05B,,AOR,Restated
2013-12,,8.477B,40.94B,49.41B,,,,49.41B,529.00M,3.359B,2.593B,,24.00M,6.505B,-3.899B,2.606B,9.205B,3.529B,12.73B,238.50B,4.25B,,234.25B,79.86B,355.54B,364.02B,,19.40B,5.557B,24.96B,24.96B,27.61B,19.32B,730.00M,20.05B,262.12B,694.00M,282.17B,322.21B,,4.777B,38.67B,8.216B,9.476B,4.756B,-1.071B,41.11B,,AOR,Restated
2013-09,,11.62B,39.31B,50.92B,,,,50.92B,,,,,,,,2.608B,9.173B,3.455B,12.63B,235.24B,4.258B,,230.98B,76.21B,349.07B,360.68B,,,26.13B,26.13B,26.13B,26.13B,18.75B,,18.75B,261.72B,1.42B,280.47B,319.13B,,4.777B,37.69B,8.188B,9.174B,4.756B,-1.351B,40.13B,,AOR,Restated
2013-06,,6.618B,40.31B,46.92B,,,,46.92B,,,,,,,,2.622B,9.156B,3.287B,12.44B,232.74B,4.312B,,228.43B,74.98B,346.80B,353.42B,,,26.18B,26.18B,26.18B,26.18B,19.72B,,19.72B,251.57B,1.367B,271.29B,312.36B,,4.777B,36.71B,8.167B,8.68B,4.756B,-1.288B,39.68B,,AOR,Restated
2013-03,,6.932B,40.57B,47.50B,,,,47.50B,,,,,,,,2.656B,9.152B,2.918B,12.07B,231.07B,4.39B,,226.68B,75.29B,348.52B,355.45B,,,27.13B,27.13B,27.13B,27.13B,25.24B,,25.24B,248.01B,1.316B,273.25B,314.60B,,4.79B,35.72B,8.138B,8.176B,4.769B,-941.00M,39.53B,,AOR,Restated
2012-12,,8.252B,40.14B,48.39B,,,,48.39B,534.00M,3.319B,2.543B,,42.00M,6.438B,-3.768B,2.67B,9.143B,2.706B,11.85B,231.30B,4.424B,,226.88B,74.53B,345.60B,353.86B,,16.20B,5.762B,21.96B,21.96B,26.30B,20.67B,4.843B,25.52B,249.18B,1.269B,274.70B,313.59B,,4.79B,34.72B,8.201B,7.79B,4.769B,-923.00M,39.00B,,AOR,Restated
2012-09,,9.382B,,9.382B,,,,9.382B,,,,,,,,2.65B,8.943B,2.533B,11.48B,228.03B,4.481B,,223.55B,74.14B,342.87B,352.25B,,,27.85B,27.85B,27.85B,27.85B,26.26B,,26.26B,244.23B,1.164B,270.50B,312.43B,,4.79B,33.73B,8.186B,7.442B,4.769B,-603.00M,38.66B,,AOR,Restated
2012-06,,15.40B,,15.40B,,,,15.40B,,,,,,,,2.638B,8.934B,2.712B,11.65B,224.34B,4.572B,,219.77B,73.95B,337.73B,353.14B,,,30.68B,30.68B,30.68B,30.68B,28.82B,,28.82B,241.32B,1.082B,270.14B,314.26B,,4.79B,32.69B,8.176B,7.031B,4.769B,-830.00M,37.79B,,AOR,Restated
2012-03,,9.561B,,9.561B,,,,9.561B,,,,,,,,2.623B,8.941B,2.919B,11.86B,217.18B,4.645B,,212.53B,74.25B,331.20B,340.76B,,,27.45B,27.45B,27.45B,27.45B,30.40B,,30.40B,233.55B,1.014B,263.95B,303.85B,,3.715B,31.70B,8.168B,6.744B,3.694B,-944.00M,35.90B,,AOR,Restated
2011-12,,13.96B,51.94B,65.90B,,,,65.90B,525.00M,3.239B,2.449B,,44.00M,6.257B,-3.60B,2.657B,8.927B,2.736B,11.66B,216.99B,4.753B,,212.24B,70.81B,326.16B,340.12B,,15.97B,6.473B,22.45B,22.45B,30.47B,28.29B,3.659B,31.95B,230.88B,993.00M,262.84B,305.15B,,2.627B,30.78B,8.238B,6.472B,2.606B,-1.20B,33.98B,,AOR,Restated
2011-09,,13.71B,,13.71B,,,,13.71B,,,,,,,,2.581B,8.933B,2.675B,11.61B,210.14B,4.95B,,205.19B,68.38B,316.43B,330.14B,,,32.03B,32.03B,32.03B,32.03B,30.62B,,30.62B,222.63B,980.00M,253.26B,295.93B,,2.627B,29.70B,8.248B,6.419B,2.606B,-930.00M,33.23B,,AOR,Restated
2011-06,,15.25B,,15.25B,,,,15.25B,,,,,,,,2.529B,8.95B,3.266B,12.22B,203.42B,5.071B,,198.35B,65.58B,305.62B,320.87B,,,29.65B,29.65B,29.65B,29.65B,32.83B,,32.83B,214.88B,889.00M,247.71B,287.53B,,2.627B,28.70B,8.235B,6.134B,2.606B,-977.00M,32.45B,,AOR,Restated
2011-03,,13.80B,,13.80B,,,,13.80B,,,,,,,,2.508B,8.947B,3.415B,12.36B,202.18B,5.27B,,196.91B,60.46B,297.66B,311.46B,,,31.02B,31.02B,31.02B,31.02B,31.78B,,31.78B,208.29B,828.00M,240.07B,280.13B,,1.951B,27.77B,8.215B,6.089B,1.93B,-1.339B,30.51B,,AOR,Restated
2010-12,,14.49B,,14.49B,,,,14.49B,516.00M,3.161B,2.791B,,50.00M,6.518B,-4.031B,2.487B,8.954B,3.213B,12.17B,205.43B,5.31B,,200.12B,52.98B,293.30B,307.79B,,,32.56B,32.56B,32.56B,32.56B,31.54B,,31.54B,204.25B,803.00M,235.79B,277.46B,,1.951B,27.00B,8.294B,6.262B,1.93B,-1.469B,29.52B,,AOR,Restated
2010-09,,4.47B,,4.47B,,,,4.47B,,,,,,,,2.304B,9.024B,2.856B,11.88B,194.62B,5.321B,,189.30B,48.96B,286.18B,290.65B,,,34.34B,34.34B,34.34B,34.34B,30.35B,,30.35B,187.41B,792.00M,217.76B,260.71B,,1.951B,26.15B,8.31B,6.363B,1.93B,-894.00M,29.15B,,AOR,Restated
2010-06,,5.033B,,5.033B,,,,5.033B,,,,,,,,2.257B,9.002B,3.068B,12.07B,196.50B,5.32B,,191.18B,48.37B,278.21B,283.24B,,,33.80B,33.80B,33.80B,33.80B,29.14B,,29.14B,183.12B,771.00M,212.26B,254.30B,,1.951B,25.37B,8.292B,6.381B,1.93B,-1.06B,28.17B,,AOR,Restated
2010-03,,8.38B,,8.38B,,,,8.38B,,,,,,,,2.246B,9.007B,3.388B,12.40B,195.04B,5.235B,,189.80B,46.91B,274.05B,282.43B,,,31.20B,31.20B,31.20B,31.20B,32.40B,,32.40B,184.04B,679.00M,216.44B,255.04B,,1.521B,24.60B,8.267B,6.409B,1.50B,-1.267B,26.71B,,AOR,Restated
2009-12,,6.206B,,6.206B,,,,6.206B,460.00M,3.005B,2.643B,,21.00M,6.129B,-3.866B,2.263B,9.011B,3.406B,12.42B,199.53B,5.079B,,194.45B,44.77B,274.97B,281.18B,,,31.31B,31.31B,31.31B,31.31B,32.58B,,32.58B,183.24B,698.00M,215.82B,254.52B,,1.521B,24.12B,8.319B,6.509B,1.50B,-1.484B,25.96B,,AOR,Restated
2009-09,,5.016B,,5.016B,,,,5.016B,,,,,,,,2.251B,8.597B,3.158B,11.76B,189.09B,4.825B,,184.26B,42.34B,260.04B,265.06B,,,28.17B,28.17B,28.17B,28.17B,33.25B,,33.25B,169.76B,709.00M,203.00B,239.18B,,1.521B,23.63B,8.308B,6.534B,1.50B,-1.753B,25.17B,,AOR,Restated
2009-06,,6.381B,,6.381B,,,,6.381B,,,,,,,,2.073B,8.451B,2.961B,11.41B,189.68B,4.377B,,185.30B,40.80B,259.18B,265.56B,,,29.70B,29.70B,29.70B,29.70B,39.20B,,39.20B,163.88B,715.00M,203.08B,240.67B,,1.521B,23.14B,8.434B,6.54B,1.50B,-2.384B,24.17B,,AOR,Restated
