,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,20.68M,0.00,-26.10M,0.432M,-25.67M,,,95.67M,95.67M,6.627M,4.378M,14.06M,3.938M,,,-25.36M,-7.366M,103.64M,,,,-21.41M,-20.46M,,-28.80M,-717.23M,,-717.23M,,-30.79M,-30.79M,,-22.95M,-22.95M,-79.53M,0.202M,-21.38M,-871.68M,1.101B,-796.83M,304.45M,,486.58M,-1.204B,-53.74M
2020-06,66.63M,0.00,-64.88M,2.199M,-62.68M,,,98.60M,98.60M,,8.555M,-3.259M,53.20M,,,14.33M,64.27M,182.28M,,,,-9.412M,442.98M,,533.24M,26.74M,,26.74M,,-132.47M,-132.47M,,-40.41M,-40.41M,-73.81M,0.198M,-15.51M,-235.26M,621.02M,480.26M,1.101B,,691.09M,-664.35M,-172.88M
2020-03,127.11M,0.00,-72.64M,12.81M,-59.82M,,,70.78M,70.78M,,8.217M,-49.67M,-13.88M,,,-52.07M,-115.62M,42.03M,,,,-8.906M,-76.61M,,-129.42M,808.33M,,808.33M,,-237.64M,-237.64M,,-19.39M,-19.39M,-79.66M,0.166M,-4.812M,466.98M,241.43M,379.59M,621.02M,,1.226B,-417.78M,-257.03M
2019-12,24.26M,0.00,19.24M,11.87M,31.12M,,,67.18M,67.18M,-7.047M,11.59M,1.477M,-44.33M,,,-14.46M,-57.31M,77.04M,,,,-14.63M,392.48M,-5.239M,355.39M,-109.14M,,-109.14M,,-220.97M,-220.97M,,-3.00M,-3.00M,-64.59M,0.032M,-9.88M,-407.55M,216.54M,24.89M,241.43M,,273.91M,-383.05M,-223.97M
2019-09,40.72M,0.00,-3.541M,9.864M,6.323M,,,73.58M,73.58M,7.047M,-20.19M,-2.015M,13.44M,,,-37.46M,-26.04M,81.52M,,,,-16.60M,281.33M,,225.50M,-181.67M,,-181.67M,,-65.76M,-65.76M,,0.00,0.00,-87.34M,0.039M,3.106M,-331.62M,241.15M,-24.60M,216.54M,,421.72M,-603.39M,-65.76M
2019-06,173.74M,-59.02M,0.00,7.546M,-51.47M,,,72.17M,72.17M,,-74.05M,9.401M,18.21M,,,7.448M,35.06M,155.60M,,,,-24.10M,15.07M,4.91M,-174.56M,154.98M,,154.98M,,-75.22M,-75.22M,,0.00,0.00,-77.06M,0.216M,-38.51M,-35.60M,295.71M,-54.56M,241.15M,,737.48M,-582.50M,-75.22M
2019-03,52.77M,-17.17M,1.049M,5.234M,-10.88M,,,71.08M,71.08M,,13.34M,-6.029M,-12.92M,,,-45.47M,-64.42M,62.31M,,,,-73.35M,-212.21M,-4.91M,-291.84M,398.74M,,398.74M,,-49.94M,-49.94M,,-15.14M,-15.14M,-77.40M,0.047M,-10.18M,246.13M,279.11M,16.60M,295.71M,,629.87M,-231.13M,-65.08M
2018-12,-58.32M,-167.44M,36.98M,2.398M,-113.17M,,,72.14M,72.14M,,-10.85M,-2.448M,-16.30M,,,26.24M,7.489M,123.99M,,,,-101.59M,30.89M,,181.43M,48.59M,,48.59M,,-253.44M,-253.44M,,-0.858M,-0.858M,-76.22M,13.36M,-16.32M,-284.90M,258.59M,20.52M,279.11M,,1.140B,-1.092B,-254.30M
2018-09,99.45M,-70.94M,2.504M,-0.971M,-67.21M,,,73.38M,73.38M,,-4.399M,9.885M,-2.152M,,,-45.68M,-37.95M,71.33M,,,,-44.53M,211.05M,1.52M,232.17M,-314.65M,,-314.65M,,-35.38M,-35.38M,,0.00,0.00,-76.31M,9.988M,-8.545M,-424.89M,379.98M,-121.39M,258.59M,,858.57M,-1.173B,-35.38M
2018-06,115.90M,-72.02M,14.79M,-4.702M,-61.94M,,,71.46M,71.46M,,-15.15M,4.901M,3.977M,,,30.14M,39.01M,151.67M,,,,-203.15M,-319.55M,1.50M,-187.94M,458.00M,,458.00M,,-342.02M,-342.02M,,-0.20M,-0.20M,-78.97M,4.93M,-3.755M,37.99M,378.26M,1.715M,379.98M,,1.131B,-673.46M,-342.22M
