,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,221.40M,,221.40M,377.48M,,409.42M,83.04M,713.86M,,,,,,,,,,4.128B,,,206.29M,514.87M,11.61B,12.32B,152.98M,25.49M,,178.47M,23.44M,201.91M,184.84M,184.84M,184.84M,,,386.75M,5.234B,533.40M,5.768B,117.62M,117.62M,431.37M,,362.29M,6.248B,6.634B,424.84M,1.035B,3.999B,124.05M,424.10M,-76.20M,5.258B
2020-06,1.015B,,1.015B,393.03M,,410.02M,85.94M,1.561B,,,,,,,,19.10M,19.10M,4.202B,,,217.81M,267.65M,11.51B,13.07B,165.56M,25.61M,,191.18M,14.90M,206.08M,944.32M,944.32M,944.32M,,38.27M,1.189B,5.158B,535.95M,5.694B,99.66M,99.66M,444.49M,,299.19M,6.093B,7.282B,448.13M,1.082B,4.022B,124.05M,447.38M,-82.37M,5.345B
2020-03,554.20M,,554.20M,398.72M,,424.82M,66.83M,1.046B,,,,,,,,22.44M,22.44M,4.657B,,,232.27M,331.20M,12.17B,13.22B,158.75M,26.56M,,185.31M,26.38M,211.69M,1.294B,1.294B,1.294B,,,1.506B,4.829B,526.29M,5.355B,116.20M,116.20M,439.39M,,274.29M,5.746B,7.252B,488.73M,1.099B,4.146B,124.05M,487.95M,-80.87M,5.529B
2019-12,166.07M,,166.07M,326.98M,,348.10M,75.36M,981.19M,,,,,,,,,,4.523B,,,205.28M,332.80M,11.79B,12.77B,166.90M,79.28M,,246.19M,22.15M,268.34M,234.01M,234.01M,234.01M,,,502.35M,5.274B,426.12M,5.700B,114.05M,114.05M,485.74M,,239.33M,6.054B,6.556B,506.02M,1.085B,4.286B,124.05M,505.22M,-28.48M,5.725B
2019-09,121.75M,,121.75M,351.38M,,371.41M,94.79M,991.44M,,,,,,,,,,4.908B,,,182.62M,271.47M,12.30B,13.29B,143.36M,78.54M,,221.90M,27.57M,249.47M,328.55M,328.55M,328.55M,,,578.02M,5.507B,428.91M,5.936B,126.32M,126.32M,473.02M,,203.06M,6.266B,6.844B,509.04M,1.226B,4.408B,124.05M,508.22M,-40.13M,5.978B
2019-06,148.98M,,148.98M,379.93M,,403.62M,92.17M,644.76M,,,,,,,,,,5.196B,,,220.57M,235.36M,12.99B,13.63B,133.47M,79.27M,,212.74M,25.56M,238.31M,663.12M,663.12M,663.12M,,,901.43M,5.420B,431.64M,5.851B,122.94M,122.94M,471.40M,,186.66M,6.161B,7.062B,509.05M,1.288B,4.451B,124.05M,508.22M,-28.40M,6.096B
2019-03,144.32M,,144.32M,384.93M,,414.39M,151.39M,710.10M,,,,,,,,,,5.357B,,,211.62M,324.63M,12.68B,13.39B,111.90M,80.05M,,191.95M,28.93M,220.88M,782.66M,782.66M,782.66M,,,1.004B,5.107B,433.68M,5.541B,102.60M,102.60M,458.88M,,196.59M,5.840B,6.844B,508.06M,1.210B,4.493B,124.05M,507.22M,-4.005M,6.083B
2018-12,129.48M,,129.48M,377.57M,,405.61M,149.64M,684.72M,,,,,,,,,,5.147B,,,209.11M,295.68M,12.07B,12.75B,147.06M,80.43M,,227.49M,23.15M,250.64M,492.20M,492.20M,492.20M,,,742.84M,5.050B,47.22M,5.097B,94.45M,94.45M,434.14M,,181.25M,5.372B,6.115B,523.21M,1.279B,4.509B,124.05M,522.36M,15.11M,6.202B
2018-09,160.25M,,160.25M,373.94M,,395.36M,98.34M,1.350B,,,,,,,,,,5.076B,,,202.50M,301.13M,12.10B,13.46B,141.08M,79.16M,3.731M,223.98M,27.21M,251.19M,136.73M,136.73M,136.73M,,311.05M,698.97M,5.404B,43.42M,5.447B,110.28M,110.28M,520.26M,,162.07M,5.720B,6.419B,524.08M,1.477B,4.603B,124.05M,524.08M,36.30M,6.516B
2018-06,287.24M,,287.24M,370.14M,,397.99M,92.74M,1.372B,,,,,,,,,,5.257B,,,198.94M,290.73M,12.34B,13.71B,140.74M,79.52M,3.567M,223.82M,26.10M,249.93M,351.27M,351.27M,351.27M,,265.54M,866.74M,5.506B,43.22M,5.549B,95.76M,95.76M,537.85M,,172.02M,5.817B,6.684B,524.18M,1.458B,4.602B,124.05M,523.32M,32.62M,6.492B
2018-03,288.81M,,288.81M,370.10M,,401.40M,89.46M,847.49M,,,,,,,,,,5.149B,,,195.56M,360.56M,12.53B,13.38B,131.80M,82.34M,3.403M,217.54M,36.81M,254.34M,0.00,0.00,0.00,,0.042M,254.39M,5.422B,43.03M,5.465B,177.90M,177.90M,525.65M,,168.30M,5.811B,6.066B,524.42M,1.584B,4.777B,124.05M,523.52M,28.57M,6.789B
