,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2012-09,347.74M,357.01M,144.52M,212.49M,,,20.55M,,,,-1.372M,,,86.04M,0.386M,-90.15M,,102.38M,110.12M,0.386M,86.04M,-90.15M,7.716M,-90.15M,27.68M,27.68M,0.951M,,-2.402M,8.486M,26.23M,24.71M,201.65M,87.92M,113.72M,0.0751,0.0105,,,0.0689,0.09,0.0751,0.0101,,,0.0692,0.09,90.24M,93.89M,0.25
2012-06,338.25M,344.54M,128.58M,215.96M,,,20.72M,,,,-1.97M,,,82.56M,0.401M,-85.71M,-5.789M,91.14M,124.82M,0.401M,82.56M,-85.71M,78.45M,-85.71M,117.56M,117.56M,0.899M,,-7.308M,8.109M,111.15M,111.53M,281.48M,81.36M,200.12M,1.138,0.01,,,1.1520000000000001,1.15,1.131,0.0096,,,1.145,1.14,89.79M,93.35M,0.25
2012-03,328.76M,339.13M,133.54M,205.59M,,,20.20M,,,,-1.056M,,,80.55M,0.41M,-83.72M,,97.26M,108.33M,0.41M,80.55M,-83.72M,4.08M,-83.72M,28.69M,28.69M,6.466M,,-1.959M,7.942M,33.20M,27.78M,189.90M,80.66M,109.24M,0.2166,0.0745,,,0.2288,0.29,0.2166,0.0717,,,0.2283,0.29,86.74M,90.17M,0.25
2011-12,276.89M,312.31M,272.22M,40.09M,,,-5.382M,,,,494.58M,,,78.68M,0.469M,-92.31M,-3.68M,-69.11M,109.20M,0.469M,78.68M,-92.31M,-3.222M,-92.31M,13.66M,13.66M,3.895M,,-7.202M,,10.35M,4.526M,172.09M,79.75M,92.34M,-0.0535,0.0224,,,-0.076,-0.03,-0.0535,0.0036,,,-0.0753,-0.03,86.04M,88.82M,0.25
2011-09,306.62M,306.62M,69.09M,237.53M,,27.36M,27.36M,,,8.463M,-0.236M,,44.92M,75.11M,0.511M,-74.60M,2.986M,148.62M,88.91M,0.511M,75.11M,-74.60M,1.067M,-74.60M,15.37M,15.37M,1.116M,,-1.864M,,14.62M,13.01M,166.69M,76.20M,90.49M,0.04,0.04,,,0.0342,0.08,0.04,0.04,,,0.0344,0.08,85.70M,88.08M,0.1
2011-06,298.70M,298.70M,106.37M,192.34M,,30.27M,30.27M,,,7.813M,-1.526M,,,68.71M,0.538M,-68.17M,2.684M,98.49M,93.84M,0.538M,68.71M,-68.17M,475.75M,-68.17M,501.43M,501.43M,47.76M,,-15.18M,7.545M,534.00M,178.42M,638.51M,68.38M,570.14M,5.74,0.56,,,2.057,6.3,5.7,0.56,,,2.121,6.26,83.58M,86.01M,0.1
2011-03,329.22M,329.22M,100.36M,228.86M,,27.86M,27.86M,,,7.834M,0.716M,,,64.75M,0.485M,-64.27M,3.80M,95.15M,133.70M,0.485M,64.75M,-64.27M,22.58M,-64.27M,92.02M,92.02M,1.873M,,-5.462M,7.545M,88.43M,77.21M,224.75M,67.98M,156.77M,1.01,0.01,,,0.8923,1.02,1.0,0.01,,,0.8855,1.01,79.40M,81.64M,0.1
2010-12,227.06M,262.78M,111.82M,150.96M,,,-2.665M,,,,-3.433M,,,61.27M,0.796M,-69.52M,-3.698M,51.92M,99.04M,0.796M,61.27M,-69.52M,-12.10M,-69.52M,17.43M,17.43M,0.533M,,-3.206M,7.544M,14.75M,27.49M,140.74M,62.04M,78.70M,1.673,-1.585,,,1.8419999999999999,0.09,1.673,-1.587,,,1.839,0.09,78.30M,79.88M,0.1
2010-09,319.15M,319.15M,95.21M,223.94M,,26.33M,26.33M,,,7.86M,-3.765M,,,56.92M,0.478M,-56.44M,2.581M,84.93M,139.01M,0.478M,56.92M,-56.44M,4.299M,-56.44M,86.87M,86.87M,37.70M,,-5.521M,7.545M,119.04M,83.80M,203.93M,60.14M,143.79M,0.95,0.48,,,0.9813,1.43,0.94,0.48,,,0.9707,1.42,78.23M,79.78M,0.1
2010-06,251.57M,251.57M,89.94M,161.63M,,26.06M,26.06M,,,7.679M,-10.36M,,,57.44M,0.504M,-56.94M,1.571M,83.00M,78.63M,0.504M,57.44M,-56.94M,126.41M,-56.94M,148.10M,148.10M,2.403M,,-5.916M,7.545M,144.58M,148.92M,264.24M,58.70M,205.54M,0.13,1.63,,,0.2163,1.76,0.13,1.62,,,0.2144,1.75,78.05M,79.79M,0.1
