,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-09,66.61M,66.61M,,,,3.16M,3.16M,,,,,,-38.72M,,,,,-35.56M,102.16M,,,,,,,17.72M,1.715M,,1.101M,2.423M,19.44M,17.72M,112.55M,10.39M,102.16M,0.5,0.06,,,0.5,0.56,0.49,0.05,,,0.49,0.54,30.36M,37.81M,0.4425
2002-06,62.22M,62.22M,,,,3.357M,3.357M,,,,,,-35.90M,,,,,-32.54M,94.76M,,,,,,,16.47M,1.625M,,1.033M,2.423M,18.10M,16.47M,104.98M,10.22M,94.76M,0.47,0.05,,,0.47,0.52,0.46,0.05,,,0.46,0.51,30.20M,33.18M,0.4425
2002-03,62.62M,62.62M,,,,3.202M,3.202M,,,,,,-36.01M,,,,,-32.81M,95.43M,,,,,,,17.08M,0.553M,,1.11M,2.423M,17.64M,17.08M,104.75M,9.322M,95.43M,0.49,0.02,,,0.49,0.51,0.48,0.02,,,0.48,0.5,29.99M,32.90M,0.4425
2001-12,62.89M,21.41M,,,,4.043M,4.043M,,,,-0.208M,,-37.00M,,,,,228.50M,-219.66M,,,,-0.208M,,,3.298M,12.17M,0.00,-6.708M,2.415M,16.00M,3.955M,-204.97M,14.69M,-219.66M,0.51,-0.08,0.0,,0.5142,0.45,0.49,-0.08,0.0008,,0.4938,0.44,30.01M,32.86M,0.4425
2001-09,62.49M,62.49M,,,,4.116M,4.116M,,,,0.647M,,-37.90M,,,,,-33.79M,96.28M,,,,0.647M,,,14.56M,0.786M,,0.95M,2.414M,15.35M,14.17M,103.45M,7.174M,96.28M,0.42,0.03,,,0.4064,0.45,0.41,0.03,,,0.3976,0.44,28.51M,31.37M,0.3875
2001-06,66.48M,66.48M,3.159M,63.32M,,3.668M,3.668M,,,,,,,,,,22.04M,34.90M,28.42M,,,,,,,17.94M,,0.00,-1.405M,2.30M,17.94M,17.94M,38.31M,9.887M,28.42M,0.51,0.12,0.0,,0.51,0.63,0.51,0.09,0.0,,0.51,0.6,24.71M,32.18M,0.3875
2001-03,69.75M,66.99M,3.159M,63.84M,,3.547M,3.547M,,,,,,-40.43M,,,,64.44M,37.27M,26.56M,,,,1.514M,,,11.83M,,-0.532M,-1.081M,2.30M,13.71M,13.43M,36.28M,9.72M,26.56M,0.48,-0.02,0.0,-0.004,0.4431,0.46,0.47,-0.02,-0.0216,-0.004,0.4368,0.45,24.64M,27.40M,0.3875
2000-12,53.89M,26.86M,3.155M,23.71M,,3.044M,3.044M,,,,,,,,,,,-193.61M,217.32M,,,,,,,20.50M,,,-1.078M,2.726M,28.38M,25.36M,222.43M,5.114M,217.32M,2.05,-1.01,,,2.05,1.06,1.84,-1.01,,,1.84,0.88,24.50M,46.08M,0.3875
2000-09,60.87M,60.87M,3.164M,57.71M,,2.54M,2.54M,,,,,,,,,,22.56M,33.40M,24.31M,,,,,,,15.99M,,0.00,-1.496M,2.30M,18.40M,18.40M,32.61M,8.30M,24.31M,0.42,0.23,0.0,,0.42,0.65,0.42,0.21,0.0,,0.42,0.64,24.46M,27.30M,0.3625
2000-06,56.49M,56.49M,3.159M,53.34M,,3.19M,3.19M,,,,,,,,,,20.50M,32.09M,21.25M,,,,,,,13.42M,,-0.43M,-1.316M,2.30M,15.40M,15.82M,29.65M,8.403M,21.25M,0.35,0.2,0.0,,0.35,0.53,0.35,0.18,-0.0177,,0.35,0.53,24.31M,27.04M,0.3625
2000-03,54.76M,54.76M,3.183M,51.58M,,2.788M,2.788M,,,,,,,,,,20.52M,31.13M,20.45M,,,,,,,21.63M,,,-2.151M,2.30M,24.04M,24.04M,28.26M,7.816M,20.45M,0.89,0.0,,,0.89,0.89,0.8062,0.0,,,0.8062,0.8062,24.22M,26.83M,0.3625
1999-12,54.30M,53.12M,,,,-8.378M,2.522M,,,,,,-33.20M,,,,,204.79M,-164.43M,,,,,,,1.747M,,,-9.421M,2.30M,10.96M,12.34M,-158.07M,6.36M,-164.43M,0.36,-0.01,,-0.0169,0.36,0.35,0.36,-0.01,,-0.0169,0.36,0.35,23.24M,33.19M,0.3625
1999-09,55.10M,55.10M,,,,3.00M,3.00M,,,,,,-35.70M,,,,,-32.70M,87.80M,,,,,,,10.50M,,,1.20M,2.30M,10.50M,10.50M,96.10M,8.30M,87.80M,0.33,0.0,,,0.33,0.33,0.33,0.0,,,0.33,0.33,24.85M,24.85M,0.35
1999-06,50.90M,50.90M,,,,2.80M,2.80M,,,,,,-31.10M,,,,,-28.30M,79.20M,,,,,,,11.40M,,,1.70M,2.30M,10.80M,11.40M,86.00M,6.80M,79.20M,0.37,-0.02,,-0.0247,0.37,0.35,0.37,-0.02,,-0.0247,0.37,0.35,24.29M,24.29M,0.35
1999-03,47.50M,47.50M,,,,2.60M,2.60M,,,,,,-30.40M,,,,,-27.80M,75.30M,,,,,,,10.60M,,,1.40M,2.30M,10.60M,10.60M,81.10M,5.80M,75.30M,0.34,0.0,,,0.34,0.34,0.34,0.0,,,0.34,0.34,24.41M,24.41M,0.35
1998-12,40.50M,37.65M,,,,1.76M,1.76M,,,,,,-27.30M,,,,,137.75M,-111.18M,,,,,,,9.30M,,,-5.443M,2.32M,9.252M,9.774M,-106.48M,4.704M,-111.18M,0.28,0.0,,0.0017,0.28,0.28,0.28,0.0,,0.0017,0.28,0.28,23.32M,33.20M,0.35
1998-09,40.50M,40.50M,,,,1.60M,1.60M,,,,,,-27.00M,,,,,-25.40M,65.90M,,,,,,,10.30M,,,0.80M,2.30M,10.30M,10.30M,69.90M,4.00M,65.90M,0.33,0.0,,,0.33,0.33,0.33,0.0,,,0.33,0.33,24.24M,24.24M,0.35
1998-06,33.60M,33.60M,,,,1.30M,1.30M,,,,,,-22.60M,,,,,-21.30M,54.90M,,,,,,,6.40M,,,0.80M,1.10M,5.90M,6.40M,58.90M,4.00M,54.90M,0.28,-0.03,,-0.026,0.28,0.25,0.28,-0.03,,-0.026,0.28,0.25,19.20M,19.20M,0.35
