,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,2.219B,,,2.382B,2.382B,,384.00M,,-33.31B,,-245.00M,-3.572B,23.51B,18.98B,-8.576B,,,,,,8.186B,22.00M,42.66B,,-16.34B,-5.261B,-21.60B,59.00M,-3.00M,56.00M,0.00,0.00,0.00,-399.00M,-256.00M,-655.00M,,-119.00M,-49.82B,,262.50B,-15.73B,246.77B,,59.00M,237.00M,-16.58B,-3.00M,106.00M,1.554B,,AOR,
2020-06,-2.332B,,,2.194B,2.194B,,371.00M,,-8.302B,,-3.92B,4.481B,13.51B,14.65B,16.12B,,,,,,33.02B,631.00M,103.69B,,-8.242B,-31.80B,-40.05B,245.00M,-2.00M,243.00M,0.00,0.00,0.00,-2.023B,-374.00M,-2.397B,,-94.00M,-8.112B,,150.81B,111.69B,262.50B,,245.00M,18.77B,-27.01B,-2.00M,2.047B,2.066B,,AOR,
2020-03,505.00M,,,1.868B,1.868B,,582.00M,,5.83B,,933.00M,-10.39B,16.12B,4.483B,17.27B,,,,,,-10.28B,91.00M,-44.30B,,1.332B,-12.22B,-10.89B,209.00M,-3.407B,-3.198B,1.968B,-2.47B,-502.00M,-2.032B,-280.00M,-2.312B,,-411.00M,36.59B,,141.25B,9.559B,150.81B,,2.177B,18.90B,-17.56B,-5.877B,207.00M,3.479B,,AOR,
2019-12,2.924B,,,2.135B,2.135B,,389.00M,,-9.636B,,1.476B,9.354B,4.694B,15.97B,12.42B,,,,,,3.881B,-2.046B,-2.526B,,-1.895B,-19.40B,-21.29B,24.00M,-7.367B,-7.343B,0.00,0.00,0.00,-2.08B,-386.00M,-2.466B,,-410.00M,-17.38B,,148.73B,-7.481B,141.25B,,24.00M,13.16B,-15.06B,-7.367B,2.309B,4.329B,,AOR,
2019-09,4.812B,,,1.84B,1.84B,,497.00M,,-15.07B,,8.073B,-13.51B,2.391B,-5.749B,-12.98B,,,,,,-11.57B,1.594B,-7.381B,,-12.45B,8.564B,-3.89B,114.00M,-7.448B,-7.334B,0.00,-1.55B,-1.55B,-2.164B,-294.00M,-2.458B,,-175.00M,4.66B,,164.43B,-15.70B,148.73B,,114.00M,7.129B,-19.58B,-8.998B,2.732B,5.151B,,AOR,Restated
2019-06,6.338B,,,1.651B,1.651B,,486.00M,,-14.82B,,-6.579B,6.064B,6.933B,5.176B,-669.00M,,,,,,6.223B,1.26B,-10.70B,,1.294B,8.747B,10.04B,61.00M,-4.898B,-4.837B,0.00,0.00,0.00,-1.957B,-417.00M,-2.374B,,-103.00M,26.83B,,148.97B,15.46B,164.43B,,61.00M,15.75B,-14.46B,-4.898B,2.39B,4.953B,,AOR,Restated
2019-03,5.967B,,,1.449B,1.449B,,902.00M,,-8.224B,,-541.00M,1.13B,5.383B,7.012B,7.951B,,,,,,4.695B,657.00M,-9.026B,,5.44B,810.00M,6.25B,181.00M,-4.82B,-4.639B,0.00,0.00,0.00,-1.997B,-294.00M,-2.291B,,-403.00M,-23.24B,,173.29B,-24.32B,148.97B,,181.00M,17.34B,-11.90B,-4.82B,126.00M,4.401B,,AOR,Restated
2018-12,6.154B,,,1.371B,1.371B,,396.00M,,-1.644B,,-1.974B,-1.933B,11.54B,8.236B,15.03B,,,,,10.00M,-8.285B,-2.096B,-18.24B,,5.052B,336.00M,5.388B,84.00M,-7.299B,-7.215B,,0.00,0.00,-1.962B,-411.00M,-2.373B,,-162.00M,16.98B,,159.52B,13.76B,173.29B,,84.00M,16.20B,-11.15B,-7.299B,56.00M,4.258B,,AOR,Restated
2018-09,6.086B,,,1.387B,1.387B,,573.00M,,-12.15B,,589.00M,2.191B,7.695B,10.18B,6.658B,,,,,-10.00M,-199.00M,1.601B,-220.00M,,2.975B,955.00M,3.93B,102.00M,-7.382B,-7.28B,,-2.15B,-2.15B,-2.008B,-339.00M,-2.347B,,-247.00M,-10.36B,,163.45B,-3.926B,159.52B,,102.00M,10.09B,-7.114B,-9.532B,242.00M,3.756B,,AOR,Restated
2018-06,5.309B,,,1.404B,1.404B,,494.00M,,-16.80B,,-3.236B,4.216B,6.488B,8.293B,-849.00M,,,,,,4.027B,-438.00M,550.00M,,-4.889B,6.405B,1.516B,64.00M,-2.923B,-2.859B,,,,-1.855B,-454.00M,-2.309B,,-170.00M,-38.65B,,202.40B,-38.95B,163.45B,,64.00M,5.791B,-10.68B,-2.923B,1.521B,3.35B,,AOR,Restated
2018-03,5.327B,,,1.431B,1.431B,,792.00M,,-10.32B,,3.756B,3.331B,10.84B,17.81B,15.23B,,,,,,-822.00M,154.00M,10.16B,,3.892B,-5.165B,-1.273B,382.00M,-3.029B,-2.647B,,,,-1.867B,-418.00M,-2.285B,,-462.00M,-38.94B,,215.95B,-13.55B,202.40B,,382.00M,15.52B,-11.62B,-3.029B,158.00M,3.002B,,AOR,Restated
2017-12,6.241B,,,1.612B,1.612B,,451.00M,,-10.77B,,2.451B,-3.39B,3.946B,2.089B,275.00M,,,,,23.00M,-10.67B,307.00M,-27.94B,,-15.48B,9.365B,-6.117B,306.00M,-2.845B,-2.539B,0.00,0.00,0.00,-1.875B,-403.00M,-2.278B,,46.00M,18.40B,,224.85B,-9.264B,215.95B,,306.00M,5.217B,-20.70B,-2.845B,1.905B,2.589B,,AOR,Restated
2017-09,4.60B,,,1.316B,1.316B,,409.00M,,-4.17B,,3.023B,610.00M,1.994B,6.66B,9.532B,,,,,-20.00M,-231.00M,-720.00M,6.652B,,-1.92B,-1.459B,-3.379B,183.00M,-2.601B,-2.418B,0.00,0.00,0.00,-1.89B,-419.00M,-2.309B,,-48.00M,-7.278B,,215.95B,8.906B,224.85B,,183.00M,10.37B,-12.29B,-2.601B,1.893B,2.56B,,AOR,Restated
2017-06,5.894B,,,1.241B,1.241B,,446.00M,,-18.43B,,-267.00M,-2.052B,8.621B,5.971B,-4.326B,,,,,43.00M,5.538B,-450.00M,10.03B,,-20.86B,7.178B,-13.68B,150.00M,-2.287B,-2.137B,677.00M,,677.00M,-1.856B,-399.00M,-2.255B,,-76.00M,-37.09B,,247.33B,-31.38B,215.95B,,827.00M,15.02B,-35.88B,-2.287B,2.579B,2.342B,,AOR,Restated
2017-03,5.725B,,,1.237B,1.237B,,740.00M,,-13.54B,,-370.00M,3.618B,13.92B,18.38B,13.14B,,,,,-46.00M,1.849B,-166.00M,-1.899B,,1.038B,-1.064B,-26.00M,572.00M,-2.175B,-1.603B,,,,-1.859B,-408.00M,-2.267B,,-418.00M,15.05B,,221.04B,26.29B,247.33B,,572.00M,12.98B,-11.94B,-2.175B,215.00M,1.612B,,AOR,Restated
2016-12,5.304B,,,1.372B,1.372B,,471.00M,,-33.50B,,-1.713B,-6.337B,35.46B,30.37B,4.826B,,,,,-787.00M,-35.35B,-393.00M,-32.73B,,11.48B,-28.08B,-16.60B,391.00M,-2.034B,-1.643B,0.00,,0.00,-1.863B,-393.00M,-2.256B,,-74.00M,9.609B,,19.29B,-18.30B,221.40B,,391.00M,22.43B,-10.96B,-2.034B,1.288B,1.653B,,AOR,Restated
2016-09,5.654B,,,1.365B,1.365B,,298.00M,,-27.30B,,1.896B,772.00M,13.44B,16.78B,-2.397B,,,,,-810.00M,-31.99B,-316.00M,-39.68B,,10.34B,4.152B,14.49B,229.00M,-1.839B,-1.61B,0.00,,0.00,-1.87B,-409.00M,-2.279B,,-62.00M,40.96B,,20.41B,-1.12B,19.29B,,229.00M,19.71B,-9.367B,-1.839B,2.903B,1.563B,,AOR,Restated
2016-06,5.573B,,,938.00M,938.00M,,460.00M,,-18.46B,,-1.384B,1.535B,3.97B,3.075B,-7.335B,,,,,-83.00M,-13.91B,33.00M,-19.14B,,14.42B,12.56B,26.98B,316.00M,-2.214B,-1.898B,1.126B,,1.126B,-1.881B,-378.00M,-2.259B,,-133.00M,27.80B,,19.08B,1.323B,20.41B,,1.442B,24.04B,-9.615B,-2.214B,4.117B,1.303B,,AOR,Restated
2016-03,5.514B,,,1.295B,1.295B,,716.00M,,-4.771B,,990.00M,-10.20B,12.53B,2.074B,5.914B,,,,,-28.90B,14.92B,168.00M,-50.37B,,19.41B,10.18B,29.59B,479.00M,-2.029B,-1.55B,975.00M,,975.00M,-1.858B,-386.00M,-2.244B,,-520.00M,44.42B,,19.11B,-27.00M,19.08B,,1.454B,23.93B,-4.523B,-2.029B,138.00M,1.054B,,AOR,Restated
2015-12,5.623B,,,892.00M,892.00M,,433.00M,431.00M,-10.79B,643.00M,-2.609B,-1.603B,2.10B,-1.313B,-3.897B,,,,,-3.00M,-5.815B,-500.00M,-34.80B,,15.31B,9.459B,24.76B,272.00M,-1.974B,-1.702B,0.00,,0.00,-1.871B,-363.00M,-2.234B,,-1.174B,40.42B,,17.40B,1.716B,19.11B,,272.00M,18.54B,-3.229B,-1.974B,4.418B,974.00M,,AOR,Restated
2015-09,5.983B,,,838.00M,838.00M,,347.00M,-22.00M,-10.97B,-261.00M,6.716B,-2.846B,20.51B,22.06B,18.94B,,,,,0.00,-5.821B,-527.00M,-44.31B,,4.66B,5.106B,9.766B,442.00M,-2.137B,-1.695B,975.00M,,975.00M,-1.882B,-364.00M,-2.246B,,-73.00M,23.08B,,19.69B,-2.292B,17.40B,,1.417B,10.66B,-6.00B,-2.137B,2.165B,1.095B,,AOR,Restated
2015-06,5.786B,,,831.00M,831.00M,,470.00M,-55.00M,-17.81B,-82.00M,-9.518B,4.337B,14.02B,8.823B,-1.651B,,,,,0.00,-17.84B,-363.00M,14.80B,,-3.915B,5.271B,1.356B,398.00M,-1.994B,-1.596B,0.00,,0.00,-1.885B,-335.00M,-2.22B,,42.00M,-13.25B,,19.79B,-106.00M,19.69B,,398.00M,8.549B,-12.46B,-1.994B,6.753B,846.00M,,AOR,Restated
2015-03,5.884B,,,727.00M,727.00M,,708.00M,-354.00M,-11.96B,-300.00M,3.908B,-2.053B,5.777B,6.897B,2.515B,,,,,0.00,-9.947B,-833.00M,-42.92B,,-354.00M,14.17B,13.82B,614.00M,-2.592B,-1.978B,1.997B,,1.997B,-1.762B,-364.00M,-2.126B,,327.00M,40.63B,,19.57B,222.00M,19.79B,,2.611B,5.286B,-5.64B,-2.592B,352.00M,901.00M,,AOR,Restated
2014-12,5.792B,,,582.00M,582.00M,,387.00M,-75.00M,-8.683B,548.00M,-1.814B,482.00M,3.476B,4.377B,2.865B,,,,,0.00,-20.86B,-235.00M,-33.10B,,-2.165B,493.00M,-1.672B,464.00M,-2.945B,-2.481B,0.00,,0.00,-1.774B,-307.00M,-2.081B,,328.00M,31.78B,,18.03B,1.539B,19.57B,,464.00M,3.792B,-5.957B,-2.945B,2.554B,1.122B,,AOR,Restated
