,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,17.92B,17.92B,138.00M,9.175B,9.313B,,227.00M,-781.00M,8.532B,1.044B,9.275B,3.302B,108.00M,3.194B,,-202.00M,350.00M,2.992B,3.747B,,4.497B,,0.64,,,0.8226,0.64,,0.64,,,0.8220,0.64,,4.138B,4.151B,0.10,,AOR,
2020-09,18.86B,18.86B,144.00M,8.915B,9.059B,,291.00M,-718.00M,8.341B,913.00M,9.368B,2.864B,645.00M,2.219B,,-184.00M,315.00M,2.035B,2.580B,2.382B,4.296B,,0.42,,,0.5522,0.42,,0.42,,,0.5519,0.42,,4.124B,4.132B,0.10,,AOR,
2020-06,17.84B,17.84B,137.00M,9.32B,9.457B,22.00M,244.00M,,9.479B,745.00M,9.88B,-6.249B,-3.917B,-2.332B,,-47.00M,315.00M,-2.379B,-2.379B,2.194B,-4.328B,,-0.66,,,-0.66,-0.66,,-0.66,,,-0.66,-0.66,,4.106B,4.106B,0.51,,AOR,
2020-03,17.72B,17.72B,181.00M,8.692B,8.873B,23.00M,260.00M,,8.896B,-1.164B,11.31B,664.00M,159.00M,505.00M,,148.00M,611.00M,653.00M,653.00M,1.868B,4.079B,,0.01,,,0.01,0.01,,0.01,,,0.01,0.01,,4.105B,4.135B,0.51,,AOR,
2019-12,19.86B,19.86B,244.00M,10.26B,10.50B,,286.00M,,10.50B,443.00M,11.20B,3.602B,678.00M,2.924B,,-51.00M,327.00M,2.873B,2.873B,2.135B,7.997B,,0.61,,,0.61,0.61,,0.60,,,0.60,0.60,,4.195B,4.233B,0.51,,AOR,
2019-09,22.01B,22.01B,266.00M,8.876B,9.142B,,272.00M,0.00,9.142B,959.00M,11.62B,6.116B,1.304B,4.812B,,-202.00M,573.00M,4.61B,4.61B,1.84B,10.99B,,0.93,,,0.93,0.93,,0.92,,,0.92,0.92,,4.358B,4.390B,0.51,,AOR,Restated
2019-06,21.58B,21.58B,329.00M,8.929B,9.258B,27.00M,311.00M,,9.285B,642.00M,12.10B,7.632B,1.294B,6.338B,,-132.00M,358.00M,6.206B,6.206B,1.651B,12.52B,,1.31,,,1.31,1.31,,1.30,,,1.30,1.30,,4.469B,4.495B,0.45,,AOR,Restated
2019-03,21.61B,21.61B,237.00M,9.653B,9.89B,28.00M,286.00M,,9.918B,939.00M,12.31B,6.848B,881.00M,5.967B,,-107.00M,353.00M,5.86B,5.86B,1.449B,11.54B,,1.21,,,1.21,1.21,,1.20,,,1.20,1.20,,4.552B,4.584B,0.45,,AOR,Restated
2018-12,20.98B,20.98B,,9.825B,10.68B,264.00M,,,10.95B,30.00M,12.64B,7.12B,966.00M,6.154B,,-90.00M,353.00M,6.064B,6.064B,1.371B,11.40B,,1.22,,,1.22,1.22,,1.21,,,1.21,1.21,,4.664B,4.699B,0.43,,AOR,Restated
2018-09,21.94B,21.94B,,8.601B,8.601B,264.00M,,,8.865B,473.00M,12.57B,7.598B,1.512B,6.086B,,-79.00M,554.00M,6.007B,6.007B,1.387B,11.39B,,1.14,,,1.14,1.14,,1.13,,,1.13,1.13,,4.784B,4.823B,0.43,,AOR,Restated
