,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,1.083B,1.083B,464.20M,618.40M,239.40M,56.00M,295.40M,269.40M,,1.90M,26.00M,14.90M,-11.10M,,564.80M,53.60M,14.90M,26.00M,-11.10M,-1.10M,-11.10M,41.40M,7.00M,34.40M,,34.40M,33.24M,123.10M,55.70M,67.40M,0.1,,0.0967,0.1,0.1,,0.0968,0.1,355.30M,360.60M,0.18
2017-12,1.240B,1.240B,488.30M,751.20M,233.60M,50.80M,284.40M,227.90M,,-36.20M,25.60M,15.90M,-9.70M,,512.30M,238.90M,15.90M,25.60M,-9.70M,-29.00M,-9.70M,200.20M,348.30M,-148.10M,,-148.10M,-131.12M,281.70M,55.90M,225.80M,-0.4,,-0.3542,-0.4,-0.4,,-0.355,-0.4,370.80M,377.30M,0.1
2017-09,1.258B,1.258B,485.40M,772.40M,232.50M,70.60M,303.10M,236.40M,,-2.00M,25.30M,14.70M,-10.60M,,539.50M,232.90M,14.70M,25.30M,-10.60M,3.50M,-10.60M,225.80M,60.10M,165.70M,,165.70M,163.72M,308.70M,57.60M,251.10M,0.44,,0.4348,0.44,0.43,,0.4248,0.43,378.30M,382.70M,0.1
2017-06,1.309B,1.309B,507.00M,801.90M,239.90M,55.60M,295.50M,240.20M,,-8.00M,25.00M,12.00M,-13.00M,,535.70M,266.20M,12.00M,25.00M,-13.00M,-8.00M,-13.00M,245.20M,65.40M,179.80M,,179.80M,185.08M,326.50M,56.30M,270.20M,0.47,,0.4839,0.47,0.47,,0.4837,0.47,380.40M,385.60M,0.1
2017-03,1.221B,1.221B,474.40M,746.60M,244.20M,50.50M,294.70M,276.20M,,-19.40M,25.30M,10.40M,-14.90M,,570.90M,175.70M,10.40M,25.30M,-14.90M,-20.20M,-14.90M,140.60M,31.80M,108.80M,,108.80M,122.89M,221.70M,55.80M,165.90M,0.29,,0.327,0.29,0.28,,0.3163,0.28,380.90M,388.00M,0.1
2016-12,1.386B,1.386B,527.90M,857.70M,254.50M,52.90M,307.40M,263.00M,,-0.10M,25.10M,9.90M,-15.20M,,570.40M,287.30M,9.90M,25.10M,-15.20M,0.00,-15.20M,272.10M,83.20M,188.90M,,188.90M,190.29M,352.00M,54.80M,297.20M,0.52,,0.5237,0.52,0.51,,0.5136,0.51,379.90M,387.50M,0.1
2016-09,1.285B,1.285B,485.80M,799.50M,242.90M,54.00M,296.90M,251.80M,,-0.80M,25.10M,9.10M,-16.00M,,548.70M,250.80M,9.10M,25.10M,-16.00M,1.80M,-16.00M,236.60M,64.20M,172.40M,,172.40M,171.60M,315.00M,53.30M,261.70M,0.45,,0.4479,0.45,0.45,,0.4479,0.45,381.00M,384.50M,0.1
2016-06,1.221B,1.221B,464.90M,756.40M,243.70M,58.60M,302.30M,247.90M,,-2.40M,25.00M,8.50M,-16.50M,,550.20M,206.20M,8.50M,25.00M,-16.50M,2.50M,-16.50M,192.20M,52.20M,140.00M,,140.00M,139.13M,268.80M,51.60M,217.20M,0.37,,0.3677,0.37,0.36,,0.3577,0.36,382.80M,386.30M,0.1
2016-03,1.098B,1.098B,407.00M,690.90M,231.80M,59.40M,291.20M,251.00M,,0.00,22.50M,7.90M,-14.60M,,542.20M,148.70M,7.90M,22.50M,-14.60M,-7.60M,-14.60M,126.50M,35.10M,91.40M,,91.40M,95.30M,196.00M,47.00M,149.00M,0.24,,0.2502,0.24,0.23,,0.24,0.23,383.20M,389.30M,0.1
2015-12,1.320B,1.320B,477.20M,842.40M,255.90M,60.30M,316.20M,247.20M,,0.10M,21.40M,5.50M,-15.90M,,563.40M,279.00M,5.50M,21.40M,-15.90M,-2.50M,-15.90M,260.60M,62.80M,197.80M,,197.80M,197.72M,327.00M,45.00M,282.00M,0.52,,0.5198,0.52,0.51,,0.5098,0.51,382.80M,394.00M,0.1
2015-09,1.249B,1.249B,451.20M,797.40M,235.30M,57.10M,292.40M,247.00M,,,21.60M,5.70M,-15.90M,,539.40M,258.00M,5.70M,21.60M,-15.90M,7.50M,-15.90M,249.60M,51.90M,197.70M,,197.70M,192.95M,313.70M,42.50M,271.20M,0.52,,0.5076,0.52,0.51,,0.4978,0.51,382.80M,389.20M,0.1
2015-06,1.222B,1.222B,440.70M,781.50M,232.40M,56.30M,288.70M,251.60M,,1.90M,21.80M,6.70M,-15.10M,,540.30M,241.20M,6.70M,21.80M,-15.10M,-0.10M,-15.10M,226.00M,68.00M,158.00M,,158.00M,156.53M,289.30M,41.50M,247.80M,0.41,,0.4062,0.41,0.4,,0.3963,0.4,389.90M,397.20M,0.1
2015-03,1.067B,1.067B,410.10M,657.30M,220.20M,55.20M,275.40M,248.70M,,-1.40M,18.50M,3.80M,-14.70M,,524.10M,133.20M,3.80M,18.50M,-14.70M,-2.50M,-14.70M,116.00M,35.80M,80.20M,,80.20M,80.75M,182.00M,47.50M,134.50M,0.2,,0.2014,0.2,0.19,,0.1913,0.19,407.10M,414.20M,0.1
2014-12,1.102B,1.102B,426.50M,675.10M,243.00M,40.60M,283.60M,233.50M,,-840.20M,16.70M,3.10M,-13.60M,,517.10M,158.00M,3.10M,16.70M,-13.60M,-838.80M,-13.60M,-694.40M,75.20M,-769.60M,,-769.60M,-225.29M,-633.50M,44.20M,-677.70M,-1.81,,-0.5302,-1.81,-1.81,,-0.5302,-1.81,425.30M,425.30M,0.1
2014-09,1.126B,1.126B,411.10M,714.80M,249.20M,55.00M,304.20M,253.20M,,15.80M,16.90M,2.70M,-14.20M,,557.40M,157.40M,2.70M,16.90M,-14.20M,22.40M,-14.20M,165.60M,62.00M,103.60M,,103.60M,94.90M,228.80M,46.30M,182.50M,0.23,,0.2106,0.23,0.23,,0.2109,0.23,448.40M,454.80M,0.1
2014-06,1.230B,1.230B,481.30M,748.20M,258.00M,60.60M,318.60M,255.50M,,137.10M,17.80M,2.10M,-15.70M,,574.10M,174.10M,2.10M,17.80M,-15.70M,136.10M,-15.70M,294.50M,73.40M,221.10M,,221.10M,117.54M,359.80M,47.50M,312.30M,0.47,,0.2498,0.47,0.46,,0.2427,0.46,470.30M,476.50M,
2014-03,1.170B,1.170B,450.00M,720.10M,273.40M,74.90M,348.30M,264.00M,,-114.00M,15.50M,2.10M,-13.40M,,612.30M,107.80M,2.10M,15.50M,-13.40M,53.60M,-13.40M,148.00M,37.40M,110.60M,,110.60M,71.61M,211.60M,48.10M,163.50M,0.23,,0.1498,0.23,0.22,,0.1415,0.22,486.20M,496.50M,
2013-12,1.274B,1.274B,470.00M,803.60M,283.20M,48.20M,331.40M,258.70M,,-18.10M,15.00M,2.60M,-12.40M,,590.10M,213.50M,2.60M,15.00M,-12.40M,-15.90M,-12.40M,185.20M,33.40M,151.80M,,151.80M,163.77M,254.90M,54.70M,200.20M,0.3,,0.324,0.3,0.3,,0.3235,0.3,498.20M,509.10M,
2013-09,1.186B,1.186B,439.10M,746.50M,269.50M,61.40M,330.90M,264.60M,,-6.00M,14.20M,2.30M,-11.90M,,595.50M,151.00M,2.30M,14.20M,-11.90M,-1.60M,-11.90M,137.50M,38.40M,99.10M,,99.10M,100.54M,192.30M,40.60M,151.70M,0.2,,0.2029,0.2,0.19,,0.1928,0.19,501.50M,508.60M,
2013-06,1.151B,1.151B,430.20M,720.50M,267.10M,49.20M,316.30M,257.70M,,-8.00M,14.90M,1.70M,-13.20M,,574.00M,146.50M,1.70M,14.90M,-13.20M,-7.40M,-13.20M,125.90M,28.00M,97.90M,,97.90M,102.96M,183.60M,42.80M,140.80M,0.19,,0.2001,0.19,0.19,,0.2,0.19,503.00M,506.30M,
2013-03,1.059B,1.059B,388.40M,670.80M,256.10M,58.50M,314.60M,262.20M,,-7.00M,14.30M,2.10M,-12.20M,,576.80M,94.00M,2.10M,14.30M,-12.20M,-4.90M,-12.20M,76.90M,-14.10M,91.00M,,91.00M,96.72M,143.00M,51.80M,91.20M,0.18,,0.1913,0.18,0.18,,0.1912,0.18,504.70M,512.70M,
2012-12,1.141B,1.141B,407.80M,733.00M,267.30M,53.90M,321.20M,275.10M,,-9.30M,12.30M,2.70M,-9.60M,,592.80M,140.20M,2.70M,12.30M,-9.60M,9.30M,-9.60M,139.90M,44.20M,95.70M,,95.70M,102.06M,202.20M,50.00M,152.20M,0.19,,0.2025,0.19,0.19,,0.2024,0.19,507.40M,513.90M,
2012-09,1.118B,1.118B,444.50M,673.80M,261.00M,49.40M,310.40M,288.20M,1.10M,-31.30M,12.80M,2.60M,-10.20M,,599.70M,74.10M,2.60M,12.80M,-10.20M,-25.10M,-10.20M,38.80M,22.00M,16.80M,,16.80M,37.14M,99.60M,48.00M,51.60M,0.03,,0.069,0.03,0.03,,0.0688,0.03,521.20M,524.50M,
2012-06,1.074B,1.074B,405.90M,667.90M,259.50M,48.80M,308.30M,268.70M,1.20M,-3.00M,13.50M,2.90M,-10.60M,,578.20M,89.70M,2.90M,13.50M,-10.60M,10.40M,-10.60M,89.50M,31.80M,57.70M,,57.70M,59.64M,149.50M,46.50M,103.00M,0.11,,0.1137,0.11,0.11,,0.1136,0.11,527.80M,531.80M,
2012-03,1.032B,1.032B,398.40M,634.10M,257.70M,54.70M,312.40M,269.60M,1.20M,-3.20M,14.20M,2.80M,-11.40M,,583.20M,50.90M,2.80M,14.20M,-11.40M,-16.20M,-11.40M,23.30M,7.00M,16.30M,,16.30M,18.54M,80.90M,43.40M,37.50M,0.03,,0.0342,0.03,0.03,,0.0342,0.03,527.20M,533.70M,
2011-12,1.121B,1.121B,421.80M,698.94M,257.34M,53.86M,311.20M,250.48M,,-0.539M,13.90M,2.50M,-11.40M,,557.54M,141.41M,2.50M,13.90M,-11.40M,-7.539M,-11.40M,122.47M,26.32M,96.15M,-0.024M,96.13M,96.55M,180.38M,44.01M,136.37M,0.18,0.0,0.1808,0.18,0.18,0.0,0.1808,0.18,526.22M,533.34M,
2011-09,1.106B,1.106B,394.19M,711.60M,254.93M,44.46M,299.39M,257.10M,1.263M,-21.09M,13.90M,2.20M,-11.70M,,557.75M,153.86M,2.20M,13.90M,-11.70M,-21.09M,-11.70M,121.07M,37.40M,83.67M,-0.008M,83.66M,98.23M,178.31M,43.34M,134.97M,0.16,0.0,0.1875,0.16,0.16,0.0,0.1872,0.16,529.29M,536.58M,
2011-06,1.121B,1.121B,398.38M,722.17M,246.64M,44.26M,290.90M,257.25M,1.332M,-2.857M,15.20M,2.60M,-12.60M,,549.48M,172.69M,2.60M,15.20M,-12.60M,-2.857M,-12.60M,157.23M,41.71M,115.52M,0.042M,115.56M,117.66M,214.32M,41.89M,172.43M,0.22,0.0,0.2239,0.22,0.21,0.0,0.2138,0.21,532.91M,546.45M,
2011-03,1.102B,1.102B,365.73M,735.88M,246.29M,44.92M,291.22M,261.98M,1.544M,-6.116M,6.50M,2.40M,-4.10M,,554.74M,181.15M,2.40M,6.50M,-4.10M,-6.116M,-4.10M,170.93M,41.27M,129.66M,0.09M,129.75M,134.39M,218.19M,40.76M,177.43M,0.24,0.0,0.2487,0.24,0.24,0.0,0.2485,0.24,530.79M,548.82M,
2010-12,1.190B,1.190B,397.92M,792.05M,257.72M,45.11M,302.83M,254.99M,0.942M,-10.41M,2.50M,2.50M,0.00,,558.76M,233.30M,2.50M,2.50M,0.00,-1.613M,0.00,231.68M,41.58M,190.11M,0.121M,190.23M,198.78M,277.12M,42.93M,234.18M,0.36,,0.3763,0.36,0.35,,0.3657,0.35,523.39M,543.73M,
2010-09,1.012B,1.012B,334.62M,677.79M,204.70M,43.77M,248.48M,231.15M,0.917M,-1.701M,2.60M,2.80M,0.20M,,480.54M,197.24M,2.80M,2.60M,0.20M,-1.701M,0.20M,195.74M,61.40M,134.34M,0.206M,134.54M,135.71M,237.96M,39.62M,198.34M,0.26,0.0,0.2622,0.26,0.25,0.0,0.2522,0.25,520.58M,534.88M,
2010-06,978.30M,978.30M,318.36M,659.94M,202.30M,45.88M,248.18M,224.77M,1.204M,2.595M,2.035M,2.70M,0.665M,,474.16M,185.78M,2.70M,2.035M,0.665M,2.595M,0.665M,189.04M,58.70M,130.34M,0.168M,130.51M,128.72M,228.56M,37.48M,191.08M,0.25,0.0,0.2466,0.25,0.24,0.0,0.2367,0.24,524.46M,538.95M,
2010-03,912.62M,912.62M,300.60M,612.02M,192.38M,43.14M,235.51M,206.99M,1.137M,-7.505M,1.60M,2.50M,0.90M,,443.64M,168.38M,2.50M,1.60M,0.90M,-7.505M,0.90M,161.73M,-2.879M,164.61M,-1.495M,163.12M,167.99M,198.60M,35.27M,163.33M,0.31,0.0,0.3194,0.31,0.3,0.0,0.3091,0.3,521.14M,536.72M,
2009-12,941.45M,941.45M,310.21M,631.25M,211.29M,41.20M,252.48M,187.21M,1.157M,-185.54M,,,0.347M,,439.85M,191.40M,,,0.347M,-187.79M,0.347M,3.948M,-17.18M,21.13M,1.771M,22.90M,143.51M,227.96M,36.57M,191.40M,0.04,0.0,0.2706,0.04,0.04,0.0,0.2642,0.04,523.01M,538.00M,
2009-09,823.91M,823.91M,280.63M,543.28M,183.42M,39.88M,223.30M,185.20M,1.33M,-4.493M,,,1.733M,1.00M,410.84M,132.45M,,,1.733M,-4.493M,1.733M,129.69M,45.90M,83.79M,0.00,83.79M,86.69M,168.90M,36.45M,132.45M,0.16,0.0,0.1655,0.16,0.16,0.0,0.1654,0.16,523.88M,538.13M,
2009-06,786.36M,786.36M,279.98M,506.38M,176.56M,39.18M,215.73M,183.89M,3.539M,-7.529M,,2.898M,2.898M,,403.16M,103.22M,2.898M,,2.898M,-9.154M,2.898M,96.96M,82.19M,14.77M,0.00,14.77M,19.66M,141.04M,37.82M,103.22M,0.03,0.0,0.0394,0.03,0.03,0.0,0.0392,0.03,523.10M,532.85M,
2009-03,764.18M,764.18M,261.89M,502.29M,187.86M,39.21M,227.08M,185.40M,4.39M,-4.229M,,,0.0021M,,416.86M,85.43M,,,0.0021M,-5.915M,0.0021M,81.46M,85.92M,-4.46M,0.00,-4.46M,-1.711M,122.96M,37.54M,85.43M,-0.01,0.0,-0.0048,-0.01,-0.01,0.0,-0.0048,-0.01,524.43M,524.43M,
2008-12,923.49M,923.49M,304.27M,619.22M,,,99.19M,180.13M,5.19M,9.00M,,,,144.84M,429.35M,189.87M,,,,,,184.77M,52.30M,132.48M,,132.48M,126.02M,227.70M,37.83M,189.87M,0.25,0.0,0.2375,0.25,0.25,0.0,0.2376,0.25,516.67M,519.94M,
2008-09,946.96M,946.96M,307.58M,639.38M,,,238.22M,194.01M,5.19M,,,,,,437.43M,201.96M,,,,,,211.70M,63.19M,148.51M,,148.51M,148.51M,240.82M,38.86M,201.96M,0.27,0.0,0.27,0.27,0.27,0.0,0.27,0.27,540.98M,554.35M,
2008-06,879.03M,879.03M,289.28M,589.75M,,,225.95M,186.36M,7.999M,-9.00M,,,,9.00M,429.30M,160.45M,,,,-10.50M,,172.14M,51.73M,120.41M,,120.41M,126.71M,200.82M,40.38M,160.45M,0.23,0.0,0.2419,0.23,0.22,0.0,0.2313,0.22,528.96M,559.33M,
2008-03,822.89M,822.89M,264.84M,558.05M,,,219.58M,170.65M,25.13M,,,,,,415.36M,142.69M,,,,,,160.28M,49.93M,110.36M,,110.36M,110.36M,198.08M,55.39M,142.69M,0.21,0.0,0.21,0.21,0.2,0.0,0.2,0.2,523.67M,560.41M,
2007-12,809.18M,809.18M,262.47M,546.71M,,,213.48M,165.28M,20.19M,6.555M,,,,-0.01M,398.93M,147.78M,,,,-0.19M,,167.99M,45.09M,122.90M,,122.90M,118.11M,197.70M,49.92M,147.78M,0.23,0.0,0.2208,0.23,0.21,0.0,0.2016,0.21,521.79M,568.24M,
2007-09,735.05M,735.05M,232.29M,502.76M,,,206.94M,167.89M,20.23M,5.062M,,,,-5.262M,389.80M,112.96M,,,,5.062M,,130.71M,45.61M,85.10M,,85.10M,81.80M,161.02M,48.06M,112.96M,0.17,0.0,0.1636,0.17,0.15,0.0,0.1441,0.15,515.66M,561.40M,
2007-06,664.92M,664.92M,220.77M,444.15M,,,184.84M,148.70M,22.74M,-1.642M,,,,1.642M,357.92M,86.22M,,,,5.103M,,118.48M,32.30M,86.18M,,86.18M,87.37M,135.16M,48.93M,86.22M,0.16,0.0,0.1622,0.16,0.15,0.0,0.1521,0.15,544.22M,580.74M,
2007-03,626.94M,626.94M,212.11M,414.83M,,,177.91M,141.09M,22.74M,-12.58M,,,,12.28M,354.03M,60.80M,,,,-12.58M,,96.41M,26.76M,66.65M,,66.65M,75.74M,107.06M,46.26M,60.80M,0.12,0.0,0.136,0.12,0.11,0.0,0.125,0.11,569.40M,604.90M,
2006-12,595.83M,595.83M,190.24M,405.60M,,,178.46M,126.95M,22.39M,-15.45M,,,,0.00,327.80M,77.80M,,,,-15.45M,,92.43M,21.44M,70.98M,,70.98M,82.85M,122.22M,44.42M,77.80M,0.13,0.0,0.1508,0.13,0.13,0.0,0.1508,0.13,569.23M,569.23M,
2006-09,573.57M,573.57M,190.18M,383.38M,,,163.91M,123.39M,23.03M,-15.31M,,,,,310.33M,73.05M,,,,-15.31M,,85.54M,27.27M,58.27M,,58.27M,68.70M,117.14M,44.08M,73.05M,0.1,0.0,0.1183,0.1,0.1,0.0,0.1174,0.1,568.56M,599.63M,
2006-06,567.47M,567.47M,188.92M,378.55M,,,160.17M,116.22M,23.19M,-1.288B,,,,1.283B,1.583B,-1.204B,,,,-1.288B,,-1.186B,20.83M,-1.206B,,-1.206B,-433.79M,-1.161B,43.16M,-1.204B,-2.13,0.0,-0.7651,-2.13,-2.13,0.0,-0.7651,-2.13,566.10M,566.10M,
2006-03,566.71M,566.71M,184.95M,381.77M,,,152.53M,113.69M,23.22M,-1.404M,,,,,289.44M,92.33M,,,,-1.404M,,110.60M,34.84M,75.76M,,75.76M,76.72M,134.16M,41.83M,92.33M,0.13,0.0,0.1317,0.13,0.13,0.0,0.1316,0.13,565.93M,603.59M,
2005-12,575.46M,575.46M,182.06M,393.41M,,,143.07M,99.64M,23.73M,-13.62M,,,,,272.39M,121.02M,,,,-11.92M,,132.93M,28.07M,104.86M,,104.86M,115.60M,160.21M,39.19M,121.02M,0.18,0.0,0.199,0.18,0.17,0.0,0.1876,0.17,565.87M,608.73M,
2005-09,546.35M,546.35M,171.76M,374.59M,,,145.35M,94.69M,22.99M,-1.91M,,,,,263.03M,111.57M,,,,-1.91M,,124.37M,40.88M,83.50M,,83.50M,84.78M,148.10M,36.53M,111.57M,0.15,0.0,0.1523,0.15,0.14,0.0,0.1421,0.14,561.78M,606.33M,
2005-06,493.03M,493.03M,155.72M,337.31M,,,119.54M,84.09M,19.91M,4.66M,,,,,223.55M,113.77M,,,,4.66M,,130.75M,42.59M,88.16M,,88.16M,85.02M,146.67M,32.91M,113.77M,0.16,0.0,0.1543,0.16,0.15,0.0,0.1447,0.15,546.66M,592.23M,
2005-03,449.11M,449.11M,143.65M,305.46M,,,107.85M,78.14M,18.54M,,,,,,204.53M,100.93M,,,,,,111.23M,35.79M,75.44M,,75.44M,75.44M,131.21M,30.28M,100.93M,0.14,0.0,0.14,0.14,0.13,0.0,0.13,0.13,542.65M,587.66M,
2004-12,430.05M,430.05M,131.31M,298.75M,,,140.01M,94.84M,-15.43M,0.00,,,,,214.33M,84.41M,,,,0.00,,90.44M,31.96M,58.48M,,58.48M,58.48M,76.78M,-7.633M,84.41M,0.11,0.0,0.11,0.11,0.1,0.0,0.1,0.1,538.27M,632.60M,
2004-09,375.01M,375.01M,113.03M,261.98M,,,94.38M,64.88M,33.02M,-1.716M,,,,,192.28M,69.70M,,,,-1.716M,,73.40M,24.64M,48.76M,,48.76M,49.90M,113.68M,43.99M,69.70M,0.09,0.0,0.0921,0.09,0.09,0.0,0.092,0.09,533.45M,562.72M,
2004-06,306.90M,306.90M,96.77M,210.13M,,,93.03M,58.09M,35.06M,-32.86M,,,,5.087M,191.27M,18.86M,,,,-32.86M,,5.082M,7.472M,-12.55M,,-12.55M,7.161M,66.93M,48.07M,18.86M,-0.02,0.0,0.0189,-0.02,-0.02,0.0,0.0189,-0.02,506.19M,506.19M,
2004-03,224.05M,224.05M,74.02M,150.03M,,,52.40M,46.63M,4.129M,,,,,,103.16M,46.87M,,,,,,49.36M,15.82M,33.54M,,33.54M,33.54M,60.07M,13.20M,46.87M,0.09,0.0,0.09,0.09,0.08,0.0,0.08,0.08,394.50M,421.86M,
2003-12,206.96M,206.96M,70.63M,136.33M,,,51.55M,44.70M,5.375M,-15.19M,,,,,101.62M,34.71M,,,,-15.19M,,20.23M,5.498M,14.73M,,14.73M,25.80M,45.40M,10.69M,34.71M,0.02,0.0,0.0484,0.02,0.01,0.0,0.0342,0.01,389.42M,457.82M,
2003-09,172.13M,172.13M,62.94M,109.19M,,,41.23M,44.93M,1.998M,-4.765M,,,,,88.16M,21.02M,,,,-4.765M,,14.90M,7.70M,7.205M,,7.205M,10.06M,38.71M,17.69M,21.02M,0.02,0.0,0.0274,0.02,0.02,0.0,0.027,0.02,384.80M,408.08M,
2003-06,165.10M,165.10M,62.43M,102.67M,,,41.01M,43.01M,7.803M,9.275M,,,,,91.82M,10.86M,,,,9.275M,,17.80M,4.217M,13.58M,,13.58M,6.501M,31.35M,20.50M,10.86M,0.04,0.0,0.0213,0.04,0.03,0.0,0.0123,0.03,379.03M,399.54M,
2003-03,157.21M,157.21M,61.35M,95.86M,,,40.46M,43.47M,7.522M,4.352M,,,,,91.45M,4.408M,,,,4.352M,,6.063M,2.38M,3.683M,,3.683M,1.039M,25.58M,21.17M,4.408M,0.01,0.0,0.003,0.01,0.01,0.0,0.0032,0.01,375.55M,390.95M,
2002-12,155.27M,155.27M,63.09M,92.17M,,,42.08M,44.28M,-3.336M,2.601M,,,,,80.52M,11.65M,,,,2.601M,,9.952M,1.50M,8.452M,,8.452M,6.243M,20.04M,8.393M,11.65M,0.03,0.0,0.0241,0.03,0.03,0.0,0.0246,0.03,372.51M,412.29M,
