,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,145.40M,,,,,,,52.00M,52.00M,,,52.70M,,9.30M,1.40M,-5.10M,20.00M,,,-159.30M,-143.00M,116.40M,-24.10M,-24.10M,,50.20M,-124.90M,-4.70M,-103.50M,,,26.90M,-100.40M,-73.50M,-66.20M,-66.20M,0.00,-139.70M,1.521B,-126.80M,7.40M,1.402B,26.90M,,,-100.40M
2020-06,61.20M,,,,,,,52.00M,52.00M,,,44.00M,,4.00M,-77.90M,-1.60M,15.00M,,,0.90M,-63.60M,97.60M,-22.00M,-22.00M,,0.00,42.60M,,20.60M,0.00,0.00,0.50M,-2.10M,-1.60M,-66.30M,-66.30M,4.80M,-63.10M,1.460B,55.10M,6.30M,1.521B,0.50M,,0.00,-2.10M
2020-03,20.40M,,,,,,,54.00M,54.00M,,,42.00M,,20.80M,202.60M,-37.10M,-8.60M,,,-21.90M,135.00M,272.20M,-21.80M,-21.80M,,-0.20M,190.90M,,168.90M,0.00,0.00,27.10M,-203.20M,-176.10M,-65.50M,-65.50M,,-241.60M,1.276B,199.50M,-16.20M,1.460B,27.10M,,0.00,-203.20M
2019-12,168.40M,,,,0.00,,,54.80M,54.80M,,,55.10M,,9.90M,-243.30M,-66.90M,-10.00M,,,124.80M,-195.40M,95.70M,-26.10M,-26.10M,,-7.30M,209.30M,,175.90M,0.00,0.00,0.20M,-200.00M,-199.80M,-63.70M,-63.70M,0.00,-263.50M,1.266B,8.10M,2.40M,1.276B,0.20M,0.00,0.00,-200.00M
2019-09,99.30M,,,,15.30M,,,53.80M,53.80M,,,57.50M,,13.90M,22.90M,21.40M,17.80M,,,-116.90M,-54.80M,185.00M,-28.30M,-28.30M,,0.00,-118.90M,,-147.20M,-104.80M,-104.80M,25.70M,-51.10M,-25.40M,-64.70M,-64.70M,-14.60M,-209.50M,1.443B,-171.70M,-5.70M,1.266B,25.70M,495.20M,-600.00M,-51.10M
2019-06,46.20M,,,,,,,53.00M,53.00M,,,55.70M,,14.30M,-6.30M,-46.10M,-30.40M,,,2.40M,-80.40M,88.80M,-27.30M,-27.30M,,-270.90M,-154.60M,,-452.80M,0.00,0.00,0.20M,-300.90M,-300.70M,-65.50M,-65.50M,,-366.20M,2.173B,-730.20M,0.50M,1.443B,0.20M,,0.00,-300.90M
2019-03,31.10M,,,,,,,48.70M,48.70M,,,33.90M,,7.40M,108.60M,-9.10M,-17.80M,,,-43.40M,38.30M,159.40M,-27.90M,-27.90M,,0.00,-76.20M,,-104.10M,-350.00M,-350.00M,29.50M,-2.90M,26.60M,-66.20M,-66.20M,,-389.60M,2.506B,-334.30M,1.60M,2.173B,29.50M,,-350.00M,-2.90M
2018-12,192.20M,,,,,,,51.30M,51.30M,,,36.90M,,6.10M,-104.60M,-114.80M,34.20M,,,68.50M,-116.70M,212.40M,-36.50M,-36.50M,,-27.60M,-101.10M,,-165.20M,0.00,0.00,0.10M,-1.10M,-1.00M,-62.30M,-62.30M,-1.20M,-64.50M,2.523B,-17.30M,0.30M,2.506B,0.10M,0.00,0.00,-1.10M
2018-09,223.80M,,,,,,,48.30M,48.30M,,,53.20M,,2.00M,53.40M,70.40M,14.20M,,,-258.00M,-120.00M,207.30M,-31.60M,-31.60M,,0.00,-321.70M,,-353.30M,0.00,0.00,27.30M,-1.30M,26.00M,-62.10M,-62.10M,-1.60M,-37.70M,2.712B,-183.70M,-5.50M,2.523B,27.30M,0.00,0.00,-1.30M
2018-06,116.50M,,,,,,,55.20M,55.20M,,,56.60M,,-0.20M,-23.30M,-14.80M,26.00M,,,-45.70M,-57.80M,170.30M,-37.10M,-37.10M,,-9.30M,17.50M,,-28.90M,0.00,0.00,0.20M,0.00,0.20M,-62.80M,-62.80M,-0.20M,-62.80M,2.645B,78.60M,-11.60M,2.712B,0.20M,,0.00,0.00
2018-03,34.40M,,,,,,,55.70M,55.70M,,,70.40M,,1.70M,170.80M,-11.70M,-82.30M,,,32.10M,108.90M,271.10M,-42.20M,-42.20M,,-22.20M,1.177B,,1.112B,0.00,0.00,29.30M,-754.20M,-724.90M,-62.10M,-62.10M,-16.60M,-803.60M,2.059B,579.70M,6.20M,2.645B,29.30M,,0.00,-754.20M
2017-12,-148.10M,,,,,,,55.90M,55.90M,,,36.40M,,-7.80M,-128.10M,-8.20M,19.60M,,,532.50M,415.80M,212.60M,-53.60M,-53.60M,,0.00,-171.30M,,-224.90M,,,0.10M,-330.30M,-330.20M,-36.90M,-36.90M,,-350.20M,2.418B,-362.50M,3.70M,2.059B,0.10M,,,-330.30M
2017-09,165.70M,,,,,,,57.60M,57.60M,,,45.00M,,-4.90M,27.10M,4.80M,5.70M,,,-99.60M,-62.00M,201.40M,-33.30M,-33.30M,,-14.70M,-31.60M,,-79.60M,,,28.90M,-140.20M,-111.30M,-37.70M,-37.70M,,-149.00M,2.441B,-27.20M,3.90M,2.418B,28.90M,,,-140.20M
2017-06,179.80M,,,,,,,56.30M,56.30M,,,44.10M,,-0.80M,-78.20M,49.90M,-10.20M,,,57.80M,19.30M,298.70M,-32.20M,-32.20M,,62.70M,-19.30M,,11.20M,,,1.80M,-125.60M,-123.80M,-37.80M,-37.80M,,-161.60M,2.291B,148.30M,2.20M,2.441B,1.80M,,,-125.60M
2017-03,108.80M,,,,,,,55.80M,55.80M,,,62.00M,,-1.00M,383.00M,-3.50M,-27.30M,,,-31.20M,321.00M,546.60M,-32.10M,-32.10M,,0.00,22.40M,,-9.70M,,,33.70M,-129.70M,-96.00M,-38.00M,-38.00M,,-134.00M,1.881B,402.90M,7.20M,2.291B,33.70M,,,-129.70M
2016-12,188.90M,,-1.60M,,-1.60M,,,54.80M,54.80M,55.90M,,62.50M,,-158.60M,-300.10M,-21.40M,62.70M,,,245.10M,-13.70M,350.30M,-51.80M,-51.80M,,-16.30M,-43.00M,2.40M,-108.70M,0.00,0.00,2.60M,-0.70M,1.90M,-38.10M,-38.10M,0.00,-36.20M,1.689B,205.40M,-14.20M,1.881B,2.60M,0.00,0.00,-0.70M
