,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,19.42B,19.42B,15.28B,4.142B,3.851B,3.851B,21.00M,,1.327B,,-1.327B,,3.851B,291.00M,,1.327B,-1.327B,-624.00M,-1.327B,-1.66B,-501.00M,-1.16B,-35.00M,,51.00M,-1.124B,1.469B,1.802B,-333.00M,,-0.01,,-0.1317,-0.14,,-0.01,,-0.1317,2020-09,8.756B,8.756B,0.01,,2020-09,AOR,
2020-06,17.75B,17.75B,15.08B,2.667B,3.643B,3.643B,-1.665B,,997.00M,1.955B,958.00M,,3.643B,-976.00M,1.955B,997.00M,958.00M,-2.32B,958.00M,-2.339B,-199.00M,-2.139B,7.00M,,145.00M,-470.52M,256.00M,1.598B,-1.342B,,0.01,,-0.0959,-0.26,,0.01,,-0.0959,2020-06,8.75B,8.75B,0.01,,2020-06,AOR,
2020-03,20.52B,20.52B,15.70B,4.827B,3.701B,3.701B,,,794.00M,,-794.00M,,3.701B,1.126B,,794.00M,-794.00M,6.141B,-794.00M,6.475B,63.00M,6.412B,-178.00M,,-34.00M,6.377B,8.60B,1.331B,7.269B,,-0.02,,0.72,0.70,,-0.02,,0.72,2020-03,8.742B,8.749B,0.01,,2020-03,AOR,
2019-12,26.24B,26.24B,21.61B,4.626B,4.411B,4.411B,-259.00M,,-1.577B,1.089B,2.666B,,4.411B,215.00M,1.089B,-1.577B,2.666B,-1.31B,2.666B,1.571B,727.00M,844.00M,-123.00M,,7.00M,1.040B,1.40B,1.406B,-6.00M,,-0.02,,0.1016,0.06,,-0.02,,0.0916,2019-12,8.733B,8.733B,0.01,,2019-12,AOR,
2019-09,23.36B,23.36B,17.33B,6.032B,4.756B,4.756B,-694.00M,,1.308B,,-1.308B,,4.756B,1.276B,,1.308B,-1.308B,-1.218B,-1.308B,-1.249B,41.00M,-1.29B,-8.093B,,-40.00M,-823.38M,1.559B,1.50B,59.00M,,-0.93,,-0.0920,-1.08,,-0.93,,-0.0920,2019-09,8.73B,8.73B,0.01,,2019-09,AOR,Restated
2019-06,23.41B,23.41B,17.41B,6.001B,4.063B,4.063B,-783.00M,,929.00M,23.00M,-906.00M,,4.063B,1.938B,23.00M,929.00M,-906.00M,-1.33B,-906.00M,-296.00M,-181.00M,-115.00M,219.00M,,23.00M,479.59M,1.96B,1.327B,633.00M,,0.03,,0.0355,-0.01,,0.03,,0.0355,2019-06,8.724B,8.724B,0.01,,2019-06,AOR,Restated
2019-03,22.20B,22.20B,16.21B,5.994B,4.013B,4.013B,,,1.065B,,-1.065B,,4.013B,1.981B,,1.065B,-1.065B,206.00M,-1.065B,1.122B,140.00M,983.00M,2.663B,,-57.00M,925.00M,3.549B,1.362B,2.187B,,0.31,,0.10,0.41,,0.30,,0.10,2019-03,8.711B,8.726B,0.01,,2019-03,AOR,Restated
2018-12,26.50B,26.50B,23.56B,2.944B,4.411B,4.411B,1.071B,,-1.801B,,2.363B,,4.411B,-1.467B,,-1.801B,2.363B,-565.00M,2.363B,331.00M,-367.00M,697.00M,163.00M,,-99.00M,-183.83M,15.00M,1.485B,-1.47B,,-0.01,,-0.0101,0.07,,-0.01,,-0.0101,2018-12,8.682B,8.682B,0.01,,2018-12,AOR,Restated
2018-09,23.39B,23.39B,17.85B,5.545B,4.81B,4.81B,-21.97B,,1.155B,,-1.155B,,4.81B,735.00M,,1.155B,-1.155B,-22.54B,-1.155B,-22.96B,52.00M,-23.01B,155.00M,,90.00M,-994.95M,-20.50B,1.308B,-21.81B,,0.02,,-0.1162,-2.62,,0.02,,-0.1162,2018-09,8.689B,8.689B,0.12,,2018-09,AOR,Restated
2018-06,29.16B,29.16B,21.75B,7.413B,5.015B,5.015B,0.00,,1.291B,,-1.291B,,5.015B,2.398B,,1.291B,-1.291B,130.00M,-1.291B,1.236B,504.00M,732.00M,-63.00M,,132.00M,863.00M,4.442B,1.915B,2.527B,,-0.01,,0.08,0.07,,-0.01,,0.08,2018-06,8.688B,8.699B,0.12,,2018-06,AOR,Restated
2018-03,27.79B,27.79B,20.91B,6.877B,4.718B,4.718B,,,1.282B,,-1.282B,,4.718B,2.159B,,1.282B,-1.282B,-602.00M,-1.282B,277.00M,-50.00M,328.00M,-1.441B,,-34.00M,294.00M,3.433B,1.874B,1.559B,,-0.17,,0.03,-0.14,,-0.17,,0.03,2018-03,8.683B,8.696B,0.12,,2018-03,AOR,Restated
2017-12,12.64B,12.64B,13.21B,-574.00M,,13.24B,-579.00M,,-2.035B,,2.393B,,13.24B,-13.82B,,-2.035B,2.393B,-1.738B,2.393B,-13.16B,-2.115B,-11.05B,178.00M,,53.00M,-10.51B,-14.43B,766.00M,-15.20B,,0.02,,-1.094,-1.13,,0.02,,-1.094,2017-12,8.681B,8.681B,0.12,,2017-12,AOR,Restated
