,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,39.16B,46.88B,86.04B,16.88B,12.04B,27.71B,8.819B,6.106B,,14.92B,,,132.27B,,,,,79.50B,,,79.50B,-34.68B,44.83B,25.28B,9.909B,35.19B,0.00,15.57B,,11.37B,254.32B,,2020-09,13.94B,,13.94B,19.52B,33.46B,,0.00,,5.977B,5.977B,5.977B,16.53B,55.97B,73.49B,,73.49B,,,30.81B,59.25B,163.55B,219.52B,,2020-09,,82.12B,6.00M,,,,,-9.498B,33.27B,,2020-09,AOR,
2020-06,41.43B,47.12B,88.55B,15.46B,12.42B,26.71B,8.976B,6.275B,,15.25B,,,134.13B,,,,,78.82B,,,78.82B,-33.32B,45.50B,24.95B,10.17B,35.12B,0.00,15.56B,,10.66B,256.49B,,2020-06,13.47B,,13.47B,19.93B,33.40B,,505.00M,,8.554B,9.059B,9.059B,16.77B,59.22B,72.82B,,72.82B,,,30.91B,58.28B,162.01B,221.23B,,2020-06,,82.32B,6.00M,,,,,-10.19B,33.67B,,2020-06,AOR,
2020-03,47.29B,42.30B,89.58B,15.88B,12.48B,27.43B,9.192B,6.265B,,15.46B,,,136.63B,,,,,78.43B,,,78.43B,-32.45B,45.98B,26.60B,10.38B,36.98B,0.00,16.14B,,10.46B,262.02B,,2020-03,15.21B,,15.21B,19.82B,35.03B,,1.946B,,16.18B,18.12B,18.12B,16.65B,69.80B,67.03B,,67.03B,,,31.10B,57.23B,155.36B,225.16B,,2020-03,,82.52B,6.00M,,,,,-10.82B,35.28B,,2020-03,AOR,
2019-12,36.39B,48.52B,84.92B,15.73B,12.19B,27.05B,8.771B,5.333B,,14.10B,,,139.32B,0.00,608.00M,7.973B,65.41B,2.167B,,2.165B,78.33B,-32.14B,46.19B,26.73B,10.65B,37.39B,0.00,16.80B,,9.889B,266.05B,,2019-12,15.93B,,15.93B,20.51B,36.43B,,3.008B,,19.06B,22.07B,22.07B,17.61B,76.12B,68.81B,3.162B,71.97B,,,31.69B,56.41B,160.07B,236.19B,,2019-12,,82.80B,6.00M,,,,,-11.73B,28.32B,,2019-12,AOR,
2019-09,27.81B,48.22B,76.04B,15.55B,12.02B,26.73B,8.983B,6.025B,195.00M,15.20B,,,134.97B,,,,,78.17B,,,78.17B,-32.31B,45.86B,26.67B,10.77B,37.43B,0.00,17.13B,,9.57B,263.01B,,2019-09,14.49B,,14.49B,19.04B,33.53B,,2.997B,,14.05B,17.04B,17.04B,15.60B,66.18B,76.20B,3.169B,79.37B,,,31.19B,57.11B,167.67B,233.86B,,2019-09,,82.94B,6.00M,,,,,-11.36B,27.94B,,2019-09,AOR,Restated
2019-06,31.97B,39.38B,71.35B,19.43B,11.87B,30.19B,10.85B,8.928B,189.00M,19.97B,,,134.91B,,,,,89.82B,,,89.82B,-36.02B,53.80B,52.27B,16.65B,68.93B,0.00,19.18B,,11.89B,312.11B,,2019-06,17.04B,,17.04B,20.90B,37.94B,,3.002B,,12.62B,15.62B,15.62B,18.58B,72.14B,90.16B,4.074B,94.23B,,,32.65B,56.96B,183.84B,255.98B,,2019-06,,83.14B,6.00M,,,,,-12.85B,35.82B,,2019-06,AOR,Restated
2019-03,34.40B,38.28B,72.67B,26.63B,6.794B,33.42B,10.41B,8.836B,171.00M,19.42B,507.00M,,140.39B,,,,,90.05B,,,90.05B,-35.77B,54.28B,53.19B,17.05B,70.25B,0.00,19.37B,,11.41B,315.08B,,2019-03,17.06B,94.00M,17.15B,20.22B,37.38B,,2.998B,,12.96B,15.95B,15.95B,21.32B,74.66B,91.57B,4.18B,95.75B,,,32.86B,55.75B,184.78B,259.44B,,2019-03,,83.33B,6.00M,-16.00M,-7.708B,-5.81B,49.00M,-13.48B,35.16B,,2019-03,AOR,Restated
2018-12,31.12B,33.51B,64.63B,18.44B,11.72B,29.49B,8.057B,5.746B,,13.80B,,,173.40B,0.00,700.00M,8.608B,64.57B,-728.00M,,2.646B,75.80B,-32.19B,43.61B,33.97B,12.18B,46.15B,0.00,17.43B,,12.12B,311.07B,,2018-12,13.83B,,13.83B,18.98B,32.81B,,3.005B,,9.769B,12.77B,12.77B,34.86B,80.44B,90.82B,0.00,90.82B,,,31.93B,56.40B,179.15B,259.59B,,2018-12,,83.92B,6.00M,,,,,-14.41B,30.98B,,2018-12,AOR,Restated
2018-09,,34.76B,61.69B,28.33B,6.115B,34.45B,11.19B,9.231B,217.00M,20.64B,,,126.09B,,,,,,,,87.52B,-36.88B,50.64B,60.38B,18.84B,79.21B,0.00,20.90B,,10.35B,311.69B,,2018-09,15.75B,1.054B,16.80B,20.58B,37.38B,,6.017B,,9.189B,15.21B,15.21B,21.29B,73.88B,99.76B,,99.76B,,,34.34B,55.49B,189.98B,263.85B,,2018-09,,84.20B,6.00M,-36.00M,-7.181B,-6.04B,27.00M,-13.23B,31.45B,,2018-09,AOR,Restated
2018-06,27.67B,36.61B,64.28B,29.18B,6.505B,35.69B,10.81B,9.427B,234.00M,20.47B,,,130.40B,,,,,,,,87.22B,-36.35B,50.87B,82.46B,19.73B,102.19B,,20.79B,,10.89B,342.77B,,2018-06,15.03B,1.053B,16.08B,20.70B,36.78B,,6.028B,,8.39B,14.42B,14.42B,18.32B,69.51B,101.15B,,101.15B,,,39.69B,57.28B,201.50B,271.02B,,2018-06,,84.47B,6.00M,21.00M,-8.043B,-5.446B,36.00M,-13.43B,55.07B,,2018-06,AOR,Restated
