,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,-1.159B,-21.00M,769.00M,0.00,577.00M,1.325B,1.374B,428.00M,1.802B,1.802B,-501.00M,0.00,1.41B,-1.475B,472.00M,-213.00M,,62.00M,-1.154B,128.00M,1.335B,2020-09,-654.00M,226.00M,-401.00M,-27.00M,-247.00M,,60.00M,-740.00M,2020-09,-2.442B,-786.00M,-3.228B,,,,,,-88.00M,-88.00M,276.00M,,2020-09,41.43B,-2.475B,39.16B,,2020-09,-31.00M,,224.00M,-2.666B,,2020-09,AOR,
2020-06,-2.139B,-110.00M,-1.843B,0.00,613.00M,-1.34B,1.29B,308.00M,1.598B,1.598B,-199.00M,1.717B,-142.00M,313.00M,248.00M,-1.429B,,513.00M,-355.00M,14.00M,-1.158B,2020-06,-625.00M,323.00M,-264.00M,-38.00M,365.00M,,-773.00M,-667.00M,2020-06,-1.999B,-1.507B,-3.506B,,,,,,-235.00M,-235.00M,-339.00M,,2020-06,47.77B,-6.382B,41.43B,,2020-06,-477.00M,,14.10B,-16.10B,,2020-06,AOR,
2020-03,6.411B,-12.37B,5.874B,0.00,553.00M,-5.945B,991.00M,340.00M,1.331B,1.331B,63.00M,,1.052B,-503.00M,-978.00M,-1.256B,,-12.00M,-2.749B,-67.00M,-214.00M,2020-03,-1.087B,731.00M,-296.00M,-60.00M,20.48B,,-906.00M,19.09B,2020-03,-5.778B,-1.905B,-7.683B,,,,,,-89.00M,-89.00M,-147.00M,,2020-03,37.08B,10.95B,47.77B,,2020-03,,,125.00M,-5.903B,,2020-03,AOR,
2019-12,845.00M,207.00M,-230.00M,0.00,854.00M,831.00M,1.057B,349.00M,1.406B,1.406B,727.00M,2.00M,8.00M,-994.00M,1.004B,3.307B,,383.00M,3.70B,-257.00M,6.739B,2019-12,-1.712B,922.00M,-716.00M,-74.00M,108.00M,,4.279B,3.889B,2019-12,-2.355B,465.00M,-1.89B,,,,,,-238.00M,-238.00M,55.00M,,2019-12,27.81B,8.548B,36.44B,,2019-12,-36.00M,,736.00M,-3.091B,,2019-12,AOR,
2019-09,-1.29B,-46.00M,176.00M,0.00,480.00M,610.00M,1.004B,496.00M,1.50B,1.50B,40.00M,740.00M,1.602B,-1.161B,-162.00M,149.00M,,227.00M,-947.00M,-54.00M,1.841B,2019-09,-1.296B,884.00M,-345.00M,-67.00M,1.65B,,545.00M,1.668B,2019-09,-7.321B,249.00M,-7.072B,,,,,,-87.00M,-87.00M,-470.00M,,2019-09,28.83B,-888.00M,27.81B,,2019-09,3.13B,,-13.00M,-7.308B,,2019-09,AOR,Restated
2019-06,-114.00M,39.00M,74.00M,0.00,504.00M,617.00M,970.00M,357.00M,1.327B,1.327B,-181.00M,744.00M,387.00M,-1.241B,-786.00M,1.01B,,132.00M,-885.00M,-1.038B,70.00M,2019-06,-1.623B,844.00M,-707.00M,-72.00M,2.288B,,-2.90B,-108.00M,2019-06,-1.891B,11.00M,-1.88B,,,,,,-236.00M,-236.00M,-515.00M,,2019-06,35.50B,-6.596B,28.83B,,2019-06,-3.732B,,731.00M,-2.622B,,2019-06,AOR,Restated
2019-03,982.00M,-253.00M,-20.00M,0.00,514.00M,241.00M,995.00M,367.00M,1.362B,1.362B,140.00M,,-609.00M,545.00M,-1.165B,-116.00M,,-680.00M,-1.416B,-298.00M,122.00M,2019-03,-1.464B,1.068B,-327.00M,-69.00M,569.00M,,658.00M,3.49B,2019-03,-2.815B,-445.00M,-3.26B,,,,,,-88.00M,-88.00M,-113.00M,,2019-03,35.55B,-123.00M,35.50B,,2019-03,,,731.00M,-3.546B,,2019-03,AOR,Restated
2018-12,698.00M,-759.00M,,0.00,778.00M,19.00M,1.062B,423.00M,1.485B,1.485B,-367.00M,163.00M,2.224B,635.00M,1.091B,1.28B,,669.00M,3.675B,1.023B,8.567B,2018-12,-2.433B,1.715B,-647.00M,-71.00M,2.948B,,4.566B,6.644B,2018-12,-1.823B,-2.442B,-4.265B,,6.00M,-11.00M,,,-1.192B,-1.192B,347.00M,,2018-12,22.05B,9.258B,31.12B,,2018-12,886.00M,,771.00M,-2.594B,,2018-12,AOR,Restated
2018-09,-22.84B,-463.00M,,0.00,-4.251B,-4.714B,717.00M,591.00M,1.308B,1.308B,6.00M,21.97B,1.346B,-1.355B,68.00M,474.00M,,-105.00M,-918.00M,1.038B,-2.914B,2018-09,-1.07B,607.00M,-394.00M,-69.00M,3.115B,,4.211B,6.199B,2018-09,501.00M,150.00M,651.00M,,-6.00M,0.00,,,-1.046B,-1.046B,-919.00M,,2018-09,27.54B,-5.336B,22.05B,,2018-09,-4.566B,,1.807B,-1.306B,,2018-09,AOR,Restated
2018-06,732.00M,-363.00M,,,86.00M,-277.00M,1.368B,547.00M,1.915B,1.915B,504.00M,0.00,-1.162B,-390.00M,-496.00M,-556.00M,,-346.00M,-1.788B,-288.00M,-987.00M,2018-06,-1.557B,1.147B,-327.00M,-83.00M,2.349B,,3.806B,6.003B,2018-06,-6.82B,-770.00M,-7.59B,,8.00M,2.00M,,,-1.193B,-1.193B,-239.00M,,2018-06,32.00B,-3.962B,27.54B,,2018-06,35.00M,,343.00M,-7.163B,,2018-06,AOR,Restated
2018-03,328.00M,63.00M,,0.00,297.00M,360.00M,1.272B,602.00M,1.874B,1.874B,-50.00M,,-1.092B,752.00M,-1.019B,-224.00M,,-299.00M,-790.00M,-5.00M,312.00M,2018-03,-1.887B,624.00M,-1.166B,-97.00M,12.00M,,743.00M,-566.00M,2018-03,-9.057B,-1.281B,-10.34B,,-8.00M,-8.00M,,,-1.043B,-1.043B,-501.00M,,2018-03,44.72B,-12.93B,32.00B,,2018-03,-779.00M,,199.00M,-9.256B,,2018-03,AOR,Restated
2017-12,-11.05B,,,0.00,,-203.00M,617.00M,149.00M,766.00M,766.00M,-1.538B,1.603B,14.63B,-5.25B,2.05B,1.69B,,1.688B,178.00M,1.204B,3.662B,2017-12,-1.607B,1.762B,191.00M,-36.00M,3.509B,,-2.641B,2.635B,2017-12,-5.26B,1.168B,-4.092B,,2.62B,70.00M,,,-2.233B,-2.233B,556.00M,,2017-12,40.45B,-3.264B,36.82B,,2017-12,-7.40B,,1.542B,-6.802B,,2017-12,AOR,Restated
2017-09,1.296B,,,0.00,,0.00,1.397B,630.00M,2.027B,2.027B,-699.00M,947.00M,-1.409B,-820.00M,-1.084B,738.00M,,-544.00M,-1.71B,405.00M,857.00M,2017-09,-1.923B,1.602B,-176.00M,-145.00M,-525.00M,,1.478B,435.00M,2017-09,-4.212B,-281.00M,-4.493B,,112.00M,112.00M,,,-2.085B,-2.085B,328.00M,,2017-09,44.56B,-4.825B,40.45B,,2017-09,25.00M,,301.00M,-4.513B,,2017-09,AOR,Restated
