,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,861.50M,902.50M,523.00M,379.50M,-244.00M,70.20M,93.40M,1.30M,-92.10M,,250.80M,128.70M,1.30M,93.40M,-92.10M,-274.40M,-92.10M,-237.80M,-64.90M,-172.90M,,,,13.80M,-172.90M,180.60M,-144.40M,,2020-09,-0.49,-0.0365,-0.49,,2020-09,-0.49,-0.0365,-0.49,,383.80M,0.21,,2020-09,AOR,
2020-06,932.70M,962.70M,541.50M,421.20M,0.60M,68.20M,95.60M,1.40M,-94.20M,,245.70M,175.50M,1.40M,95.60M,-94.20M,-80.10M,-94.20M,1.20M,5.90M,-4.70M,,,,13.80M,-4.70M,177.50M,96.80M,,2020-06,-0.05,-0.0511,-0.05,,2020-06,-0.05,-0.0511,-0.05,,383.50M,0.21,,2020-06,AOR,
2020-03,1.526B,1.606B,907.00M,698.50M,0.10M,85.90M,91.20M,1.70M,-89.50M,,270.20M,428.30M,1.70M,91.20M,-89.50M,-278.10M,-89.50M,60.70M,-14.90M,75.60M,,,,13.80M,75.60M,184.30M,151.90M,,2020-03,0.16,0.1598,0.16,,2020-03,0.16,0.1598,0.16,,384.10M,0.21,,2020-03,AOR,
2019-12,1.359B,1.397B,763.50M,633.70M,-415.70M,74.90M,84.50M,2.30M,-90.10M,,257.10M,376.60M,2.30M,84.50M,-90.10M,-423.30M,-90.10M,-136.80M,2.50M,-139.30M,,,,13.70M,-139.30M,182.20M,-52.30M,,2019-12,-0.41,0.3949,-0.41,,2019-12,-0.41,0.3920,-0.41,,378.40M,0.20,,2019-12,AOR,
2019-09,891.00M,931.50M,590.60M,340.90M,-0.90M,67.90M,93.00M,2.10M,-90.90M,,250.10M,90.80M,2.10M,93.00M,-90.90M,-3.50M,-90.90M,-3.60M,-10.20M,6.60M,,,,13.80M,6.60M,182.20M,89.40M,,2019-09,-0.02,-0.0182,-0.02,,2019-09,-0.02,-0.0182,-0.02,,374.10M,0.20,,2019-09,AOR,Restated
2019-06,969.20M,1.010B,302.70M,707.70M,0.10M,66.40M,91.60M,1.20M,-90.40M,,244.30M,463.40M,1.20M,91.60M,-90.40M,-3.90M,-90.40M,369.10M,72.20M,296.90M,,,,13.80M,296.90M,177.90M,460.70M,,2019-06,0.76,0.7598,0.76,,2019-06,0.75,0.7498,0.75,,375.20M,0.20,,2019-06,AOR,Restated
2019-03,1.834B,1.870B,1.233B,637.10M,-0.20M,87.60M,93.90M,2.10M,-91.80M,,262.70M,374.40M,2.10M,93.90M,-91.80M,-4.70M,-91.80M,277.90M,59.00M,218.90M,,,,13.80M,218.90M,175.10M,371.80M,,2019-03,0.55,0.5504,0.55,,2019-03,0.55,0.5504,0.55,,374.70M,0.20,,2019-03,AOR,Restated
2018-12,1.436B,1.462B,1.306B,155.70M,-32.20M,71.50M,98.10M,2.40M,-84.10M,,233.30M,-77.60M,2.40M,98.10M,-84.10M,-3.70M,-84.10M,-165.40M,-153.70M,-11.70M,,,,8.10M,-11.70M,161.80M,-67.30M,,2018-12,-0.05,-0.0358,-0.05,,2018-12,-0.05,-0.0358,-0.05,,369.70M,0.195,,2018-12,AOR,Restated
2018-09,855.80M,895.00M,1.003B,-107.80M,-44.80M,58.90M,78.40M,1.40M,-77.00M,,207.40M,-315.20M,1.40M,78.40M,-77.00M,-41.80M,-77.00M,-434.00M,-94.50M,-339.50M,,,,5.60M,-339.50M,148.50M,-355.60M,,2018-09,-0.95,-0.8537,-0.95,,2018-09,-0.95,-0.8537,-0.95,,363.90M,0.195,,2018-09,AOR,Restated
2018-06,982.10M,1.007B,678.50M,328.50M,-12.50M,65.50M,84.80M,1.10M,-83.70M,,210.10M,118.40M,1.10M,84.80M,-83.70M,-4.70M,-83.70M,30.00M,5.50M,24.50M,,,,1.30M,24.50M,144.60M,114.80M,,2018-06,0.07,0.0988,0.07,,2018-06,0.07,0.0988,0.07,,355.20M,0.195,,2018-06,AOR,Restated
2018-03,1.717B,1.751B,1.127B,623.90M,0.30M,78.90M,89.40M,1.70M,-87.70M,,223.60M,400.30M,1.70M,89.40M,-87.70M,26.20M,-87.70M,338.80M,62.70M,276.10M,,,,,276.10M,144.70M,428.20M,,2018-03,0.82,0.7682,0.82,,2018-03,0.81,0.7583,0.81,,339.00M,0.195,,2018-03,AOR,Restated
2017-12,1.344B,1.368B,882.80M,485.50M,-22.00M,67.50M,100.60M,1.40M,-88.90M,,209.30M,276.20M,1.40M,100.60M,-88.90M,-22.30M,-88.90M,165.00M,217.40M,-52.40M,,,,,-52.40M,141.80M,265.60M,,2017-12,-0.16,-0.1209,-0.16,,2017-12,-0.16,-0.1211,-0.16,,339.20M,0.175,,2017-12,AOR,Restated
2017-09,883.40M,917.00M,605.30M,311.70M,-0.80M,57.50M,83.60M,1.40M,-82.20M,,200.50M,111.20M,1.40M,83.60M,-82.20M,-12.50M,-82.20M,16.50M,2.50M,14.00M,,,,,14.00M,143.00M,100.10M,,2017-09,0.04,0.0420,0.04,,2017-09,0.04,0.0420,0.04,,332.40M,0.175,,2017-09,AOR,Restated
2017-06,960.10M,990.70M,668.40M,322.30M,-111.40M,56.20M,84.00M,0.90M,-83.10M,,198.40M,123.90M,0.90M,84.00M,-83.10M,-111.80M,-83.10M,-71.00M,-26.60M,-44.40M,,,,,-44.40M,142.20M,13.00M,,2017-06,-0.14,0.0742,-0.14,,2017-06,-0.14,0.0742,-0.14,,325.10M,0.175,,2017-06,AOR,Restated
2017-03,1.542B,1.599B,963.90M,634.70M,0.00,76.00M,85.20M,,-85.20M,,219.30M,415.40M,,85.20M,-85.20M,2.30M,-85.20M,332.50M,121.20M,211.30M,,,,,211.30M,143.30M,417.70M,,2017-03,0.65,0.65,0.65,,2017-03,0.65,0.65,0.65,,325.30M,0.175,,2017-03,AOR,Restated
2016-12,1.210B,1.297B,857.50M,439.50M,-3.90M,66.20M,82.80M,,-73.00M,,207.30M,232.20M,,82.80M,-73.00M,-15.50M,-73.00M,143.70M,51.50M,92.20M,,,,,88.80M,141.10M,226.50M,,2016-12,0.29,0.2977,0.27,,2016-12,0.28,0.2877,0.27,,324.40M,0.165,,2016-12,AOR,Restated
2016-09,857.80M,861.30M,554.80M,306.50M,0.10M,56.60M,85.00M,,-85.00M,,192.90M,113.60M,,85.00M,-85.00M,3.60M,-85.00M,32.20M,8.50M,23.70M,3.50M,,,,27.20M,136.30M,117.20M,,2016-09,0.07,0.0698,0.08,,2016-09,0.07,0.0698,0.08,,323.90M,0.165,,2016-09,AOR,Restated
2016-06,893.50M,897.60M,572.50M,325.10M,0.20M,50.20M,86.00M,,-86.00M,,187.10M,138.00M,,86.00M,-86.00M,-5.90M,-86.00M,46.10M,17.10M,29.00M,-0.10M,,,,28.90M,136.90M,132.10M,,2016-06,0.09,0.0896,0.09,,2016-06,0.09,0.0896,0.09,,323.20M,0.155,,2016-06,AOR,Restated
2016-03,1.432B,1.437B,851.20M,585.40M,0.10M,71.30M,90.50M,,-90.50M,,204.10M,381.30M,,90.50M,-90.50M,0.80M,-90.50M,291.60M,105.00M,186.60M,,,,,186.60M,132.80M,382.10M,,2016-03,0.58,0.5798,0.58,,2016-03,0.58,0.5798,0.58,,322.50M,0.155,,2016-03,AOR,Restated
2015-12,1.090B,1.098B,685.60M,412.20M,-5.20M,58.90M,76.90M,,-82.00M,,192.30M,219.90M,,76.90M,-82.00M,-6.90M,-82.00M,131.00M,66.60M,64.40M,-5.00M,,0.00,,59.40M,133.40M,207.90M,,2015-12,0.20,0.2098,0.19,,2015-12,0.20,0.2098,0.19,,318.60M,0.155,,2015-12,AOR,Restated
2015-09,809.40M,817.20M,520.20M,297.00M,-1.10M,53.70M,94.90M,,-94.90M,,186.20M,110.80M,,94.90M,-94.90M,4.70M,-94.90M,20.60M,5.80M,14.80M,-19.70M,,,,-4.90M,132.50M,115.50M,,2015-09,0.05,0.0525,-0.02,,2015-09,0.05,0.0525,-0.02,,321.50M,0.155,,2015-09,AOR,Restated
2015-06,880.10M,884.60M,606.70M,277.90M,-97.00M,60.20M,98.20M,,-98.20M,,193.70M,84.20M,,98.20M,-98.20M,-94.70M,-98.20M,-108.70M,-35.60M,-73.10M,45.40M,,-8.70M,,-36.40M,133.50M,-10.50M,,2015-06,-0.23,-0.0247,-0.11,,2015-06,-0.23,-0.0247,-0.11,,317.50M,0.26,,2015-06,AOR,Restated
2015-03,1.845B,1.852B,1.257B,594.90M,-0.30M,83.30M,92.80M,,-92.80M,,208.30M,386.60M,,92.80M,-92.80M,3.20M,-92.80M,297.00M,104.50M,192.50M,82.80M,,-6.90M,,268.40M,125.00M,389.80M,,2015-03,0.61,0.6106,0.85,,2015-03,0.61,0.6106,0.85,,317.40M,0.26,,2015-03,AOR,Restated
2014-12,1.388B,1.393B,980.10M,413.20M,-12.60M,61.00M,70.40M,,-77.60M,,184.80M,228.40M,,70.40M,-77.60M,-16.00M,-77.60M,134.80M,55.30M,79.50M,74.70M,,0.00,,154.20M,123.80M,205.20M,,2014-12,0.25,0.2759,0.49,,2014-12,0.25,0.2757,0.48,,318.40M,0.26,,2014-12,AOR,Restated
2014-09,835.40M,838.20M,589.80M,248.40M,-0.10M,53.40M,94.70M,,-94.70M,,177.20M,71.20M,,94.70M,-94.70M,5.60M,-94.70M,-17.90M,-0.70M,-17.20M,48.60M,,0.00,,31.40M,65.30M,76.80M,,2014-09,-0.05,-0.0497,0.10,,2014-09,-0.05,-0.0497,0.10,,315.40M,0.26,,2014-09,AOR,Restated
2014-06,1.218B,1.335B,904.80M,430.30M,0.70M,73.40M,109.10M,,-109.10M,,222.50M,207.80M,,109.10M,-109.10M,19.30M,-109.10M,118.00M,39.50M,78.50M,-0.30M,,0.00,,78.20M,149.10M,227.10M,,2014-06,0.25,0.2485,0.25,,2014-06,0.25,0.2485,0.25,,316.10M,0.25,,2014-06,AOR,Restated
2014-03,2.244B,2.320B,1.562B,758.00M,15.70M,101.10M,109.10M,,-109.10M,,249.80M,508.20M,,109.10M,-109.10M,30.00M,-109.10M,429.10M,162.70M,266.40M,-0.20M,,0.00,,266.20M,148.70M,538.20M,,2014-03,0.85,0.8190,0.85,,2014-03,0.85,0.8191,0.85,,315.10M,0.25,,2014-03,AOR,Restated
2013-12,712.00M,564.90M,573.50M,-8.60M,-19.50M,16.70M,45.00M,,-55.80M,,55.70M,-64.30M,,45.00M,-55.80M,-67.40M,-55.80M,-187.50M,-70.60M,-116.90M,268.70M,,,,151.80M,39.00M,-142.50M,,2013-12,-0.37,-0.3312,0.48,,2013-12,-0.37,-0.3315,0.48,,315.40M,0.25,,2013-12,AOR,Restated
