,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,-172.90M,,,,243.40M,180.60M,180.60M,-59.40M,,,,41.20M,,,,,,,-82.00M,-82.00M,,,2020-09,-472.90M,,,,-5.90M,-34.50M,-513.30M,2020-09,365.40M,224.70M,590.10M,3.70M,,3.70M,,,-80.40M,-8.10M,-88.50M,276.40M,,2020-09,153.60M,67.60M,,2020-09,,3.70M,1.974B,-1.384B,,,,2020-09,AOR,
2020-06,-4.70M,,,,,177.50M,177.50M,8.50M,,,,84.20M,,,,,,,72.30M,72.30M,,,2020-06,-367.20M,,,,-1.90M,-32.90M,-402.00M,2020-06,996.30M,-882.90M,113.40M,3.80M,,3.80M,,,-80.40M,-19.50M,-99.90M,4.80M,,2020-06,213.00M,153.60M,,2020-06,,3.80M,1.85B,-1.737B,,,,2020-06,AOR,
2020-03,75.60M,,,,,184.30M,184.30M,-19.90M,,,,288.10M,,,,,,,-158.20M,-158.20M,,,2020-03,-452.10M,,,,1.90M,-34.40M,-484.60M,2020-03,-4.10M,273.20M,269.10M,3.70M,,3.70M,,,-80.30M,-8.10M,-88.40M,179.30M,,2020-03,148.40M,213.00M,,2020-03,,3.70M,500.00M,-230.90M,,,,2020-03,AOR,
2019-12,-139.30M,,,,,182.20M,182.20M,-2.20M,,,,-19.50M,,,,,,,-100.70M,-110.10M,,,2019-12,-492.40M,,,,-8.40M,-27.80M,-528.60M,2019-12,-3.10M,158.10M,155.00M,233.50M,,233.50M,,,-74.70M,-19.40M,-94.10M,288.50M,,2019-12,37.00M,148.40M,,2019-12,,233.50M,0.00,155.00M,,,,2019-12,AOR,
2019-09,6.60M,,,,,182.20M,182.20M,-6.10M,,,,5.20M,,,,,,,117.70M,117.70M,,,2019-09,-466.50M,,,,0.10M,-29.40M,-495.80M,2019-09,747.50M,-465.90M,281.60M,3.80M,,3.80M,,,-74.70M,-8.20M,-82.90M,194.80M,,2019-09,32.40M,37.00M,,2019-09,,3.80M,850.00M,-568.40M,,,,2019-09,AOR,Restated
2019-06,296.90M,,,,,177.90M,177.90M,74.90M,,,,7.10M,,,,,,,-29.70M,-29.70M,,,2019-06,-489.80M,,,,-3.60M,-29.20M,-522.60M,2019-06,-43.70M,1.00M,-42.70M,4.00M,,4.00M,,,-74.60M,-19.40M,-94.00M,-132.90M,,2019-06,160.80M,32.40M,,2019-06,,4.00M,47.20M,-89.90M,,,,2019-06,AOR,Restated
2019-03,218.90M,,,,,175.10M,175.10M,51.60M,,,,6.50M,,,,,,,-53.00M,-53.00M,,,2019-03,-353.70M,,,,3.60M,-25.30M,-375.40M,2019-03,-2.30M,102.80M,100.50M,3.10M,,3.10M,,,-74.50M,-9.10M,-83.60M,16.00M,,2019-03,121.10M,160.80M,,2019-03,,3.10M,452.80M,-352.30M,,,,2019-03,AOR,Restated
2018-12,-11.70M,,,,0.00,161.80M,161.80M,-161.80M,,,,-20.60M,,,,,,,-509.10M,-383.40M,,,2018-12,-521.60M,,,,5.20M,-33.20M,-549.60M,2018-12,-2.10M,366.10M,364.00M,236.60M,0.00,236.60M,485.70M,485.70M,-70.80M,-11.60M,-82.40M,1.004B,,2018-12,53.80M,121.10M,,2018-12,,722.30M,350.00M,14.00M,,,,2018-12,AOR,Restated
2018-09,-339.50M,,,,33.00M,148.50M,148.50M,-92.70M,,,,4.30M,,,,,,,364.10M,364.10M,,,2018-09,-464.10M,,,,-12.90M,-28.40M,-505.40M,2018-09,-552.80M,1.011B,458.30M,3.90M,0.00,3.90M,-0.10M,-0.10M,-70.80M,0.00,-70.80M,360.40M,,2018-09,81.10M,53.80M,,2018-09,,3.80M,0.00,458.30M,,,,2018-09,AOR,Restated
2018-06,24.50M,,,,12.50M,144.60M,144.60M,9.50M,,,,26.90M,,,,,,,203.30M,203.30M,,,2018-06,-462.50M,,,,,-9.70M,-472.20M,2018-06,137.80M,-967.30M,-829.50M,604.00M,-0.40M,603.60M,394.40M,394.40M,-66.00M,0.00,-66.00M,87.30M,,2018-06,44.70M,81.10M,,2018-06,,998.40M,588.40M,-1.418B,,,,2018-06,AOR,Restated
2018-03,276.10M,,,,,144.70M,144.70M,56.80M,,,,-15.60M,,,,,,,-73.80M,-73.80M,,,2018-03,-370.00M,,,,,-28.90M,-398.90M,2018-03,-279.00M,361.60M,82.60M,3.70M,-3.60M,0.10M,,,-65.70M,0.00,-65.70M,17.00M,,2018-03,38.40M,44.70M,,2018-03,,3.70M,361.60M,-279.00M,,,,2018-03,AOR,Restated
2017-12,-52.40M,,,,0.00,141.80M,141.80M,210.40M,,,,-27.10M,,,,,,,-108.20M,-100.20M,,,2017-12,-479.40M,,,,4.70M,-27.10M,-501.80M,2017-12,-2.60M,362.50M,359.90M,4.10M,-1.30M,2.80M,0.00,0.00,-58.90M,,-58.90M,299.30M,,2017-12,28.30M,38.40M,,2017-12,,4.10M,500.00M,-140.10M,,,,2017-12,AOR,Restated
2017-09,14.00M,,,,0.00,143.00M,143.00M,7.90M,,,,6.10M,,,,,,,-292.80M,-292.80M,,,2017-09,-484.20M,,,,-11.00M,-25.60M,-520.80M,2017-09,476.00M,-58.20M,417.80M,286.40M,0.00,286.40M,0.00,0.00,-57.00M,,-57.00M,638.10M,,2017-09,32.80M,28.30M,,2017-09,,286.40M,750.00M,-332.20M,,,,2017-09,AOR,Restated
2017-06,-44.40M,,,,111.50M,142.20M,142.20M,-21.00M,,,,11.40M,,,,,,,40.60M,40.60M,,,2017-06,-420.20M,,,,1.00M,-23.70M,-442.90M,2017-06,958.20M,-612.90M,345.30M,39.80M,-1.50M,38.30M,,,-56.70M,,-56.70M,196.20M,,2017-06,39.20M,32.80M,,2017-06,,39.80M,1.974B,-1.628B,,,,2017-06,AOR,Restated
2017-03,211.30M,,,,,143.30M,143.30M,109.40M,,,,11.00M,,,,,,,-63.90M,-63.90M,,,2017-03,-312.00M,,,,,-31.00M,-343.00M,2017-03,-36.60M,26.20M,-10.40M,6.40M,-4.40M,2.00M,,,-56.50M,,-56.50M,-64.90M,,2017-03,36.00M,39.20M,,2017-03,,6.40M,26.20M,-36.60M,,,,2017-03,AOR,Restated
2016-12,88.80M,,,,,141.10M,141.10M,44.60M,,,,-35.70M,,,,,,,80.80M,-14.80M,0.80M,,2016-12,-391.80M,,,,2.20M,-45.20M,-434.80M,2016-12,-223.70M,429.00M,205.30M,6.30M,-1.30M,5.00M,,,-53.20M,,-53.20M,153.70M,,2016-12,16.10M,36.00M,,2016-12,,6.30M,429.00M,-223.70M,,,,2016-12,AOR,Restated
2016-09,27.20M,,,,,136.30M,136.30M,20.60M,,,,6.10M,,,,,,,-145.20M,-145.20M,-0.10M,,2016-09,-410.90M,,,,-9.60M,-32.70M,-453.20M,2016-09,496.80M,-41.70M,455.10M,6.80M,-0.20M,6.60M,,,-53.00M,,-53.00M,408.70M,,2016-09,15.70M,16.10M,,2016-09,,6.80M,458.30M,-3.20M,,,,2016-09,AOR,Restated
