,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,58.60M,,58.60M,521.40M,24.40M,545.80M,269.50M,396.50M,112.60M,9.00M,,132.60M,2.821B,894.60M,,21.74B,-5.659B,16.08B,1.486B,,1.486B,238.00M,,162.20M,,19.88B,22.70B,,2020-09,410.30M,46.30M,703.60M,240.80M,944.40M,17.20M,307.00M,231.20M,871.40M,1.410B,,1.410B,229.20M,229.20M,704.70M,3.447B,424.80M,9.209B,,9.209B,1.448B,,1.448B,169.50M,,,214.70M,13.83B,2020-09,883.80M,-1.850B,6.684B,99.90M,880.00M,,,-193.60M,5.425B,,2020-09,AOR,
2020-06,142.20M,,142.20M,545.70M,17.90M,563.60M,180.00M,311.80M,142.60M,11.40M,,145.70M,2.860B,894.30M,,21.32B,-5.549B,15.77B,1.486B,,1.486B,229.20M,,163.10M,,19.58B,22.44B,,2020-06,402.50M,27.70M,714.40M,268.90M,983.30M,21.60M,,313.50M,865.60M,1.179B,,1.179B,163.10M,163.10M,760.30M,3.228B,447.10M,8.810B,,8.810B,1.486B,,1.486B,200.00M,,,198.80M,13.55B,2020-06,883.80M,-1.577B,6.676B,99.90M,880.00M,,,-221.90M,5.662B,,2020-06,AOR,
2020-03,203.80M,,203.80M,716.50M,39.00M,755.50M,123.10M,254.00M,182.80M,9.20M,,164.30M,3.225B,18.60M,,22.88B,-7.294B,15.59B,1.486B,,1.486B,212.00M,,160.20M,,19.37B,22.59B,,2020-03,505.60M,18.50M,847.70M,300.90M,1.149B,17.50M,237.00M,959.40M,857.90M,2.054B,,2.054B,163.20M,163.20M,648.80M,4.162B,435.90M,7.818B,,7.818B,1.461B,,1.461B,312.10M,,,187.30M,12.69B,2020-03,883.80M,-1.483B,6.672B,99.90M,880.00M,,,-230.60M,5.741B,,2020-03,AOR,
2019-12,139.30M,,139.30M,856.90M,48.50M,905.40M,304.50M,424.70M,149.70M,9.10M,,225.70M,1.854B,192.60M,457.30M,24.54B,-7.630B,16.91B,1.486B,,1.486B,230.20M,,163.70M,,20.81B,22.66B,,2019-12,666.00M,59.70M,957.30M,408.90M,1.366B,20.10M,570.00M,353.20M,863.40M,1.787B,,1.787B,256.40M,256.40M,160.20M,3.746B,416.90M,7.856B,,7.856B,1.495B,,1.495B,134.00M,,,218.50M,12.93B,2019-12,883.80M,-1.371B,6.666B,99.90M,880.00M,,,-92.60M,5.987B,,2019-12,AOR,
2019-09,28.00M,,28.00M,539.30M,30.30M,569.60M,333.60M,448.70M,85.40M,9.00M,,237.60M,1.378B,18.00M,,24.04B,-7.563B,16.48B,1.691B,212.50M,1.903B,219.70M,,157.00M,,20.75B,22.13B,,2019-09,494.90M,54.80M,801.60M,400.60M,1.202B,20.00M,505.00M,260.10M,860.90M,1.626B,,1.626B,242.80M,242.80M,103.00M,3.340B,373.10M,7.854B,,7.854B,1.477B,,1.477B,125.00M,,,224.70M,12.94B,2019-09,883.80M,-1.232B,6.426B,99.90M,880.00M,,,-130.30M,5.848B,,2019-09,AOR,Restated
2019-06,23.70M,,23.70M,870.20M,41.50M,911.70M,206.70M,318.60M,103.10M,8.70M,,212.20M,1.578B,18.30M,,23.59B,-7.461B,16.13B,1.691B,215.20M,1.906B,217.60M,,146.80M,,20.40B,21.97B,,2019-06,552.20M,42.30M,844.60M,411.70M,1.256B,21.80M,911.00M,320.00M,860.70M,2.092B,,2.092B,159.10M,159.10M,150.50M,3.814B,367.60M,7.110B,,7.110B,1.483B,,1.483B,80.70M,,,222.80M,12.18B,2019-06,883.80M,-1.144B,6.417B,99.90M,880.00M,,,-80.80M,5.976B,,2019-06,AOR,Restated
2019-03,151.00M,,151.00M,1.132B,72.10M,1.204B,108.40M,215.70M,144.20M,9.80M,,190.90M,1.916B,18.60M,,23.10B,-7.357B,15.74B,1.691B,218.00M,1.909B,210.60M,,134.00M,,19.97B,21.89B,,2019-03,675.20M,15.50M,1.018B,431.70M,1.449B,18.90M,980.00M,500.00M,651.40M,2.131B,,2.131B,152.60M,152.60M,152.10M,4.015B,358.40M,7.110B,,7.110B,1.402B,,1.402B,55.80M,,,218.30M,12.10B,2019-03,883.80M,-1.358B,6.406B,99.90M,880.00M,,,-52.80M,5.780B,,2019-03,AOR,Restated
2018-12,112.80M,,112.80M,1.058B,88.40M,1.147B,321.50M,422.50M,129.50M,8.30M,,235.40M,2.055B,194.50M,474.80M,22.82B,-7.277B,15.54B,1.691B,220.70M,1.911B,206.10M,,86.50M,,19.75B,21.80B,,2018-12,883.80M,85.50M,1.192B,269.20M,1.461B,18.90M,978.00M,399.20M,650.00M,2.027B,,2.027B,238.90M,238.90M,140.90M,4.037B,352.00M,7.105B,,7.105B,1.342B,,1.342B,46.70M,,,177.90M,12.02B,2018-12,883.80M,-1.399B,6.404B,99.90M,880.00M,,,-37.20M,5.751B,,2018-12,AOR,Restated
2018-09,41.80M,,41.80M,500.40M,37.30M,537.70M,369.20M,466.90M,89.70M,12.00M,,221.00M,1.369B,17.20M,,22.35B,-7.171B,15.17B,1.691B,223.50M,1.914B,217.10M,,117.20M,,19.33B,20.70B,,2018-09,433.70M,58.20M,724.30M,528.40M,1.253B,20.40M,746.00M,265.00M,648.60M,1.660B,,1.660B,238.40M,238.40M,86.70M,3.411B,346.90M,7.094B,,7.094B,1.303B,,1.303B,45.20M,,,215.00M,12.21B,2018-09,397.60M,-1.388B,6.161B,99.90M,393.90M,,,2.50M,5.074B,,2018-09,AOR,Restated
2018-06,68.20M,,68.20M,584.80M,29.60M,614.40M,236.60M,336.50M,109.10M,12.90M,,174.60M,1.316B,16.80M,,21.93B,-7.084B,14.85B,1.691B,226.20M,1.917B,203.80M,,104.90M,,18.99B,20.31B,,2018-06,455.00M,36.90M,728.50M,178.90M,907.40M,36.00M,0.00,0.00,1.198B,1.198B,,1.198B,158.00M,158.00M,125.50M,2.560B,334.60M,7.092B,,7.092B,1.409B,,1.409B,44.90M,,,184.80M,12.28B,2018-06,398.10M,-965.50M,6.151B,99.90M,394.40M,,,-20.90M,5.463B,,2018-06,AOR,Restated
