,NetIncome,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,,,,,,,,,-2.604B,-577.00M,160.00M,160.00M,,,1.322B,18.00M,923.00M,1.559B,1.559B,0.00,0.00,0.00,0.00,0.00,,-48.00M,1.511B,467.00M,-170.00M,297.00M,0.00,2.10B,-541.00M,0.00,0.00,214.00M
2020-06,,,,,,,,,-908.00M,-388.00M,209.00M,209.00M,,,-6.222B,-398.00M,-6.799B,6.215B,6.215B,1.527B,-2.00M,1.525B,0.00,0.00,,-52.00M,7.688B,486.00M,-19.00M,467.00M,1.527B,7.766B,-1.551B,-2.00M,0.00,262.00M
2020-03,,,,,,,,,-168.00M,-845.00M,315.00M,315.00M,,,417.00M,-49.00M,-162.00M,772.00M,772.00M,,-171.00M,-171.00M,-43.00M,-43.00M,,-32.00M,526.00M,290.00M,196.00M,486.00M,,1.698B,-926.00M,-171.00M,2.00M,239.00M
2019-12,,,,,,,,,600.00M,-1.139B,233.00M,233.00M,,,1.311B,234.00M,639.00M,-945.00M,-945.00M,,-272.00M,-272.00M,-43.00M,-43.00M,,-12.00M,-1.272B,323.00M,-33.00M,290.00M,,410.00M,-1.355B,-272.00M,-5.00M,-817.00M
2019-09,,,,,,,,,828.00M,-806.00M,134.00M,134.00M,,,236.00M,-33.00M,-469.00M,-93.00M,-93.00M,0.00,-200.00M,-200.00M,-45.00M,-45.00M,,-28.00M,-366.00M,330.00M,-7.00M,323.00M,0.00,961.00M,-1.054B,-200.00M,1.00M,258.00M
2019-06,,,,,,,,,736.00M,-1.018B,178.00M,178.00M,,,-1.071B,-22.00M,-1.933B,1.257B,1.257B,0.00,-17.00M,-17.00M,-44.00M,-44.00M,,-17.00M,1.179B,348.00M,-18.00M,330.00M,0.00,2.189B,-932.00M,-17.00M,1.00M,292.00M
2019-03,,,,,,,,,1.651B,-1.305B,359.00M,359.00M,,,481.00M,-15.00M,-480.00M,-449.00M,-449.00M,,-608.00M,-608.00M,-46.00M,-46.00M,,-6.00M,-1.109B,286.00M,62.00M,348.00M,,400.00M,-849.00M,-608.00M,3.00M,267.00M
2018-12,,,,,,,,,716.00M,-1.009B,347.00M,347.00M,,,346.00M,-74.00M,-390.00M,-296.00M,-296.00M,,0.00,0.00,-46.00M,-46.00M,,-12.00M,-354.00M,314.00M,-28.00M,286.00M,,205.00M,-501.00M,0.00,-16.00M,-801.00M
2018-09,,,,,,,,,-77.00M,-1.005B,602.00M,602.00M,,,-169.00M,24.00M,-548.00M,701.00M,701.00M,,0.00,0.00,-46.00M,-46.00M,,-21.00M,634.00M,305.00M,9.00M,314.00M,,1.257B,-556.00M,0.00,3.00M,259.00M
2018-06,,,,,,,,,1.094B,-952.00M,236.00M,236.00M,,,618.00M,19.00M,-79.00M,-660.00M,-660.00M,,-376.00M,-376.00M,-46.00M,-46.00M,,-28.00M,-1.11B,400.00M,-95.00M,305.00M,,656.00M,-1.316B,-376.00M,10.00M,284.00M
2018-03,,,,,,,,,1.80B,-779.00M,22.00M,22.00M,,,-223.00M,24.00M,-956.00M,-332.00M,-332.00M,,-461.00M,-461.00M,-48.00M,-48.00M,,-1.00M,-842.00M,398.00M,2.00M,400.00M,,236.00M,-568.00M,-461.00M,3.00M,258.00M
2017-12,,,,,,,,,437.00M,-1.408B,116.00M,116.00M,,0.00,970.00M,-235.00M,-557.00M,379.00M,379.00M,,-243.00M,-243.00M,-48.00M,-48.00M,,-13.00M,75.00M,444.00M,-45.00M,398.00M,,898.00M,-519.00M,-243.00M,-15.00M,-778.00M
2017-09,,,,,,,,,369.00M,-1.369B,518.00M,518.00M,,-203.00M,1.077B,162.00M,185.00M,-177.00M,-177.00M,,-359.00M,-359.00M,-48.00M,-48.00M,,-15.00M,-599.00M,489.00M,-45.00M,444.00M,,535.00M,-712.00M,-359.00M,6.00M,262.00M
2017-06,,,,,,,,,1.688B,-1.48B,281.00M,281.00M,,,-194.00M,-1.00M,-1.394B,311.00M,311.00M,,-529.00M,-529.00M,-51.00M,-51.00M,,-3.00M,-272.00M,467.00M,22.00M,489.00M,,726.00M,-415.00M,-529.00M,5.00M,261.00M
2017-03,,,,,,,,,2.25B,-1.714B,32.00M,32.00M,,,-262.00M,74.00M,-1.87B,213.00M,213.00M,,-484.00M,-484.00M,-51.00M,-51.00M,,-27.00M,-349.00M,436.00M,31.00M,467.00M,,899.00M,-686.00M,-484.00M,4.00M,255.00M
2016-12,,,,,,,,,627.00M,-1.46B,65.00M,65.00M,,0.00,342.00M,-7.00M,-1.06B,1.016B,1.016B,,-569.00M,-569.00M,-52.00M,-52.00M,,-25.00M,370.00M,381.00M,-63.00M,435.00M,,2.309B,-1.293B,-569.00M,6.00M,250.00M
2016-09,,,,,,,,,1.064B,-1.208B,28.00M,28.00M,,0.00,304.00M,5.00M,-871.00M,499.00M,499.00M,,-695.00M,-695.00M,-53.00M,-53.00M,,-9.00M,-258.00M,446.00M,-65.00M,381.00M,,870.00M,-371.00M,-695.00M,3.00M,235.00M
2016-06,,,,,,,,,2.213B,-1.506B,28.00M,28.00M,,,-230.00M,51.00M,-1.657B,1.169B,1.169B,,-1.711B,-1.711B,-58.00M,-58.00M,,-5.00M,-605.00M,495.00M,-49.00M,446.00M,,3.022B,-1.853B,-1.711B,3.00M,251.00M
2016-03,,,,,,,,,2.62B,-1.557B,4.00M,4.00M,,,-565.00M,4.00M,-2.114B,1.19B,1.19B,,-1.525B,-1.525B,-61.00M,-61.00M,,-5.00M,-401.00M,390.00M,105.00M,495.00M,,1.50B,-310.00M,-1.525B,4.00M,228.00M
2015-12,,,,,,,,,228.00M,-1.53B,12.00M,12.00M,,,1.941B,15.00M,438.00M,171.00M,171.00M,,-1.435B,-1.435B,-72.00M,-72.00M,,44.00M,-1.292B,1.016B,-626.00M,390.00M,,503.00M,-332.00M,-1.435B,-2.00M,225.00M
2015-09,,,,,,,,,1.18B,-1.482B,1.00M,1.00M,,,107.00M,37.00M,-1.337B,1.796B,1.796B,,-1.48B,-1.48B,-66.00M,-66.00M,,-29.00M,221.00M,952.00M,64.00M,1.016B,,2.51B,-714.00M,-1.48B,12.00M,215.00M
2015-06,,,,,,,,,2.347B,-1.73B,18.00M,18.00M,,,209.00M,10.00M,-1.493B,-131.00M,-131.00M,,-750.00M,-750.00M,-70.00M,-70.00M,,1.00M,-950.00M,1.048B,-96.00M,952.00M,,230.00M,-361.00M,-750.00M,7.00M,214.00M
2015-03,,,,,,,,,2.494B,-1.409B,4.00M,4.00M,,,-1.814B,17.00M,-3.202B,1.02B,1.02B,,-181.00M,-181.00M,-70.00M,-70.00M,,-7.00M,762.00M,994.00M,54.00M,1.048B,,1.766B,-746.00M,-181.00M,3.00M,219.00M
2014-12,,,,,,,,,804.00M,-1.305B,9.00M,9.00M,0.00,,409.00M,101.00M,-786.00M,823.00M,823.00M,,-907.00M,-907.00M,-72.00M,-72.00M,1.00M,-47.00M,-202.00M,1.178B,-184.00M,994.00M,,1.175B,-352.00M,-907.00M,-1.00M,174.00M
2014-09,,,,,,,,,-361.00M,-1.328B,15.00M,15.00M,0.00,,1.528B,7.00M,222.00M,358.00M,358.00M,,-127.00M,-127.00M,-72.00M,-72.00M,0.00,-52.00M,107.00M,1.21B,-32.00M,1.178B,,1.993B,-1.635B,-127.00M,3.00M,273.00M
2014-06,,,,,,,,,1.381B,-1.631B,6.00M,6.00M,0.00,,156.00M,65.00M,-1.404B,-88.00M,-88.00M,,56.00M,56.00M,0.00,0.00,0.00,6.00M,-26.00M,1.259B,-49.00M,1.21B,,556.00M,-644.00M,56.00M,2.00M,163.00M
2014-03,,,,,,,,,1.256B,-1.047B,3.00M,3.00M,307.00M,,-294.00M,88.00M,-943.00M,-112.00M,-112.00M,,-84.00M,-84.00M,0.00,0.00,9.00M,-7.00M,-194.00M,1.14B,119.00M,1.259B,,389.00M,-501.00M,-84.00M,3.00M,204.00M
