,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.747B,3.173B,5.61B,-2.437B,70.00M,,70.00M,,,295.00M,340.00M,5.00M,-335.00M,659.00M,729.00M,-3.166B,5.00M,340.00M,-335.00M,406.00M,-335.00M,-3.095B,-696.00M,-2.399B,,,,,-2.399B,-2.628B,-2.755B,,-2.755B,-4.71,,,,-5.159,-4.71,-4.71,,,,-5.159,-4.71,509.05M,509.05M,0.0
2020-06,1.238B,1.622B,4.946B,-3.324B,43.00M,,43.00M,,,1.471B,254.00M,10.00M,-244.00M,545.00M,588.00M,-3.912B,10.00M,254.00M,-244.00M,1.542B,-244.00M,-2.659B,-592.00M,-2.067B,,,,,-2.067B,-3.210B,-2.405B,,-2.405B,-4.82,,,,-7.487,-4.82,-4.82,,,,-7.487,-4.82,428.81M,428.81M,0.0
2020-03,7.828B,8.515B,8.45B,65.00M,305.00M,,305.00M,,,-899.00M,257.00M,21.00M,-236.00M,1.41B,1.715B,-1.65B,21.00M,257.00M,-236.00M,-1.004B,-236.00M,-2.89B,-649.00M,-2.241B,,,,,-2.241B,-1.544B,-2.633B,,-2.633B,-5.26,,,,-3.622,-5.26,-5.26,,,,-3.622,-5.26,425.71M,425.71M,0.1
2019-12,10.56B,11.31B,8.80B,2.513B,408.00M,,408.00M,,,-154.00M,265.00M,24.00M,-241.00M,1.222B,1.63B,883.00M,24.00M,265.00M,-241.00M,-71.00M,-241.00M,571.00M,157.00M,414.00M,,,,,414.00M,525.66M,836.00M,,836.00M,0.95,,,,1.207,0.95,0.95,,,,1.206,0.95,434.58M,435.66M,0.1
2019-09,11.20B,11.91B,9.115B,2.796B,424.00M,,424.00M,,,-227.00M,284.00M,34.00M,-250.00M,1.337B,1.761B,1.035B,34.00M,284.00M,-250.00M,-228.00M,-250.00M,557.00M,132.00M,425.00M,,,,,425.00M,598.20M,841.00M,,841.00M,0.96,,,,1.3519999999999999,0.96,0.96,,,,1.3519999999999999,0.96,441.92M,442.40M,0.1
2019-06,11.23B,11.96B,9.039B,2.921B,401.00M,,401.00M,,,-121.00M,275.00M,35.00M,-240.00M,1.271B,1.672B,1.249B,35.00M,275.00M,-240.00M,-152.00M,-240.00M,882.00M,220.00M,662.00M,,,,,662.00M,752.82M,1.157B,,1.157B,1.49,,,,1.694,1.49,1.49,,,,1.694,1.49,445.01M,445.59M,0.1
2019-03,9.876B,10.58B,8.45B,2.134B,370.00M,,370.00M,,,-120.00M,271.00M,33.00M,-238.00M,1.269B,1.639B,495.00M,33.00M,271.00M,-238.00M,-12.00M,-238.00M,245.00M,60.00M,185.00M,,,,,185.00M,275.61M,516.00M,,516.00M,0.41,,,,0.6105,0.41,0.41,,,,0.6098,0.41,451.95M,453.43M,0.1
2018-12,10.23B,10.94B,8.557B,2.381B,384.00M,,384.00M,,,-176.00M,268.00M,34.00M,-234.00M,1.25B,1.634B,747.00M,34.00M,268.00M,-234.00M,-118.00M,-234.00M,395.00M,71.00M,324.00M,,,,,324.00M,468.36M,663.00M,,663.00M,0.71,,,,1.023,0.71,0.7,,,,1.013,0.7,460.59M,461.92M,0.1
2018-09,10.82B,11.56B,9.012B,2.547B,395.00M,,395.00M,,,-206.00M,262.00M,29.00M,-233.00M,1.261B,1.656B,891.00M,29.00M,262.00M,-233.00M,-162.00M,-233.00M,496.00M,124.00M,372.00M,,,,,372.00M,526.50M,758.00M,,758.00M,0.81,,,,1.145,0.81,0.81,,,,1.145,0.81,460.53M,461.51M,0.1
2018-06,10.94B,11.64B,8.759B,2.884B,385.00M,,385.00M,,,-147.00M,263.00M,30.00M,-233.00M,1.348B,1.733B,1.151B,30.00M,263.00M,-233.00M,-162.00M,-233.00M,756.00M,200.00M,556.00M,,,,,556.00M,664.11M,1.019B,,1.019B,1.2,,,,1.433,1.2,1.2,,,,1.433,1.2,463.53M,464.62M,0.1
2018-03,9.707B,10.40B,8.163B,2.238B,356.00M,,356.00M,,,-211.00M,262.00M,25.00M,-237.00M,1.275B,1.631B,607.00M,25.00M,262.00M,-237.00M,-132.00M,-237.00M,238.00M,79.00M,159.00M,,,,,159.00M,299.96M,500.00M,,500.00M,0.34,,,,0.6385,0.34,0.34,,,,0.637,0.34,472.30M,474.60M,0.1
2017-12,9.941B,10.61B,8.051B,2.56B,383.00M,,383.00M,,,-159.00M,266.00M,24.00M,-242.00M,1.256B,1.762B,798.00M,24.00M,266.00M,-242.00M,-148.00M,-242.00M,408.00M,991.00M,-583.00M,,,,,-583.00M,-487.60M,674.00M,,674.00M,0.54,,,,0.7399,0.54,0.54,,,,0.739,0.54,477.16M,479.38M,0.1
2017-09,10.32B,10.96B,7.949B,3.016B,400.00M,,400.00M,,,-112.00M,266.00M,25.00M,-241.00M,1.248B,1.648B,1.368B,25.00M,266.00M,-241.00M,-64.00M,-241.00M,1.063B,402.00M,661.00M,,,,,661.00M,730.64M,1.329B,,1.329B,1.36,,,,1.504,1.36,1.36,,,,1.5030000000000001,1.36,484.77M,486.62M,0.1
2017-06,10.57B,11.23B,7.826B,3.401B,376.00M,,376.00M,,,-154.00M,263.00M,24.00M,-239.00M,1.272B,1.648B,1.753B,24.00M,263.00M,-239.00M,-125.00M,-239.00M,1.389B,525.00M,864.00M,,,,,864.00M,959.79M,1.652B,,1.652B,1.76,,,,1.955,1.76,1.75,,,,1.944,1.75,490.82M,492.96M,0.1
2017-03,9.188B,9.82B,7.466B,2.354B,318.00M,,318.00M,,,-126.00M,257.00M,21.00M,-236.00M,1.173B,1.491B,863.00M,21.00M,257.00M,-236.00M,-92.00M,-236.00M,535.00M,195.00M,340.00M,,,,,340.00M,420.07M,792.00M,,792.00M,0.67,,,,0.8289,0.67,0.67,,,,0.8277,0.67,503.90M,507.80M,0.1
2016-12,11.09B,9.751B,7.368B,2.383B,333.00M,,333.00M,,,-264.00M,253.00M,18.00M,-235.00M,1.243B,1.576B,807.00M,18.00M,253.00M,-235.00M,-219.00M,-235.00M,353.00M,156.00M,197.00M,,,,,197.00M,355.40M,606.00M,,606.00M,0.56,,,,0.8678,0.56,0.56,,,,0.8656,0.56,514.57M,518.36M,0.1
2016-09,9.321B,10.59B,7.345B,3.249B,347.00M,,347.00M,,,-264.00M,250.00M,16.00M,-234.00M,1.207B,1.554B,1.695B,16.00M,250.00M,-234.00M,-272.00M,-234.00M,1.189B,452.00M,737.00M,,,,,737.00M,900.64M,1.439B,,1.439B,1.4,,,,1.7109999999999999,1.4,1.4,,,,1.71,1.4,525.42M,528.51M,0.1
2016-06,9.169B,10.36B,7.089B,3.274B,334.00M,,334.00M,,,-56.00M,249.00M,16.00M,-233.00M,1.133B,1.467B,1.807B,16.00M,249.00M,-233.00M,-81.00M,-233.00M,1.493B,543.00M,950.00M,,,,,950.00M,985.63M,1.742B,,1.742B,1.69,,,,1.7530000000000001,1.69,1.68,,,,1.743,1.68,563.00M,566.04M,0.1
2016-03,8.249B,9.435B,6.615B,2.82B,308.00M,,308.00M,,,-99.00M,239.00M,13.00M,-226.00M,1.078B,1.386B,1.434B,13.00M,239.00M,-226.00M,-91.00M,-226.00M,1.117B,417.00M,700.00M,,,,,700.00M,762.04M,1.356B,,1.356B,1.15,,,,1.252,1.15,1.14,,,,1.2409999999999999,1.14,606.24M,611.49M,0.1
2015-12,8.496B,9.63B,6.682B,2.948B,343.00M,,343.00M,,,-373.00M,229.00M,10.00M,-219.00M,1.164B,1.507B,1.441B,10.00M,229.00M,-219.00M,-977.00M,-219.00M,245.00M,-3.036B,3.281B,,,,,3.281B,3.505B,474.00M,,474.00M,5.24,,,,5.597,5.24,5.09,,,,5.437,5.09,626.56M,644.14M,0.1
2015-09,9.533B,10.71B,7.047B,3.659B,366.00M,,366.00M,,,-163.00M,219.00M,10.00M,-209.00M,1.131B,1.497B,2.162B,10.00M,219.00M,-209.00M,-244.00M,-209.00M,1.709B,16.00M,1.693B,,,,,1.693B,1.854B,1.928B,,1.928B,2.56,,,,2.804,2.56,2.49,,,,2.727,2.49,661.87M,680.74M,0.1
2015-06,9.608B,10.83B,7.304B,3.523B,350.00M,,350.00M,,,-144.00M,223.00M,10.00M,-213.00M,1.108B,1.458B,2.065B,10.00M,223.00M,-213.00M,-133.00M,-213.00M,1.719B,15.00M,1.704B,,,,,1.704B,1.847B,1.942B,,1.942B,2.47,,,,2.677,2.47,2.41,,,,2.612,2.41,688.73M,707.61M,0.1
2015-03,8.635B,9.827B,6.934B,2.893B,336.00M,,336.00M,,,-303.00M,210.00M,10.00M,-200.00M,1.038B,1.374B,1.519B,10.00M,210.00M,-200.00M,-376.00M,-200.00M,943.00M,11.00M,932.00M,,,,,932.00M,1.231B,1.153B,,1.153B,1.34,,,,1.77,1.34,1.3,,,,1.7180000000000002,1.3,696.42M,716.93M,0.1
2014-12,9.013B,10.16B,7.509B,2.651B,348.00M,,348.00M,,,-465.00M,220.00M,9.00M,-211.00M,978.00M,1.326B,1.325B,9.00M,220.00M,-211.00M,-547.00M,-211.00M,567.00M,-30.00M,597.00M,,,,,597.00M,899.25M,787.00M,,787.00M,0.84,,,,1.268,0.84,0.82,,,,1.237,0.82,706.18M,724.76M,0.1
2014-09,9.973B,11.14B,8.234B,2.905B,393.00M,,393.00M,,,-221.00M,210.00M,7.00M,-203.00M,1.031B,1.424B,1.481B,7.00M,210.00M,-203.00M,-329.00M,-203.00M,949.00M,7.00M,942.00M,,,,,942.00M,1.161B,1.159B,,1.159B,1.31,,,,1.615,1.31,1.28,,,,1.578,1.28,719.07M,735.20M,0.1
2014-06,10.14B,11.36B,8.236B,3.119B,402.00M,,402.00M,,,-251.00M,214.00M,8.00M,-206.00M,1.067B,1.469B,1.65B,8.00M,214.00M,-206.00M,-240.00M,-206.00M,1.204B,340.00M,864.00M,,,,,864.00M,1.044B,1.418B,,1.418B,1.2,,,,1.45,1.2,1.17,,,,1.415,1.17,720.60M,734.77M,
2014-03,8.871B,9.995B,7.96B,2.035B,401.00M,,401.00M,,,137.00M,243.00M,7.00M,-236.00M,1.041B,1.442B,593.00M,7.00M,243.00M,-236.00M,136.00M,-236.00M,493.00M,13.00M,480.00M,,,,,480.00M,346.61M,736.00M,,736.00M,0.66,,,,0.4758,0.66,0.65,,,,0.4701,0.65,723.97M,741.34M,
2013-12,6.593B,7.368B,5.693B,1.675B,301.00M,,301.00M,,,-2.681B,214.00M,6.00M,-208.00M,798.00M,1.099B,576.00M,6.00M,214.00M,-208.00M,-2.693B,-208.00M,-2.325B,-324.00M,-2.001B,,,,,-2.001B,306.39M,-2.111B,,-2.111B,-8.66,,,,-2.458,-8.66,-8.66,,,,-2.458,-8.66,372.06M,372.06M,
2013-09,6.183B,6.828B,5.079B,1.749B,294.00M,,294.00M,,,-166.00M,226.00M,5.00M,-221.00M,739.00M,1.033B,716.00M,5.00M,226.00M,-221.00M,-206.00M,-221.00M,289.00M,0.00,289.00M,,,,,289.00M,455.00M,515.00M,,515.00M,1.16,,,,1.825,1.16,1.02,,,,1.594,1.02,249.72M,289.04M,
2013-06,5.809B,6.449B,4.922B,1.527B,273.00M,,273.00M,,,-136.00M,161.00M,5.00M,-156.00M,730.00M,1.003B,524.00M,5.00M,161.00M,-156.00M,-148.00M,-156.00M,220.00M,0.00,220.00M,,,,,220.00M,356.00M,381.00M,,381.00M,0.88,,,,1.425,0.88,0.79,,,,1.261,0.79,249.59M,288.51M,
2013-03,5.449B,6.098B,4.964B,1.134B,290.00M,,290.00M,,,-231.00M,254.00M,4.00M,-250.00M,702.00M,992.00M,142.00M,4.00M,254.00M,-250.00M,-255.00M,-250.00M,-363.00M,-22.00M,-341.00M,,,,,-341.00M,-124.00M,-109.00M,,-109.00M,-1.37,,,,-0.5002,-1.37,-1.37,,,,-0.5002,-1.37,249.49M,249.49M,
2012-12,5.322B,5.937B,5.074B,863.00M,,,,,,-498.00M,165.00M,6.00M,-159.00M,-296.00M,762.00M,101.00M,6.00M,165.00M,-159.00M,-248.00M,-159.00M,-306.00M,-569.00M,263.00M,,,,,263.00M,586.70M,-141.00M,,-141.00M,2.088,,,,4.673,2.088,1.847,,,,4.4319999999999995,1.847,125.23M,125.23M,
2012-09,5.813B,6.429B,5.171B,1.258B,,,,,,-348.00M,148.00M,7.00M,-141.00M,996.00M,996.00M,262.00M,7.00M,148.00M,-141.00M,-359.00M,-141.00M,-238.00M,0.00,-238.00M,,,,,-238.00M,110.00M,-90.00M,,-90.00M,-1.901,,,,0.8803,-1.901,-1.901,,,,0.8803,-1.901,125.12M,125.12M,
2012-06,5.802B,6.452B,5.198B,1.254B,,,,,,-336.00M,152.00M,7.00M,-145.00M,1.006B,1.006B,248.00M,7.00M,152.00M,-145.00M,-344.00M,-145.00M,-241.00M,0.00,-241.00M,,,,,-241.00M,95.00M,-89.00M,,-89.00M,-1.9280000000000002,,,,0.7577,-1.9280000000000002,-1.9280000000000002,,,,0.7577,-1.9280000000000002,125.12M,125.12M,
2012-03,5.395B,6.037B,5.146B,891.00M,,,,,,-1.412B,166.00M,6.00M,-160.00M,969.00M,969.00M,-78.00M,6.00M,166.00M,-160.00M,-1.422B,-160.00M,-1.66B,0.00,-1.66B,,,,,-1.66B,-248.00M,-1.494B,,-1.494B,-13.25,,,,-1.9680000000000002,-13.25,-13.25,,,,-1.9680000000000002,-13.25,125.12M,125.12M,
2011-12,3.357B,5.956B,11.69B,-5.73B,293.00M,,-5.359B,,,-866.00M,185.00M,6.00M,-179.00M,455.00M,-5.719B,-11.00M,6.00M,185.00M,-179.00M,-905.00M,-179.00M,-1.095B,0.00,-1.095B,,,,,-1.095B,-229.00M,-910.00M,,-910.00M,-8.762,,,,-1.81,-8.762,-8.762,,,,-1.81,-8.762,124.57M,124.57M,
2011-09,6.376B,6.376B,3.128B,3.248B,285.00M,1.913B,2.198B,,528.00M,4.00M,211.00M,6.00M,-205.00M,738.00M,3.209B,39.00M,6.00M,211.00M,-205.00M,4.00M,-205.00M,-162.00M,0.00,-162.00M,,,,,-162.00M,-166.00M,322.00M,273.00M,49.00M,-1.285,0.0,,,-1.317,-1.285,-1.285,0.0,,,-1.317,-1.285,124.75M,124.75M,
2011-06,6.114B,6.114B,3.049B,3.065B,268.00M,1.897B,2.165B,,513.00M,-10.00M,205.00M,7.00M,-198.00M,712.00M,3.143B,-78.00M,7.00M,205.00M,-198.00M,-10.00M,-198.00M,-286.00M,0.00,-286.00M,,,,,-286.00M,-276.00M,185.00M,266.00M,-81.00M,-2.276,0.0,,,-2.1959999999999997,-2.276,-2.276,0.0,,,-2.1959999999999997,-2.276,125.12M,125.12M,
