,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,297.00M,297.00M,4.994B,5.291B,1.809B,1.809B,1.455B,824.00M,294.00M,,,9.673B,,1.231B,8.599B,,50.49B,-16.16B,34.33B,4.091B,2.193B,6.284B,1.581B,1.409B,43.61B,53.28B,1.953B,1.953B,3.537B,5.49B,,2.793B,,2.793B,8.725B,8.725B,,17.01B,21.95B,,21.95B,,5.61B,5.61B,,7.259B,2.475B,37.29B,54.30B,5.00M,-1.13B,5.279B,,,-5.172B,-1.018B
2017-12,295.00M,295.00M,4.771B,5.066B,1.752B,1.752B,1.359B,651.00M,318.00M,,,9.146B,,1.217B,8.267B,,49.80B,-15.65B,34.16B,4.091B,2.203B,6.294B,1.816B,1.373B,43.64B,52.78B,1.688B,1.688B,3.953B,5.641B,2.554B,2.554B,0.00,2.554B,7.163B,7.163B,,15.36B,22.51B,0.00,22.51B,,5.701B,5.701B,,7.497B,2.498B,38.21B,53.56B,5.00M,-1.345B,5.714B,,,-5.154B,-780.00M
2017-09,340.00M,340.00M,5.428B,5.768B,1.70B,1.70B,1.315B,826.00M,393.00M,,,10.00B,,1.28B,7.902B,,48.73B,-15.42B,33.31B,4.091B,2.214B,6.305B,538.00M,2.245B,42.40B,52.40B,1.638B,1.638B,3.656B,5.294B,,2.467B,,2.467B,7.546B,7.546B,,15.31B,22.22B,,22.22B,,,,,7.467B,3.462B,33.15B,48.45B,5.00M,3.152B,5.918B,,,-5.127B,3.948B
2017-06,386.00M,386.00M,6.50B,6.886B,1.543B,1.543B,1.206B,827.00M,554.00M,,,11.02B,,1.212B,7.58B,,48.12B,-15.13B,32.99B,4.091B,2.224B,6.315B,905.00M,2.107B,42.32B,53.34B,1.924B,1.924B,3.618B,5.542B,,2.334B,,2.334B,8.236B,8.236B,,16.11B,22.52B,,22.52B,,,,,7.50B,3.484B,33.51B,49.62B,5.00M,2.577B,6.245B,,,-5.112B,3.715B
2017-03,374.00M,374.00M,6.302B,6.676B,1.397B,1.397B,1.154B,856.00M,543.00M,,,10.63B,,1.247B,7.332B,,46.93B,-14.64B,32.29B,4.091B,2.236B,6.327B,1.379B,2.004B,42.00B,52.63B,1.882B,1.882B,3.336B,5.218B,,1.714B,,1.714B,8.354B,8.354B,,15.29B,22.83B,,22.83B,,494.00M,494.00M,,7.808B,2.753B,33.88B,49.17B,5.00M,1.823B,6.726B,,,-5.097B,3.457B
2016-12,322.00M,322.00M,6.037B,6.359B,1.594B,1.594B,1.094B,639.00M,638.00M,,,10.32B,,1.209B,7.116B,,45.35B,-14.19B,31.16B,4.091B,2.173B,6.264B,1.498B,2.029B,40.95B,51.27B,1.592B,1.592B,3.724B,5.316B,,1.855B,,1.855B,6.701B,6.701B,,13.87B,22.49B,,22.49B,,,,,7.842B,3.286B,33.62B,47.49B,5.00M,1.64B,7.223B,,,-5.083B,3.785B
2016-09,381.00M,381.00M,6.374B,6.755B,1.703B,1.703B,1.10B,855.00M,635.00M,,,11.05B,,1.149B,6.915B,,44.32B,-14.02B,30.30B,4.091B,2.189B,6.28B,1.524B,1.952B,40.06B,51.11B,1.673B,1.673B,3.599B,5.272B,,1.798B,,1.798B,7.463B,7.463B,,14.53B,21.54B,,21.54B,,554.00M,554.00M,,7.387B,2.698B,32.18B,46.72B,5.00M,1.403B,7.761B,,,-4.778B,4.391B
2016-06,446.00M,446.00M,6.672B,7.118B,1.593B,1.593B,999.00M,834.00M,640.00M,,,11.18B,,1.136B,6.726B,,43.42B,-13.80B,29.61B,4.091B,2.213B,6.304B,1.965B,1.987B,39.87B,51.05B,1.944B,1.944B,3.763B,5.707B,,1.715B,,1.715B,7.495B,7.495B,,14.92B,21.13B,,21.13B,,590.00M,590.00M,,7.426B,2.675B,31.82B,46.74B,5.00M,719.00M,8.351B,,,-4.763B,4.312B
2016-03,495.00M,495.00M,6.435B,6.93B,1.45B,1.45B,886.00M,845.00M,691.00M,,,10.80B,,1.058B,6.561B,,42.03B,-13.39B,28.63B,4.091B,2.236B,6.327B,2.072B,2.075B,39.11B,49.91B,1.913B,1.913B,3.527B,5.44B,,2.61B,,2.61B,7.227B,7.227B,,15.28B,19.13B,,19.13B,,625.00M,625.00M,,7.44B,2.723B,29.92B,45.20B,6.00M,-591.00M,10.04B,,,-4.749B,4.71B
2015-12,390.00M,390.00M,5.864B,6.254B,1.425B,1.425B,863.00M,748.00M,695.00M,,,9.985B,,1.067B,6.402B,,40.65B,-13.14B,27.51B,4.091B,2.249B,6.34B,2.477B,2.103B,38.43B,48.42B,1.563B,1.563B,3.539B,5.102B,,2.231B,,2.231B,6.272B,6.272B,,13.60B,18.33B,,18.33B,,667.00M,667.00M,,7.45B,2.728B,29.18B,42.78B,6.00M,-1.23B,11.59B,,,-4.732B,5.635B
2015-09,1.016B,1.016B,7.857B,8.873B,1.828B,1.828B,1.01B,1.285B,710.00M,,,13.71B,,1.073B,6.262B,,39.21B,-12.92B,26.29B,4.091B,2.261B,6.352B,,2.365B,35.01B,48.72B,1.525B,1.525B,3.464B,4.989B,,1.712B,,1.712B,4.811B,4.811B,2.649B,14.16B,18.85B,,18.85B,,709.00M,709.00M,,7.433B,3.801B,30.79B,44.95B,6.00M,-4.445B,12.85B,,,-4.651B,3.762B
2015-06,952.00M,952.00M,7.967B,8.919B,1.892B,1.892B,1.069B,1.482B,747.00M,,,14.11B,,1.124B,6.132B,,38.08B,-12.80B,25.29B,4.091B,2.274B,6.365B,,2.106B,33.76B,47.87B,1.683B,1.683B,3.311B,4.994B,,1.642B,,1.642B,5.664B,5.664B,2.745B,15.04B,17.15B,,17.15B,,746.00M,746.00M,,7.477B,3.812B,29.19B,44.23B,7.00M,-6.07B,14.32B,,,-4.62B,3.636B
2015-03,1.048B,1.048B,8.125B,9.173B,1.826B,1.826B,995.00M,1.378B,757.00M,,,14.13B,,1.265B,6.013B,,36.55B,-12.51B,24.04B,4.091B,2.281B,6.372B,,2.211B,32.62B,46.75B,1.587B,1.587B,3.171B,4.758B,,1.284B,,1.284B,5.415B,5.415B,2.776B,14.23B,17.64B,,17.64B,,788.00M,788.00M,,7.517B,3.814B,29.76B,43.99B,7.00M,-7.702B,15.05B,,,-4.59B,2.764B
2014-12,994.00M,994.00M,6.309B,7.303B,1.771B,1.771B,1.004B,898.00M,774.00M,,,11.75B,,1.23B,5.90B,,35.34B,-12.26B,23.08B,4.091B,2.24B,6.331B,,2.06B,31.48B,43.22B,1.377B,1.377B,3.291B,4.668B,,1.677B,,1.677B,7.059B,7.059B,,13.40B,16.04B,,16.04B,,829.00M,829.00M,,7.562B,3.366B,27.80B,41.20B,7.00M,-8.562B,15.14B,,,-4.559B,2.021B
2014-09,1.178B,1.178B,6.721B,7.899B,1.961B,1.961B,1.182B,1.533B,875.00M,,,13.45B,,1.172B,5.812B,,34.20B,-12.03B,22.16B,4.089B,2.305B,6.394B,,2.166B,30.72B,44.17B,1.498B,1.498B,3.128B,4.626B,,1.439B,,1.439B,4.952B,4.952B,2.871B,13.89B,15.65B,,15.65B,,871.00M,871.00M,,4.964B,3.828B,25.31B,39.20B,7.00M,-9.086B,15.94B,,,-1.893B,4.971B
2014-06,1.21B,1.21B,8.249B,9.459B,1.981B,1.981B,1.093B,1.551B,882.00M,,,14.97B,,1.043B,5.712B,,32.87B,-11.63B,21.24B,4.089B,2.33B,6.419B,,2.19B,29.84B,44.81B,1.653B,1.653B,3.35B,5.003B,,1.523B,,1.523B,5.683B,5.683B,2.879B,15.09B,15.20B,,15.20B,,905.00M,905.00M,,5.704B,3.823B,25.64B,40.72B,7.00M,-9.953B,15.88B,1.00M,,-1.846B,4.086B
2014-03,1.259B,1.259B,8.405B,9.664B,2.008B,2.008B,1.052B,1.522B,947.00M,,,15.19B,,1.045B,5.663B,,31.40B,-11.45B,19.94B,4.089B,2.319B,6.408B,,2.192B,28.54B,43.74B,1.646B,1.646B,3.355B,5.001B,,1.441B,,1.441B,5.686B,5.686B,2.951B,15.08B,15.24B,,15.24B,,990.00M,990.00M,,5.766B,5.563B,27.56B,42.64B,6.00M,-10.82B,14.04B,,,-2.135B,1.095B
2013-12,1.14B,1.14B,8.111B,9.251B,1.56B,1.56B,1.012B,1.465B,1.035B,,,14.32B,,1.077B,5.585B,,30.39B,-11.13B,19.26B,4.086B,2.311B,6.397B,,2.299B,27.96B,42.28B,1.368B,1.368B,3.607B,4.975B,,1.446B,,1.446B,4.38B,4.38B,3.005B,13.81B,15.35B,,15.35B,,935.00M,935.00M,,5.828B,9.087B,31.20B,45.01B,5.00M,-11.30B,10.59B,,,-2.032B,-2.731B
2013-09,717.00M,717.00M,6.046B,6.763B,1.34B,1.34B,681.00M,,935.00M,,464.00M,10.24B,,,2.127B,,13.47B,,13.47B,,853.00M,853.00M,,2.214B,16.54B,26.78B,1.307B,1.307B,2.139B,3.446B,1.335B,1.335B,24.00M,1.359B,5.293B,5.293B,,10.10B,8.863B,345.00M,9.208B,,,,,6.641B,8.755B,24.60B,34.70B,342.00M,-9.295B,4.488B,367.00M,,-3.09B,-7.922B
2013-06,604.00M,604.00M,5.606B,6.21B,1.376B,1.376B,589.00M,,863.00M,,576.00M,9.635B,,,2.142B,,13.55B,,13.55B,,859.00M,859.00M,,2.172B,16.58B,26.22B,1.507B,1.507B,2.17B,3.677B,1.298B,1.298B,29.00M,1.327B,5.665B,5.665B,,10.67B,7.987B,367.00M,8.354B,,,,,6.702B,8.707B,23.76B,34.43B,341.00M,-9.584B,4.484B,367.00M,,-3.09B,-8.216B
2013-03,606.00M,606.00M,3.638B,4.244B,1.243B,1.243B,595.00M,,853.00M,,524.00M,7.525B,,,2.156B,,13.30B,,13.30B,,863.00M,863.00M,,2.159B,16.33B,23.85B,1.44B,1.44B,2.084B,3.524B,1.256B,1.256B,30.00M,1.286B,5.18B,5.18B,,9.99B,6.646B,375.00M,7.021B,,,,,6.73B,8.487B,22.24B,32.23B,341.00M,-9.803B,4.483B,367.00M,,-3.03B,-8.376B
2012-12,480.00M,480.00M,3.412B,3.892B,1.124B,1.124B,580.00M,626.00M,850.00M,,,7.072B,,710.00M,5.302B,,24.23B,-10.83B,13.40B,0.00,869.00M,869.00M,,2.167B,16.44B,23.51B,975.00M,975.00M,2.093B,3.068B,,1.419B,,1.419B,2.813B,2.813B,1.711B,9.011B,7.116B,,7.116B,,223.00M,223.00M,,6.78B,8.367B,22.49B,31.50B,127.00M,-9.462B,4.695B,367.00M,,-2.98B,-7.987B
2012-09,508.00M,508.00M,3.718B,4.226B,,1.16B,596.00M,,847.00M,,376.00M,7.303B,2.066B,,11.26B,496.00M,13.82B,-198.00M,13.62B,,875.00M,875.00M,,2.129B,16.62B,23.93B,1.283B,1.283B,2.029B,3.312B,1.508B,1.508B,36.00M,1.544B,,,4.73B,9.586B,6.097B,392.00M,6.489B,,,1.658B,,76.00M,13.49B,21.72B,31.30B,341.00M,-9.725B,4.477B,367.00M,,-2.101B,-7.375B
2012-06,371.00M,371.00M,4.609B,4.98B,,1.129B,593.00M,,772.00M,,486.00M,7.984B,2.076B,,11.40B,510.00M,13.98B,-197.00M,13.78B,,881.00M,881.00M,,2.077B,16.74B,24.73B,1.362B,1.362B,1.899B,3.261B,1.598B,1.598B,56.00M,1.654B,,,5.151B,10.07B,6.323B,393.00M,6.716B,,,1.687B,,77.00M,15.15B,23.63B,33.69B,341.00M,-9.487B,4.475B,367.00M,,-3.93B,-8.968B
2012-03,375.00M,375.00M,4.444B,4.819B,,1.056B,619.00M,,771.00M,,389.00M,7.778B,2.114B,,11.48B,322.00M,13.92B,,13.92B,,887.00M,887.00M,,1.928B,16.73B,24.51B,1.336B,1.336B,1.70B,3.036B,6.441B,6.441B,66.00M,6.507B,,,,9.543B,6.575B,316.00M,6.891B,,,1.685B,,77.00M,15.00B,23.65B,33.20B,341.00M,-9.246B,4.47B,367.00M,,-3.884B,-8.686B
2011-12,283.00M,283.00M,3.718B,4.001B,902.00M,902.00M,617.00M,,738.00M,,402.00M,6.757B,,,5.331B,,24.85B,-10.55B,14.31B,,894.00M,894.00M,,1.891B,17.09B,23.85B,1.007B,1.007B,1.882B,2.889B,1.518B,1.518B,0.00,1.518B,4.223B,4.223B,,8.63B,6.702B,0.00,6.702B,,110.00M,110.00M,,9.204B,6.313B,22.33B,30.96B,341.00M,-7.586B,4.465B,367.00M,,-3.964B,-7.111B
2011-09,304.00M,304.00M,3.992B,4.296B,,925.00M,631.00M,,474.00M,,512.00M,6.838B,2.117B,,12.62B,400.00M,15.14B,,15.14B,,204.00M,204.00M,,2.535B,17.88B,24.72B,1.15B,1.15B,1.928B,3.078B,1.374B,1.374B,79.00M,1.453B,,,4.392B,8.923B,9.552B,615.00M,10.17B,,,2.587B,,7.875B,,20.63B,29.55B,341.00M,-6.491B,4.467B,367.00M,,-2.783B,-4.833B
2011-06,318.00M,318.00M,4.858B,5.176B,,945.00M,641.00M,,457.00M,,778.00M,7.997B,2.13B,,12.62B,403.00M,15.16B,,15.16B,,211.00M,211.00M,,2.424B,17.79B,25.79B,1.291B,1.291B,2.011B,3.302B,1.741B,1.741B,89.00M,1.83B,,,4.634B,9.766B,9.428B,624.00M,10.05B,,,2.509B,,7.969B,,20.53B,30.30B,341.00M,-6.329B,4.459B,367.00M,,-2.613B,-4.509B
2011-03,286.00M,286.00M,5.513B,5.799B,,922.00M,595.00M,,455.00M,,1.054B,8.825B,,2.142B,12.62B,359.00M,15.12B,,15.12B,,217.00M,217.00M,,2.955B,18.29B,27.11B,1.267B,1.267B,2.334B,3.601B,6.152B,6.152B,100.00M,6.252B,,,,9.853B,9.568B,588.00M,10.16B,,,3.127B,,7.926B,,21.21B,31.06B,339.00M,-6.043B,4.455B,367.00M,,-2.333B,-3.949B
2010-12,168.00M,168.00M,4.328B,4.496B,,738.00M,594.00M,,450.00M,,560.00M,6.838B,5.173B,,21.54B,,26.72B,-11.64B,15.08B,,932.00M,932.00M,,2.236B,18.25B,25.09B,1.156B,1.156B,2.085B,3.241B,1.776B,1.776B,107.00M,1.883B,,,3.656B,8.78B,8.756B,497.00M,9.253B,,270.00M,270.00M,,7.877B,2.853B,20.25B,29.03B,339.00M,-5.607B,4.445B,367.00M,,-2.755B,-3.945B
2010-09,202.00M,202.00M,4.355B,4.557B,,889.00M,575.00M,,447.00M,,369.00M,6.837B,,2.222B,12.82B,255.00M,15.30B,,15.30B,,967.00M,967.00M,,2.257B,18.52B,25.36B,1.22B,1.22B,2.042B,3.262B,1.669B,1.669B,107.00M,1.776B,,,3.901B,8.939B,9.01B,503.00M,9.513B,,,3.139B,,7.409B,,20.06B,29.00B,339.00M,-5.509B,4.434B,367.00M,,-2.54B,-3.643B
2010-06,197.00M,197.00M,4.887B,5.084B,,910.00M,569.00M,,461.00M,,320.00M,7.344B,,,,,15.27B,,15.27B,,,239.00M,,3.035B,18.54B,25.88B,1.305B,1.305B,2.003B,3.308B,1.727B,1.727B,102.00M,1.829B,,,4.222B,9.359B,9.142B,526.00M,9.668B,,,3.19B,,7.598B,,20.46B,29.82B,339.00M,-5.652B,4.424B,367.00M,,-2.674B,-3.93B
2010-03,189.00M,189.00M,4.357B,4.546B,,842.00M,552.00M,,460.00M,,434.00M,6.834B,,2.252B,12.86B,286.00M,15.39B,,15.39B,,,246.00M,,3.052B,18.69B,25.52B,1.14B,1.14B,2.01B,3.15B,4.961B,4.961B,85.00M,5.046B,,,45.00M,8.241B,9.861B,559.00M,10.42B,,,,,7.531B,3.225B,21.18B,29.42B,339.00M,-5.641B,4.412B,367.00M,,-2.635B,-3.892B
2009-12,153.00M,153.00M,4.246B,4.399B,,768.00M,557.00M,,460.00M,,458.00M,6.642B,5.158B,,21.15B,,26.31B,-10.83B,15.48B,,988.00M,988.00M,,2.332B,18.80B,25.44B,1.064B,1.064B,2.039B,3.103B,1.024B,1.024B,90.00M,1.114B,,,3.511B,7.728B,9.984B,599.00M,10.58B,,272.00M,272.00M,,7.397B,2.947B,21.20B,28.93B,339.00M,-5.136B,4.399B,367.00M,,-2.724B,-3.489B
2009-09,171.00M,171.00M,3.941B,4.112B,,814.00M,546.00M,,459.00M,,522.00M,6.453B,,,,,15.60B,,15.60B,,,1.091B,,2.614B,19.30B,25.75B,1.081B,1.081B,1.959B,3.04B,4.614B,4.614B,91.00M,4.705B,,,156.00M,7.901B,9.872B,589.00M,10.46B,,,,,7.005B,3.246B,20.71B,28.61B,335.00M,-4.792B,4.361B,367.00M,,-2.396B,-2.859B
2009-06,191.00M,191.00M,2.617B,2.808B,,780.00M,535.00M,,460.00M,,557.00M,5.14B,,,,,15.57B,,15.57B,,,1.098B,,2.328B,19.00B,24.14B,1.143B,1.143B,1.918B,3.061B,4.971B,4.971B,104.00M,5.075B,,,134.00M,8.27B,8.292B,572.00M,8.864B,,,,,6.881B,3.123B,18.87B,27.14B,286.00M,-4.433B,4.013B,367.00M,,-2.499B,-3.00B
2009-03,187.00M,187.00M,2.677B,2.864B,,785.00M,494.00M,,462.00M,,757.00M,5.362B,,2.361B,13.01B,207.00M,15.57B,,15.57B,,,1.102B,,2.48B,19.16B,24.52B,1.005B,1.005B,1.976B,2.981B,5.216B,5.216B,98.00M,5.314B,,,613.00M,8.908B,8.314B,528.00M,8.842B,,,,,6.739B,3.138B,18.72B,27.63B,285.00M,-4.043B,4.004B,367.00M,,-2.988B,-3.109B
2008-12,191.00M,191.00M,2.916B,3.107B,,811.00M,525.00M,,459.00M,,1.033B,5.935B,5.132B,,20.27B,776.00M,26.18B,-10.44B,15.74B,,281.00M,281.00M,,3.224B,19.24B,25.18B,952.00M,952.00M,2.042B,2.994B,5.553B,5.553B,107.00M,5.66B,,,716.00M,9.37B,8.423B,582.00M,9.005B,,297.00M,297.00M,,6.614B,2.824B,18.74B,28.11B,285.00M,-3.668B,3.992B,367.00M,,-3.177B,-2.935B
2008-09,273.00M,273.00M,4.348B,4.621B,,1.104B,670.00M,,456.00M,,656.00M,7.507B,,2.376B,13.21B,339.00M,15.93B,,15.93B,,,1.116B,,2.399B,19.44B,26.95B,1.164B,1.164B,2.325B,3.489B,5.874B,5.874B,121.00M,5.995B,,,,9.484B,8.946B,590.00M,9.536B,,,,,3.736B,3.26B,16.53B,26.02B,285.00M,-3.121B,3.769B,367.00M,,368.00M,934.00M
2008-06,287.00M,287.00M,4.782B,5.069B,,1.166B,702.00M,,434.00M,,1.701B,9.072B,,2.39B,13.18B,407.00M,15.98B,,15.98B,,,1.123B,,2.748B,19.85B,28.92B,1.389B,1.389B,2.804B,4.193B,6.314B,6.314B,133.00M,6.447B,,,,10.64B,8.708B,623.00M,9.331B,,,,,3.67B,3.624B,16.62B,27.26B,257.00M,-3.166B,3.491B,367.00M,,1.445B,1.66B
2008-03,203.00M,203.00M,4.316B,4.519B,,1.109B,637.00M,,426.00M,,822.00M,7.513B,,2.397B,14.19B,758.00M,17.34B,,17.34B,,,1.148B,,2.76B,21.25B,28.77B,1.318B,1.318B,2.221B,3.539B,5.887B,5.887B,146.00M,6.033B,,,,9.572B,8.745B,630.00M,9.375B,,,,,3.657B,3.673B,16.70B,26.28B,255.00M,-1.718B,3.496B,367.00M,,823.00M,2.489B
2007-12,148.00M,148.00M,4.387B,4.535B,,1.027B,601.00M,,428.00M,,638.00M,7.229B,5.238B,,23.25B,1.915B,30.40B,-13.01B,17.39B,,1.156B,1.156B,,2.792B,21.34B,28.57B,1.182B,1.182B,2.267B,3.449B,4.887B,4.887B,147.00M,5.034B,,,,8.483B,9.413B,680.00M,10.09B,,320.00M,320.00M,,3.62B,3.398B,17.43B,25.91B,255.00M,-1.39B,3.489B,367.00M,,,2.657B
2007-09,161.00M,161.00M,5.229B,5.39B,,1.166B,556.00M,,,,950.00M,8.062B,,,,,29.76B,-12.21B,17.55B,,1.163B,1.163B,,2.821B,21.54B,29.60B,1.269B,1.269B,2.236B,3.505B,1.325B,1.325B,138.00M,1.463B,,,4.268B,9.236B,9.83B,698.00M,10.53B,,,,5.235B,5.235B,-1.463B,19.54B,28.77B,255.00M,-1.321B,3.47B,367.00M,,-1.21B,828.00M
