,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2010-10,207.00M,,,,50.00M,50.00M,,,368.00M,368.00M,21.00M,,18.00M,,-31.00M,-35.00M,-617.00M,15.00M,316.00M,-7.00M,,-90.00M,-418.00M,215.00M,,-471.00M,,,0.00,,10.00M,-461.00M,,-10.00M,92.00M,83.00M,8.00M,-64.00M,-56.00M,,-60.00M,0.00,-33.00M,,1.037B,-279.00M,,758.00M,,8.00M,0.00,82.00M,-64.00M,153.00M,122.00M,,AOR,Restated
2010-07,268.00M,,,,-22.00M,-22.00M,,,368.00M,368.00M,-8.00M,,18.00M,,83.00M,21.00M,110.00M,20.00M,85.00M,-94.00M,,-83.00M,59.00M,766.00M,,-410.00M,,,0.00,,15.00M,-395.00M,,282.00M,-9.00M,273.00M,4.00M,-148.00M,-144.00M,61.00M,-62.00M,-3.00M,64.00M,,602.00M,435.00M,,1.037B,,4.00M,298.00M,-25.00M,-148.00M,127.00M,100.00M,,AOR,Restated
2010-04,375.00M,,,,22.00M,22.00M,,,478.00M,478.00M,-8.00M,,26.00M,,-2.00M,12.00M,148.00M,235.00M,101.00M,,,166.00M,662.00M,1.553B,,-542.00M,,,-7.00M,,5.00M,-544.00M,,-541.00M,-83.00M,-624.00M,12.00M,-80.00M,-68.00M,-61.00M,-61.00M,-78.00M,-831.00M,,424.00M,178.00M,,602.00M,,12.00M,3.00M,-627.00M,-80.00M,54.00M,149.00M,,AOR,Restated
2010-01,251.00M,,,,7.00M,7.00M,,,368.00M,368.00M,171.00M,4.00M,19.00M,,-226.00M,-17.00M,389.00M,-302.00M,-342.00M,38.00M,,187.00M,-47.00M,547.00M,,-531.00M,-7.00M,-7.00M,-13.00M,,19.00M,-532.00M,,0.00,4.00M,4.00M,21.00M,-88.00M,-67.00M,-238.00M,-62.00M,17.00M,-108.00M,,517.00M,-93.00M,,424.00M,,21.00M,6.00M,-6.00M,-88.00M,11.00M,108.00M,,AOR,Restated
2009-10,-876.00M,,,,5.00M,5.00M,,,356.00M,356.00M,-39.00M,1.157B,19.00M,,198.00M,-43.00M,-620.00M,16.00M,277.00M,-38.00M,,-203.00M,-611.00M,209.00M,,-556.00M,7.00M,7.00M,-10.00M,,-14.00M,-573.00M,,489.00M,112.00M,601.00M,22.00M,-50.00M,-28.00M,117.00M,-59.00M,-2.00M,512.00M,,369.00M,148.00M,,517.00M,,22.00M,502.00M,103.00M,-50.00M,4.00M,131.00M,,AOR,Restated
2009-07,251.00M,,,,7.00M,7.00M,,,348.00M,348.00M,36.00M,,20.00M,,36.00M,21.00M,161.00M,67.00M,-75.00M,,,6.00M,180.00M,878.00M,,-575.00M,,,-13.00M,,0.00,-588.00M,,-388.00M,-63.00M,-451.00M,6.00M,-60.00M,-54.00M,-58.00M,-58.00M,4.00M,-559.00M,,638.00M,-269.00M,,369.00M,,6.00M,0.00,-451.00M,-60.00M,78.00M,140.00M,,AOR,Restated
2009-04,431.00M,,,,12.00M,12.00M,,,453.00M,453.00M,54.00M,,25.00M,,-171.00M,18.00M,25.00M,145.00M,148.00M,,,148.00M,484.00M,1.288B,,-635.00M,,,0.00,,1.00M,-634.00M,,-151.00M,-53.00M,-204.00M,2.00M,-20.00M,-18.00M,-59.00M,-59.00M,2.00M,-279.00M,,263.00M,375.00M,,638.00M,,2.00M,3.00M,-207.00M,-20.00M,37.00M,163.00M,,AOR,Restated
2009-01,347.00M,,,,,,,,348.00M,348.00M,194.00M,5.00M,22.00M,-35.00M,-49.00M,-8.00M,476.00M,-210.00M,-395.00M,-66.00M,,-134.00M,-337.00M,539.00M,,-536.00M,,1.613B,0.00,,9.00M,-527.00M,,-6.00M,21.00M,15.00M,8.00M,-11.00M,-3.00M,,-59.00M,10.00M,-37.00M,,280.00M,-25.00M,,263.00M,,8.00M,468.00M,-453.00M,-11.00M,197.00M,81.00M,,,Restated
2008-10,237.00M,,,,,,,,335.00M,335.00M,41.00M,21.00M,21.00M,19.00M,59.00M,-36.00M,-709.00M,19.00M,292.00M,52.00M,,-120.00M,-502.00M,231.00M,,-560.00M,,-560.00M,0.00,,-8.00M,-568.00M,,394.00M,73.00M,467.00M,7.00M,-87.00M,-80.00M,,-59.00M,19.00M,347.00M,,270.00M,10.00M,,280.00M,,7.00M,136.00M,331.00M,-87.00M,161.00M,110.00M,,,Restated
2008-07,276.00M,,,,,,,,327.00M,327.00M,47.00M,,23.00M,7.00M,53.00M,10.00M,88.00M,59.00M,-134.00M,-1.00M,,29.00M,51.00M,784.00M,,-476.00M,-23.00M,-1.076B,0.00,,48.00M,-451.00M,,-173.00M,-64.00M,-237.00M,77.00M,-158.00M,-81.00M,,-59.00M,7.00M,-370.00M,,307.00M,-37.00M,,270.00M,,77.00M,0.00,-237.00M,-158.00M,283.00M,294.00M,,,Restated
2008-04,390.00M,,,,,,,,433.00M,433.00M,59.00M,,25.00M,9.00M,50.00M,6.00M,-48.00M,224.00M,151.00M,15.00M,,28.00M,376.00M,1.342B,,-577.00M,23.00M,23.00M,-80.00M,,1.00M,-633.00M,,-327.00M,-28.00M,-355.00M,80.00M,-381.00M,-301.00M,,-50.00M,-3.00M,-709.00M,,242.00M,,,307.00M,,80.00M,775.00M,-1.13B,-381.00M,,,,,Restated
2008-01,366.00M,,,,,34.00M,,,325.00M,325.00M,34.00M,,,,-144.00M,-51.00M,278.00M,-381.00M,-10.00M,-34.00M,-209.00M,-15.00M,-422.00M,304.00M,,-498.00M,-46.00M,1.582B,-4.00M,,44.00M,-504.00M,,,,662.00M,-27.00M,-269.00M,-296.00M,,-51.00M,-39.00M,276.00M,,166.00M,76.00M,,242.00M,,-27.00M,,,-269.00M,,,,,Restated
2007-10,254.00M,,,,,-50.00M,,,315.00M,315.00M,-89.00M,,,,134.00M,-56.00M,-648.00M,19.00M,323.00M,-16.00M,-43.00M,-21.00M,-442.00M,122.00M,,-553.00M,23.00M,-530.00M,0.00,,-14.00M,-544.00M,,,,812.00M,33.00M,-442.00M,-409.00M,,-52.00M,73.00M,424.00M,,164.00M,2.00M,,166.00M,,33.00M,,,-442.00M,,,,,
2007-07,267.00M,,,,,75.00M,,,311.00M,311.00M,-1.00M,,,,20.00M,40.00M,98.00M,17.00M,-64.00M,7.00M,414.00M,-138.00M,374.00M,1.046B,,-467.00M,9.00M,-458.00M,-86.00M,,-25.00M,-569.00M,,,,70.00M,31.00M,-578.00M,-547.00M,,-53.00M,29.00M,-501.00M,,188.00M,-24.00M,,164.00M,,31.00M,,,-578.00M,,,,,
2007-04,337.00M,,,,,8.00M,,,404.00M,404.00M,-12.00M,,,,61.00M,50.00M,-109.00M,286.00M,90.00M,43.00M,-162.00M,113.00M,311.00M,1.109B,,-608.00M,14.00M,-594.00M,,,-7.00M,-601.00M,,,,-453.00M,151.00M,-132.00M,19.00M,,-46.00M,-29.00M,-509.00M,,189.00M,-1.00M,,188.00M,,151.00M,,,-132.00M,,,,,
2007-01,385.00M,,,,,-110.00M,,,299.00M,299.00M,31.00M,,,,175.00M,-52.00M,362.00M,-320.00M,-76.00M,-17.00M,47.00M,-204.00M,-260.00M,520.00M,,-505.00M,17.00M,-488.00M,,,-7.00M,-495.00M,,,,84.00M,79.00M,-106.00M,-27.00M,,-46.00M,12.00M,23.00M,,141.00M,48.00M,,189.00M,,79.00M,,,-106.00M,,,,,
2006-10,215.00M,,,,,76.00M,,,295.00M,295.00M,-27.00M,,,,-32.00M,-9.00M,-570.00M,20.00M,215.00M,-55.00M,3.00M,-146.00M,-542.00M,-15.00M,,-415.00M,51.00M,-364.00M,,,-26.00M,-390.00M,,,,4.00M,13.00M,-232.00M,-219.00M,,-47.00M,5.00M,-257.00M,,803.00M,-662.00M,,141.00M,,13.00M,,,-232.00M,,,,,
2006-07,209.00M,,,,,-7.00M,,,290.00M,290.00M,-45.00M,,,,69.00M,-13.00M,3.00M,33.00M,49.00M,-18.00M,165.00M,127.00M,346.00M,862.00M,,-343.00M,22.00M,-321.00M,,,-11.00M,-332.00M,,,,-188.00M,27.00M,-161.00M,-134.00M,,-47.00M,-17.00M,-386.00M,,659.00M,144.00M,,803.00M,,27.00M,,,-161.00M,,,,,
2006-04,306.00M,,,,,61.00M,,,388.00M,388.00M,-19.00M,,,,71.00M,-16.00M,32.00M,224.00M,68.00M,-35.00M,-117.00M,21.00M,177.00M,984.00M,,-420.00M,53.00M,-367.00M,,,-3.00M,-370.00M,,,,-79.00M,49.00M,-134.00M,-85.00M,,,-1.00M,-165.00M,,210.00M,449.00M,,659.00M,,49.00M,,,-134.00M,,,,,
2006-01,282.00M,,,,,142.00M,,,296.00M,296.00M,-1.00M,,,,,-16.00M,300.00M,-290.00M,-424.00M,74.00M,-106.00M,-114.00M,-576.00M,143.00M,,-295.00M,8.00M,-287.00M,,,-20.00M,-307.00M,,,,109.00M,2.00M,-50.00M,-48.00M,,,76.00M,137.00M,,237.00M,-27.00M,,210.00M,,2.00M,,,-50.00M,,,,,
2005-10,186.00M,,,,,13.00M,,,287.00M,287.00M,-34.00M,,,,,-23.00M,-545.00M,21.00M,479.00M,-53.00M,-87.00M,13.00M,-195.00M,257.00M,,-339.00M,19.00M,-320.00M,,,-6.00M,-326.00M,,,,-83.00M,21.00M,-11.00M,10.00M,,,,-73.00M,,379.00M,-142.00M,,237.00M,,21.00M,,,-11.00M,,,,,
2005-07,196.00M,,,,,20.00M,,,293.00M,293.00M,-8.00M,,,,,-25.00M,35.00M,35.00M,0.00,12.00M,222.00M,39.00M,318.00M,819.00M,,-271.00M,14.00M,-257.00M,,,-12.00M,-269.00M,,,,-321.00M,33.00M,-38.00M,-5.00M,,,20.00M,-306.00M,,135.00M,244.00M,,379.00M,,33.00M,,,-38.00M,,,,,
2005-04,294.00M,,,,,29.00M,,,389.00M,389.00M,-20.00M,,,,,45.00M,53.00M,265.00M,-135.00M,-15.00M,33.00M,35.00M,281.00M,973.00M,,-401.00M,28.00M,-373.00M,,,-4.00M,-377.00M,,,,-454.00M,22.00M,-153.00M,-131.00M,,,-20.00M,-605.00M,,144.00M,-9.00M,,135.00M,,22.00M,,,-153.00M,,,,,
2005-01,-648.00M,,,,,900.00M,,,307.00M,307.00M,87.00M,,,,,-7.00M,256.00M,-345.00M,-203.00M,61.00M,-58.00M,-90.00M,-386.00M,260.00M,,-357.00M,28.00M,-329.00M,0.00,,-42.00M,-371.00M,,,,126.00M,-8.00M,-70.00M,-78.00M,,,77.00M,125.00M,,130.00M,14.00M,,144.00M,,-8.00M,,,-70.00M,,,,,
2004-10,143.00M,,,,,49.00M,,,287.00M,287.00M,41.00M,,,,,-62.00M,-570.00M,28.00M,336.00M,-70.00M,-29.00M,113.00M,-254.00M,266.00M,,-429.00M,12.00M,-417.00M,0.00,,-3.00M,-420.00M,,,,351.00M,14.00M,-80.00M,-66.00M,,,-128.00M,157.00M,,127.00M,3.00M,,130.00M,,14.00M,,,-80.00M,,,,,
2004-07,142.00M,,,,,4.00M,,,290.00M,290.00M,56.00M,,,,,19.00M,149.00M,82.00M,-44.00M,-4.00M,176.00M,-7.00M,371.00M,863.00M,,-395.00M,32.00M,-363.00M,-21.00M,,14.00M,-370.00M,,,,-544.00M,4.00M,-48.00M,-44.00M,,,79.00M,-509.00M,,143.00M,-16.00M,,127.00M,,4.00M,,,-48.00M,,,,,
2004-04,263.00M,,,,,12.00M,,,372.00M,372.00M,46.00M,,,,,63.00M,-71.00M,204.00M,78.00M,86.00M,-106.00M,-6.00M,248.00M,941.00M,,-453.00M,14.00M,-439.00M,-4.00M,,-4.00M,-447.00M,,,,-321.00M,15.00M,-121.00M,-106.00M,,,-83.00M,-510.00M,,159.00M,-16.00M,,143.00M,,15.00M,,,-121.00M,,,,,
2004-01,-340.00M,,,,,564.00M,,,305.00M,305.00M,200.00M,,,,,-51.00M,304.00M,-300.00M,106.00M,-363.00M,-192.00M,63.00M,-433.00M,296.00M,,-353.00M,30.00M,-323.00M,-31.00M,,-7.00M,-361.00M,,,,-13.00M,6.00M,1.00M,7.00M,,,95.00M,89.00M,,135.00M,24.00M,,159.00M,,6.00M,,,1.00M,,,,,
2003-10,110.00M,,,,,9.00M,,,280.00M,280.00M,24.00M,,,,,-42.00M,-462.00M,17.00M,181.00M,,42.00M,-49.00M,-313.00M,110.00M,,-564.00M,11.00M,-553.00M,-13.00M,,4.00M,-562.00M,,,,231.00M,18.00M,-63.00M,-45.00M,,,-5.00M,181.00M,,406.00M,-271.00M,,135.00M,,18.00M,,,-63.00M,,,,,
2003-07,190.00M,,,,,39.00M,,,269.00M,269.00M,29.00M,,,,,8.00M,184.00M,65.00M,-293.00M,165.00M,248.00M,-28.00M,349.00M,876.00M,,-419.00M,14.00M,-405.00M,-37.00M,,-5.00M,-447.00M,,,,-80.00M,10.00M,-108.00M,-98.00M,,,-1.00M,-179.00M,,156.00M,250.00M,,406.00M,,10.00M,,,-108.00M,,,,,
2003-04,352.00M,,,,,8.00M,,,355.00M,355.00M,76.00M,,,,,88.00M,-46.00M,223.00M,50.00M,-165.00M,-36.00M,28.00M,142.00M,933.00M,,-664.00M,13.00M,-651.00M,-6.00M,,1.00M,-656.00M,,,,-278.00M,5.00M,-131.00M,-126.00M,,,112.00M,-292.00M,,171.00M,-15.00M,,156.00M,,5.00M,,,-131.00M,,,,,
2003-01,324.00M,,,,,67.00M,,,267.00M,267.00M,290.00M,,,,-11.00M,1.00M,409.00M,,-158.00M,,39.00M,-384.00M,-127.00M,810.00M,,-448.00M,33.00M,-415.00M,-17.00M,,-3.00M,-435.00M,,,,-216.00M,7.00M,-113.00M,-106.00M,,,-19.00M,-341.00M,,137.00M,34.00M,,171.00M,,7.00M,,,-113.00M,,,,,
2002-10,255.00M,,,,,-7.00M,,,250.00M,250.00M,78.00M,,,,11.00M,-74.00M,-561.00M,,176.00M,,-300.00M,384.00M,-375.00M,212.00M,,-414.00M,7.00M,-407.00M,0.00,,17.00M,-390.00M,,,,362.00M,6.00M,-219.00M,-213.00M,,,-1.00M,148.00M,,167.00M,-30.00M,,137.00M,,6.00M,,,-219.00M,,,,,
2002-07,264.00M,,,,,22.00M,,,247.00M,247.00M,25.00M,,,,,37.00M,117.00M,,59.00M,,94.00M,,307.00M,865.00M,,-248.00M,30.00M,-218.00M,0.00,,-152.00M,-370.00M,,,,-183.00M,4.00M,-336.00M,-332.00M,,,2.00M,-513.00M,,185.00M,-18.00M,,167.00M,,4.00M,,,-336.00M,,,,,
2002-04,362.00M,,,,,35.00M,,,323.00M,323.00M,75.00M,,,,,38.00M,-27.00M,,284.00M,,206.00M,,501.00M,1.296B,,-781.00M,20.00M,-761.00M,-109.00M,,158.00M,-712.00M,,,,-455.00M,24.00M,-117.00M,-93.00M,,,-12.00M,-560.00M,,161.00M,24.00M,,185.00M,,24.00M,,,-117.00M,,,,,
2002-01,351.00M,,,,,-191.00M,237.00M,19.00M,256.00M,256.00M,109.00M,,,,,2.00M,393.00M,,-757.00M,,-182.00M,-232.00M,-776.00M,-7.00M,,-377.00M,19.00M,-358.00M,0.00,,11.00M,-347.00M,,,,489.00M,6.00M,-121.00M,-115.00M,,,-2.00M,372.00M,,143.00M,18.00M,,161.00M,,6.00M,,,-121.00M,,,,,
2001-10,133.00M,,,,,198.00M,227.00M,27.00M,254.00M,254.00M,84.00M,,,,,-32.00M,-536.00M,,431.00M,,-235.00M,232.00M,-140.00M,529.00M,,-388.00M,26.00M,-362.00M,-18.00M,,9.00M,-371.00M,,,,-44.00M,20.00M,-126.00M,-106.00M,,,-2.00M,-152.00M,,137.00M,6.00M,,143.00M,,20.00M,,,-126.00M,,,,,
2001-07,255.00M,,,,,11.00M,221.00M,26.00M,247.00M,247.00M,80.00M,,,,,23.00M,164.00M,,226.00M,,235.00M,-32.00M,616.00M,1.209B,,-530.00M,12.00M,-518.00M,-18.00M,,-6.00M,-542.00M,,,,-460.00M,12.00M,-181.00M,-169.00M,,,-61.00M,-690.00M,,160.00M,-23.00M,,137.00M,,12.00M,,,-181.00M,,,,,
2001-04,304.00M,,,,,23.00M,288.00M,31.00M,319.00M,319.00M,-15.00M,,,,,29.00M,-142.00M,,66.00M,,,32.00M,-15.00M,616.00M,,-618.00M,13.00M,-605.00M,-67.00M,,18.00M,-654.00M,,,,260.00M,34.00M,-304.00M,-270.00M,,,47.00M,37.00M,,161.00M,-1.00M,,160.00M,,34.00M,,,-304.00M,,,,,
2001-01,357.00M,,,,,246.00M,,,233.00M,233.00M,62.00M,,,,-282.00M,-56.00M,360.00M,,-425.00M,,-276.00M,-6.00M,-403.00M,213.00M,,-385.00M,45.00M,-340.00M,0.00,,55.00M,-285.00M,,,,97.00M,13.00M,-167.00M,-154.00M,,,159.00M,102.00M,,131.00M,30.00M,,161.00M,,13.00M,,,-167.00M,,,,,
2000-10,199.00M,,,,,2.00M,,,234.00M,234.00M,-38.00M,,,,21.00M,-44.00M,-614.00M,,322.00M,,276.00M,-185.00M,-245.00M,173.00M,,-400.00M,14.00M,-386.00M,0.00,,6.00M,-380.00M,,,,285.00M,7.00M,-104.00M,-97.00M,,,-5.00M,183.00M,,155.00M,-24.00M,,131.00M,,7.00M,,,-104.00M,,,,,
2000-07,218.00M,,,,,16.00M,,,234.00M,234.00M,8.00M,,,,3.00M,35.00M,111.00M,,9.00M,,,218.00M,373.00M,852.00M,,-383.00M,28.00M,-355.00M,-31.00M,,25.00M,-361.00M,,,,-415.00M,17.00M,-101.00M,-84.00M,,,0.00,-499.00M,,163.00M,-8.00M,,155.00M,,17.00M,,,-101.00M,,,,,
2000-04,106.00M,,,,,18.00M,,,307.00M,307.00M,181.00M,,,,258.00M,16.00M,29.00M,,161.00M,,,-33.00M,173.00M,1.043B,,-455.00M,40.00M,-415.00M,-36.00M,,-46.00M,-497.00M,,,,-468.00M,20.00M,-209.00M,-189.00M,,,-7.00M,-664.00M,,281.00M,-118.00M,,163.00M,,20.00M,,,-209.00M,,,,,
2000-01,231.00M,,,,,104.00M,,,223.00M,223.00M,202.00M,,,,,5.00M,394.00M,,-421.00M,,-367.00M,-134.00M,-523.00M,237.00M,,-221.00M,38.00M,-183.00M,,,5.00M,-408.00M,,,,112.00M,4.00M,,-2.00M,,,59.00M,169.00M,,283.00M,-2.00M,,281.00M,,4.00M,,,,,,,,
1999-10,129.00M,,,,,-10.00M,,,226.00M,226.00M,37.00M,,,,-25.00M,-74.00M,-606.00M,,379.00M,,367.00M,-327.00M,-261.00M,96.00M,,-624.00M,52.00M,-572.00M,,,7.00M,-565.00M,,,,480.00M,27.00M,,27.00M,,,-59.00M,448.00M,,304.00M,-21.00M,,283.00M,,27.00M,,,,,,,,
1999-07,56.00M,,,,,-6.00M,,,216.00M,216.00M,27.00M,,,,23.00M,-52.00M,-28.00M,,67.00M,,,318.00M,305.00M,621.00M,,-404.00M,34.00M,-370.00M,,,-18.00M,-388.00M,,,,-251.00M,14.00M,,14.00M,,,-6.00M,-243.00M,,314.00M,-10.00M,,304.00M,,14.00M,,,,,,,,
1999-04,207.00M,,,,,8.00M,,,281.00M,281.00M,42.00M,,,,2.00M,51.00M,-31.00M,,25.00M,,,9.00M,54.00M,594.00M,,-442.00M,15.00M,-427.00M,,,-22.00M,-449.00M,,,,-111.00M,22.00M,,22.00M,,,-5.00M,-94.00M,,263.00M,51.00M,,314.00M,,22.00M,,,,,,,,
1998-12,273.00M,,,,,117.00M,,,190.00M,190.00M,-36.00M,,,,,-80.00M,124.00M,,-128.00M,,-312.00M,225.00M,-171.00M,373.00M,,-375.00M,32.00M,-343.00M,,,277.00M,-152.00M,,,,-611.00M,20.00M,0.00,20.00M,,,408.00M,-183.00M,,261.00M,38.00M,,299.00M,,20.00M,,,0.00,,,,,
1998-09,150.00M,,,,,93.00M,,,223.00M,223.00M,-7.00M,,,,-76.00M,-1.00M,-333.00M,,300.00M,,312.00M,-202.00M,76.00M,459.00M,,-601.00M,-32.00M,-633.00M,,,-120.00M,-753.00M,,,,812.00M,31.00M,-77.00M,-46.00M,,,-439.00M,327.00M,,228.00M,33.00M,,261.00M,,31.00M,,,-77.00M,,,,,
1998-06,30.00M,,,,,-6.00M,,,327.00M,327.00M,-3.00M,,,,76.00M,-8.00M,122.00M,,69.00M,-8.00M,-34.00M,203.00M,344.00M,768.00M,,-495.00M,71.00M,-424.00M,,,18.00M,-406.00M,,,,-257.00M,55.00M,-20.00M,35.00M,,,-89.00M,-311.00M,,0.00,51.00M,,228.00M,,55.00M,,,-20.00M,,,,,
1998-03,51.00M,,,,,6.00M,,,96.00M,96.00M,-3.00M,,,,,23.00M,173.00M,,-150.00M,8.00M,34.00M,,88.00M,238.00M,,-175.00M,25.00M,-150.00M,,,-4.00M,-154.00M,,,,-78.00M,16.00M,-25.00M,-9.00M,,,-3.00M,-90.00M,,65.00M,-6.00M,,0.00,,16.00M,,,-25.00M,,,,,
1997-12,292.10M,,,,,-27.00M,,,295.30M,295.30M,74.70M,,,,2.50M,-54.80M,-195.20M,,32.90M,-103.40M,-177.70M,,-422.20M,215.40M,,-520.70M,83.90M,-436.80M,,,182.10M,-608.70M,,,,235.20M,235.10M,-15.70M,219.40M,,,-8.20M,446.40M,,0.00,53.10M,,183.00M,,235.10M,,,-15.70M,,,,,
1997-09,96.50M,,,,,-5.20M,,,114.90M,114.90M,6.30M,,,,6.60M,-26.50M,-114.20M,,18.10M,19.90M,77.20M,,-25.50M,193.60M,,-159.80M,15.80M,-144.00M,,,-156.90M,-300.90M,,,,135.90M,13.10M,-22.50M,-9.40M,,,-19.30M,107.20M,,0.00,-0.10M,,0.00,,13.10M,,,-22.50M,,,,,
1997-06,108.10M,,,,,6.70M,,,93.20M,93.20M,,,,,-3.90M,5.30M,111.40M,,14.00M,83.50M,-23.30M,,190.90M,395.00M,,-124.80M,1.70M,-123.10M,,,12.30M,-110.80M,,,,-265.90M,7.50M,-12.40M,-4.90M,,,-13.40M,-284.20M,,0.00,,,0.00,,7.50M,,,-12.40M,,,,,
1997-03,92.30M,,,,,9.50M,,,88.60M,88.60M,,,,,-5.20M,,,,,,123.80M,,123.80M,309.00M,,-136.70M,2.60M,-134.10M,,,-23.50M,-157.60M,,,,-130.20M,13.30M,-34.40M,-21.10M,,,-0.10M,-151.40M,,0.00,,,0.00,,13.30M,,,-34.40M,,,,,
1996-12,125.50M,,,,,-24.80M,,,89.40M,89.40M,,,,,8.10M,-17.70M,-56.00M,,25.30M,-103.00M,65.40M,,-86.00M,157.90M,,-215.60M,-2.90M,-218.50M,,,48.00M,-170.50M,,,,49.70M,-62.90M,,-63.20M,,,14.10M,0.60M,,0.00,-12.00M,,0.00,,-62.90M,,,,,,,,
1996-09,72.30M,,,,,8.60M,,,104.90M,104.90M,,,,,-6.60M,-29.60M,-156.70M,,81.20M,6.10M,6.40M,,-92.60M,86.60M,,-259.50M,5.40M,-254.10M,,,-59.10M,-313.20M,,,,150.60M,86.10M,,86.10M,,,-10.10M,226.60M,,0.00,,,0.00,,86.10M,,,,,,,,
1996-06,78.40M,,,,,3.90M,,,83.40M,83.40M,,,,,0.00,-20.50M,13.90M,,5.70M,21.60M,33.50M,,54.20M,219.90M,,-85.20M,5.20M,-80.00M,,,-122.20M,-202.20M,,,,-32.70M,17.30M,,17.30M,,,-2.20M,-17.60M,,0.00,0.10M,,0.00,,17.30M,,,,,,,,
1996-03,76.50M,,,,,5.00M,,,79.10M,79.10M,,,,,-1.50M,31.80M,58.00M,,-196.00M,-45.30M,27.40M,,-124.10M,35.00M,,-173.60M,1.50M,-172.10M,,,1.10M,-171.00M,,,,130.10M,7.60M,,7.60M,,,-1.80M,135.90M,,0.00,-0.10M,,0.00,,7.60M,,,,,,,,
1995-12,109.30M,,,,,-0.50M,,,83.00M,83.00M,,,,,-134.30M,,,,,,,,,177.90M,,-264.00M,1.00M,-263.00M,,-7.80M,19.80M,-251.00M,,,,13.50M,9.30M,,9.10M,,24.00M,-17.50M,29.10M,,0.00,-44.00M,,0.00,,9.30M,,,,,,,,
1995-09,62.70M,,,,,11.00M,,,92.50M,92.50M,,,,,20.10M,,,,,,,,,186.30M,,-217.70M,7.70M,-210.00M,,7.80M,-2.50M,-204.70M,,,,-0.80M,19.60M,,19.60M,,-24.00M,19.70M,14.50M,,0.00,-3.90M,,0.00,,19.60M,,,,,,,,
1995-06,82.40M,,,,,13.90M,,,76.80M,76.80M,,,,,125.60M,,,,,,,,,298.70M,,-146.20M,5.00M,-141.20M,,-0.40M,-6.20M,-147.80M,,,,-138.10M,4.50M,,4.50M,,,-17.80M,-151.40M,,0.00,-0.50M,,0.00,,4.50M,,,,,,,,
1995-03,64.50M,,,,,3.90M,,,72.20M,72.20M,,,,,-5.00M,,,,,,,,,135.60M,,-98.20M,35.80M,-62.40M,,0.40M,-0.10M,-62.10M,,,,-55.70M,5.20M,,5.20M,,,-1.90M,-52.40M,,27.20M,21.10M,,0.00,,5.20M,,,,,,,,
1994-12,92.00M,,,,,,,,83.80M,83.80M,,,,,-100.00M,17.10M,-51.80M,,68.10M,-5.70M,110.30M,,138.00M,201.80M,,-161.10M,11.90M,-149.20M,,9.00M,-78.60M,-218.80M,,,,-20.20M,2.20M,,1.90M,,,-11.40M,-29.70M,,0.00,-46.70M,,0.00,,2.20M,,,,,,,,
1994-09,51.20M,,,,,,,,82.60M,82.60M,,,,,-13.70M,,,,,,,,,120.10M,,-190.60M,2.00M,-188.60M,,48.70M,8.00M,-131.90M,,,,-25.90M,15.00M,,15.00M,,,-8.90M,-19.80M,,0.00,-31.60M,,0.00,,15.00M,,,,,,,,
1994-06,70.00M,,,,,,,,60.50M,60.50M,,,,,172.60M,-45.70M,-55.00M,,91.60M,39.70M,-70.00M,,-39.40M,263.70M,,-98.20M,6.70M,-91.50M,,-1.90M,-6.30M,-99.70M,,,,-164.70M,12.00M,,12.00M,,,-15.80M,-168.50M,,0.00,-4.50M,,0.00,,12.00M,,,,,,,,
1994-03,55.70M,,,,,,,,66.20M,66.20M,,,,,3.40M,45.70M,55.00M,,-91.60M,-39.70M,70.00M,,39.40M,164.70M,,-84.10M,1.20M,-82.90M,,-5.30M,-7.90M,-96.10M,,,,-101.50M,26.20M,,26.20M,,,-4.50M,-79.80M,,121.30M,-11.20M,,0.00,,26.20M,,,,,,,,
1993-12,86.50M,,,,,,,,142.20M,142.20M,,,,,-220.00M,-22.30M,-70.80M,,134.20M,26.80M,29.10M,,97.00M,105.70M,,-138.40M,23.90M,-114.50M,,25.40M,15.00M,-74.10M,,,,1.10M,11.40M,,11.40M,,,-2.10M,10.40M,,0.00,42.00M,,0.00,,11.40M,,,,,,,,
