,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-04,2.018B,-1.771B,0.00,-36.00M,27.00M,-1.78B,741.00M,,741.00M,741.00M,17.00M,,45.00M,,15.00M,-123.00M,134.00M,415.00M,388.00M,,0.00,498.00M,1.312B,2.368B,,-758.00M,,-758.00M,2.098B,,9.00M,1.349B,,-1.324B,,-1.324B,10.00M,-1.809B,-1.799B,-110.00M,-110.00M,-140.00M,-3.373B,,347.00M,344.00M,,691.00M,,10.00M,1.01B,-2.334B,-1.809B,36.00M,124.00M,,AOR,Restated
2018-01,853.00M,0.00,,,523.00M,492.00M,,,565.00M,565.00M,-961.00M,,33.00M,,-20.00M,16.00M,443.00M,-382.00M,-528.00M,,,-333.00M,-784.00M,359.00M,,-672.00M,,-672.00M,0.00,0.00,0.00,-672.00M,,742.00M,,742.00M,20.00M,-341.00M,-321.00M,-110.00M,-110.00M,-3.00M,308.00M,,352.00M,-5.00M,,347.00M,,20.00M,716.00M,26.00M,-341.00M,180.00M,187.00M,,AOR,Restated
2017-10,388.00M,0.00,,,8.00M,8.00M,,,572.00M,572.00M,59.00M,,33.00M,,-1.002B,20.00M,-620.00M,-203.00M,444.00M,,,30.00M,-329.00M,-271.00M,,-615.00M,,-615.00M,0.00,0.00,30.00M,-585.00M,,767.00M,,767.00M,3.00M,-262.00M,-259.00M,-112.00M,-112.00M,-7.00M,389.00M,,819.00M,-467.00M,,352.00M,,3.00M,1.00M,766.00M,-262.00M,145.00M,127.00M,,AOR,Restated
2017-07,351.00M,0.00,,,25.00M,25.00M,,,563.00M,563.00M,202.00M,,32.00M,,78.00M,-124.00M,-23.00M,-6.00M,28.00M,,,-110.00M,-235.00M,1.016B,,-705.00M,,-705.00M,-16.00M,0.00,15.00M,-706.00M,,550.00M,,550.00M,11.00M,-258.00M,-247.00M,-110.00M,-110.00M,-40.00M,153.00M,,356.00M,463.00M,,819.00M,,11.00M,1.501B,-951.00M,-258.00M,12.00M,154.00M,,AOR,Restated
2017-04,297.00M,0.00,,,35.00M,35.00M,,,736.00M,736.00M,6.00M,,53.00M,,-25.00M,149.00M,177.00M,367.00M,174.00M,,,340.00M,1.207B,2.309B,,-817.00M,,-817.00M,0.00,,73.00M,-744.00M,,-628.00M,,-628.00M,17.00M,-772.00M,-755.00M,-111.00M,-111.00M,-37.00M,-1.531B,,322.00M,34.00M,,356.00M,,17.00M,1.00M,-629.00M,-772.00M,11.00M,188.00M,,AOR,Restated
2017-01,502.00M,,,,32.00M,32.00M,,,572.00M,572.00M,196.00M,,31.00M,,25.00M,-158.00M,416.00M,-258.00M,-467.00M,,,-75.00M,-542.00M,816.00M,,-674.00M,,-674.00M,0.00,,72.00M,-602.00M,,208.00M,,208.00M,17.00M,-365.00M,-348.00M,-113.00M,-113.00M,-13.00M,-266.00M,,374.00M,-52.00M,,322.00M,,17.00M,231.00M,-23.00M,-365.00M,107.00M,95.00M,,AOR,Restated
2016-10,382.00M,,,,19.00M,19.00M,,,549.00M,549.00M,48.00M,,33.00M,,-3.00M,-65.00M,-833.00M,-96.00M,446.00M,,,-56.00M,-604.00M,424.00M,,-979.00M,,-979.00M,-401.00M,,47.00M,-1.333B,,1.419B,,1.419B,7.00M,-330.00M,-323.00M,-114.00M,-114.00M,-18.00M,964.00M,,319.00M,55.00M,,374.00M,,7.00M,2.681B,-1.262B,-330.00M,208.00M,119.00M,,AOR,Restated
2016-07,378.00M,,,,18.00M,18.00M,,,525.00M,525.00M,-43.00M,,34.00M,,-19.00M,28.00M,-66.00M,-68.00M,135.00M,,,31.00M,60.00M,953.00M,,-956.00M,,-956.00M,,,67.00M,-889.00M,,21.00M,,21.00M,29.00M,-44.00M,-15.00M,-100.00M,-100.00M,-42.00M,-136.00M,,391.00M,-72.00M,,319.00M,,29.00M,37.00M,-16.00M,-44.00M,235.00M,124.00M,,AOR,Restated
2016-04,695.00M,,,,25.00M,25.00M,,,694.00M,694.00M,,,43.00M,,14.00M,85.00M,101.00M,263.00M,-216.00M,,,375.00M,608.00M,2.079B,,-1.09B,,-1.09B,,,39.00M,-1.051B,,213.00M,,213.00M,15.00M,-1.027B,-1.012B,-102.00M,-102.00M,-13.00M,-914.00M,,277.00M,114.00M,,391.00M,,15.00M,267.00M,-54.00M,-1.027B,7.00M,167.00M,,AOR,Restated
2016-01,565.00M,,,,24.00M,24.00M,,,508.00M,508.00M,466.00M,,35.00M,,-48.00M,-60.00M,509.00M,-201.00M,-339.00M,,,-433.00M,-524.00M,1.072B,,-817.00M,,-817.00M,,,-5.00M,-990.00M,,40.00M,,40.00M,26.00M,-44.00M,-18.00M,-102.00M,-102.00M,1.00M,-79.00M,,274.00M,3.00M,,277.00M,,26.00M,1.023B,-983.00M,-44.00M,137.00M,77.00M,,AOR,Restated
