,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.799B,60.00M,1.859B,1.505B,,1.505B,638.00M,,212.00M,4.214B,,5.246B,1.107B,58.44B,748.00M,77.03B,-21.26B,55.77B,,,2.164B,249.00M,58.18B,62.40B,,612.00M,,635.00M,101.00M,1.348B,843.00M,2.191B,1.069B,1.069B,321.00M,1.39B,592.00M,4.173B,,25.66B,1.283B,26.94B,12.25B,12.25B,,,,,2.077B,41.27B,45.44B,,2.781B,51.33B,4.864B,40.42B,,,,-1.593B,16.96B,,AOR,
2020-09,2.601B,60.00M,2.661B,1.565B,,1.565B,649.00M,,255.00M,5.13B,,5.274B,1.101B,57.99B,1.157B,77.03B,-21.01B,56.02B,,,2.071B,496.00M,58.58B,63.71B,,649.00M,,550.00M,109.00M,1.308B,721.00M,2.029B,1.98B,1.98B,308.00M,2.288B,524.00M,4.841B,,26.08B,1.293B,27.37B,12.33B,12.33B,,,,,1.973B,41.67B,46.52B,,2.781B,50.60B,4.849B,39.68B,,,,-1.351B,17.20B,,AOR,
2020-06,2.706B,60.00M,2.766B,1.388B,,1.388B,668.00M,,261.00M,5.083B,,5.274B,1.098B,57.66B,1.193B,76.72B,-20.75B,55.97B,,,2.042B,460.00M,58.47B,63.56B,,595.00M,,970.00M,83.00M,1.648B,869.00M,2.517B,1.885B,1.885B,424.00M,2.309B,453.00M,5.279B,,26.44B,1.32B,27.76B,12.17B,12.17B,,,,,1.894B,41.82B,47.10B,,2.781B,49.89B,4.135B,38.98B,,,,-1.372B,16.45B,,AOR,
2020-03,1.13B,60.00M,1.19B,1.669B,,1.669B,692.00M,,253.00M,3.804B,,5.275B,1.094B,57.33B,1.186B,76.43B,-20.54B,55.89B,,,2.078B,440.00M,58.41B,62.22B,,711.00M,,754.00M,105.00M,1.57B,747.00M,2.317B,1.511B,1.511B,326.00M,1.837B,487.00M,4.641B,,26.36B,1.339B,27.70B,12.09B,12.09B,,,,,1.792B,41.58B,46.22B,,2.781B,49.42B,4.112B,38.99B,,,,-1.329B,15.99B,,AOR,
2019-12,831.00M,60.00M,891.00M,1.595B,,1.595B,751.00M,,222.00M,3.459B,,5.276B,1.081B,56.90B,1.249B,76.06B,-20.33B,55.73B,,,2.05B,436.00M,58.21B,61.67B,,749.00M,,496.00M,100.00M,1.345B,849.00M,2.194B,1.257B,1.257B,362.00M,1.619B,538.00M,4.351B,,23.94B,1.471B,25.41B,11.99B,11.99B,,,,,1.788B,39.19B,43.54B,,2.78B,48.60B,4.523B,36.42B,,,,-1.356B,18.13B,,AOR,Restated
2019-09,1.25B,60.00M,1.31B,1.65B,,1.65B,771.00M,,342.00M,4.073B,,5.271B,1.073B,56.54B,1.222B,76.06B,-20.64B,55.42B,,,2.003B,483.00M,57.90B,61.98B,,711.00M,,580.00M,103.00M,1.394B,779.00M,2.173B,1.421B,1.421B,377.00M,1.798B,616.00M,4.587B,,24.31B,1.542B,25.86B,11.74B,11.74B,,,,,1.775B,39.38B,43.96B,,2.78B,47.88B,4.505B,35.84B,,,,-1.305B,18.02B,,AOR,Restated
2019-06,1.049B,60.00M,1.109B,1.809B,,1.809B,775.00M,,393.00M,4.086B,,5.269B,1.065B,56.24B,1.18B,75.61B,-20.42B,55.19B,,,1.989B,442.00M,57.62B,61.71B,,746.00M,,644.00M,107.00M,1.497B,880.00M,2.377B,2.297B,2.297B,442.00M,2.739B,549.00M,5.665B,,22.96B,1.612B,24.57B,11.57B,11.57B,,,,,1.731B,37.87B,43.54B,,2.78B,47.00B,3.954B,34.26B,,,,-1.298B,18.17B,,AOR,Restated
2019-03,1.059B,60.00M,1.119B,1.672B,,1.672B,780.00M,,382.00M,3.953B,,5.266B,1.056B,55.93B,1.115B,75.20B,-20.20B,55.00B,,,1.951B,413.00M,57.37B,61.32B,,794.00M,,934.00M,107.00M,1.835B,798.00M,2.633B,1.703B,1.703B,417.00M,2.12B,509.00M,5.262B,,23.41B,1.663B,25.07B,11.41B,11.41B,,,,,1.835B,38.32B,43.58B,,2.78B,46.05B,3.929B,33.64B,,,,-1.378B,17.74B,,AOR,Restated
2018-12,1.273B,60.00M,1.333B,1.755B,,1.755B,742.00M,,333.00M,4.163B,,5.264B,1.04B,53.46B,1.024B,72.80B,-20.13B,52.68B,,,1.912B,393.00M,54.98B,59.15B,,872.00M,,694.00M,107.00M,1.673B,912.00M,2.585B,1.466B,1.466B,0.00,1.466B,575.00M,4.626B,,20.92B,0.00,20.92B,11.30B,11.30B,,,,,1.871B,34.10B,38.72B,,2.779B,45.28B,4.449B,30.67B,,,,-1.415B,20.42B,,AOR,Restated
2018-09,1.81B,90.00M,1.90B,1.792B,,1.792B,789.00M,,335.00M,4.816B,,5.268B,989.00M,53.09B,867.00M,72.17B,-19.96B,52.21B,,,1.887B,399.00M,54.50B,59.31B,,905.00M,,644.00M,113.00M,1.662B,821.00M,2.483B,,1.468B,,1.468B,578.00M,4.529B,,20.94B,,20.94B,11.27B,11.27B,,,,,1.925B,34.14B,38.67B,,2.779B,44.31B,3.803B,28.86B,,,,-1.392B,20.64B,,AOR,Restated
