,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,4.803B,5.141B,2.622B,2.519B,,,,,18.00M,,279.00M,1.00M,-278.00M,513.00M,513.00M,2.006B,1.00M,279.00M,-278.00M,65.00M,-278.00M,1.793B,413.00M,1.38B,,,1.38B,1.366B,2.629B,557.00M,2.072B,,2.05,,,2.029,2.05,,2.05,,,2.029,2.05,,672.20M,674.30M,0.97,,AOR,
2020-09,4.596B,4.919B,2.589B,2.33B,,,,,3.00M,,295.00M,2.00M,-293.00M,299.00M,299.00M,2.031B,2.00M,295.00M,-293.00M,35.00M,-293.00M,1.773B,410.00M,1.363B,,,1.363B,1.361B,2.623B,555.00M,2.068B,,2.02,,,2.017,2.02,,2.01,,,2.007,2.01,,675.00M,676.80M,0.97,,AOR,
2020-06,3.972B,4.244B,2.355B,1.889B,,,,,83.00M,,289.00M,3.00M,-286.00M,235.00M,235.00M,1.654B,3.00M,289.00M,-286.00M,128.00M,-286.00M,1.496B,364.00M,1.132B,,,1.132B,1.069B,2.336B,551.00M,1.785B,,1.67,,,1.577,1.67,,1.67,,,1.578,1.67,,677.70M,679.20M,0.97,,AOR,
2020-03,4.88B,5.229B,2.788B,2.441B,,,,,11.00M,,278.00M,6.00M,-272.00M,298.00M,298.00M,2.143B,6.00M,278.00M,-272.00M,47.00M,-272.00M,1.918B,444.00M,1.474B,,,1.474B,1.466B,2.743B,547.00M,2.196B,,2.15,,,2.138,2.15,,2.15,,,2.138,2.15,,684.30M,686.20M,0.97,,AOR,
2019-12,4.851B,5.212B,2.881B,2.331B,,,,,4.00M,,278.00M,7.00M,-271.00M,231.00M,231.00M,2.10B,7.00M,278.00M,-271.00M,49.00M,-271.00M,1.878B,475.00M,1.403B,,,1.403B,1.400B,2.715B,559.00M,2.156B,,2.03,,,2.026,2.03,,2.02,,,2.016,2.02,,692.40M,695.00M,0.97,,AOR,Restated
2019-09,5.146B,5.516B,3.005B,2.511B,,,,,4.00M,,266.00M,11.00M,-255.00M,277.00M,277.00M,2.234B,11.00M,266.00M,-255.00M,42.00M,-255.00M,2.021B,466.00M,1.555B,,,1.555B,1.552B,2.844B,557.00M,2.287B,,2.22,,,2.216,2.22,,2.22,,,2.216,2.22,,699.30M,701.90M,0.97,,AOR,Restated
2019-06,5.236B,5.596B,3.089B,2.507B,,,,,6.00M,,259.00M,9.00M,-250.00M,247.00M,247.00M,2.26B,9.00M,259.00M,-250.00M,48.00M,-250.00M,2.058B,488.00M,1.57B,,,1.57B,1.565B,2.868B,551.00M,2.317B,,2.23,,,2.224,2.23,,2.22,,,2.214,2.22,,705.50M,708.00M,0.88,,AOR,Restated
2019-03,5.01B,5.384B,3.119B,2.265B,,,,,4.00M,,247.00M,9.00M,-238.00M,305.00M,305.00M,1.96B,9.00M,247.00M,-238.00M,68.00M,-238.00M,1.79B,399.00M,1.391B,,,1.391B,1.388B,2.586B,549.00M,2.037B,,1.94,,,1.936,1.94,,1.93,,,1.926,1.93,,716.80M,719.50M,0.88,,AOR,Restated
2018-12,5.387B,5.757B,3.326B,2.431B,,,,,11.00M,,240.00M,11.00M,-229.00M,221.00M,221.00M,2.21B,11.00M,240.00M,-229.00M,35.00M,-229.00M,2.016B,462.00M,1.554B,,,1.554B,1.546B,2.811B,555.00M,2.256B,,2.13,,,2.118,2.13,,2.12,,,2.108,2.12,,729.30M,733.00M,0.80,,AOR,Restated
2018-09,5.558B,5.928B,3.372B,2.556B,,,,,6.00M,,241.00M,10.00M,-231.00M,287.00M,287.00M,2.269B,10.00M,241.00M,-231.00M,38.00M,-231.00M,2.076B,483.00M,1.593B,,,1.593B,1.588B,2.864B,547.00M,2.317B,,2.16,,,2.154,2.16,,2.15,,,2.144,2.15,,737.40M,740.90M,0.80,,AOR,Restated
2018-06,5.317B,5.672B,3.325B,2.347B,,,,,7.00M,,203.00M,5.00M,-198.00M,248.00M,248.00M,2.099B,5.00M,203.00M,-198.00M,37.00M,-198.00M,1.938B,429.00M,1.509B,,,1.509B,1.504B,2.687B,546.00M,2.141B,,1.98,,,1.973,1.98,,1.98,,,1.973,1.98,,760.50M,763.70M,0.73,,AOR,Restated
2018-03,5.122B,5.475B,3.27B,2.205B,,,,,-79.00M,,186.00M,4.00M,-182.00M,266.00M,266.00M,1.939B,4.00M,186.00M,-182.00M,-46.00M,-182.00M,1.711B,401.00M,1.31B,,,1.31B,1.371B,2.44B,543.00M,1.897B,,1.69,,,1.768,1.69,,1.68,,,1.758,1.68,,776.40M,779.60M,0.73,,AOR,Restated
2017-12,5.087B,5.45B,2.964B,2.486B,,,,,3.00M,,188.00M,6.00M,-182.00M,239.00M,239.00M,2.247B,6.00M,188.00M,-182.00M,27.00M,-182.00M,2.092B,-5.186B,7.278B,,,7.278B,7.276B,2.812B,532.00M,2.28B,,9.29,,,9.288,9.29,,9.25,,,9.248,9.25,,783.40M,787.30M,0.665,,AOR,Restated
2017-09,5.05B,5.408B,3.105B,2.303B,,,,,63.00M,,180.00M,4.00M,-176.00M,230.00M,230.00M,2.073B,4.00M,180.00M,-176.00M,86.00M,-176.00M,1.983B,789.00M,1.194B,,,1.194B,1.156B,2.691B,528.00M,2.163B,,1.50,,,1.452,1.50,,1.50,,,1.452,1.50,,794.50M,797.60M,0.605,,AOR,Restated
2017-06,4.906B,5.25B,3.033B,2.217B,,,,,11.00M,,179.00M,4.00M,-175.00M,219.00M,219.00M,1.998B,4.00M,179.00M,-175.00M,46.00M,-175.00M,1.869B,701.00M,1.168B,,,1.168B,1.161B,2.573B,525.00M,2.048B,,1.45,,,1.441,1.45,,1.45,,,1.441,1.45,,804.10M,807.20M,0.605,,AOR,Restated
2017-03,4.794B,5.132B,3.084B,2.048B,,,,,34.00M,,172.00M,2.00M,-170.00M,260.00M,260.00M,1.788B,2.00M,172.00M,-170.00M,70.00M,-170.00M,1.688B,616.00M,1.072B,,,1.072B,1.050B,2.38B,520.00M,1.86B,,1.32,,,1.293,1.32,,1.32,,,1.294,1.32,,811.50M,814.80M,0.605,,AOR,Restated
2016-12,4.832B,5.168B,2.999B,2.169B,,,,,3.00M,,174.00M,3.00M,-171.00M,233.00M,233.00M,1.936B,3.00M,174.00M,-171.00M,66.00M,-171.00M,1.831B,687.00M,1.144B,,,1.144B,1.142B,2.525B,520.00M,2.005B,,1.40,,,1.398,1.40,,1.39,,,1.388,1.39,,819.20M,822.80M,0.605,,AOR,Restated
2016-09,4.837B,5.174B,2.943B,2.231B,,,,,3.00M,,184.00M,3.00M,-181.00M,271.00M,271.00M,1.96B,3.00M,184.00M,-181.00M,26.00M,-181.00M,1.805B,674.00M,1.131B,,,1.131B,1.129B,2.501B,512.00M,1.989B,,1.36,,,1.358,1.36,,1.36,,,1.358,1.36,,829.00M,832.20M,0.55,,AOR,Restated
2016-06,4.43B,4.77B,2.866B,1.904B,,,,,63.00M,,173.00M,3.00M,-170.00M,244.00M,244.00M,1.66B,3.00M,173.00M,-170.00M,74.00M,-170.00M,1.564B,585.00M,979.00M,,,979.00M,939.56M,2.241B,504.00M,1.737B,,1.17,,,1.123,1.17,,1.17,,,1.123,1.17,,837.40M,840.10M,0.55,,AOR,Restated
2016-03,4.502B,4.829B,2.893B,1.936B,,,,,25.00M,,167.00M,2.00M,-165.00M,249.00M,249.00M,1.687B,2.00M,167.00M,-165.00M,44.00M,-165.00M,1.566B,587.00M,979.00M,,,979.00M,963.38M,2.235B,502.00M,1.733B,,1.16,,,1.141,1.16,,1.16,,,1.142,1.16,,844.00M,846.70M,0.55,,AOR,Restated
2015-12,4.863B,5.208B,3.055B,2.153B,,,,,6.00M,,164.00M,1.00M,-163.00M,235.00M,235.00M,1.918B,1.00M,164.00M,-163.00M,27.00M,-163.00M,1.782B,665.00M,1.117B,,,1.117B,1.113B,2.463B,517.00M,1.946B,,1.31,,,1.306,1.31,,1.31,,,1.306,1.31,,850.30M,853.80M,0.55,,AOR,Restated
2015-09,5.215B,5.562B,3.149B,2.413B,,,,,10.00M,,157.00M,2.00M,-155.00M,205.00M,205.00M,2.208B,2.00M,157.00M,-155.00M,28.00M,-155.00M,2.081B,781.00M,1.30B,,,1.30B,1.294B,2.745B,507.00M,2.238B,,1.51,,,1.503,1.51,,1.50,,,1.493,1.50,,862.90M,865.80M,0.55,,AOR,Restated
2015-06,5.068B,5.429B,3.255B,2.174B,,,,,121.00M,,153.00M,1.00M,-152.00M,225.00M,225.00M,1.949B,1.00M,153.00M,-152.00M,141.00M,-152.00M,1.938B,734.00M,1.204B,,,1.204B,1.129B,2.588B,497.00M,2.091B,,1.38,,,1.294,1.38,,1.38,,,1.294,1.38,,872.20M,875.20M,0.55,,AOR,Restated
2015-03,5.251B,5.614B,3.378B,2.236B,,,,,7.00M,,148.00M,1.00M,-147.00M,259.00M,259.00M,1.977B,1.00M,148.00M,-147.00M,25.00M,-147.00M,1.855B,704.00M,1.151B,,,1.151B,1.147B,2.494B,491.00M,2.003B,,1.31,,,1.305,1.31,,1.30,,,1.295,1.30,,879.30M,882.80M,0.55,,AOR,Restated
2014-12,5.794B,6.153B,3.552B,2.601B,,,,,53.00M,,146.00M,1.00M,-145.00M,228.00M,228.00M,2.373B,1.00M,146.00M,-145.00M,70.00M,-145.00M,2.298B,867.00M,1.431B,,,1.431B,1.398B,2.933B,489.00M,2.444B,,1.62,,,1.583,1.62,,1.61,,,1.573,1.61,,885.70M,890.00M,0.50,,AOR,Restated
